GENE_ID	locusLine	bin_1_MM8_jia.bam
NM_021222	chr1(.):150975972-151013189	0.2726
NM_032236	chr1(.):21999791-22114688	0.1391
NM_152263	chr1(.):154129289-154169609	0.2535
NM_001043351	chr1(.):154122779-154160725	0.2595
NM_201569	chr1(.):183436505-183528328	0.2409
NM_133494	chr1(.):198121107-198296548	0.1711
NM_018230	chr1(.):229572043-229649088	0.2307
NM_015001	chr1(.):16169358-16271950	0.1237
NM_017940	chr1(.):16885411-16944982	0.303
NR_026567	chr1(.):17012712-17051652	0.2251
NM_001013693	chr1(.):22133757-22156714	0.0945
NM_033055	chr1(.):100498788-100553929	0.1438
NR_034178	chr1(.):143910747-144099477	0.2864
NM_153713	chr1(.):145472084-145504091	0.2559
NM_001002812	chr1(.):144885590-145000022	0.3113
NM_014644	chr1(.):144846426-145000022	0.2946
NM_001198834	chr1(.):144846423-145000033	0.2946
NM_001198832	chr1(.):144846423-145044992	0.3306
NM_207168	chr1(.):150594521-150607098	0.4308
NM_207042	chr1(.):150589598-150607098	0.4172
NM_015203	chr1(.):150331989-150454041	0.1928
NM_207044	chr1(.):150590753-150607098	0.4368
NM_020832	chr1(.):151249790-151269381	0.3561
NM_020524	chr1(.):154911558-154933567	0.3422
NM_181359	chr1(.):154372668-154445188	0.2377
NM_002249	chr1(.):154674914-154847754	0.2199
NM_170782	chr1(.):154674914-154837338	0.2215
NM_005572	chr1(.):156079460-156112657	0.3037
NM_018489	chr1(.):155300051-155537324	0.199
NM_018116	chr1(.):155575006-155589758	0.2255
NM_005973	chr1(.):156732273-156775609	0.3288
NM_004371	chr1(.):160253376-160318354	0.2361
NM_012394	chr1(.):161065345-161092866	0.3318
NM_002697	chr1(.):167185065-167401582	0.203
NR_037163	chr1(.):167185122-167401582	0.203
NM_018442	chr1(.):167900796-168050083	0.1821
NR_026550	chr1(.):167882309-167910380	0.3487
NM_001143674	chr1(.):167882309-167911278	0.3446
NM_015415	chr1(.):167882309-167910233	0.3498
NM_014412	chr1(.):174963891-174986163	0.4084
NM_001007214	chr1(.):174963570-174986163	0.4039
NM_152663	chr1(.):178689299-178894237	0.2145
NM_145034	chr1(.):179804101-179851941	0.2531
NM_015149	chr1(.):183600207-183902666	0.1844
NM_001127394	chr1(.):184015810-184048344	0.2765
NM_017673	chr1(.):185121290-185265913	0.177
NM_001105518	chr1(.):185121191-185265913	0.177
NM_001164245	chr1(.):186339889-186395503	0.3105
NR_031642	chr1(.):186024866-186451655	0.1686
NM_024420	chr1(.):186793031-186963113	0.1674
NM_016066	chr1(.):193060600-193080244	0.2283
NM_197962	chr1(.):193060599-193079556	0.2278
NM_144977	chr1(.):197516384-197749623	0.1945
NM_001195215	chr1(.):197468878-197749623	0.186
NM_003822	chr1(.):199991769-200151550	0.2007
NM_001164586	chr1(.):201154952-201203080	0.167
NM_014875	chr1(.):200515624-200594862	0.1715
NM_001167738	chr1(.):201703962-201801102	0.2433
NM_138795	chr1(.):202096976-202118866	0.2197
NM_001017403	chr1(.):202158117-202293889	0.1633
NM_020443	chr1(.):201612449-201801102	0.2128
NM_021636	chr1(.):202167904-202293889	0.1628
NM_014935	chr1(.):204182980-204334044	0.1614
NM_001684	chr1(.):203590927-203718209	0.2278
NM_201630	chr1(.):204581302-204659597	0.1839
NM_006338	chr1(.):204581302-204659481	0.1838
NM_182663	chr1(.):206675878-206767616	0.2568
NM_006243	chr1(.):212453878-212540205	0.194
NM_022735	chr1(.):226327379-226379423	0.324
NM_020247	chr1(.):227122937-227180246	0.249
NM_053052	chr1(.):227917696-227973932	0.3406
NM_052843	chr1(.):228390860-228553951	0.1584
NM_004481	chr1(.):230197955-230422875	0.3378
NM_003193	chr1(.):235525727-235617280	0.1585
NM_031371	chr1(.):235325209-235496532	0.1776
NM_152490	chr1(.):235605532-235672781	0.2153
NM_001042405	chr1(.):243282729-243423708	0.1611
NM_006642	chr1(.):243414306-243668393	0.1783
NM_032328	chr1(.):245128170-245256148	0.2073
NR_026588	chr1(.):245128630-245256148	0.2073
NR_026587	chr1(.):245128630-245293530	0.194
NR_026586	chr1(.):245128283-245293530	0.194
NM_001089591	chr1(.):16128656-16139194	0.0778
NR_024279	chr1(.):16155709-16179642	0.3091
NR_026752	chr1(.):16939750-16962401	0.3708
NR_027504	chr1(.):16967068-16981915	0.4764
NR_002729	chr1(.):17076400-17095975	0.2677
NM_014675	chr1(.):17243444-17304474	0.1064
NM_001032730	chr1(.):22049338-22114688	0.1631
NM_017709	chr1(.):118143603-118176011	0.5787
NM_207418	chr1(.):143891451-143918143	0.2816
NM_001002811	chr1(.):144885590-144937032	0.2856
NM_032305	chr1(.):145451235-145475387	0.3605
NM_202004	chr1(.):145408190-145422545	0.1649
NM_006472	chr1(.):145433461-145447628	0.4942
NM_001039888	chr1(.):145465507-145480647	0.3487
NM_001161334	chr1(.):149749244-149788928	0.1783
NM_001034077	chr1(.):149799220-149809616	0.3538
NM_001005464	chr1(.):149807258-149817765	0.5463
NM_001040874	chr1(.):149808784-149819318	0.5541
NM_001123375	chr1(.):149779779-149790236	0.246
NM_005850	chr1(.):149890210-149904702	0.2852
NM_016074	chr1(.):149866154-149877348	0.2114
NM_003528	chr1(.):149851009-149863232	0.5595
NM_003517	chr1(.):149853524-149863961	0.6278
NM_175065	chr1(.):149854018-149864466	0.6207
NM_014849	chr1(.):149869871-149894434	0.2068
NM_181873	chr1(.):149895542-149913266	0.3067
NM_001145862	chr1(.):149895542-149913791	0.3025
NR_036461	chr1(.):149816758-149827340	0.5136
NM_001040874	chr1(.):149817627-149828161	0.5062
NM_001005464	chr1(.):149819180-149829687	0.5022
NM_001034077	chr1(.):149827329-149837725	0.3671
NM_004698	chr1(.):150288927-150330704	0.178
NM_019032	chr1(.):150516897-150538412	0.5889
NM_207046	chr1(.):150589598-150606609	0.4249
NM_207047	chr1(.):150590753-150606609	0.4458
NR_036211	chr1(.):150519404-150529490	0.218
NM_001197320	chr1(.):150542026-150557214	0.8875
NM_001163258	chr1(.):150964300-150985854	0.3853
NM_181746	chr1(.):150932648-150952440	0.341
