GENE	H3k18ac_6_DMSO_compare_TSS_SIGNAL	H3k18ac_6_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1080.9165
A1BG-AS1	0.0	1080.9165
A2LD1	1884.1811999999998	1173.492
A2M	0.0	28.662
A2ML1	0.0	0.0
A4GALT	0.0	3621.9006
A4GNT	0.0	2218.2097999999996
AAA1	0.0	10909.6538
AAAS	3554.4105	14906.747500000001
AACS	948.29	2250.5228
AACSP1	0.0	0.0
AADAC	0.0	978.5934
AADACL3	0.0	0.0
AADAT	0.0	2818.3212
AAGAB	2776.5837	2473.3104
AAK1	9420.6	3205.0471
AAMP	2412.4139000000005	18258.3403
AANAT	1122.52	25677.359299999996
AARS	6064.0	7907.1021
AARS2	1574.0657999999999	13398.0031
AARSD1	2948.8309	3562.3278999999993
AASDH	2740.828	1100.016
AASDHPPT	5038.8282	556.4993999999999
AASS	2268.4	5045.7146999999995
AATF	2997.6	21.8044
AATK	0.0	1388.7104
ABAT	0.0	155.6314
ABCA1	1136.0905	8535.0379
ABCA10	0.0	1009.5301
ABCA11P	2951.058	25.611499999999996
ABCA12	0.0	658.706
ABCA13	0.0	8357.734100000001
ABCA17P	0.0	595.4725999999999
ABCA2	0.0	4334.0156
ABCA3	0.0	595.4725999999999
ABCA5	4817.2	3982.2335
ABCA6	0.0	2007.3988
ABCA7	2955.0	24730.272499999995
ABCA9	0.0	2007.3988
ABCB1	0.0	7.4847
ABCB10	4508.200000000001	797.4443
ABCB11	0.0	2962.4701
ABCB5	0.0	2842.5016
ABCB6	3394.7082	4376.4257
ABCB7	1632.0544000000002	0.0
ABCB8	4454.0	14188.9724
ABCB9	3359.0191000000004	51277.812099999996
ABCC1	3740.051	3859.8822
ABCC10	2574.3900000000003	2857.4946999999997
ABCC11	0.0	1506.1857
ABCC12	0.0	35.685700000000004
ABCC13	0.0	0.0
ABCC2	0.0	0.0
ABCC3	0.0	5574.4852
ABCC4	1080.9138	376.5564
ABCC5	0.0	1848.8672000000001
ABCC6	0.0	3543.8886999999995
ABCC6P1	0.0	4256.8144999999995
ABCC6P2	0.0	2852.5307000000003
ABCC8	0.0	3237.4476
ABCD1	968.9845999999999	1290.8943000000002
ABCD2	5602.2	4554.3258
ABCD3	844.1106000000001	0.0
ABCD4	0.0	1169.568
ABCE1	4201.2367	5318.6304
ABCF1	2200.0	17375.0271
ABCF2	2323.0	474.20140000000004
ABCF3	5173.0	3976.3547
ABCG1	3086.6937	38597.3836
ABCG2	0.0	12112.4708
ABCG4	0.0	7178.559200000001
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	1055.1179	35581.2404
ABHD10	3158.595	5096.758899999999
ABHD11	3866.9642	4414.349
ABHD12	3247.7999999999997	82914.47959999999
ABHD12B	0.0	3754.2924
ABHD13	1937.0002	161.11360000000002
ABHD14A	2818.739	1463.5015
ABHD14B	3708.911	1463.5015
ABHD15	5008.7357	7089.520399999999
ABHD2	3449.6000000000004	65523.6761
ABHD3	3670.716	6842.946800000001
ABHD4	6341.7256	18407.797000000002
ABHD5	3874.0	275.1134
ABHD6	1598.1003	1940.3569
ABHD8	1284.1192	7093.340499999998
ABI1	3481.275	7090.198199999999
ABI2	2604.0	1765.5831999999998
ABI3	0.0	5727.524399999999
ABL1	2648.0994	870.9657
ABL2	2454.375	9089.839
ABLIM1	2024.1710000000003	1559.2799
ABO	0.0	345.76480000000004
ABP1	0.0	8561.5978
ABR	5554.2	25121.5506
ABRA	0.0	846.5636999999999
ABT1	3153.6	20562.5609
ABTB1	3466.8426	10236.9602
ABTB2	657.4456	344.1273
ACAA1	4060.759	335.07980000000003
ACAA2	5814.796899999999	2878.3364
ACACA	6795.914900000001	2923.4514000000004
ACACB	0.0	9216.584299999999
ACAD10	1185.4572	39.0728
ACAD11	4484.3772	28957.570200000002
ACAD8	1503.684	2373.7654
ACAD9	6662.4	2091.2212
ACADL	0.0	3163.3826
ACADM	3323.3284	3105.4518
ACADS	423.2385	2522.921
ACADSB	2930.4996	24.6851
ACADVL	4032.7297	7368.738299999999
ACAN	0.0	2943.4374
ACAP1	0.0	2885.8669
ACAP2	3546.6000000000004	3559.7102000000004
ACAP3	2898.8684	840.3645
ACAT1	2135.4732000000004	1032.4539
ACAT2	2621.6617	30.857100000000003
ACBD3	3610.7999999999997	44030.2344
ACBD4	2817.9118	55029.644100000005
ACBD5	7516.378000000001	3379.2913
ACBD6	8676.8	1061.1928
ACBD7	0.0	1482.3435000000002
ACCN2	0.0	7962.4876
ACCN3	0.0	12766.234699999999
ACCN4	0.0	287.0578
ACCN5	0.0	8255.003499999999
ACCS	2061.3111999999996	0.0
ACCSL	0.0	0.0
ACD	3320.7784	11001.383800000001
ACE	0.0	63.4938
ACE2	0.0	194.5262
ACER1	0.0	1290.9555
ACER2	601.4883	784.5591999999999
ACER3	1783.5863000000002	6603.901199999999
ACHE	0.0	13.878699999999998
ACIN1	2500.6099999999997	5492.5915
ACLY	2131.0	7662.437899999999
ACMSD	0.0	145.34879999999998
ACN9	111.9904	926.406
ACO2	6984.0560000000005	15260.5475
ACOT1	0.0	0.0
