GENE_ID	locusLine	bin_1_MM12.jin.bam
NM_013943	chr1(.):25066759-25175815	0.2312
NM_032236	chr1(.):21999791-22114688	0.2477
NM_004437	chr1(.):29208602-29451558	0.1366
NM_001166006	chr1(.):29236087-29396733	0.0837
NM_005066	chr1(.):35644200-35663743	0.8736
NM_001006605	chr1(.):93302720-93432079	0.3055
NM_003820	chr1(.):2482804-2500267	0.4607
NM_015001	chr1(.):16169358-16271950	0.2193
NM_001013693	chr1(.):22133757-22156714	0.0942
NM_002379	chr1(.):31179123-31201432	0.4234
NR_034182	chr1(.):31186618-31204593	0.5339
NM_032017	chr1(.):36800224-36856485	0.5265
NM_002600	chr1(.):66253855-66845262	0.2254
NM_001037341	chr1(.):66253192-66845262	0.2252
NM_001037340	chr1(.):66453389-66845262	0.2521
NM_001134479	chr1(.):90281572-90406989	0.234
NM_018103	chr1(.):90282479-90406989	0.2339
NM_033055	chr1(.):100498788-100553929	0.3901
NM_017744	chr1(.):113061140-113167040	0.1894
NM_138729	chr1(.):113079412-113167040	0.2168
NM_015836	chr1(.):119568838-119688295	0.1569
NR_024510	chr1(.):144295511-144345773	0.3089
NR_024584	chr1(.):144295516-144346755	0.3034
NM_001002812	chr1(.):144885590-145000022	0.3069
NM_014644	chr1(.):144846426-145000022	0.2584
NM_001198834	chr1(.):144846423-145000033	0.2584
NM_001198832	chr1(.):144846423-145044992	0.2366
NM_207168	chr1(.):150594521-150607098	0.4354
NM_005572	chr1(.):156079460-156112657	0.4658
NM_001135050	chr1(.):159891828-159920386	0.4178
NM_014412	chr1(.):174963891-174986163	0.593
NM_001007214	chr1(.):174963570-174986163	0.5851
NM_145034	chr1(.):179804101-179851941	0.305
NM_001127394	chr1(.):184015810-184048344	0.5013
NM_017673	chr1(.):185121290-185265913	0.1588
NM_001105518	chr1(.):185121191-185265913	0.1587
NM_138795	chr1(.):202096976-202118866	0.3449
NM_001017403	chr1(.):202158117-202293889	0.0483
NM_021636	chr1(.):202167904-202293889	0.0489
NM_014935	chr1(.):204182980-204334044	0.0391
NM_201630	chr1(.):204581302-204659597	0.1395
NM_006338	chr1(.):204581302-204659481	0.1395
NM_032328	chr1(.):245128170-245256148	0.1925
NR_026588	chr1(.):245128630-245256148	0.1931
NR_026587	chr1(.):245128630-245293530	0.1596
NR_026586	chr1(.):245128283-245293530	0.1593
NM_032129	chr1(.):896876-915484	0.1788
NM_152486	chr1(.):856120-884961	0.5032
NM_198317	chr1(.):890966-906099	0.4682
NM_015658	chr1(.):874582-899679	0.7364
NR_026874	chr1(.):847952-859817	0.0474
NR_027693	chr1(.):905578-922473	0.0443
NM_080875	chr1(.):1545794-1570990	0.4755
NM_014188	chr1(.):1472052-1515262	0.4565
NM_001114748	chr1(.):1465157-1480740	0.0373
NM_001170689	chr1(.):1546244-1570990	0.4833
NM_002074	chr1(.):1711728-1827495	0.2347
NM_138705	chr1(.):1841265-1853733	0.1922
NM_178545	chr1(.):1844028-1855740	0.131
NM_001010926	chr1(.):2455183-2466684	0.585
NR_026927	chr1(.):2476358-2489284	1.5426
NM_018216	chr1(.):2434974-2463035	0.2627
NM_001195741	chr1(.):2513188-2527908	0.4739
NR_036638	chr1(.):2512898-2527908	0.4689
NM_177540	chr1(.):6610337-6644817	0.3515
NM_005341	chr1(.):6635062-6654340	0.3128
NM_014851	chr1(.):6645783-6667929	0.7042
NM_153812	chr1(.):6668755-6689093	0.5302
NM_024654	chr1(.):6576406-6619658	0.1808
NM_001195752	chr1(.):6680209-6698642	0.3231
NM_001195753	chr1(.):6679924-6698642	0.3203
NM_015866	chr1(.):14026349-14119574	0.3628
NM_001007257	chr1(.):14070875-14119574	0.1788
NM_001135610	chr1(.):14021734-14156574	0.2777
NM_001089591	chr1(.):16128656-16139194	0.0501
NR_024279	chr1(.):16155709-16179642	1.1109
NM_001032363	chr1(.):19918470-19961314	0.3671
NM_182744	chr1(.):19964725-19989945	0.0468
NM_005380	chr1(.):19965807-19989945	0.0448
NM_001032730	chr1(.):22049338-22114688	0.387
NR_026685	chr1(.):26432655-26457026	0.7295
NM_152835	chr1(.):26433267-26457026	0.7463
NM_032588	chr1(.):26372797-26399121	0.0442
NM_024869	chr1(.):26480510-26494119	0.0647
NM_002713	chr1(.):28152292-28183183	0.1877
NR_002997	chr1(.):28155911-28166077	0.4601
NM_001039477	chr1(.):28194054-28218193	1.0011
NM_002946	chr1(.):28213048-28246236	0.3299
NM_014280	chr1(.):28521789-28564542	0.1921
NM_016311	chr1(.):28557610-28569611	0.5402
NM_031459	chr1(.):28581005-28614002	0.2275
NM_006762	chr1(.):31200314-31235683	0.7958
NM_005202	chr1(.):36555843-36570850	0.0612
NM_018067	chr1(.):36616802-36651441	0.6812
NM_014408	chr1(.):36597172-36620067	0.5826
NM_032881	chr1(.):36854030-36868493	0.6539
NM_022756	chr1(.):37953175-37985364	0.1736
NM_025079	chr1(.):37935118-37954978	0.8584
NM_001005417	chr1(.):44441182-44461840	0.4105
NM_152499	chr1(.):44452279-44467198	0.2806
NM_006934	chr1(.):44457154-44487997	0.1147
