GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
NM_001006605	chr1(.):93302720-93432079	0.0708
NM_001010935	chr1(.):112157404-112261101	0.0652
NM_201569	chr1(.):183436505-183528328	0.1748
NM_003820	chr1(.):2482804-2500267	0.0853
NM_001113348	chr1(.):21538739-21677034	0.1058
NM_004091	chr1(.):23827921-23862713	0.137
NM_173065	chr1(.):24475646-24518751	0.1475
NM_002379	chr1(.):31179123-31201432	0.111
NR_034182	chr1(.):31186618-31204593	0.1014
NM_002600	chr1(.):66253855-66845262	0.109
NM_001037341	chr1(.):66253192-66845262	0.109
NM_001037340	chr1(.):66453389-66845262	0.1141
NM_001081976	chr1(.):112020969-112111597	0.058
NM_198459	chr1(.):115122195-115217732	0.0581
NM_153713	chr1(.):145472084-145504091	0.174
NM_207168	chr1(.):150594521-150607098	0.2094
NM_020699	chr1(.):153772202-153900451	0.1742
NM_020524	chr1(.):154911558-154933567	0.2789
NM_181359	chr1(.):154372668-154445188	0.188
NM_002249	chr1(.):154674914-154847754	0.1893
NM_170782	chr1(.):154674914-154837338	0.1886
NM_005572	chr1(.):156079460-156112657	0.1793
NM_005973	chr1(.):156732273-156775609	0.1682
NM_012394	chr1(.):161065345-161092866	0.1862
NM_015149	chr1(.):183600207-183902666	0.1778
NM_025191	chr1(.):184654624-184729041	0.1868
NM_144977	chr1(.):197516384-197749623	0.1671
NM_001195215	chr1(.):197468878-197749623	0.1652
NM_182663	chr1(.):206675878-206767616	0.1986
NM_002221	chr1(.):226814390-226931876	0.1762
NM_004481	chr1(.):230197955-230422875	0.1645
NM_001010926	chr1(.):2455183-2466684	0.0761
NR_026927	chr1(.):2476358-2489284	0.1321
NM_018216	chr1(.):2434974-2463035	0.0775
NM_001195741	chr1(.):2513188-2527908	0.0709
NR_036638	chr1(.):2512898-2527908	0.0718
NM_014675	chr1(.):17243444-17304474	0.1254
NM_001397	chr1(.):21538739-21621982	0.1059
NM_001113347	chr1(.):21538739-21611183	0.0986
NM_001113349	chr1(.):21538739-21621766	0.1058
NM_017707	chr1(.):23750055-23815750	0.1023
NM_002167	chr1(.):23879408-23891322	0.1717
NM_021258	chr1(.):24441260-24474611	0.1184
NR_027087	chr1(.):24521729-24543180	0.1459
NM_015627	chr1(.):25865075-25900377	0.1382
NM_006015	chr1(.):27017521-27113601	0.1423
NM_006762	chr1(.):31200314-31235683	0.1723
NM_022756	chr1(.):37953175-37985364	0.0984
NM_025079	chr1(.):37935118-37954978	0.1396
NM_001198979	chr1(.):40854016-40893998	0.1254
NM_001198978	chr1(.):40835304-40893998	0.1451
NM_001198980	chr1(.):40857471-40893998	0.1195
NM_022733	chr1(.):40834377-40893998	0.1441
NM_001037339	chr1(.):66792792-66845262	0.137
NM_001001933	chr1(.):75589118-75632218	0.1137
NM_006769	chr1(.):87789150-87819607	0.1292
NM_004974	chr1(.):111140775-111153345	0.063
NM_002232	chr1(.):111209309-111222655	0.0708
NR_034126	chr1(.):112136628-112155940	0.0887
NM_007158	chr1(.):115254536-115305624	0.0705
NM_002524	chr1(.):115242077-115264515	0.0773
NM_001172626	chr1(.):115210719-115243239	0.0717
NM_001130523	chr1(.):115254537-115305671	0.0704
NM_017709	chr1(.):118143603-118176011	0.1145
NM_032305	chr1(.):145451235-145475387	0.2266
NM_202004	chr1(.):145408190-145422545	0.1641
NM_006472	chr1(.):145433461-145447628	0.2623
NM_001039888	chr1(.):145465507-145480647	0.2177
NM_005105	chr1(.):145502637-145516444	0.212
NM_001161334	chr1(.):149749244-149788928	0.1633
NM_001034077	chr1(.):149799220-149809616	0.2078
NM_001005464	chr1(.):149807258-149817765	0.2231
