#U266 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266.H3K27ac_ROSE/U266_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266.jin.bam
#Using cutoff of 17655.7392 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isStretch
6_MACS_peak_1568_lociStitched	chr1	118147873	118190056	6	41011	131771.2554	1	1
4_MACS_peak_29448_lociStitched	chr7	132184026	132224590	4	40192	173536.8484	2	1
3_MACS_peak_16715_lociStitched	chr2	37567299	37607793	3	40107	231864.5946	3	1
4_MACS_peak_17615_lociStitched	chr2	112180811	112215209	4	34021	145988.5518	4	1
3_MACS_peak_9449_lociStitched	chr14	106025035	106058286	3	33183	142350.8561	5	1
2_MACS_peak_17324_lociStitched	chr2	87793330	87826565	2	32889	137240.609	6	1
7_MACS_peak_9178_lociStitched	chr14	91826629	91858856	7	31226	122762.3111	7	1
6_MACS_peak_12692_lociStitched	chr17	32688737	32719584	6	29985	106514.691	8	1
5_MACS_peak_30895_lociStitched	chr8	126292172	126322741	5	29961	87433.4538	9	1
3_MACS_peak_1574_lociStitched	chr1	118190947	118220181	3	29084	170685.6324	10	1
3_MACS_peak_9984_lociStitched	chr15	60825007	60853071	3	27765	111402.8544	11	1
2_MACS_peak_22303_lociStitched	chr3	141085045	141112727	2	27379	103525.1436	12	1
2_MACS_peak_26187_lociStitched	chr6	7892227	7919342	2	27020	107337.439	13	1
3_MACS_peak_19139_lociStitched	chr20	30284861	30312201	3	26979	87129.846	14	1
3_MACS_peak_9989_lociStitched	chr15	60858836	60885598	3	26618	144461.276	15	1
6_MACS_peak_3041_lociStitched	chr1	233787018	233814119	6	26325	121645.5486	16	1
1_MACS_peak_17322_lociStitched	chr2	87764977	87790640	1	25664	117634.0594	17	1
2_MACS_peak_17619_lociStitched	chr2	112216719	112242135	2	25392	110707.0128	18	1
2_MACS_peak_5393_lociStitched	chr11	65253849	65278517	2	24661	122804.7044	19	1
1_MACS_peak_1973_lociStitched	chr1	156455347	156479623	1	24277	139511.7444	20	1
1_MACS_peak_16714_lociStitched	chr2	37529810	37553331	1	23522	83118.5098	21	1
4_MACS_peak_8421_lociStitched	chr14	23016992	23040369	4	23226	106987.1782	22	1
2_MACS_peak_22782_lociStitched	chr3	192595911	192619134	2	23161	136964.6094	23	1
3_MACS_peak_25907_lociStitched	chr5	173309634	173333006	3	22906	56027.3584	24	1
1_MACS_peak_16461_lociStitched	chr2	20404077	20426320	1	22244	96281.0498	25	1
3_MACS_peak_20341_lociStitched	chr22	23265960	23287945	3	21722	126723.7385	26	1
4_MACS_peak_5909_lociStitched	chr11	115051338	115073229	4	21448	57277.8015	27	1
1_MACS_peak_1879_lociStitched	chr1	154373632	154395058	1	21427	119529.2262	28	1
1_MACS_peak_5384_lociStitched	chr11	65183643	65204430	1	20788	107156.985	29	1
5_MACS_peak_1790_lociStitched	chr1	150532312	150553319	5	20522	78700.6248	30	1
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	4	20459	52650.7974	31	1
7_MACS_peak_21130_lociStitched	chr3	13330066	13351294	7	20428	57788.9844	32	1
3_MACS_peak_14017_lociStitched	chr18	20804997	20825367	3	20292	88513.761	33	1
3_MACS_peak_20668_lociStitched	chr22	38653489	38673829	3	20244	76765.194	34	1
1_MACS_peak_22716_lociStitched	chr3	186702745	186722926	1	20182	122115.231	35	1
2_MACS_peak_9455_lociStitched	chr14	106156362	106176078	2	19690	75269.7732	36	1
4_MACS_peak_14405_lociStitched	chr18	72192582	72212505	4	19564	83278.14	37	1
4_MACS_peak_20335_lociStitched	chr22	23229466	23249580	4	19490	58139.517	38	1
1_MACS_peak_13286_lociStitched	chr17	56404824	56423955	1	19132	141433.5699	39	1
3_MACS_peak_11911_lociStitched	chr16	81839687	81858684	3	18966	83037.7867	40	1
2_MACS_peak_22551_lociStitched	chr3	171809589	171828706	2	18823	109001.3106	41	1
2_MACS_peak_28655_lociStitched	chr7	55574139	55593043	2	18546	81440.3224	42	1
2_MACS_peak_9090_lociStitched	chr14	81935530	81953943	2	18289	54174.7286	43	1
