REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_16715_lociStitched	chr2	37567299	37607793	3	40107	231864.5946	1	1	QPCT	PRKD3	QPCT	QPCT	5.8314	1	1
4_MACS_peak_29448_lociStitched	chr7	132184026	132224590	4	40192	173536.8484	2	1	PLXNA4		PLXNA4	PLXNA4	0.8094	2	1
3_MACS_peak_1574_lociStitched	chr1	118190947	118220181	3	29084	170685.6324	3	1		FAM46C	FAM46C	FAM46C	2.7045	3	1
4_MACS_peak_17615_lociStitched	chr2	112180811	112215209	4	34021	145988.5518	4	1	LOC541471		LOC541471	LOC541471	2.1904	4	1
3_MACS_peak_9989_lociStitched	chr15	60858836	60885598	3	26618	144461.276	5	1	RORA		RORA	RORA	1.8475	5	1
3_MACS_peak_9449_lociStitched	chr14	106025035	106058286	3	33183	142350.8561	6	1		TMEM121	TMEM121	TMEM121	0.1436	6	1
1_MACS_peak_13286_lociStitched	chr17	56404824	56423955	1	19132	141433.5699	7	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	5.7277	7	1
1_MACS_peak_1973_lociStitched	chr1	156455347	156479623	1	24277	139511.7444	8	1	MEF2D		MEF2D	MEF2D	2.8301	8	1
2_MACS_peak_17324_lociStitched	chr2	87793330	87826565	2	32889	137240.609	9	1	NCRNA00152		NCRNA00152	NCRNA00152	3.7422	9	1
2_MACS_peak_22782_lociStitched	chr3	192595911	192619134	2	23161	136964.6094	10	1	C3orf59		C3orf59	C3orf59	1.6132	10	1
6_MACS_peak_1568_lociStitched	chr1	118147873	118190056	6	41011	131771.2554	11	1	FAM46C		FAM46C	FAM46C	2.7045	11	1
3_MACS_peak_20341_lociStitched	chr22	23265960	23287945	3	21722	126723.7385	12	1		IGLL5	IGLL5	IGLL5	2.164	12	1
2_MACS_peak_5393_lociStitched	chr11	65253849	65278517	2	24661	122804.7044	13	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	5.2948	13	1
7_MACS_peak_9178_lociStitched	chr14	91826629	91858856	7	31226	122762.3111	14	1	CCDC88C		CCDC88C	CCDC88C	1.4847	14	1
1_MACS_peak_22716_lociStitched	chr3	186702745	186722926	1	20182	122115.231	15	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.4164	15	1
6_MACS_peak_3041_lociStitched	chr1	233787018	233814119	6	26325	121645.5486	16	1	KCNK1		KCNK1	KCNK1	3.3278	16	1
1_MACS_peak_1879_lociStitched	chr1	154373632	154395058	1	21427	119529.2262	17	1	IL6R		IL6R	IL6R	1.8035	17	1
1_MACS_peak_17322_lociStitched	chr2	87764977	87790640	1	25664	117634.0594	18	1	NCRNA00152		NCRNA00152	NCRNA00152	3.7422	18	1
3_MACS_peak_9984_lociStitched	chr15	60825007	60853071	3	27765	111402.8544	19	1	RORA		RORA	RORA	1.8475	19	1
2_MACS_peak_17619_lociStitched	chr2	112216719	112242135	2	25392	110707.0128	20	1	LOC541471		LOC541471	LOC541471	2.1904	20	1
2_MACS_peak_22551_lociStitched	chr3	171809589	171828706	2	18823	109001.3106	21	1	FNDC3B		FNDC3B	FNDC3B	0.6686	21	1
2_MACS_peak_26187_lociStitched	chr6	7892227	7919342	2	27020	107337.439	22	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.5344	22	1
1_MACS_peak_5384_lociStitched	chr11	65183643	65204430	1	20788	107156.985	23	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	6.5435	23	1
4_MACS_peak_8421_lociStitched	chr14	23016992	23040369	4	23226	106987.1782	24	1	DAD1	ABHD4	DAD1	DAD1	1.6154	24	1
6_MACS_peak_12692_lociStitched	chr17	32688737	32719584	6	29985	106514.691	25	1	CCL1	CCL8,CCL13	CCL1	CCL1	1.0029	25	1
2_MACS_peak_22303_lociStitched	chr3	141085045	141112727	2	27379	103525.1436	26	1	ZBTB38		ZBTB38	ZBTB38	1.2778	26	1
1_MACS_peak_16461_lociStitched	chr2	20404077	20426320	1	22244	96281.0498	27	1	SDC1		SDC1	SDC1	2.9294	27	1
3_MACS_peak_3061_lociStitched	chr1	234733422	234749520	3	15841	91472.0556	28	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.5979	28	1
1_MACS_peak_2275_lociStitched	chr1	178541563	178552901	1	11339	90961.3726	29	1		C1orf220	C1orf220	C1orf220	0.5261	29	1
2_MACS_peak_18367_lociStitched	chr2	201979436	201996018	2	16447	89043.6818	30	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6517	30	1
2_MACS_peak_16404_lociStitched	chr2	11883191	11898295	2	15041	88790.3744	31	1	LPIN1		LPIN1	LPIN1	1.1293	31	1
3_MACS_peak_14017_lociStitched	chr18	20804997	20825367	3	20292	88513.761	32	1	CABLES1		CABLES1	CABLES1	1.2453	32	1
2_MACS_peak_28313_lociStitched	chr7	25985077	25995309	2	10162	87997.2464	33	1	MIR148A		MIR148A	MIR148A	8.6296	33	1
