REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
26_MACS_peak_13202_lociStitched	chr17	77078190	77297617	26	213357	328262.792	19616.7738	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	1	1
18_MACS_peak_13475_lociStitched	chr17	79316467	79474262	18	153825	265758.339	14438.2425	2	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	2	1
20_MACS_peak_1357_lociStitched	chr1	10755015	10903301	20	144626	214466.0418	13568.169	3	CASZ1		CASZ1	3	1
26_MACS_peak_13235_lociStitched	chr17	77344718	77493399	26	141081	183442.6178	14005.7502	4	RBFOX3		RBFOX3	4	1
15_MACS_peak_13843_lociStitched	chr19	1668836	1813165	15	139952	299424.9434	21606.0513	5	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	5	1
24_MACS_peak_12359_lociStitched	chr17	47938377	48078691	24	136057	208282.1016	15167.9434	6	DLX4,DLX3	TAC4	DLX4	6	1
15_MACS_peak_9370_lociStitched	chr16	1204113	1342062	15	135412	245825.118	11946.3834	7	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	7	1
21_MACS_peak_14085_lociStitched	chr19	3773047	3910688	21	133759	207135.9409	18595.2991	8	ATCAY,MATK,ZFR2	TJP3,MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	8	1
33_MACS_peak_10921_lociStitched	chr17	724900	854477	33	121832	142042.3074	11843.3378	9	NXN	RNMTL1,TIMM22,GLOD4	NXN	9	1
32_MACS_peak_121_lociStitched	chr1	1914569	2044272	32	120480	150792.7078	11063.6659	10	GABRD,PRKCZ,KIAA1751		PRKCZ	10	1
10_MACS_peak_13786_lociStitched	chr19	681112	794294	10	111072	209499.882	15743.6162	11	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	11	1
16_MACS_peak_28528_lociStitched	chr9	132406572	132520085	16	110687	153299.3065	11374.0026	12	PRRX2,PTGES	METTL11A,TOR1B,C9orf50,ASB6	PRRX2	12	1
17_MACS_peak_19756_lociStitched	chr20	61313047	61424092	17	105675	181203.231	11459.844	13	NTSR1	SLCO4A1,C20orf20,OGFR,COL9A3,LOC100127888	NTSR1	13	1
30_MACS_peak_5388_lociStitched	chr11	1587788	1700995	30	104840	150203.0476	12486.7321	14	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,FAM99B	KRTAP5-4	14	1
25_MACS_peak_332_lociStitched	chr1	2974009	3083990	25	104477	129678.5971	7302.7384	15	PRDM16,MIR4251,FLJ42875	ACTRT2	MIR4251	15	1
15_MACS_peak_14045_lociStitched	chr19	3327187	3434806	15	104147	147384.2205	13333.9941	16	NFIC	C19orf77	NFIC	16	1
5_MACS_peak_13458_lociStitched	chr17	78991634	79095259	5	102346	215788.7	10310.6875	17	BAIAP2,FLJ90757,AATK	CHMP6,MIR3065,LOC388428,MIR657,MIR338,MIR1250	BAIAP2	17	1
12_MACS_peak_28765_lociStitched	chr9	135021003	135116571	12	93647	134483.2896	9757.4928	18	NTNG2		NTNG2	18	1
13_MACS_peak_20152_lociStitched	chr21	44049691	44146484	13	92409	151180.9867	13589.7372	19	PDE9A		PDE9A	19	1
13_MACS_peak_5507_lociStitched	chr11	2148625	2241889	13	90596	138720.8736	7367.856	20	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	20	1
7_MACS_peak_19740_lociStitched	chr20	60984630	61072552	7	86927	172142.4838	8229.4992	21	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	21	1
5_MACS_peak_20400_lociStitched	chr21	46709100	46794456	5	84243	167972.0724	11693.772	22	LOC642852	COL18A1,POFUT2	LOC642852	22	1
10_MACS_peak_22010_lociStitched	chr22	46289839	46374830	10	83638	129934.2408	7130.7449	23	WNT7B	LOC730668	WNT7B	23	1
4_MACS_peak_422_lociStitched	chr1	3404590	3488387	4	83315	146091.6898	6619.963	24	MEGF6,MIR551A	ARHGEF16	MIR551A	24	1
22_MACS_peak_7311_lociStitched	chr12	3319850	3409034	22	82704	96283.0464	8436.8064	25	TSPAN9		TSPAN9	25	1
1_MACS_peak_5487_lociStitched	chr11	1981897	2063462	1	81566	170005.9295	7406.102	26	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	26	1
9_MACS_peak_20165_lociStitched	chr21	44147863	44231074	9	81513	144787.14	11200.2006	27	PDE9A		WDR4	27	1
13_MACS_peak_28694_lociStitched	chr9	133834660	133917317	13	79452	118149.9158	8249.1686	28	LAMC3	FIBCD1	LAMC3	28	1
18_MACS_peak_20347_lociStitched	chr21	46404154	46485827	18	77935	146733.7118	11001.3531	29	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	29	1
8_MACS_peak_14138_lociStitched	chr19	4544607	4624094	8	77808	143195.8305	11970.7422	30	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	30	1
10_MACS_peak_21296_lociStitched	chr22	37771359	37846228	10	72251	107100.1045	7636.638	31	ELFN2	MFNG	ELFN2	31	1
3_MACS_peak_19750_lociStitched	chr20	61141386	61213339	3	71345	130609.0856	6720.4102	32	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	32	1
15_MACS_peak_11020_lociStitched	chr17	1827180	1900931	15	70660	99563.85	7212.8478	33	RTN4RL1	DPH1,OVCA2	RTN4RL1	33	1
11_MACS_peak_20591_lociStitched	chr22	19690071	19764328	11	70517	120504.2596	6683.13	34	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	34	1
18_MACS_peak_23816_lociStitched	chr4	8584095	8658901	18	70079	83707.914	5879.7516	35	GPR78,CPZ		CPZ	35	1
17_MACS_peak_1377_lociStitched	chr1	10906839	10981592	17	69758	91198.66	7639.7566	36			CASZ1	36	1
16_MACS_peak_15503_lociStitched	chr19	18059409	18132160	16	69552	101233.0165	7755.2566	37	KCNN1,ARRDC2	CCDC124	ARRDC2	37	1
8_MACS_peak_7705_lociStitched	chr12	54342241	54411939	8	68782	114688.059	7130.1054	38	HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC13,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	38	1
9_MACS_peak_361_lociStitched	chr1	3099178	3169546	9	68431	89909.1936	5270.5632	39	PRDM16		MIR4251	39	1
8_MACS_peak_24855_lociStitched	chr6	31990045	32060964	8	67880	127994.6112	8198.2364	40	C4B,C4A,CYP21A2,TNXB	STK19,TNXA,ATF6B,FKBPL	STK19	40	1
20_MACS_peak_22686_lociStitched	chr3	50445102	50517029	20	67442	74214.2786	7005.6898	41	CACNA2D2	TMEM115	CACNA2D2	41	1
13_MACS_peak_29481_lociStitched	chr9	138853493	138924745	13	67378	92093.21	5928.1664	42	NACC2	UBAC1	UBAC1	42	1
19_MACS_peak_5440_lociStitched	chr11	1787290	1859175	19	66966	97785.1655	7325.0815	43	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	43	1
8_MACS_peak_19946_lociStitched	chr20	62812899	62881539	8	66234	92664	7035.6	44	MYT1	PCMTD2	PCMTD2	44	1
13_MACS_peak_28566_lociStitched	chr9	132915928	132983405	13	65535	87720.1	6214.6317	45	NCS1		NCS1	45	1
11_MACS_peak_27464_lociStitched	chr8	141992138	142059706	11	63963	101291.1888	8500.0544	46	PTK2		PTK2	46	1
8_MACS_peak_13830_lociStitched	chr19	1483963	1549435	8	63802	125202.1056	10017.216	47	REEP6,PLK5P,PCSK4,ADAMTSL5	RPS15,APC2,C19orf25,MEX3D,MBD3	ADAMTSL5	47	1
7_MACS_peak_16901_lociStitched	chr19	48406261	48472636	7	63778	131535.3375	22647.15	48	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	48	1
6_MACS_peak_10973_lociStitched	chr17	1041507	1106148	6	63320	100736.5344	6903.6588	49	ABR	ABR	ABR	49	1
11_MACS_peak_14313_lociStitched	chr19	5827917	5891785	11	62669	82006.512	8756.3028	50	NRTN,FUT6,FUT3,FUT5,NDUFA11	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	50	1
6_MACS_peak_23911_lociStitched	chr4	9211638	9274657	6	62555	176226.3316	20216.4952	51	USP17		USP17	51	1
15_MACS_peak_6418_lociStitched	chr11	69968715	70035047	15	62542	72607.0072	5492.2896	52	ANO1	FADD	FADD	52	1
11_MACS_peak_194_lociStitched	chr1	2346642	2411017	11	62527	97901.5	5188.625	53	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	53	1
6_MACS_peak_20412_lociStitched	chr21	46857693	46920056	6	61882	119294.1827	8057.2996	54	COL18A1	NCRNA00175,SLC19A1	COL18A1	54	1
12_MACS_peak_47_lociStitched	chr1	950122	1016488	12	61660	104466.7206	5793.7518	55	AGRN	PLEKHN1,ISG15,C1orf170,HES4,C1orf159	AGRN	55	1
2_MACS_peak_13818_lociStitched	chr19	1282689	1344652	2	61600	160589.5071	8650.0348	56	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	56	1
16_MACS_peak_396_lociStitched	chr1	3297052	3361614	16	61210	79630.7708	4809.869	57	PRDM16	ARHGEF16	ARHGEF16	57	1
15_MACS_peak_29494_lociStitched	chr9	138934254	138999556	15	61135	88072.8074	4780.1064	58	NACC2	C9orf69	NACC2	58	1
19_MACS_peak_5969_lociStitched	chr11	64388210	64455759	19	60668	72763.7828	6802.1843	59	NRXN2	SLC22A12	NRXN2	59	1
7_MACS_peak_26209_lociStitched	chr7	149469969	149532282	7	60199	138447.0234	9284.637	60	SSPO,ZNF467	ZNF862,ATP6V0E2,LOC401431	SSPO	60	1
8_MACS_peak_12409_lociStitched	chr17	48651884	48713634	8	59952	92075.425	6866.6	61	CACNA1G,ABCC3	EPN3,SPATA20	ABCC3	61	1
12_MACS_peak_12979_lociStitched	chr17	74869731	74931643	12	59324	81042.808	6414.0832	62	MGAT5B		MGAT5B	62	1
3_MACS_peak_20344_lociStitched	chr21	46300194	46359700	3	59221	145313.652	8390.346	63	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	63	1
8_MACS_peak_23092_lociStitched	chr4	1748158	1809258	8	58528	118216.28	5193.5	64	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	64	1
17_MACS_peak_23184_lociStitched	chr4	3701021	3762908	17	58084	65983.9194	4635.3363	65		ADRA2C,LOC100133461	ADRA2C	65	1
10_MACS_peak_8011_lociStitched	chr13	113606365	113665749	10	57972	79794.2808	5398.0056	66	MCF2L,LOC100289410		MCF2L	66	1
7_MACS_peak_3783_lociStitched	chr1	156826074	156885641	7	57924	102878.1657	10477.8353	67	NTRK1,PEAR1,INSRR	C1orf92,SH2D2A,MIR765	PEAR1	67	1
6_MACS_peak_14118_lociStitched	chr19	4183517	4242220	6	57568	87314.8422	9386.6097	68	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	68	1
5_MACS_peak_19855_lociStitched	chr20	62064545	62123152	5	57294	91450.3628	4629.953	69	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	69	1
12_MACS_peak_9358_lociStitched	chr16	1144022	1202099	12	57268	101053.98	4373.1981	70	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	70	1
7_MACS_peak_850_lociStitched	chr1	6471225	6530345	7	57200	111937.808	6024.328	71	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	71	1
9_MACS_peak_5825_lociStitched	chr11	61441463	61499348	9	57157	78167.904	5394.882	72	DAGLA	C11orf9,DKFZP434K028	DAGLA	72	1
6_MACS_peak_21290_lociStitched	chr22	37711290	37768794	6	56622	83743.0752	6066.672	73	CYTH4,ELFN2		CYTH4	73	1
8_MACS_peak_5776_lociStitched	chr11	61272259	61329637	8	56186	74568.4488	5456.6478	74	LRRC10B,SYT7	C11orf66	LRRC10B	74	1
11_MACS_peak_28987_lociStitched	chr9	136369178	136428654	11	55978	83076.0768	4871.0844	75	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	75	1
7_MACS_peak_28684_lociStitched	chr9	133769635	133826128	7	55430	94298.1156	5327.2899	76	FIBCD1	QRFP	FIBCD1	76	1
2_MACS_peak_1676_lociStitched	chr1	17011887	17067346	2	55377	155867.5195	15733.7183	77	ESPNP	MST1P2,MST1P9	ESPNP	77	1
4_MACS_peak_19787_lociStitched	chr20	61584641	61640735	4	55234	91304.2038	5844.9948	78	SLC17A9,LOC63930,BHLHE23	C20orf11,LOC100144597,DIDO1,NCRNA00029	BHLHE23	78	1
6_MACS_peak_21263_lociStitched	chr22	37457708	37514341	6	55177	81160.7523	6291.9263	79	KCTD17,TMPRSS6	MPST,TST,IL2RB	TMPRSS6	79	1
8_MACS_peak_17062_lociStitched	chr19	49520930	49577893	8	55176	77532.3393	6003.9002	80	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	80	1
11_MACS_peak_21415_lociStitched	chr22	40049421	40108068	11	54765	71766.3339	5594.9238	81	CACNA1I		CACNA1I	81	1
7_MACS_peak_1350_lociStitched	chr1	10696298	10753572	7	54752	97417.3466	5148.9326	82	CASZ1		CASZ1	82	1
16_MACS_peak_2150_lociStitched	chr1	18995594	19055203	16	54746	59400.3685	5424.419	83	PAX7		PAX7	83	1
5_MACS_peak_29548_lociStitched	chr9	139560563	139615278	5	53993	104073.4015	4995.4795	84	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	AGPAT2	84	1
10_MACS_peak_9348_lociStitched	chr16	1084728	1141163	10	53952	77970.596	4339.8515	85	SSTR5,LOC146336,C1QTNF8		SSTR5	85	1
19_MACS_peak_1703_lociStitched	chr1	17408654	17465577	19	53474	64710.0664	5367.8389	86	PADI2	SDHB	PADI2	86	1
13_MACS_peak_2516_lociStitched	chr1	22555361	22612959	13	53369	65356.4506	5828.9176	87			WNT4	87	1
8_MACS_peak_27494_lociStitched	chr8	142358575	142413609	8	52571	72584.3426	5118.162	88	GPR20	LOC731779,PTP4A3	GPR20	88	1
13_MACS_peak_15026_lociStitched	chr19	14268957	14323235	13	51945	59173.8756	5444.0834	89	LPHN1	PRKACA,ASF1B	LPHN1	89	1
12_MACS_peak_13370_lociStitched	chr17	77941717	77995021	12	51594	70638.4608	5101.1928	90	TBC1D16	CCDC40	TBC1D16	90	1
19_MACS_peak_29339_lociStitched	chr9	138129780	138185207	19	51320	56890.2728	4589.3556	91			OLFM1	91	1
11_MACS_peak_1825_lociStitched	chr1	17883990	17937314	11	51067	55648.9264	4383.2328	92	ARHGEF10L		ARHGEF10L	92	1
8_MACS_peak_12785_lociStitched	chr17	72333622	72386023	8	50962	59443.6944	4590.3276	93	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	93	1
3_MACS_peak_19830_lociStitched	chr20	61850304	61901276	3	50935	93732.4108	5107.3944	94	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	94	1
9_MACS_peak_12338_lociStitched	chr17	47555078	47607221	9	50209	70799.7654	5986.0164	95	NGFR	NXPH3	NGFR	95	1
3_MACS_peak_187_lociStitched	chr1	2244608	2295099	3	50161	95215.9278	4069.5746	96	MORN1,LOC100129534	RER1,PEX10	LOC100129534	96	1
9_MACS_peak_20625_lociStitched	chr22	20246521	20298792	9	49487	68349.5596	4740.9797	97	RTN4R	MIR1286,DGCR6L	RTN4R	97	1
16_MACS_peak_25464_lociStitched	chr7	2656465	2711159	16	49123	69630.9314	4862.2966	98	TTYH3	AMZ1	TTYH3	98	1
17_MACS_peak_2664_lociStitched	chr1	23160854	23214199	17	48787	54363.8895	5291.824	99	EPHB2,MIR4253		MIR4253	99	1
15_MACS_peak_24483_lociStitched	chr5	176117985	176172342	15	48728	58433.775	4995.4083	100		TSPAN17	TSPAN17	100	1
11_MACS_peak_15942_lociStitched	chr19	35977531	36028558	11	48692	58584.0987	4816.9488	101	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	101	1
10_MACS_peak_1627_lociStitched	chr1	16431151	16482918	10	48611	68953.644	4819.5077	102	EPHA2	FAM131C	EPHA2	102	1
13_MACS_peak_14831_lociStitched	chr19	11360525	11412768	13	48606	57294.8981	5814.6459	103	TSPAN16,DOCK6	LOC55908,CCDC159,RAB3D,TMEM205	DOCK6	103	1
