REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
26_MACS_peak_13202_lociStitched	chr17	77078190	77297617	26	213357	328262.792	19616.7738	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	1	1
15_MACS_peak_13843_lociStitched	chr19	1668836	1813165	15	139952	299424.9434	21606.0513	2	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	2	1
18_MACS_peak_13475_lociStitched	chr17	79316467	79474262	18	153825	265758.339	14438.2425	3	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	3	1
15_MACS_peak_9370_lociStitched	chr16	1204113	1342062	15	135412	245825.118	11946.3834	4	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	4	1
20_MACS_peak_1357_lociStitched	chr1	10755015	10903301	20	144626	214466.0418	13568.169	5	CASZ1		CASZ1	5	1
24_MACS_peak_12359_lociStitched	chr17	47938377	48078691	24	136057	208282.1016	15167.9434	6	DLX4,DLX3	TAC4	DLX4	6	1
21_MACS_peak_14085_lociStitched	chr19	3773047	3910688	21	133759	207135.9409	18595.2991	7	ATCAY,MATK,ZFR2	TJP3,MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	7	1
26_MACS_peak_13235_lociStitched	chr17	77344718	77493399	26	141081	183442.6178	14005.7502	8	RBFOX3		RBFOX3	8	1
5_MACS_peak_13458_lociStitched	chr17	78991634	79095259	5	102346	215788.7	10310.6875	9	BAIAP2,FLJ90757,AATK	CHMP6,MIR3065,LOC388428,MIR657,MIR338,MIR1250	BAIAP2	9	1
10_MACS_peak_13786_lociStitched	chr19	681112	794294	10	111072	209499.882	15743.6162	10	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	10	1
17_MACS_peak_19756_lociStitched	chr20	61313047	61424092	17	105675	181203.231	11459.844	11	NTSR1	SLCO4A1,C20orf20,OGFR,COL9A3,LOC100127888	NTSR1	11	1
32_MACS_peak_121_lociStitched	chr1	1914569	2044272	32	120480	150792.7078	11063.6659	12	GABRD,PRKCZ,KIAA1751		PRKCZ	12	1
33_MACS_peak_10921_lociStitched	chr17	724900	854477	33	121832	142042.3074	11843.3378	13	NXN	RNMTL1,TIMM22,GLOD4	NXN	13	1
16_MACS_peak_28528_lociStitched	chr9	132406572	132520085	16	110687	153299.3065	11374.0026	14	PRRX2,PTGES	METTL11A,TOR1B,C9orf50,ASB6	PRRX2	14	1
7_MACS_peak_19740_lociStitched	chr20	60984630	61072552	7	86927	172142.4838	8229.4992	15	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	15	1
30_MACS_peak_5388_lociStitched	chr11	1587788	1700995	30	104840	150203.0476	12486.7321	16	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,FAM99B	KRTAP5-4	16	1
15_MACS_peak_14045_lociStitched	chr19	3327187	3434806	15	104147	147384.2205	13333.9941	17	NFIC	C19orf77	NFIC	17	1
1_MACS_peak_5487_lociStitched	chr11	1981897	2063462	1	81566	170005.9295	7406.102	18	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	18	1
5_MACS_peak_20400_lociStitched	chr21	46709100	46794456	5	84243	167972.0724	11693.772	19	LOC642852	COL18A1,POFUT2	LOC642852	19	1
25_MACS_peak_332_lociStitched	chr1	2974009	3083990	25	104477	129678.5971	7302.7384	20	PRDM16,MIR4251,FLJ42875	ACTRT2	MIR4251	20	1
13_MACS_peak_20152_lociStitched	chr21	44049691	44146484	13	92409	151180.9867	13589.7372	21	PDE9A		PDE9A	21	1
13_MACS_peak_5507_lociStitched	chr11	2148625	2241889	13	90596	138720.8736	7367.856	22	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	22	1
