GENE_ID	locusLine	bin_1_18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37.bam
NM_001006605	chr1(.):93302720-93432079	0.3804
NM_001010935	chr1(.):112157404-112261101	0.1233
NM_201569	chr1(.):183436505-183528328	0.4611
NM_003820	chr1(.):2482804-2500267	0.7672
NM_001113348	chr1(.):21538739-21677034	0.3262
NM_004091	chr1(.):23827921-23862713	2.1881
NM_173065	chr1(.):24475646-24518751	2.5046
NM_002379	chr1(.):31179123-31201432	0.1642
NR_034182	chr1(.):31186618-31204593	0.1992
NM_002600	chr1(.):66253855-66845262	0.18
NM_001037341	chr1(.):66253192-66845262	0.1798
NM_001037340	chr1(.):66453389-66845262	0.2455
NM_001081976	chr1(.):112020969-112111597	0.141
NM_198459	chr1(.):115122195-115217732	0.1228
NM_153713	chr1(.):145472084-145504091	0.2167
NM_207168	chr1(.):150594521-150607098	1.1669
NM_020699	chr1(.):153772202-153900451	0.2075
NM_020524	chr1(.):154911558-154933567	4.1469
NM_181359	chr1(.):154372668-154445188	1.584
NM_002249	chr1(.):154674914-154847754	0.6744
NM_170782	chr1(.):154674914-154837338	0.7041
NM_005572	chr1(.):156079460-156112657	0.3347
NM_005973	chr1(.):156732273-156775609	0.4377
NM_012394	chr1(.):161065345-161092866	0.4584
NM_015149	chr1(.):183600207-183902666	0.6832
NM_025191	chr1(.):184654624-184729041	0.5045
NM_144977	chr1(.):197516384-197749623	0.3491
NM_001195215	chr1(.):197468878-197749623	0.3031
NM_182663	chr1(.):206675878-206767616	0.8914
NM_006147	chr1(.):209956261-209984479	0.322
NM_002221	chr1(.):226814390-226931876	1.0106
NM_001010926	chr1(.):2455183-2466684	0.2401
NR_026927	chr1(.):2476358-2489284	2.2388
NM_018216	chr1(.):2434974-2463035	0.1236
NM_001195741	chr1(.):2513188-2527908	0.3369
NR_036638	chr1(.):2512898-2527908	0.3315
NM_014675	chr1(.):17243444-17304474	0.1366
NM_001397	chr1(.):21538739-21621982	0.4265
NM_001113347	chr1(.):21538739-21611183	0.069
NM_001113349	chr1(.):21538739-21621766	0.4221
NM_017707	chr1(.):23750055-23815750	0.0617
NM_002167	chr1(.):23879408-23891322	0.5365
NM_021258	chr1(.):24441260-24474611	0.1281
NR_027087	chr1(.):24521729-24543180	1.088
NM_015627	chr1(.):25865075-25900377	1.1237
NM_006015	chr1(.):27017521-27113601	0.79
NM_006762	chr1(.):31200314-31235683	3.7589
NM_022756	chr1(.):37953175-37985364	0.1806
NM_025079	chr1(.):37935118-37954978	1.7491
NM_001198979	chr1(.):40854016-40893998	0.2062
NM_001198978	chr1(.):40835304-40893998	0.7433
NM_001198980	chr1(.):40857471-40893998	0.1013
NM_022733	chr1(.):40834377-40893998	0.7328
NM_006004	chr1(.):46764379-46787447	0.777
NM_006369	chr1(.):46739071-46774038	0.5386
NM_199044	chr1(.):46801389-46835690	0.2767
NM_001037339	chr1(.):66792792-66845262	0.6068
NM_001001933	chr1(.):75589118-75632218	1.1792
NM_006769	chr1(.):87789150-87819607	1.0333
NM_004974	chr1(.):111140775-111153345	0.0543
NM_002232	chr1(.):111209309-111222655	1.1336
NR_034126	chr1(.):112136628-112155940	1.3697
NM_007158	chr1(.):115254536-115305624	0.2817
NM_002524	chr1(.):115242077-115264515	0.8697
NM_001172626	chr1(.):115210719-115243239	0.7292
NM_001130523	chr1(.):115254537-115305671	0.2815
NM_017709	chr1(.):118143603-118176011	3.7603
NM_032305	chr1(.):145451235-145475387	2.7053
NM_202004	chr1(.):145408190-145422545	0.1009
NM_006472	chr1(.):145433461-145447628	3.2556
NM_001039888	chr1(.):145465507-145480647	0.4205
NM_005105	chr1(.):145502637-145516444	1.5039
NM_001161334	chr1(.):149749244-149788928	0.4981
NM_001034077	chr1(.):149799220-149809616	1.493
NM_001005464	chr1(.):149807258-149817765	4.2876
NM_001040874	chr1(.):149808784-149819318	4.2791
NM_001123375	chr1(.):149779779-149790236	1.3941
NM_000566	chr1(.):149749249-149769074	0.234
NM_016074	chr1(.):149866154-149877348	0.4023
NM_003528	chr1(.):149851009-149863232	4.2376
NM_003517	chr1(.):149853524-149863961	4.9504
NM_175065	chr1(.):149854018-149864466	4.9386
NR_036461	chr1(.):149816758-149827340	4.0528
NM_001040874	chr1(.):149817627-149828161	4.0591
NM_001005464	chr1(.):149819180-149829687	4.0673
NM_001034077	chr1(.):149827329-149837725	1.5472
NM_019032	chr1(.):150516897-150538412	4.9361
NM_207046	chr1(.):150589598-150606609	0.94
NR_036211	chr1(.):150519404-150529490	0.1242
NM_001197320	chr1(.):150542026-150557214	1.5734
NM_014437	chr1(.):153926587-153945188	1.8115
NM_130898	chr1(.):153935396-153951832	1.8517
NM_181715	chr1(.):153915151-153936043	1.362
NM_006694	chr1(.):153941744-153955451	0.5408
NM_002870	chr1(.):153949127-153963806	0.8479
NM_014856	chr1(.):153896976-153924154	0.6012
NM_001030	chr1(.):153958238-153969631	0.5872
NM_006556	chr1(.):154892207-154914484	2.5299
NM_001130041	chr1(.):154929773-154951959	2.5855
NM_001130040	chr1(.):154929773-154948223	2.8756
NM_201398	chr1(.):154950769-154970587	0.4748
NM_015872	chr1(.):154970111-154995999	1.5767
NM_207196	chr1(.):155018761-155040252	0.5371
NM_001184892	chr1(.):154950769-154966488	0.5426
NM_018655	chr1(.):154961061-154971791	0.3173
NM_001143687	chr1(.):155001281-155028406	0.4003
NR_024163	chr1(.):154942117-154956725	2.4904
NM_144622	chr1(.):154986002-155011257	0.4782
NM_138300	chr1(.):154924501-154939258	3.6436
NR_036212	chr1(.):154943168-154953259	2.9499
NM_006912	chr1(.):155862600-155886177	0.2136
NM_001162384	chr1(.):155911629-155953336	2.42
NM_181885	chr1(.):155906479-155917625	1.7378
NM_004723	chr1(.):155911629-155952966	2.4375
NM_014949	chr1(.):155877835-155909188	0.4963
NR_002974	chr1(.):155884699-155894833	0.0959
NR_003005	chr1(.):155890748-155900877	0.111
NM_003145	chr1(.):155973838-155995758	0.3997
NM_014655	chr1(.):156158729-156187587	0.8195
NM_007221	chr1(.):156177783-156214833	0.9394
NM_022367	chr1(.):156118321-156152542	3.0621
NM_001193302	chr1(.):156118368-156152542	3.0647
