GENE_ID	locusLine	bin_1_MM12.jin.bam
NM_013943	chr1(.):25066759-25175815	0.2312
NM_032236	chr1(.):21999791-22114688	0.2477
NM_001006605	chr1(.):93302720-93432079	0.3055
NM_003820	chr1(.):2482804-2500267	0.4607
NM_015001	chr1(.):16169358-16271950	0.2193
NM_001013693	chr1(.):22133757-22156714	0.0942
NM_002379	chr1(.):31179123-31201432	0.4234
NR_034182	chr1(.):31186618-31204593	0.5339
NM_032017	chr1(.):36800224-36856485	0.5265
NM_002600	chr1(.):66253855-66845262	0.2254
NM_001037341	chr1(.):66253192-66845262	0.2252
NM_001037340	chr1(.):66453389-66845262	0.2521
NM_001134479	chr1(.):90281572-90406989	0.234
NM_018103	chr1(.):90282479-90406989	0.2339
NM_001002812	chr1(.):144885590-145000022	0.3069
NM_014644	chr1(.):144846426-145000022	0.2584
NM_001198834	chr1(.):144846423-145000033	0.2584
NM_001198832	chr1(.):144846423-145044992	0.2366
NM_207168	chr1(.):150594521-150607098	0.4354
NM_005572	chr1(.):156079460-156112657	0.4658
NM_001135050	chr1(.):159891828-159920386	0.4178
NM_014935	chr1(.):204182980-204334044	0.0391
NM_201630	chr1(.):204581302-204659597	0.1395
NM_006338	chr1(.):204581302-204659481	0.1395
NM_032129	chr1(.):896876-915484	0.1788
NM_152486	chr1(.):856120-884961	0.5032
NM_198317	chr1(.):890966-906099	0.4682
NM_015658	chr1(.):874582-899679	0.7364
NR_026874	chr1(.):847952-859817	0.0474
NR_027693	chr1(.):905578-922473	0.0443
NM_001010926	chr1(.):2455183-2466684	0.585
NR_026927	chr1(.):2476358-2489284	1.5426
NM_018216	chr1(.):2434974-2463035	0.2627
NM_001195741	chr1(.):2513188-2527908	0.4739
NR_036638	chr1(.):2512898-2527908	0.4689
NM_177540	chr1(.):6610337-6644817	0.3515
NM_005341	chr1(.):6635062-6654340	0.3128
NM_014851	chr1(.):6645783-6667929	0.7042
NM_153812	chr1(.):6668755-6689093	0.5302
NM_024654	chr1(.):6576406-6619658	0.1808
NM_001195752	chr1(.):6680209-6698642	0.3231
NM_001195753	chr1(.):6679924-6698642	0.3203
NM_015866	chr1(.):14026349-14119574	0.3628
NM_001007257	chr1(.):14070875-14119574	0.1788
NM_001135610	chr1(.):14021734-14156574	0.2777
NM_001089591	chr1(.):16128656-16139194	0.0501
NR_024279	chr1(.):16155709-16179642	1.1109
NM_001032730	chr1(.):22049338-22114688	0.387
NR_026685	chr1(.):26432655-26457026	0.7295
NM_152835	chr1(.):26433267-26457026	0.7463
NM_032588	chr1(.):26372797-26399121	0.0442
NM_024869	chr1(.):26480510-26494119	0.0647
NM_002713	chr1(.):28152292-28183183	0.1877
NR_002997	chr1(.):28155911-28166077	0.4601
NM_001039477	chr1(.):28194054-28218193	1.0011
NM_002946	chr1(.):28213048-28246236	0.3299
NM_014280	chr1(.):28521789-28564542	0.1921
NM_016311	chr1(.):28557610-28569611	0.5402
NM_031459	chr1(.):28581005-28614002	0.2275
NM_006762	chr1(.):31200314-31235683	0.7958
NM_005202	chr1(.):36555843-36570850	0.0612
NM_018067	chr1(.):36616802-36651441	0.6812
NM_014408	chr1(.):36597172-36620067	0.5826
NM_032881	chr1(.):36854030-36868493	0.6539
NM_022756	chr1(.):37953175-37985364	0.1736
NM_025079	chr1(.):37935118-37954978	0.8584
NM_014372	chr1(.):51696944-51744119	0.4028
NM_002228	chr1(.):59241462-59254785	1.2249
NR_034015	chr1(.):59245822-59370384	0.262
NR_037443	chr1(.):65518437-65528525	0.0859
NR_029516	chr1(.):65519116-65529191	0.096
NM_001037339	chr1(.):66792792-66845262	0.6209
NM_003902	chr1(.):78408590-78449777	0.3674
NM_007034	chr1(.):78465635-78487995	0.2952
NM_006769	chr1(.):87789150-87819607	0.7901
NM_001127215	chr1(.):92935317-92954356	0.914
NM_005263	chr1(.):92935317-92957433	0.7959
NM_001127216	chr1(.):92935317-92956628	0.8224
NM_002232	chr1(.):111209309-111222655	1.109
NM_001166496	chr1(.):113449469-113503685	0.2662
NR_002796	chr1(.):113460971-113472295	0.0444
NM_003051	chr1(.):113449469-113503975	0.2647
NM_007158	chr1(.):115254536-115305624	0.5061
NM_002524	chr1(.):115242077-115264515	0.5635
NM_001007553	chr1(.):115254537-115305624	0.5061
NM_001130523	chr1(.):115254537-115305671	0.5059
NM_001102396	chr1(.):115307104-115328308	0.3313
NM_017709	chr1(.):118143603-118176011	1.372
NM_001123068	chr1(.):143762143-143772881	0.0396
NR_027469	chr1(.):143713512-143749587	0.5495
NR_027468	chr1(.):143713512-143749457	0.5515
NM_001002811	chr1(.):144885590-144937032	0.4591
NR_027468	chr1(.):147901021-147936980	0.4257
NM_019032	chr1(.):150516897-150538412	0.5157
NM_207046	chr1(.):150589598-150606609	0.4126
NR_036211	chr1(.):150519404-150529490	0.1651
NM_001197320	chr1(.):150542026-150557214	1.4204
NM_020452	chr1(.):154295275-154328780	0.5917
NM_001005855	chr1(.):154293035-154315322	0.794
NM_080429	chr1(.):154288591-154302801	1.1549
NM_020131	chr1(.):156000091-156028516	0.1811
