GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
NM_024408	chr1(.):120449175-120617276	0.1474
NR_002188	chr1(.):155178615-155202325	0.2061
NM_003820	chr1(.):2482804-2500267	0.1121
NM_001113348	chr1(.):21538739-21677034	0.1194
NM_004091	chr1(.):23827921-23862713	0.1356
NM_020448	chr1(.):24737244-24804473	0.1166
NM_173065	chr1(.):24475646-24518751	0.1435
NM_020379	chr1(.):25938958-26116258	0.1198
NM_001048199	chr1(.):28827454-28870708	0.1271
NR_002909	chr1(.):28827454-28842404	0.1614
NM_002379	chr1(.):31179123-31201432	0.1338
NR_034182	chr1(.):31186618-31204593	0.1271
NM_001127714	chr1(.):41970683-42389496	0.1248
NM_006845	chr1(.):45200489-45238438	0.1224
NM_001101662	chr1(.):52249865-52349609	0.117
NM_002600	chr1(.):66253855-66845262	0.1051
NM_001037341	chr1(.):66253192-66845262	0.1051
NM_001037340	chr1(.):66453389-66845262	0.1117
NM_198459	chr1(.):115122195-115217732	0.0554
NM_203458	chr1(.):145204110-145290912	0.3763
NM_004892	chr1(.):145091406-145121922	0.3707
NM_153713	chr1(.):145472084-145504091	0.1969
NM_207168	chr1(.):150594521-150607098	0.2414
NM_020699	chr1(.):153772202-153900451	0.169
NM_020524	chr1(.):154911558-154933567	0.2633
NM_181359	chr1(.):154372668-154445188	0.1997
NM_002249	chr1(.):154674914-154847754	0.1994
NM_170782	chr1(.):154674914-154837338	0.1987
NM_005572	chr1(.):156079460-156112657	0.1828
NM_170708	chr1(.):156079460-156114878	0.1835
NM_005973	chr1(.):156732273-156775609	0.1857
NM_012394	chr1(.):161065345-161092866	0.2192
NM_015149	chr1(.):183600207-183902666	0.1724
NM_025191	chr1(.):184654624-184729041	0.1759
NM_024420	chr1(.):186793031-186963113	0.1551
NM_144977	chr1(.):197516384-197749623	0.153
NM_001195215	chr1(.):197468878-197749623	0.1521
NM_014827	chr1(.):203759750-203828256	0.1544
NM_001684	chr1(.):203590927-203718209	0.1707
NM_015375	chr1(.):205106630-205185727	0.1675
NM_182663	chr1(.):206675878-206767616	0.2035
NM_001193338	chr1(.):207071630-207100235	0.2296
NM_005449	chr1(.):207071630-207100378	0.2285
NM_006147	chr1(.):209956261-209984479	0.1733
NM_001143962	chr1(.):223709971-223858436	0.0901
NM_002221	chr1(.):226814390-226931876	0.1932
NM_004481	chr1(.):230197955-230422875	0.1748
NM_002074	chr1(.):1711728-1827495	0.1109
NM_138705	chr1(.):1841265-1853733	0.1054
NM_178545	chr1(.):1844028-1855740	0.1054
NM_001010926	chr1(.):2455183-2466684	0.1053
NR_026927	chr1(.):2476358-2489284	0.1641
NM_018216	chr1(.):2434974-2463035	0.0852
NM_001195741	chr1(.):2513188-2527908	0.0928
NR_036638	chr1(.):2512898-2527908	0.0924
NM_177540	chr1(.):6610337-6644817	0.1203
NM_005341	chr1(.):6635062-6654340	0.1379
NM_014851	chr1(.):6645783-6667929	0.1407
NM_153812	chr1(.):6668755-6689093	0.1368
NM_024654	chr1(.):6576406-6619658	0.1035
NM_001195752	chr1(.):6680209-6698642	0.1328
NM_001195753	chr1(.):6679924-6698642	0.1332
NM_014675	chr1(.):17243444-17304474	0.1383
NM_001397	chr1(.):21538739-21621982	0.1172
NM_001113347	chr1(.):21538739-21611183	0.1122
NM_001113349	chr1(.):21538739-21621766	0.1167
NM_017707	chr1(.):23750055-23815750	0.1091
NM_002167	chr1(.):23879408-23891322	0.177
NR_027042	chr1(.):23948823-23972056	0.1286
NM_021258	chr1(.):24441260-24474611	0.1109
NR_027087	chr1(.):24521729-24543180	0.1449
NM_001199013	chr1(.):24678488-24745262	0.1357
NM_001199012	chr1(.):24678488-24746587	0.1341
NM_015627	chr1(.):25865075-25900377	0.1462
NM_006015	chr1(.):27017521-27113601	0.1344
NM_014280	chr1(.):28521789-28564542	0.1262
NM_016311	chr1(.):28557610-28569611	0.1637
NM_001164721	chr1(.):28468676-28525447	0.1215
NM_001164722	chr1(.):28468676-28525437	0.1215
NM_031459	chr1(.):28581005-28614002	0.1142
NR_024127	chr1(.):28900049-28913366	0.1683
NM_152304	chr1(.):28913711-28926088	0.1329
NM_001193532	chr1(.):28914006-28926088	0.1329
NR_003035	chr1(.):28902431-28912565	0.1847
NR_002987	chr1(.):28901275-28911405	0.1853
NR_003109	chr1(.):28874528-28910057	0.1293
NM_001269	chr1(.):28839744-28870708	0.1071
NR_002976	chr1(.):28901892-28912024	0.1843
NR_003077	chr1(.):28900254-28910334	0.1924
NM_006762	chr1(.):31200314-31235683	0.178
NM_005202	chr1(.):36555843-36570850	0.1043
NM_018067	chr1(.):36616802-36651441	0.1253
NM_014408	chr1(.):36597172-36620067	0.1454
NM_022756	chr1(.):37953175-37985364	0.108
NM_025079	chr1(.):37935118-37954978	0.1632
NR_002983	chr1(.):40028045-40038182	0.1949
NR_003929	chr1(.):39982951-40030370	0.1315
NM_001135653	chr1(.):40021484-40047521	0.1649
NM_001198979	chr1(.):40854016-40893998	0.12
NM_001198978	chr1(.):40835304-40893998	0.1347
NM_001198980	chr1(.):40857471-40893998	0.1152
NM_022733	chr1(.):40834377-40893998	0.1345
NM_001145636	chr1(.):45135393-45196263	0.1352
NM_024587	chr1(.):45114500-45145099	0.1412
NR_001456	chr1(.):45238513-45248584	0.1846
NR_001457	chr1(.):45239061-45249130	0.1763
NM_153274	chr1(.):45244256-45258426	0.1265
NM_001012	chr1(.):45236245-45249412	0.1626
NR_000024	chr1(.):45237163-45247261	0.1758
NR_000015	chr1(.):45236536-45246610	0.1746
NR_031580	chr1(.):52297015-52307074	0.1004
NM_001037339	chr1(.):66792792-66845262	0.1417
NM_006769	chr1(.):87789150-87819607	0.129
NM_004974	chr1(.):111140775-111153345	0.0638
NM_002232	chr1(.):111209309-111222655	0.085
NM_007158	chr1(.):115254536-115305624	0.063
NM_002524	chr1(.):115242077-115264515	0.061
NM_001172626	chr1(.):115210719-115243239	0.0632
NM_001007553	chr1(.):115254537-115305624	0.063
NM_001130523	chr1(.):115254537-115305671	0.063
NM_017709	chr1(.):118143603-118176011	0.1184
NM_032305	chr1(.):145451235-145475387	0.2156
NM_202004	chr1(.):145408190-145422545	0.1647
NM_006472	chr1(.):145433461-145447628	0.2183
NM_001039888	chr1(.):145465507-145480647	0.222
NM_003846	chr1(.):145511164-145528732	0.1994
NM_005105	chr1(.):145502637-145516444	0.2219
NM_001184795	chr1(.):145511559-145528732	0.2003
NM_003637	chr1(.):145519989-145548868	0.1721
NM_144698	chr1(.):145544208-145573526	0.178
NR_002328	chr1(.):145504819-145521076	0.2304
NM_001161334	chr1(.):149749244-149788928	0.1641
NM_001034077	chr1(.):149799220-149809616	0.2238
NM_001005464	chr1(.):149807258-149817765	0.2383
NM_001040874	chr1(.):149808784-149819318	0.25
NM_001123375	chr1(.):149779779-149790236	0.1899
NM_000566	chr1(.):149749249-149769074	0.1531
NM_016074	chr1(.):149866154-149877348	0.1776
NM_003528	chr1(.):149851009-149863232	0.264
NM_003517	chr1(.):149853524-149863961	0.2754
NM_175065	chr1(.):149854018-149864466	0.2672
NR_036461	chr1(.):149816758-149827340	0.2589
NM_001040874	chr1(.):149817627-149828161	0.2574
NM_001005464	chr1(.):149819180-149829687	0.2477
NM_001034077	chr1(.):149827329-149837725	0.2029
NM_016274	chr1(.):150117169-150136825	0.2081
NM_019032	chr1(.):150516897-150538412	0.2063
NM_207046	chr1(.):150589598-150606609	0.2299
NR_036211	chr1(.):150519404-150529490	0.1417
NM_001197320	chr1(.):150542026-150557214	0.2072
NM_005620	chr1(.):151999981-152014511	0.2468
NM_002966	chr1(.):151950385-151971714	0.195
NM_001008536	chr1(.):152051619-152066540	0.1425
NM_023015	chr1(.):153695566-153751555	0.1872
NM_024330	chr1(.):153742767-153757633	0.1966
NM_014437	chr1(.):153926587-153945188	0.2323
NM_130898	chr1(.):153935396-153951832	0.2385
NM_181715	chr1(.):153915151-153936043	0.2242
NM_006694	chr1(.):153941744-153955451	0.1964
NM_002870	chr1(.):153949127-153963806	0.2124
NM_014856	chr1(.):153896976-153924154	0.1798
NM_001030	chr1(.):153958238-153969631	0.2179
NM_006556	chr1(.):154892207-154914484	0.222
NM_001130041	chr1(.):154929773-154951959	0.2241
NM_001130040	chr1(.):154929773-154948223	0.2268
NM_201398	chr1(.):154950769-154970587	0.1951
NM_015872	chr1(.):154970111-154995999	0.2128
NM_001184892	chr1(.):154950769-154966488	0.1979
NM_018655	chr1(.):154961061-154971791	0.1782
NM_001143687	chr1(.):155001281-155028406	0.2024
NR_024163	chr1(.):154942117-154956725	0.2734
NM_144622	chr1(.):154986002-155011257	0.1747
NM_138300	chr1(.):154924501-154939258	0.2641
NR_036212	chr1(.):154943168-154953259	0.2835
NM_001018017	chr1(.):155153299-155167700	0.1804
NM_198883	chr1(.):155173489-155188624	0.211
NM_007112	chr1(.):155160378-155182690	0.212
NR_030281	chr1(.):155159967-155170063	0.1881
NM_001005742	chr1(.):155199238-155219653	0.183
NM_003993	chr1(.):155227658-155248281	0.2357
NM_181871	chr1(.):155254083-155275792	0.1713
NM_198264	chr1(.):155211995-155230274	0.2142
NM_052837	chr1(.):155220771-155237195	0.2291
NM_020897	chr1(.):155242373-155264638	0.1775
NM_001171812	chr1(.):155199238-155216066	0.1921
NM_000157	chr1(.):155199238-155216069	0.1921
NM_001135821	chr1(.):155273704-155295457	0.2315
NM_002004	chr1(.):155273538-155295457	0.2312
NM_005698	chr1(.):155220769-155237195	0.2291
NM_000298	chr1(.):155254083-155276225	0.1743
NM_006912	chr1(.):155862600-155886177	0.169
NM_001162384	chr1(.):155911629-155953336	0.2115
NM_181885	chr1(.):155906479-155917625	0.2266
NM_004723	chr1(.):155911629-155952966	0.2121
NM_014949	chr1(.):155877835-155909188	0.1948
NR_002974	chr1(.):155884699-155894833	0.1648
NR_003005	chr1(.):155890748-155900877	0.1595
NM_020131	chr1(.):156000091-156028516	0.1718
NM_001093725	chr1(.):156036803-156056789	0.1607
NM_020387	chr1(.):156025965-156045295	0.1438
NM_001145264	chr1(.):156019516-156033301	0.1929
NM_003145	chr1(.):155973838-155995758	0.2021
NM_014655	chr1(.):156158729-156187587	0.2592
NM_007221	chr1(.):156177783-156214833	0.2303
NM_022367	chr1(.):156118321-156152542	0.2268
NM_001193302	chr1(.):156118368-156152542	0.227
NM_001193301	chr1(.):156114734-156152542	0.2271
NM_005920	chr1(.):156428518-156475529	0.23
NM_004494	chr1(.):156706898-156726543	0.2387
NM_001126051	chr1(.):156706898-156727024	0.2364
NM_001126050	chr1(.):156706898-156727240	0.2356
NM_030980	chr1(.):156687412-156702705	0.24
NM_001878	chr1(.):156664407-156680375	0.1798
NM_001142560	chr1(.):156693262-156711752	0.2549
NM_145729	chr1(.):156702093-156715923	0.2196
NR_001560	chr1(.):157093153-157103463	0.1701
NM_005240	chr1(.):157097975-157113177	0.2166
