GENE	H3k27ac_13_DMSO_compare_TSS_SIGNAL	H3k27ac_13_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	55426.954	5680.7426	-49746.2114	0.0929628003684236	-3.28643628654103
EIF3B	62204.2	19135.803	-43068.397	0.235256974357377	-1.70073755136121
NCRNA00167	41720.6532	1008.9899	-40711.6633	0.0236133472408994	-5.36977810737397
PRDM10	41362.3096	1008.9899	-40353.3197	0.0238130506240433	-5.35733310726788
RNF187	44823	6851.578	-37971.422	0.132590884438379	-2.70973101024814
LPXN	46804.0723	11433.6366	-35370.4357	0.196327033050574	-2.03334971805464
ZNF335	37971.8	2670.6533	-35301.1467	0.0657109274454158	-3.82966378466978
STK35	39078	3849.731	-35228.269	0.0896793496958877	-3.34352708639936
FAM53C	34866.767	1374.3099	-33492.4571	0.0379213317471811	-4.66507333082623
YY1AP1	35787.0638	3101.2634	-32685.8004	0.0797479249763153	-3.52851021179647
DAP3	35183.7604	3101.2634	-32082.497	0.0810046094316389	-3.50398171577452
CLTC	33739.6	2057.5247	-31682.0753	0.0574773733154049	-4.03546121484049
CALM3	31601.8	14.157	-31587.643	0.000447780214275975	-8
FLCN	35395.4	3855.741	-31539.659	0.0982325838629761	-3.19848182886629
UBE2D3	32818.7628	2856.1339	-29962.6289	0.0800600468171783	-3.5223853313819
HSPA9	30831	1102.6061	-29728.3939	0.0345280798086878	-4.805392290688
DOHH	36081.1178	6472.5391	-29608.5787	0.152103005276616	-2.47884035380731
C11orf10	30612.1308	1575.2258	-29036.905	0.0489392720121664	-4.2804729181683
FEN1	30604.6044	1575.2258	-29029.3786	0.0489507182048462	-4.2801181687693
MIR611	30576.97	1575.2258	-29001.7442	0.0489927907194444	-4.27881490009928
C12orf61	31921.1663	3531.0141	-28390.1522	0.099599349325211	-3.17635887693395
GART	28573.5127	1006.0889	-27567.4238	0.0340129293695423	-4.82784871039162
UBE2M	30200.5236	2818.1792	-27382.3444	0.0853509968901625	-3.42173830586572
CD164	33495	6183.6577	-27311.3423	0.155843419572129	-2.43741338652628
DCAKD	31694.381	4784.5336	-26909.8474	0.131158880478313	-2.72777689037672
PAXIP1	26891.272	193.6816	-26697.5904	0.00715089281157196	-7.11730728579809
LOC100131691	29251.3292	2818.1792	-26433.15	0.0878772185980874	-3.3756669266636
LOC202781	26528.654	193.6816	-26334.9724	0.00724792933144661	-7.09772076575222
TOR3A	35509	9211.4129	-26297.5871	0.205977814216469	-1.94669036458917
SON	25679.2898	1006.0889	-24673.2009	0.0377018782948731	-4.6737756078075
RHBDD3	32885.1698	8928.6149	-23956.5549	0.213532808954268	-1.88092882764084
EWSR1	32864.1957	8928.6149	-23935.5808	0.213639972325766	-1.88000838587374
EPC1	30164.0509	6482.0036	-23682.0473	0.17688135021466	-2.2183184622283
PFDN4	24383.1159	845.1994	-23537.9165	0.0335020150949199	-4.8504469453092
PDXDC1	28129.101	4859.7243	-23269.3767	0.147314257352474	-2.53311707031911
SCYL3	29366.6	6311.7922	-23054.8078	0.176907977372366	-2.21805462917669
USP1	24027.0872	1251.72	-22775.3672	0.0495165768739278	-4.2626779775298
C1orf77	24599.832	1988.7905	-22611.0415	0.0747985534038102	-3.62868524777341
S100A13	24599.832	1988.7905	-22611.0415	0.0747985534038102	-3.62868524777341
ASAH1	23532.7488	1064.7543	-22467.9945	0.0432870887614605	-4.46607738658796
CENPP	24362.0984	1979.7074	-22382.391	0.0751545818472324	-3.62127928199995
NOL8	24349.4984	1979.7074	-22369.791	0.0751905475249846	-3.62053293168032
UPF2	24317.195	1972.2063	-22344.9887	0.0750190648122519	-3.62409444691472
RPN2	23522.542	1305.4479	-22217.0941	0.0525796854782835	-4.17142718925353
HNRNPA0	23718.8	1693.845	-22024.955	0.0666536285380762	-3.8076572537807
LUC7L2	24882.2	3124.5401	-21757.6599	0.111563862443241	-2.9933982886071
THAP5	22390.4101	1024.6817	-21365.7284	0.043761592256495	-4.44963321698204
DNAJB9	22361.7091	1024.6817	-21337.0274	0.0438152987676919	-4.4477827215514
ATG16L2	34993	13812.8896	-21180.1104	0.283016859506235	-1.3410511971221
FARSB	24214.8	3368.7498	-20846.0502	0.122128943679323	-2.84560389985047
MIRLET7I	24306.2028	3531.0141	-20775.1887	0.126845083424989	-2.78317004093258
C20orf132	21953.8126	1305.4479	-20648.3647	0.0561259417512435	-4.07185472014658
SLBP	24549.8	3937.5466	-20612.2534	0.138220896992913	-2.64034236868284
UFD1L	30272.0217	9722.9787	-20549.043	0.243104853175598	-1.6385147619623
RNU4ATAC	22765	2295.9521	-20469.0479	0.091614719617935	-3.30965301058162
UQCRC2	24035.8	3664.7794	-20371.0206	0.132299738105839	-2.71338655887557
SMC4	26059.4504	5893.7989	-20165.6515	0.184450690590644	-2.14453691666289
EIF4A2	23626.0428	3500.0772	-20125.9656	0.129029776466373	-2.75491935947953
ARPC4	20211.7531	244.4779	-19967.2752	0.0119512680512847	-6.36934659529826
TADA3	20211.7531	244.4779	-19967.2752	0.0119512680512847	-6.36934659529826
C7orf27	21399.0927	1506.8174	-19892.2753	0.0657829090143858	-3.82797312595223
HNRNPK	20196.0725	427.403	-19768.6695	0.0207241015220737	-5.56233391677557
HNRNPR	21220.8	1531.7508	-19689.0492	0.0673221571271033	-3.79222553532221
NDUFA4	21091.4	1454.2448	-19637.1552	0.0645022492326323	-3.85831281059625
CACYBP	27559.2322	8198.7943	-19360.4379	0.229285424910125	-1.74905202483526
CDC45	28909.1967	9722.9787	-19186.218	0.251680848912277	-1.57205825519708
RMI1	19436.1923	427.403	-19008.7893	0.021516900316631	-5.50700476680602
ZDHHC5	20996.8	2017.1097	-18979.6903	0.0876474152499173	-3.3798080200943
FAM36A	30657	11828.4392	-18828.5608	0.278411602250778	-1.37395680813328
EFCAB2	24628.1663	5959.1556	-18669.0107	0.194824366104441	-2.04712939201323
FNBP4	20641.4	2491.8945	-18149.5055	0.10771896324581	-3.05022592966033
UBQLN1	18950.4	847.9517	-18102.4483	0.0428294088744772	-4.48210240043809
ITGB3BP	18685.4061	643.3576	-18042.0485	0.0332849844917914	-4.86014724931369
EFCAB7	18670.1841	643.3576	-18026.8265	0.0333112181076555	-4.85897148391899
C7orf55	20976	3124.5401	-17851.4599	0.129646061334534	-2.7470238299535
TCF3	30727.392	12953.9919	-17773.4001	0.296556352922692	-1.24612857570179
CEP76	20061.5021	2344.2207	-17717.2814	0.104625979751923	-3.09724932557973
PSMG2	20017.3541	2344.2207	-17673.1334	0.104832540684925	-3.09407098505484
TARDBP	18839	1240.7564	-17598.2436	0.0617914069913717	-3.92443058535303
RPRD2	20657.6	3108.2906	-17549.3094	0.130787886400521	-2.73247935615967
NVL	18572.4	1117.2154	-17455.1846	0.0567413520936524	-4.05518098767835
HNRNPL	22044	4646.1287	-17397.8713	0.174076669027077	-2.24628500912355
C1orf31	22512.568	5123.986	-17388.582	0.185406111051327	-2.13539219485194
DUT	17409.884	25.6815	-17384.2025	0.00147293759987309	-8
TMEM48	18495.44	1189.3548	-17306.0852	0.0604199745074305	-3.95891856298702
GPATCH2	17283.7499	0	-17283.7499	0	-8
SPATA17	17237.122	0	-17237.122	0	-8
ITFG1	17429.1314	250.0875	-17179.0439	0.0141458455497714	-6.12292391292294
PHKB	17401.1726	250.0875	-17151.0851	0.0141682519312035	-6.12060776714524
FAM173B	22319.5883	5179.3208	-17140.2675	0.188346409712667	-2.10747559102684
FLJ10038	17128.2266	112.1716	-17016.055	0.0065063230384087	-7.25452452147342
LOC100129387	17039.9049	112.1716	-16927.7333	0.00653982624202964	-7.24706601807856
