REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
8_MACS_peak_20006_lociStitched	chr6	289953	350294	8	52366	70568.7995	1	1	DUSP22	IRF4	DUSP22	1	1
4_MACS_peak_20110_lociStitched	chr6	7880302	7921616	4	39443	47383.0266	2	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
8_MACS_peak_7694_lociStitched	chr15	45001819	45029578	8	22196	43825.9092	3	1	B2M,TRIM69	SPG11,PATL2	B2M	3	1
2_MACS_peak_1323_lociStitched	chr1	150532113	150553181	2	20009	41017.2892	4	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	4	1
6_MACS_peak_2134_lociStitched	chr1	203251694	203281480	6	19798	40511.9386	5	1	BTG2,LOC730227	FMOD	LOC730227	5	1
28_MACS_peak_13215_lociStitched	chr2	99060816	99125120	28	43262	37778.6	6	1	INPP4A		INPP4A	6	1
10_MACS_peak_13162_lociStitched	chr2	89130572	89166913	10	29874	36511.8027	7	1			ANKRD36BP2	7	1
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	6	27825	36499.174	8	1	ZBTB38		RASA2	8	1
3_MACS_peak_8317_lociStitched	chr15	89164426	89185836	3	20657	34624.252	9	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	9	1
8_MACS_peak_1146_lociStitched	chr1	118147488	118187773	8	38125	34584.6725	10	1	FAM46C		FAM46C	10	1
9_MACS_peak_15148_lociStitched	chr21	44829285	44865269	9	25114	34501.4592	11	1	SIK1	C21orf125,C21orf84	SIK1	11	1
1_MACS_peak_4196_lociStitched	chr11	65183604	65199862	1	16259	33112.6686	12	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	12	1
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	7	24091	32342.8307	13	1	MEF2D		MEF2D	13	1
5_MACS_peak_11459_lociStitched	chr19	13943864	13959053	5	12456	31072.1373	14	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	14	1
14_MACS_peak_7252_lociStitched	chr14	91829275	91867148	14	28602	30037.0763	15	1	CCDC88C		CCDC88C	15	1
2_MACS_peak_17078_lociStitched	chr3	141095630	141112540	2	16164	29332.086	16	1	ZBTB38		ZBTB38	16	1
5_MACS_peak_7788_lociStitched	chr15	52958186	52976919	5	17638	29229.0999	17	1	KIAA1370		KIAA1370	17	1
2_MACS_peak_2800_lociStitched	chr10	22595728	22616079	2	20269	28792.5948	18	1	COMMD3,BMI1	SPAG6	COMMD3	18	1
8_MACS_peak_17321_lociStitched	chr3	171798405	171832507	8	27092	28553.6046	19	1	FNDC3B		FNDC3B	19	1
7_MACS_peak_15844_lociStitched	chr3	13035306	13064314	7	21504	28393.0304	20	1	IQSEC1	IQSEC1	IQSEC1	20	1
2_MACS_peak_15143_lociStitched	chr21	44771933	44783995	2	10771	28040.5314	21	1			SIK1	21	1
5_MACS_peak_8110_lociStitched	chr15	75067247	75093214	5	21447	27904.1382	22	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	22	1
2_MACS_peak_2537_lociStitched	chr1	234734238	234749277	2	15014	27256.6836	23	1	IRF2BP2	NCRNA00184	IRF2BP2	23	1
11_MACS_peak_6092_lociStitched	chr12	123354698	123388183	11	25898	27122.85	24	1	VPS37B	HIP1R	VPS37B	24	1
6_MACS_peak_4670_lociStitched	chr11	111223871	111251428	6	23973	26763.3584	25	1	POU2AF1		POU2AF1	25	1
8_MACS_peak_11084_lociStitched	chr19	2040057	2062663	8	13898	26250.0872	26	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	26	1
15_MACS_peak_1154_lociStitched	chr1	118192608	118230756	15	25141	26215.3056	27	1		FAM46C	FAM46C	27	1
2_MACS_peak_8411_lociStitched	chr15	93439449	93452871	2	11279	26066.8662	28	1	LOC100507217,CHD2,MIR3175		MIR3175	28	1
3_MACS_peak_16792_lociStitched	chr3	114159295	114179998	3	19131	25228.6758	29	1	ZBTB20		ZBTB20	29	1
8_MACS_peak_8130_lociStitched	chr15	75315404	75343229	8	24357	24850.5075	30	1	PPCDC	SCAMP5	PPCDC	30	1
4_MACS_peak_11048_lociStitched	chr19	1258287	1277448	4	12157	24667.8714	31	1	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	31	1
14_MACS_peak_13139_lociStitched	chr2	88890796	88928511	14	24597	24503.4355	32	1	EIF2AK3		EIF2AK3	32	1
5_MACS_peak_11108_lociStitched	chr19	2255147	2274294	5	13943	24494.7571	33	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	33	1
18_MACS_peak_20816_lociStitched	chr6	52376931	52423261	18	26924	24494.671	34	1	TRAM2		TRAM2	34	1
4_MACS_peak_15295_lociStitched	chr22	23222375	23248704	4	25141	24012.048	35	1	IGLL5		IGLL5	35	1
5_MACS_peak_15789_lociStitched	chr3	5222935	5247567	5	19217	23962.0096	36	1	EDEM1		EDEM1	36	1
16_MACS_peak_22071_lociStitched	chr7	55566590	55605125	16	25800	23186.5095	37	1	VOPP1		VOPP1	37	1
6_MACS_peak_4148_lociStitched	chr11	63992595	64015006	6	14137	23155.0452	38	1	NUDT22,DNAJC4,VEGFB,FKBP2,TRPT1,PPP1R14B	STIP1,FERMT3,PLCB3,GPR137,KCNK4,BAD	VEGFB	38	1
2_MACS_peak_11433_lociStitched	chr19	12899054	12907589	2	7440	23053.035	39	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	39	1
15_MACS_peak_23017_lociStitched	chr8	27217727	27256891	15	28545	22417.4736	40	1	PTK2B	TRIM35	PTK2B	40	1
1_MACS_peak_20551_lociStitched	chr6	32934914	32942558	1	7645	21896.238	41	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	41	1
1_MACS_peak_5032_lociStitched	chr12	12866730	12879943	1	13214	21812.0204	42	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	42	1
2_MACS_peak_4202_lociStitched	chr11	65261851	65275804	2	12890	21670.4043	43	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	43	1
3_MACS_peak_11539_lociStitched	chr19	16471062	16485661	3	13194	21581.7017	44	1	EPS15L1	KLF2	KLF2	44	1
