REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
8_MACS_peak_20006_lociStitched	chr6	289953	350294	8	52366	70568.7995	1	1	DUSP22	IRF4	DUSP22	DUSP22	1.0614	1	1
28_MACS_peak_13215_lociStitched	chr2	99060816	99125120	28	43262	37778.6	2	1	INPP4A		INPP4A	INPP4A	0.3595	2	1
4_MACS_peak_20110_lociStitched	chr6	7880302	7921616	4	39443	47383.0266	3	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.0578	3	1
8_MACS_peak_1146_lociStitched	chr1	118147488	118187773	8	38125	34584.6725	4	1	FAM46C		FAM46C	FAM46C	0.8231	4	1
10_MACS_peak_13162_lociStitched	chr2	89130572	89166913	10	29874	36511.8027	5	1			ANKRD36BP2	ANKRD36BP2	0.2494	5	1
14_MACS_peak_7252_lociStitched	chr14	91829275	91867148	14	28602	30037.0763	6	1	CCDC88C		CCDC88C	CCDC88C	0.4207	6	1
15_MACS_peak_23017_lociStitched	chr8	27217727	27256891	15	28545	22417.4736	7	1	PTK2B	TRIM35	PTK2B	PTK2B	0.3321	7	1
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	6	27825	36499.174	8	1	ZBTB38		RASA2	RASA2	0.2321	8	1
8_MACS_peak_17321_lociStitched	chr3	171798405	171832507	8	27092	28553.6046	9	1	FNDC3B		FNDC3B	FNDC3B	0.4083	9	1
18_MACS_peak_20816_lociStitched	chr6	52376931	52423261	18	26924	24494.671	10	1	TRAM2		TRAM2	TRAM2	0.5486	10	1
11_MACS_peak_6092_lociStitched	chr12	123354698	123388183	11	25898	27122.85	11	1	VPS37B	HIP1R	VPS37B	VPS37B	0.7113	11	1
16_MACS_peak_22071_lociStitched	chr7	55566590	55605125	16	25800	23186.5095	12	1	VOPP1		VOPP1	VOPP1	0.4292	12	1
4_MACS_peak_15295_lociStitched	chr22	23222375	23248704	4	25141	24012.048	13	1	IGLL5		IGLL5	IGLL5	0.9912	13	1
15_MACS_peak_1154_lociStitched	chr1	118192608	118230756	15	25141	26215.3056	14	1		FAM46C	FAM46C	FAM46C	0.8231	14	1
9_MACS_peak_15148_lociStitched	chr21	44829285	44865269	9	25114	34501.4592	15	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	1.2571	15	1
14_MACS_peak_13139_lociStitched	chr2	88890796	88928511	14	24597	24503.4355	16	1	EIF2AK3		EIF2AK3	EIF2AK3	0.3949	16	1
8_MACS_peak_8130_lociStitched	chr15	75315404	75343229	8	24357	24850.5075	17	1	PPCDC	SCAMP5	PPCDC	PPCDC	0.742	17	1
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	7	24091	32342.8307	18	1	MEF2D		MEF2D	MEF2D	0.7604	18	1
6_MACS_peak_4670_lociStitched	chr11	111223871	111251428	6	23973	26763.3584	19	1	POU2AF1		POU2AF1	POU2AF1	0.7786	19	1
11_MACS_peak_22673_lociStitched	chr7	137658908	137686933	11	23221	18919.6775	20	1	CREB3L2		CREB3L2	CREB3L2	0.3202	20	1
12_MACS_peak_21772_lociStitched	chr7	8000413	8030655	12	23011	20900.2462	21	1	GLCCI1		GLCCI1	GLCCI1	0.3266	21	1
5_MACS_peak_21110_lociStitched	chr6	106531854	106555589	5	22885	20063.1955	22	1	PRDM1		PRDM1	PRDM1	0.6645	22	1
17_MACS_peak_17329_lociStitched	chr3	171840167	171879265	17	22351	19419.9766	23	1	FNDC3B		FNDC3B	FNDC3B	0.4083	23	1
8_MACS_peak_7694_lociStitched	chr15	45001819	45029578	8	22196	43825.9092	24	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.3623	24	1
10_MACS_peak_19888_lociStitched	chr5	173310287	173336432	10	21942	17945.928	25	1	CPEB4		CPEB4	CPEB4	0.4118	25	1
4_MACS_peak_12460_lociStitched	chr2	20403985	20425995	4	21750	18096.622	26	1	SDC1		SDC1	SDC1	0.5848	26	1
7_MACS_peak_15844_lociStitched	chr3	13035306	13064314	7	21504	28393.0304	27	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.2674	27	1
5_MACS_peak_8110_lociStitched	chr15	75067247	75093214	5	21447	27904.1382	28	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	0.904	28	1
7_MACS_peak_4856_lociStitched	chr11	128585803	128610900	7	21328	20278.376	29	1	FLI1		FLI1	FLI1	0.4201	29	1
10_MACS_peak_19610_lociStitched	chr5	139027466	139055603	10	21094	16811.8575	30	1	CXXC5		CXXC5	CXXC5	0.4495	30	1
3_MACS_peak_8317_lociStitched	chr15	89164426	89185836	3	20657	34624.252	31	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.9915	31	1
7_MACS_peak_24657_lociStitched	chr9	112904427	112928969	7	20519	18740.2712	32	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.3774	32	1
2_MACS_peak_2800_lociStitched	chr10	22595728	22616079	2	20269	28792.5948	33	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	1.4764	33	1
2_MACS_peak_1323_lociStitched	chr1	150532113	150553181	2	20009	41017.2892	34	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3513	34	1
16_MACS_peak_10286_lociStitched	chr17	62151150	62185736	16	19932	16362.6366	35	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.3552	35	1
4_MACS_peak_16405_lociStitched	chr3	53194370	53215584	4	19841	20774.8702	36	1	PRKCD	RFT1	PRKCD	PRKCD	0.7595	36	1
6_MACS_peak_2134_lociStitched	chr1	203251694	203281480	6	19798	40511.9386	37	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.9969	37	1
14_MACS_peak_10904_lociStitched	chr18	52967922	53002217	14	19682	17775.0985	38	1	TCF4		TCF4	TCF4	0.1073	38	1
5_MACS_peak_15789_lociStitched	chr3	5222935	5247567	5	19217	23962.0096	39	1	EDEM1		EDEM1	EDEM1	0.6352	39	1
3_MACS_peak_16792_lociStitched	chr3	114159295	114179998	3	19131	25228.6758	40	1	ZBTB20		ZBTB20	ZBTB20	0.2512	40	1
12_MACS_peak_11621_lociStitched	chr19	18594449	18621058	12	19124	14243.7977	41	1	ELL	C19orf50,ISYNA1,FKBP8	ELL	ELL	0.4814	41	1
12_MACS_peak_20318_lociStitched	chr6	25359249	25390558	12	19041	17219.95	42	1	LRRC16A		LRRC16A	LRRC16A	0.3121	42	1
6_MACS_peak_20016_lociStitched	chr6	389183	411338	6	18739	16204.167	43	1	IRF4		IRF4	IRF4	0.6062	43	1
9_MACS_peak_1610_lociStitched	chr1	160696147	160726554	9	18715	18603.0026	44	1	SLAMF7	LY9,CD48	SLAMF7	SLAMF7	0.6006	44	1
8_MACS_peak_4409_lociStitched	chr11	74652824	74678437	8	18578	20346.9672	45	1	SPCS2,XRRA1	NEU3	SPCS2	SPCS2	0.6105	45	1
7_MACS_peak_1597_lociStitched	chr1	160607469	160636155	7	18451	16712.4636	46	1	SLAMF1	CD48	SLAMF1	CD48	0.4649	46	1
9_MACS_peak_11347_lociStitched	chr19	10869507	10896386	9	18193	17893.3503	47	1	DNM2	MIR638,MIR199A1	MIR199A1	MIR638	0.4927	47	1
4_MACS_peak_13923_lociStitched	chr2	201979571	201998079	4	17908	19179.8404	48	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	0.4561	48	1
14_MACS_peak_17346_lociStitched	chr3	171888205	171914759	14	17885	15510.1914	49	1	FNDC3B		FNDC3B	FNDC3B	0.4083	49	1
7_MACS_peak_7507_lociStitched	chr15	31636611	31660597	7	17733	17500.1856	50	1	KLF13		KLF13	KLF13	0.5058	50	1
5_MACS_peak_7788_lociStitched	chr15	52958186	52976919	5	17638	29229.0999	51	1	KIAA1370		KIAA1370	KIAA1370	0.5146	51	1
10_MACS_peak_21042_lociStitched	chr6	90049895	90071121	10	17581	18995.1474	52	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.6003	52	1
5_MACS_peak_16628_lociStitched	chr3	98477503	98498988	5	17458	18767.1475	53	1	ST3GAL6		ST3GAL6	ST3GAL6	0.5196	53	1
11_MACS_peak_24916_lociStitched	chr9	134127511	134153604	11	17444	15595.7861	54	1	FAM78A	PPAPDC3	FAM78A	FAM78A	0.5504	54	1
9_MACS_peak_7427_lociStitched	chr14	106145432	106178359	9	17387	18656.4382	55	1			TMEM121	TMEM121	0.0634	55	1
5_MACS_peak_19190_lociStitched	chr5	88168434	88186611	5	17040	15768.5475	56	1	MEF2C	MEF2C	MEF2C	MEF2C	0.2731	56	1
5_MACS_peak_5306_lociStitched	chr12	48195465	48214613	5	17011	16859.814	57	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.4558	57	1
9_MACS_peak_4973_lociStitched	chr12	7052276	7080789	9	16566	17253.2163	58	1	C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,ATN1,LPCAT3	PTPN6	PTPN6	0.6156	58	1
5_MACS_peak_20330_lociStitched	chr6	25398787	25420449	5	16510	19435.1464	59	1	LRRC16A		LRRC16A	LRRC16A	0.3121	59	1
5_MACS_peak_16050_lociStitched	chr3	32461039	32482425	5	16503	18077.5858	60	1	CMTM7		CMTM7	CMTM7	0.4314	60	1
12_MACS_peak_22087_lociStitched	chr7	55614266	55641152	12	16413	16174.6176	61	1	VOPP1		VOPP1	VOPP1	0.4292	61	1
6_MACS_peak_9632_lociStitched	chr17	16865394	16885500	6	16396	13205.6208	62	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.4069	62	1
1_MACS_peak_4196_lociStitched	chr11	65183604	65199862	1	16259	33112.6686	63	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.239	63	1
2_MACS_peak_17078_lociStitched	chr3	141095630	141112540	2	16164	29332.086	64	1	ZBTB38		ZBTB38	ZBTB38	0.6581	64	1
4_MACS_peak_8721_lociStitched	chr16	11821521	11837787	4	15901	12427.224	65	1	TXNDC11		TXNDC11	TXNDC11	0.439	65	1
7_MACS_peak_1831_lociStitched	chr1	175141944	175163001	7	15875	15434.781	66	1	KIAA0040		KIAA0040	KIAA0040	0.4841	66	1
5_MACS_peak_24151_lociStitched	chr9	33151796	33172607	5	15756	21191.8413	67	1	B4GALT1		B4GALT1	B4GALT1	0.5563	67	1
3_MACS_peak_8244_lociStitched	chr15	81583759	81604004	3	15603	18186.0835	68	1	IL16	STARD5	IL16	STARD5	0.571	68	1
4_MACS_peak_17552_lociStitched	chr3	186703518	186724281	4	15450	20856.4335	69	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.4342	69	1
5_MACS_peak_12705_lociStitched	chr2	46783608	46803740	5	15338	12928.7704	70	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.521	70	1
9_MACS_peak_11718_lociStitched	chr19	23940337	23960987	9	15275	15840.615	71	1	RPSAP58,ZNF681		RPSAP58	RPSAP58	0.4967	71	1
7_MACS_peak_7599_lociStitched	chr15	40838456	40862637	7	15215	19223.895	72	1	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.8107	72	1
7_MACS_peak_23664_lociStitched	chr8	124036641	124055246	7	15154	15639.363	73	1	DERL1	WDR67	DERL1	DERL1	0.4871	73	1
7_MACS_peak_20640_lociStitched	chr6	36559982	36580277	7	15025	18870.291	74	1	SRSF3	STK38,MIR3925	SRSF3	SRSF3	0.8533	74	1
