#MM1_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM1_jia_ROSE/MM1_jia_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM1_jia.bam
#Using cutoff of 6707.2995 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1_jia.bam	enhancerRank	isStretch
8_MACS_peak_20006_lociStitched	chr6	289953	350294	8	52366	70568.7995	1	1
28_MACS_peak_13215_lociStitched	chr2	99060816	99125120	28	43262	37778.6	2	1
4_MACS_peak_20110_lociStitched	chr6	7880302	7921616	4	39443	47383.0266	3	1
8_MACS_peak_1146_lociStitched	chr1	118147488	118187773	8	38125	34584.6725	4	1
10_MACS_peak_13162_lociStitched	chr2	89130572	89166913	10	29874	36511.8027	5	1
14_MACS_peak_7252_lociStitched	chr14	91829275	91867148	14	28602	30037.0763	6	1
15_MACS_peak_23017_lociStitched	chr8	27217727	27256891	15	28545	22417.4736	7	1
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	6	27825	36499.174	8	1
8_MACS_peak_17321_lociStitched	chr3	171798405	171832507	8	27092	28553.6046	9	1
18_MACS_peak_20816_lociStitched	chr6	52376931	52423261	18	26924	24494.671	10	1
11_MACS_peak_6092_lociStitched	chr12	123354698	123388183	11	25898	27122.85	11	1
16_MACS_peak_22071_lociStitched	chr7	55566590	55605125	16	25800	23186.5095	12	1
4_MACS_peak_15295_lociStitched	chr22	23222375	23248704	4	25141	24012.048	13	1
15_MACS_peak_1154_lociStitched	chr1	118192608	118230756	15	25141	26215.3056	14	1
9_MACS_peak_15148_lociStitched	chr21	44829285	44865269	9	25114	34501.4592	15	1
14_MACS_peak_13139_lociStitched	chr2	88890796	88928511	14	24597	24503.4355	16	1
8_MACS_peak_8130_lociStitched	chr15	75315404	75343229	8	24357	24850.5075	17	1
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	7	24091	32342.8307	18	1
6_MACS_peak_4670_lociStitched	chr11	111223871	111251428	6	23973	26763.3584	19	1
11_MACS_peak_22673_lociStitched	chr7	137658908	137686933	11	23221	18919.6775	20	1
12_MACS_peak_21772_lociStitched	chr7	8000413	8030655	12	23011	20900.2462	21	1
5_MACS_peak_21110_lociStitched	chr6	106531854	106555589	5	22885	20063.1955	22	1
17_MACS_peak_17329_lociStitched	chr3	171840167	171879265	17	22351	19419.9766	23	1
8_MACS_peak_7694_lociStitched	chr15	45001819	45029578	8	22196	43825.9092	24	1
