REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1_jia.bam
28_MACS_peak_13215_lociStitched	chr2	99060816	99125120	28	43262	37778.6
8_MACS_peak_20006_lociStitched	chr6	289953	350294	8	52366	70568.7995
18_MACS_peak_20816_lociStitched	chr6	52376931	52423261	18	26924	24494.671
4_MACS_peak_20110_lociStitched	chr6	7880302	7921616	4	39443	47383.026600000005
8_MACS_peak_1146_lociStitched	chr1	118147488	118187773	8	38125	34584.6725
15_MACS_peak_23017_lociStitched	chr8	27217727	27256891	15	28545	22417.4736
17_MACS_peak_17329_lociStitched	chr3	171840167	171879265	17	22351	19419.976599999998
16_MACS_peak_22071_lociStitched	chr7	55566590	55605125	16	25800	23186.5095
15_MACS_peak_1154_lociStitched	chr1	118192608	118230756	15	25141	26215.3056
14_MACS_peak_7252_lociStitched	chr14	91829275	91867148	14	28602	30037.0763
14_MACS_peak_13139_lociStitched	chr2	88890796	88928511	14	24597	24503.435500000003
10_MACS_peak_13162_lociStitched	chr2	89130572	89166913	10	29874	36511.8027
9_MACS_peak_15148_lociStitched	chr21	44829285	44865269	9	25114	34501.4592
16_MACS_peak_10286_lociStitched	chr17	62151150	62185736	16	19932	16362.6366
14_MACS_peak_10904_lociStitched	chr18	52967922	53002217	14	19682	17775.0985
8_MACS_peak_17321_lociStitched	chr3	171798405	171832507	8	27092	28553.604600000002
11_MACS_peak_6092_lociStitched	chr12	123354698	123388183	11	25898	27122.850000000002
9_MACS_peak_7427_lociStitched	chr14	106145432	106178359	9	17387	18656.4382
12_MACS_peak_20318_lociStitched	chr6	25359249	25390558	12	19041	17219.95
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	6	27825	36499.174
9_MACS_peak_1610_lociStitched	chr1	160696147	160726554	9	18715	18603.0026
12_MACS_peak_21772_lociStitched	chr7	8000413	8030655	12	23011	20900.2462
6_MACS_peak_2134_lociStitched	chr1	203251694	203281480	6	19798	40511.9386
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	7	24091	32342.8307
7_MACS_peak_15844_lociStitched	chr3	13035306	13064314	7	21504	28393.0304
7_MACS_peak_1597_lociStitched	chr1	160607469	160636155	7	18451	16712.4636
9_MACS_peak_4973_lociStitched	chr12	7052276	7080789	9	16566	17253.2163
10_MACS_peak_19610_lociStitched	chr5	139027466	139055603	10	21094	16811.857500000002
7_MACS_peak_8399_lociStitched	chr15	93368861	93396935	7	10802	17161.636199999997
11_MACS_peak_22673_lociStitched	chr7	137658908	137686933	11	23221	18919.6775
8_MACS_peak_8130_lociStitched	chr15	75315404	75343229	8	24357	24850.5075
8_MACS_peak_7694_lociStitched	chr15	45001819	45029578	8	22196	43825.9092
6_MACS_peak_4670_lociStitched	chr11	111223871	111251428	6	23973	26763.358399999997
12_MACS_peak_22087_lociStitched	chr7	55614266	55641152	12	16413	16174.617600000001
9_MACS_peak_11347_lociStitched	chr19	10869507	10896386	9	18193	17893.3503
10_MACS_peak_16876_lociStitched	chr3	121546778	121573638	10	14128	13013.67
12_MACS_peak_11621_lociStitched	chr19	18594449	18621058	12	19124	14243.7977
14_MACS_peak_17346_lociStitched	chr3	171888205	171914759	14	17885	15510.191399999998
10_MACS_peak_20507_lociStitched	chr6	31779788	31806176	10	13164	14885.470800000001
4_MACS_peak_15295_lociStitched	chr22	23222375	23248704	4	25141	24012.048000000003
10_MACS_peak_19888_lociStitched	chr5	173310287	173336432	10	21942	17945.928
11_MACS_peak_24916_lociStitched	chr9	134127511	134153604	11	17444	15595.7861
5_MACS_peak_8110_lociStitched	chr15	75067247	75093214	5	21447	27904.1382
8_MACS_peak_4409_lociStitched	chr11	74652824	74678437	8	18578	20346.9672
7_MACS_peak_4856_lociStitched	chr11	128585803	128610900	7	21328	20278.376
8_MACS_peak_15575_lociStitched	chr22	39904253	39928908	8	10927	12988.254
5_MACS_peak_15789_lociStitched	chr3	5222935	5247567	5	19217	23962.0096
7_MACS_peak_24657_lociStitched	chr9	112904427	112928969	7	20519	18740.2712
6_MACS_peak_15750_lociStitched	chr22	50962988	50987345	6	12779	19984.9185
7_MACS_peak_7599_lociStitched	chr15	40838456	40862637	7	15215	19223.895
7_MACS_peak_8854_lociStitched	chr16	22195312	22219407	7	10416	13148.6415
7_MACS_peak_7507_lociStitched	chr15	31636611	31660597	7	17733	17500.1856
5_MACS_peak_21110_lociStitched	chr6	106531854	106555589	5	22885	20063.1955
6_MACS_peak_7985_lociStitched	chr15	67371788	67395173	6	14511	15766.167000000001
6_MACS_peak_2376_lociStitched	chr1	223899678	223923059	6	12381	13640.475400000001
6_MACS_peak_1636_lociStitched	chr1	161134572	161157737	6	12784	18863.2595
8_MACS_peak_11084_lociStitched	chr19	2040057	2062663	8	13898	26250.0872
9_MACS_peak_11728_lociStitched	chr19	23971913	23994380	9	11765	12590.506800000001
6_MACS_peak_4148_lociStitched	chr11	63992595	64015006	6	14137	23155.045199999997
8_MACS_peak_23708_lociStitched	chr8	126285790	126308022	8	12232	12558.8568
6_MACS_peak_20016_lociStitched	chr6	389183	411338	6	18739	16204.167000000001
4_MACS_peak_12460_lociStitched	chr2	20403985	20425995	4	21750	18096.622
8_MACS_peak_17313_lociStitched	chr3	171771599	171793368	8	13369	11681.2454
5_MACS_peak_20330_lociStitched	chr6	25398787	25420449	5	16510	19435.1464
8_MACS_peak_14680_lociStitched	chr20	46386621	46408214	8	11866	9775.1511
5_MACS_peak_16628_lociStitched	chr3	98477503	98498988	5	17458	18767.147500000003
5_MACS_peak_1969_lociStitched	chr1	186373232	186394648	5	11282	15894.955199999999
3_MACS_peak_8317_lociStitched	chr15	89164426	89185836	3	20657	34624.252
5_MACS_peak_16050_lociStitched	chr3	32461039	32482425	5	16503	18077.5858
5_MACS_peak_1550_lociStitched	chr1	157475052	157496325	5	12242	15052.774800000001
5_MACS_peak_1406_lociStitched	chr1	153929745	153950995	5	9358	13991.0
8_MACS_peak_17473_lociStitched	chr3	183241756	183262993	8	12229	11484.969599999999
10_MACS_peak_21042_lociStitched	chr6	90049895	90071121	10	17581	18995.1474
4_MACS_peak_16405_lociStitched	chr3	53194370	53215584	4	19841	20774.870199999998
2_MACS_peak_1323_lociStitched	chr1	150532113	150553181	2	20009	41017.2892
7_MACS_peak_1831_lociStitched	chr1	175141944	175163001	7	15875	15434.780999999999
8_MACS_peak_7885_lociStitched	chr15	63789511	63810545	8	14992	20838.3838
5_MACS_peak_24151_lociStitched	chr9	33151796	33172607	5	15756	21191.8413
4_MACS_peak_17552_lociStitched	chr3	186703518	186724281	4	15450	20856.4335
6_MACS_peak_8145_lociStitched	chr15	75491291	75512030	6	13152	14025.7857
3_MACS_peak_16792_lociStitched	chr3	114159295	114179998	3	19131	25228.675799999997
