REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
8_MACS_peak_20006_lociStitched	chr6	289953	350294	8	52366	70568.7995	1	1	DUSP22	IRF4	DUSP22	1	1
4_MACS_peak_20110_lociStitched	chr6	7880302	7921616	4	39443	47383.0266	2	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
28_MACS_peak_13215_lociStitched	chr2	99060816	99125120	28	43262	37778.6	3	1	INPP4A		INPP4A	3	1
8_MACS_peak_1146_lociStitched	chr1	118147488	118187773	8	38125	34584.6725	4	1	FAM46C		FAM46C	4	1
10_MACS_peak_13162_lociStitched	chr2	89130572	89166913	10	29874	36511.8027	5	1			ANKRD36BP2	5	1
8_MACS_peak_7694_lociStitched	chr15	45001819	45029578	8	22196	43825.9092	6	1	B2M,TRIM69	SPG11,PATL2	B2M	6	1
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	6	27825	36499.174	7	1	ZBTB38		RASA2	7	1
2_MACS_peak_1323_lociStitched	chr1	150532113	150553181	2	20009	41017.2892	8	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	8	1
14_MACS_peak_7252_lociStitched	chr14	91829275	91867148	14	28602	30037.0763	9	1	CCDC88C		CCDC88C	9	1
6_MACS_peak_2134_lociStitched	chr1	203251694	203281480	6	19798	40511.9386	10	1	BTG2,LOC730227	FMOD	LOC730227	10	1
9_MACS_peak_15148_lociStitched	chr21	44829285	44865269	9	25114	34501.4592	11	1	SIK1	C21orf125,C21orf84	SIK1	11	1
8_MACS_peak_17321_lociStitched	chr3	171798405	171832507	8	27092	28553.6046	12	1	FNDC3B		FNDC3B	12	1
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	7	24091	32342.8307	13	1	MEF2D		MEF2D	13	1
15_MACS_peak_23017_lociStitched	chr8	27217727	27256891	15	28545	22417.4736	14	1	PTK2B	TRIM35	PTK2B	14	1
3_MACS_peak_8317_lociStitched	chr15	89164426	89185836	3	20657	34624.252	15	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	15	1
11_MACS_peak_6092_lociStitched	chr12	123354698	123388183	11	25898	27122.85	16	1	VPS37B	HIP1R	VPS37B	16	1
18_MACS_peak_20816_lociStitched	chr6	52376931	52423261	18	26924	24494.671	17	1	TRAM2		TRAM2	17	1
15_MACS_peak_1154_lociStitched	chr1	118192608	118230756	15	25141	26215.3056	18	1		FAM46C	FAM46C	18	1
6_MACS_peak_4670_lociStitched	chr11	111223871	111251428	6	23973	26763.3584	19	1	POU2AF1		POU2AF1	19	1
16_MACS_peak_22071_lociStitched	chr7	55566590	55605125	16	25800	23186.5095	20	1	VOPP1		VOPP1	20	1
4_MACS_peak_15295_lociStitched	chr22	23222375	23248704	4	25141	24012.048	21	1	IGLL5		IGLL5	21	1
14_MACS_peak_13139_lociStitched	chr2	88890796	88928511	14	24597	24503.4355	22	1	EIF2AK3		EIF2AK3	22	1
8_MACS_peak_8130_lociStitched	chr15	75315404	75343229	8	24357	24850.5075	23	1	PPCDC	SCAMP5	PPCDC	23	1
7_MACS_peak_15844_lociStitched	chr3	13035306	13064314	7	21504	28393.0304	24	1	IQSEC1	IQSEC1	IQSEC1	24	1
5_MACS_peak_8110_lociStitched	chr15	75067247	75093214	5	21447	27904.1382	25	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	25	1
1_MACS_peak_4196_lociStitched	chr11	65183604	65199862	1	16259	33112.6686	26	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	26	1
2_MACS_peak_2800_lociStitched	chr10	22595728	22616079	2	20269	28792.5948	27	1	COMMD3,BMI1	SPAG6	COMMD3	27	1
5_MACS_peak_7788_lociStitched	chr15	52958186	52976919	5	17638	29229.0999	28	1	KIAA1370		KIAA1370	28	1
12_MACS_peak_21772_lociStitched	chr7	8000413	8030655	12	23011	20900.2462	29	1	GLCCI1		GLCCI1	29	1
5_MACS_peak_21110_lociStitched	chr6	106531854	106555589	5	22885	20063.1955	30	1	PRDM1		PRDM1	30	1
11_MACS_peak_22673_lociStitched	chr7	137658908	137686933	11	23221	18919.6775	31	1	CREB3L2		CREB3L2	31	1
2_MACS_peak_17078_lociStitched	chr3	141095630	141112540	2	16164	29332.086	32	1	ZBTB38		ZBTB38	32	1
3_MACS_peak_16792_lociStitched	chr3	114159295	114179998	3	19131	25228.6758	33	1	ZBTB20		ZBTB20	33	1
17_MACS_peak_17329_lociStitched	chr3	171840167	171879265	17	22351	19419.9766	34	1	FNDC3B		FNDC3B	34	1
5_MACS_peak_11459_lociStitched	chr19	13943864	13959053	5	12456	31072.1373	35	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	35	1
5_MACS_peak_15789_lociStitched	chr3	5222935	5247567	5	19217	23962.0096	36	1	EDEM1		EDEM1	36	1
7_MACS_peak_4856_lociStitched	chr11	128585803	128610900	7	21328	20278.376	37	1	FLI1		FLI1	37	1
10_MACS_peak_19888_lociStitched	chr5	173310287	173336432	10	21942	17945.928	38	1	CPEB4		CPEB4	38	1
4_MACS_peak_12460_lociStitched	chr2	20403985	20425995	4	21750	18096.622	39	1	SDC1		SDC1	39	1
2_MACS_peak_2537_lociStitched	chr1	234734238	234749277	2	15014	27256.6836	40	1	IRF2BP2	NCRNA00184	IRF2BP2	40	1
4_MACS_peak_16405_lociStitched	chr3	53194370	53215584	4	19841	20774.8702	41	1	PRKCD	RFT1	PRKCD	41	1
7_MACS_peak_24657_lociStitched	chr9	112904427	112928969	7	20519	18740.2712	42	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	42	1
10_MACS_peak_19610_lociStitched	chr5	139027466	139055603	10	21094	16811.8575	43	1	CXXC5		CXXC5	43	1
8_MACS_peak_4409_lociStitched	chr11	74652824	74678437	8	18578	20346.9672	44	1	SPCS2,XRRA1	NEU3	SPCS2	44	1
8_MACS_peak_11084_lociStitched	chr19	2040057	2062663	8	13898	26250.0872	45	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	45	1
14_MACS_peak_10904_lociStitched	chr18	52967922	53002217	14	19682	17775.0985	46	1	TCF4		TCF4	46	1
2_MACS_peak_15143_lociStitched	chr21	44771933	44783995	2	10771	28040.5314	47	1			SIK1	47	1
