GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
NUF2	4242.6	41.6986	-4200.9014	0.00973288836590428	-6.66880590786564
FLJ40852	4310.615	478.5986	-3832.0164	0.0999326068897825	-3.17100563301227
SSBP1	4259.546	478.5986	-3780.9474	0.101009707470726	-3.15381158843742
CBLL1	3543.6	347.6845	-3195.9155	0.0893495451180709	-3.3493651049724
IQCG	3775.9612	678.7105	-3097.2507	0.152359263646746	-2.47597570267762
UBE2D3	4877.8753	1836.7525	-3041.1228	0.273544946154722	-1.4090956386856
RTP4	3226.2	231.004	-2995.196	0.066818157100362	-3.80384613917718
BLZF1	2927.991	69.355	-2858.636	0.0231388034614622	-5.39976741457299
NME7	2927.991	69.355	-2858.636	0.0231388034614622	-5.39976741457299
IVNS1ABP	3351.8	610.986	-2740.814	0.154180922209779	-2.45572483887704
TBCCD1	4112.7592	1434.4307	-2678.3285	0.258586910824884	-1.5196283347113
GCFC1	3041.436	383.8838	-2657.5522	0.112072396860579	-2.98601106188053
GART	3134.7399	550.9922	-2583.7477	0.14949328520106	-2.50824194183491
C21orf49	2952.5552	383.8838	-2568.6714	0.11505794051682	-2.94322244756423
CAGE1	2752.0313	276.4436	-2475.5877	0.0912814565509524	-3.31543980143264
RIOK1	2746.474	276.4436	-2470.0304	0.0914492674229691	-3.31252355731056
LOC100129387	2563.0374	96.9986	-2466.0388	0.0364651455844958	-4.72374679570608
CSTF2T	2471.7628	15.2019	-2456.5609	0.00611263199674688	-7.34514484373696
HOOK1	2404.986	0	-2404.986	0	-8
WRAP53	2413.2402	27.7056	-2385.5346	0.0113503544404796	-6.44465009923672
ACBD6	2515.6	145.9744	-2369.6256	0.0548451322645724	-4.10711525436963
FLJ10038	2465.7257	96.9986	-2368.7271	0.0378497991375818	-4.6679045808836
HNRNPK	2498.4732	156.4166	-2342.0566	0.0589164190543803	-3.99758120846148
COPS4	2455	120.415	-2334.585	0.0467555714321769	-4.34963600077081
C3orf58	2406.4701	79.948	-2326.5221	0.0321538843366689	-4.91171274461542
BPGM	2504.6	192.546	-2312.054	0.0713887939325494	-3.70130515691811
SRFBP1	2317.2036	31.2192	-2285.9844	0.0132936880020071	-6.21380743290579
GAS5	2397.3376	121.0512	-2276.2864	0.0480669227880937	-4.30774380158487
KIAA1377	2265.3626	0	-2265.3626	0	-8
USP15	2780.4	551.3464	-2229.0536	0.165482703005247	-2.33426152460675
RPL22L1	2562.2886	351.9996	-2210.289	0.120784073448879	-2.86378728633823
SCAMP1	2453.8	245.4098	-2208.3902	0.090919127516505	-3.32175289844982
SNORD75	2295.614	121.0512	-2174.5628	0.0500901821236967	-4.24519079175663
SPTLC3	2430.78	256.817	-2173.963	0.0955563650353829	-3.24260671689676
RBBP5	2413.252	244.0719	-2169.1801	0.0918487580682204	-3.30560046225432
DCLRE1A	2176.0532	12.6807	-2163.3725	0.00579362342768118	-7.42293563037693
ZBTB37	2278.2824	121.0512	-2157.2312	0.0504520088411216	-4.23425729835926
ETV1	2156.3952	0	-2156.3952	0	-8
SNORD74	2262.3035	121.0512	-2141.2523	0.0507902579502749	-4.22410320130628
CENPL	2250.3627	121.0512	-2129.3115	0.0510460025556905	-4.21646825895221
DDX5	2567.5764	438.7018	-2128.8746	0.145928543805427	-2.5490946746833
NHLRC2	2136.1637	12.6807	-2123.483	0.00590117181123026	-7.39624401133123
WASL	2800.4	684.5089	-2115.8911	0.196420887788487	-2.03249170707093
NUCKS1	2671.6	557.9118	-2113.6882	0.172754222480314	-2.25959504908404
FEM1A	2654.2	544.9151	-2109.2849	0.170333071167086	-2.28417371042661
TMEM87A	2137.761	39.6545	-2098.1065	0.0182117285378009	-5.75247216715712
BRP44	2973.3254	882.8766	-2090.4488	0.22894978012044	-1.75179364903644
ALG3	2818.6074	729.4565	-2089.1509	0.205592830501164	-1.95008868791397
C7orf55	3778.8	1697.3845	-2081.4155	0.309957507823193	-1.15461475493218
CGGBP1	2495.5772	422.9478	-2072.6294	0.144918340600132	-2.56082201114264
EIF4E	2228.5387	156.3975	-2072.1412	0.0655772259232763	-3.83280865789882
GORAB	2081.6	33.6771	-2047.9229	0.0159208928229781	-5.94978114644113
DDX60	2046.9675	0	-2046.9675	0	-8
RMI1	2187.7055	156.4166	-2031.2889	0.0667271555521788	-3.80595300691991
NCOR1	2056.1674	31.2598	-2024.9076	0.0149752767425853	-6.03950536607834
DEGS1	2662.6	659.712	-2002.888	0.198570152351736	-2.01292745751472
C16orf80	2049.0784	58.0437	-1991.0347	0.0275464340675844	-5.14169188724439
CNOT1	2093.8	111.2272	-1982.5728	0.0504425523639799	-4.23454210300888
DPP9	2585	602.6575	-1982.3425	0.189059677835527	-2.10075404732207
TNPO1	2261.6042	281.9318	-1979.6724	0.110842464977889	-3.0039283490563
DARS2	2098.7167	121.0512	-1977.6655	0.0545332689962766	-4.11581814814578
ATR	2007.8942	44.492	-1963.4022	0.0216781812311932	-5.49599349069447
PAFAH2	2226.8359	285.1176	-1941.7183	0.113504330394651	-2.96536624381776
