REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
9_MACS_peak_23820_lociStitched	chr6	108878301	108961425	9	76551	168101.6652	11994.7932
9_MACS_peak_9792_lociStitched	chr16	11761587	11843254	9	68971	231199.277	14455.059
11_MACS_peak_19205_lociStitched	chr3	141079122	141160545	11	70813	494001.4833	15209.8164
6_MACS_peak_14189_lociStitched	chr2	37525717	37593660	6	53182	249119.8038	12304.4773
7_MACS_peak_12203_lociStitched	chr18	9095057	9158864	7	51816	204763.04369999998	10764.240899999999
5_MACS_peak_8298_lociStitched	chr14	91829237	91886027	5	47194	170125.80299999999	6065.1720000000005
5_MACS_peak_14849_lociStitched	chr2	99054837	99107982	5	44954	185332.55849999998	9597.987000000001
3_MACS_peak_16450_lociStitched	chr20	30261737	30312264	3	47685	204366.5569	9938.6609
7_MACS_peak_22665_lociStitched	chr6	290131	337800	7	32491	208113.32020000002	15835.6418
3_MACS_peak_1382_lociStitched	chr1	118141979	118188247	3	37669	161702.0332	5084.8532
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024
7_MACS_peak_10359_lociStitched	chr16	68278131	68320840	7	27578	60791.9906	7166.5702
6_MACS_peak_12453_lociStitched	chr18	46440475	46482781	6	36427	92552.8362	7200.481199999999
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.78089999998	6562.214
2_MACS_peak_22776_lociStitched	chr6	7878487	7919616	2	40909	238408.3614	8221.6871
8_MACS_peak_8352_lociStitched	chr14	95945726	95986054	8	22976	38069.632	3085.092
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048
5_MACS_peak_10475_lociStitched	chr16	78768031	78804986	5	34547	40343.773499999996	3603.1125
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.016399999999
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.636799999999
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.717799999999
5_MACS_peak_22549_lociStitched	chr5	173310030	173344021	5	28002	57036.898	5622.1114
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.51640000001	6034.2804
8_MACS_peak_1178_lociStitched	chr1	93408897	93442051	8	21007	36151.1216	2774.9898
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.135200000001
6_MACS_peak_24117_lociStitched	chr6	138246983	138279664	6	15635	37096.2031	5513.284699999999
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059000000005
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.40400000001	7710.5084
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202
6_MACS_peak_26832_lociStitched	chr8	120916686	120947713	6	24709	61995.0487	5051.1956
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.608399999999
6_MACS_peak_10054_lociStitched	chr16	30193742	30223724	6	16645	43806.7002	5843.4918
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119
