REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
11_MACS_peak_19205_lociStitched	chr3	141079122	141160545	11	70813	494001.4833	15209.8164	1	ZBTB38	RASA2	ZBTB38	ZBTB38	3.5465	1	1
9_MACS_peak_23820_lociStitched	chr6	108878301	108961425	9	76551	168101.6652	11994.7932	2	FOXO3		FOXO3	FOXO3	1.4862000000000002	2	1
9_MACS_peak_9792_lociStitched	chr16	11761587	11843254	9	68971	231199.277	14455.059	3	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.9042	3	1
6_MACS_peak_14189_lociStitched	chr2	37525717	37593660	6	53182	249119.8038	12304.4773	4	QPCT,PRKD3		QPCT	QPCT	3.8457000000000003	4	1
7_MACS_peak_12203_lociStitched	chr18	9095057	9158864	7	51816	204763.0437	10764.2409	5	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.4971	5	1
3_MACS_peak_16450_lociStitched	chr20	30261737	30312264	3	47685	204366.5569	9938.6609	6	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.904	6	1
2_MACS_peak_22776_lociStitched	chr6	7878487	7919616	2	40909	238408.3614	8221.6871	7	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.1643	7	1
5_MACS_peak_8298_lociStitched	chr14	91829237	91886027	5	47194	170125.803	6065.172	8	CCDC88C		CCDC88C	CCDC88C	1.3260999999999998	8	1
5_MACS_peak_14849_lociStitched	chr2	99054837	99107982	5	44954	185332.5585	9597.987	9	INPP4A		INPP4A	INPP4A	1.2138	9	1
3_MACS_peak_1382_lociStitched	chr1	118141979	118188247	3	37669	161702.0332	5084.8532	10	FAM46C		FAM46C	FAM46C	4.233	10	1
7_MACS_peak_22665_lociStitched	chr6	290131	337800	7	32491	208113.3202	15835.6418	11	DUSP22		DUSP22	DUSP22	2.7529	11	1
2_MACS_peak_20493_lociStitched	chr4	90204452	90230139	2	25651	199331.12	5430.2318	12	GPRIN3		GPRIN3	GPRIN3	2.6902	12	1
5_MACS_peak_4794_lociStitched	chr11	65183322	65212294	5	24540	204956.6196	6443.3728	13	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.7767	13	1
3_MACS_peak_8451_lociStitched	chr14	106024643	106052811	3	26606	184706.0264	4658.9872	14		TMEM121	TMEM121	TMEM121	0.11270000000000001	14	1
6_MACS_peak_12453_lociStitched	chr18	46440475	46482781	6	36427	92552.8362	7200.4812	15	SMAD7		SMAD7	SMAD7	2.0509	15	1
