#15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_ROSE/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam
#Using cutoff of 26071.572 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isStretch
9_MACS_peak_23820_lociStitched	chr6	108878301	108961425	9	76551	168101.6652	11994.7932	1	1
11_MACS_peak_19205_lociStitched	chr3	141079122	141160545	11	70813	494001.4833	15209.8164	2	1
9_MACS_peak_9792_lociStitched	chr16	11761587	11843254	9	68971	231199.277	14455.059	3	1
6_MACS_peak_14189_lociStitched	chr2	37525717	37593660	6	53182	249119.8038	12304.4773	4	1
7_MACS_peak_12203_lociStitched	chr18	9095057	9158864	7	51816	204763.0437	10764.2409	5	1
3_MACS_peak_16450_lociStitched	chr20	30261737	30312264	3	47685	204366.5569	9938.6609	6	1
5_MACS_peak_8298_lociStitched	chr14	91829237	91886027	5	47194	170125.803	6065.172	7	1
5_MACS_peak_14849_lociStitched	chr2	99054837	99107982	5	44954	185332.5585	9597.987	8	1
2_MACS_peak_22776_lociStitched	chr6	7878487	7919616	2	40909	238408.3614	8221.6871	9	1
3_MACS_peak_1382_lociStitched	chr1	118141979	118188247	3	37669	161702.0332	5084.8532	10	1
6_MACS_peak_12453_lociStitched	chr18	46440475	46482781	6	36427	92552.8362	7200.4812	11	1
5_MACS_peak_10475_lociStitched	chr16	78768031	78804986	5	34547	40343.7735	3603.1125	12	1
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.6368	13	1
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024	14	1
7_MACS_peak_22665_lociStitched	chr6	290131	337800	7	32491	208113.3202	15835.6418	15	1
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048	16	1
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.1352	17	1
3_MACS_peak_6228_lociStitched	chr12	53845153	53874830	3	29404	47708.7452	5365.6016	18	1
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.6084	19	1
5_MACS_peak_22549_lociStitched	chr5	173310030	173344021	5	28002	57036.898	5622.1114	20	1
2_MACS_peak_16026_lociStitched	chr2	232686871	232714834	2	27941	49969.881	3540.1158	21	1
7_MACS_peak_10359_lociStitched	chr16	68278131	68320840	7	27578	60791.9906	7166.5702	22	1
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059	23	1
3_MACS_peak_8451_lociStitched	chr14	106024643	106052811	3	26606	184706.0264	4658.9872	24	1
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404	25	1
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.9728	4907.7392	26	1
1_MACS_peak_23787_lociStitched	chr6	106530435	106556568	1	26134	178485.7767	5124.6813	27	1
2_MACS_peak_1689_lociStitched	chr1	154907910	154936473	2	25681	183320.1903	8337.5397	28	1
2_MACS_peak_20493_lociStitched	chr4	90204452	90230139	2	25651	199331.12	5430.2318	29	1
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202	30	1
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288	31	1
6_MACS_peak_26832_lociStitched	chr8	120916686	120947713	6	24709	61995.0487	5051.1956	32	1
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388	33	1
5_MACS_peak_4794_lociStitched	chr11	65183322	65212294	5	24540	204956.6196	6443.3728	34	1
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37	35	1
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.7809	6562.214	36	1
7_MACS_peak_19597_lociStitched	chr3	183224610	183261422	7	24157	98383.7512	9376.0164	37	1
8_MACS_peak_8589_lociStitched	chr15	31628713	31660674	8	23624	66418.1541	5359.8597	38	1
6_MACS_peak_11200_lociStitched	chr17	34509822	34539727	6	23544	83859.601	6573.119	39	1
3_MACS_peak_16808_lociStitched	chr20	52191902	52215964	3	23393	79532.1286	4006.323	40	1
4_MACS_peak_17420_lociStitched	chr22	23217801	23243915	4	23360	180549.5846	3742.1362	41	1
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.303	5801.5749	42	1
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.9	43	1
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578	44	1
8_MACS_peak_8352_lociStitched	chr14	95945726	95986054	8	22976	38069.632	3085.092	45	1
5_MACS_peak_26153_lociStitched	chr8	27216439	27253005	5	22920	67164.4288	6519.7178	46	1
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44	47	1
6_MACS_peak_10903_lociStitched	chr17	16849919	16883387	6	22513	97301.5164	6034.2804	48	1
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.6728	49	1
4_MACS_peak_22100_lociStitched	chr5	131744829	131774388	4	22020	99749.8014	5175.7809	50	1
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386	51	1
6_MACS_peak_13124_lociStitched	chr19	16243987	16273218	6	21612	60525.7086	5042.3475	52	1
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465	53	1
1_MACS_peak_2928_lociStitched	chr10	11202486	11223770	1	21285	182239.9932	4935.7596	54	1
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388	55	1
4_MACS_peak_2338_lociStitched	chr1	206728016	206754642	4	21180	74989.4664	6502.0692	56	1
1_MACS_peak_14002_lociStitched	chr2	20405266	20426412	1	21147	92818.2524	3634.9974	57	1
8_MACS_peak_1178_lociStitched	chr1	93408897	93442051	8	21007	36151.1216	2774.9898	58	1
6_MACS_peak_9184_lociStitched	chr15	75065406	75092987	6	20812	66630.1798	5030.7744	59	1
3_MACS_peak_10236_lociStitched	chr16	56963361	56985908	3	20595	64520.4952	4389.9009	60	1
3_MACS_peak_1753_lociStitched	chr1	156450295	156476000	3	20538	68490.9725	6313.148	61	1
1_MACS_peak_21783_lociStitched	chr5	88110567	88130912	1	20346	71004.05	4119.8625	62	1
4_MACS_peak_21074_lociStitched	chr4	185317494	185350092	4	20268	83705.1444	5512.3218	63	1
3_MACS_peak_27900_lociStitched	chr9	112904315	112925448	3	20095	56256.046	4023.7232	64	1
4_MACS_peak_19468_lociStitched	chr3	171801771	171826969	4	19855	79998.6104	5994.6042	65	1
1_MACS_peak_17191_lociStitched	chr21	41324695	41344341	1	19647	105009.8346	6052.9326	66	1
1_MACS_peak_482_lociStitched	chr1	31213566	31233193	1	19628	104335.1693	3911.6611	67	1
4_MACS_peak_1385_lociStitched	chr1	118194854	118219216	4	19531	108162.4076	3064.7396	68	1
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313	69	1
4_MACS_peak_24768_lociStitched	chr7	38383547	38408549	4	19513	49861.4886	5242.9194	70	1
4_MACS_peak_8237_lociStitched	chr14	81930581	81956399	4	19469	50079.1746	2509.5096	71	1
2_MACS_peak_12012_lociStitched	chr17	76710942	76733754	2	19342	64865.922	4603.4616	72	1
5_MACS_peak_15654_lociStitched	chr2	197024169	197048634	5	19270	42503.0445	4149.264	73	1
2_MACS_peak_16243_lociStitched	chr20	5570533	5592457	2	19243	39980.6064	3613.0752	74	1
2_MACS_peak_1583_lociStitched	chr1	150532026	150553108	2	19061	102144.3982	6063.1832	75	1
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416	76	1
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566	77	1
5_MACS_peak_11869_lociStitched	chr17	72733569	72756908	5	18385	36063.4228	3759.9129	78	1
4_MACS_peak_17256_lociStitched	chr21	45552462	45580594	4	18291	111703.7324	6653.218	79	1
2_MACS_peak_11308_lociStitched	chr17	38465555	38484309	2	18128	61749.4204	3578.2632	80	1
5_MACS_peak_11193_lociStitched	chr17	34408860	34432619	5	17839	48285.4157	4312.2585	81	1
4_MACS_peak_8719_lociStitched	chr15	40834250	40862995	4	17839	62727.339	5013.128	82	1
2_MACS_peak_18648_lociStitched	chr3	69128219	69146142	2	17794	54308.4823	3218.9708	83	1
3_MACS_peak_1670_lociStitched	chr1	154370222	154394544	3	17772	90847.5344	6053.7458	84	1
3_MACS_peak_17417_lociStitched	chr22	23188680	23209796	3	17655	51440.6876	2508.5808	85	1
3_MACS_peak_13420_lociStitched	chr19	39880702	39904080	3	17640	87197.6022	3932.1796	86	1
4_MACS_peak_4275_lociStitched	chr11	10323795	10345140	4	17469	78092.817	3955.2285	87	1
3_MACS_peak_25912_lociStitched	chr8	2027511	2050846	3	17424	111233.278	4001.9525	88	1
5_MACS_peak_23151_lociStitched	chr6	31781591	31805665	5	17406	41171.3548	3931.2842	89	1
4_MACS_peak_18064_lociStitched	chr3	13035665	13061630	4	17403	95629.095	4871.034	90	1
2_MACS_peak_23686_lociStitched	chr6	90054029	90071299	2	17210	55398.706	3200.131	91	1
4_MACS_peak_22960_lociStitched	chr6	25365943	25390448	4	17203	48345.9145	4261.4195	92	1
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299	93	1
4_MACS_peak_1557_lociStitched	chr1	149802863	149834067	4	16870	110805.404	7710.5084	94	1
1_MACS_peak_24927_lociStitched	chr7	55569337	55586195	1	16859	56700.1972	3000.724	95	1
5_MACS_peak_14826_lociStitched	chr2	97190792	97213010	5	16790	81413.4174	3925.9206	96	1
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089	97	1
5_MACS_peak_9931_lociStitched	chr16	22194940	22219188	5	16708	45777.7992	4337.9672	98	1
7_MACS_peak_18381_lociStitched	chr3	46320118	46347130	7	16702	40518	4805.4348	99	1
6_MACS_peak_10054_lociStitched	chr16	30193742	30223724	6	16645	43806.7002	5843.4918	100	1
2_MACS_peak_1044_lociStitched	chr1	75595550	75612713	2	16584	53296.2639	2529.8262	101	1
4_MACS_peak_14777_lociStitched	chr2	88899100	88928638	4	16383	31268.9268	5423.1768	102	1
4_MACS_peak_22104_lociStitched	chr5	131789656	131816339	4	16319	51410.1361	4947.0282	103	1
1_MACS_peak_21784_lociStitched	chr5	88170793	88187049	1	16257	81049.1648	3231.6928	104	1
3_MACS_peak_8703_lociStitched	chr15	40387439	40408993	3	16180	66172.9354	3806.4364	105	1
3_MACS_peak_3938_lociStitched	chr10	112611901	112633226	3	16002	55105.9325	3911.005	106	1
3_MACS_peak_6777_lociStitched	chr12	108952824	108970840	3	15930	85458.896	3832.0032	107	1
5_MACS_peak_9410_lociStitched	chr15	89646631	89675145	5	15924	75257.0002	4898.7052	108	1
1_MACS_peak_5796_lociStitched	chr12	12866236	12882020	1	15785	154994.1448	2910.5696	109	1
4_MACS_peak_21487_lociStitched	chr5	55272669	55292079	4	15708	35830.86	3344.343	110	1
3_MACS_peak_22639_lociStitched	chr5	180227741	180249437	3	15640	57880.5888	3618.8928	111	1
6_MACS_peak_24117_lociStitched	chr6	138246983	138279664	6	15635	37096.2031	5513.2847	112	1
1_MACS_peak_4804_lociStitched	chr11	65263342	65278966	1	15625	74581.164	3484.152	113	1
1_MACS_peak_5837_lociStitched	chr12	15100750	15116310	1	15561	44125.048	3069.988	114	1
6_MACS_peak_10034_lociStitched	chr16	29815290	29837375	6	15481	51347.625	3365.754	115	1
3_MACS_peak_18776_lociStitched	chr3	98479571	98495885	3	15417	60502.1004	2744.0148	116	1
4_MACS_peak_19138_lociStitched	chr3	133179388	133200412	4	15349	68901.9552	4032.4032	117	1
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224	118	1
2_MACS_peak_17704_lociStitched	chr22	38782042	38797230	2	15152	40444.1252	2524.2456	119	1
5_MACS_peak_15731_lociStitched	chr2	202081199	202101919	5	15091	34140.344	3650.864	120	1
4_MACS_peak_324_lociStitched	chr1	24512131	24533882	4	14988	77572.7664	4006.5342	121	1
4_MACS_peak_8203_lociStitched	chr14	77487873	77508014	4	14947	43331.3474	1579.0544	122	1
7_MACS_peak_4750_lociStitched	chr11	63992547	64020268	7	14941	34177.2209	4244.0851	123	1
