REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
11_MACS_peak_19205_lociStitched	chr3	141079122	141160545	11	70813	494001.4833	15209.8164	1	ZBTB38	RASA2	ZBTB38	ZBTB38	3.5465	1	1
6_MACS_peak_14189_lociStitched	chr2	37525717	37593660	6	53182	249119.8038	12304.4773	2	QPCT,PRKD3		QPCT	QPCT	3.8457000000000003	2	1
2_MACS_peak_22776_lociStitched	chr6	7878487	7919616	2	40909	238408.3614	8221.6871	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.1643	3	1
9_MACS_peak_9792_lociStitched	chr16	11761587	11843254	9	68971	231199.277	14455.059	4	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.9042	4	1
5_MACS_peak_4794_lociStitched	chr11	65183322	65212294	5	24540	204956.6196	6443.3728	5	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.7767	5	1
3_MACS_peak_16450_lociStitched	chr20	30261737	30312264	3	47685	204366.5569	9938.6609	6	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.904	6	1
7_MACS_peak_12203_lociStitched	chr18	9095057	9158864	7	51816	204763.0437	10764.2409	7	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.4971	7	1
2_MACS_peak_20493_lociStitched	chr4	90204452	90230139	2	25651	199331.12	5430.2318	8	GPRIN3		GPRIN3	GPRIN3	2.6902	8	1
7_MACS_peak_22665_lociStitched	chr6	290131	337800	7	32491	208113.3202	15835.6418	9	DUSP22		DUSP22	DUSP22	2.7529	9	1
3_MACS_peak_8451_lociStitched	chr14	106024643	106052811	3	26606	184706.0264	4658.9872	10		TMEM121	TMEM121	TMEM121	0.11270000000000001	10	1
2_MACS_peak_17424_lociStitched	chr22	23268797	23285990	2	16919	183246.4326	3512.5299	11		IGLL5	IGLL5	IGLL5	9.2417	11	1
1_MACS_peak_2928_lociStitched	chr10	11202486	11223770	1	21285	182239.9932	4935.7596	12	CELF2		CELF2	CELF2	0.7885	12	1
4_MACS_peak_17420_lociStitched	chr22	23217801	23243915	4	23360	180549.5846	3742.1362	13	IGLL5		IGLL5	IGLL5	9.2417	13	1
5_MACS_peak_14849_lociStitched	chr2	99054837	99107982	5	44954	185332.5585	9597.987	14	INPP4A		INPP4A	INPP4A	1.2138	14	1
2_MACS_peak_1689_lociStitched	chr1	154907910	154936473	2	25681	183320.1903	8337.5397	15	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	4.232	15	1
1_MACS_peak_23787_lociStitched	chr6	106530435	106556568	1	26134	178485.7767	5124.6813	16	PRDM1		PRDM1	PRDM1	5.164000000000001	16	1
5_MACS_peak_8298_lociStitched	chr14	91829237	91886027	5	47194	170125.803	6065.172	17	CCDC88C		CCDC88C	CCDC88C	1.3260999999999998	17	1
1_MACS_peak_6213_lociStitched	chr12	53581931	53604064	1	22134	167799.1262	4904.6728	18	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	6.3079	18	1
5_MACS_peak_25347_lociStitched	chr7	102063427	102093327	5	23096	165134.71	5112.9	19	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.75	19	1
3_MACS_peak_1382_lociStitched	chr1	118141979	118188247	3	37669	161702.0332	5084.8532	20	FAM46C		FAM46C	FAM46C	4.233	20	1
9_MACS_peak_23820_lociStitched	chr6	108878301	108961425	9	76551	168101.6652	11994.7932	21	FOXO3		FOXO3	FOXO3	1.4862000000000002	21	1
4_MACS_peak_6780_lociStitched	chr12	109009420	109036180	4	21231	160683.096	4985.388	22	SELPLG	TMEM119	SELPLG	SELPLG	6.6475	22	1
1_MACS_peak_5796_lociStitched	chr12	12866236	12882020	1	15785	154994.1448	2910.5696	23	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	10.0707	23	1
2_MACS_peak_15724_lociStitched	chr2	201979723	201998220	2	16763	155742.8903	3952.8089	24	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6805	24	1
2_MACS_peak_4413_lociStitched	chr11	22676801	22704027	2	23090	151107.0226	4500.4578	25	GAS2	FANCF	GAS2	GAS2	0.9327999999999999	25	1
2_MACS_peak_25814_lociStitched	chr7	150062789	150084796	2	21312	144696.025	5490.7465	26	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.204700000000001	26	1
2_MACS_peak_12770_lociStitched	chr19	2081571	2098407	2	15246	136819.4376	4771.3224	27	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	3.7702999999999998	27	1
2_MACS_peak_8458_lociStitched	chr14	106145057	106169494	2	22516	131888.9327	2932.44	28			TMEM121	TMEM121	0.11270000000000001	28	1
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.7809	6562.214	29	PYGB,ABHD12		PYGB	PYGB	1.1992	29	1
3_MACS_peak_11657_lociStitched	chr17	56404980	56431081	3	19528	130948.717	5254.1313	30	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	4.7296	30	1
5_MACS_peak_11150_lociStitched	chr17	32690623	32719762	5	23306	130455.303	5801.5749	31		CCL8,CCL13,CCL1	CCL1	CCL1	1.1107	31	1
3_MACS_peak_12199_lociStitched	chr18	9054808	9074466	3	13864	124981.6324	3744.849	32		NDUFV2	NDUFV2	NDUFV2	3.6739	32	1
1_MACS_peak_22964_lociStitched	chr6	25402785	25415304	1	12520	121118.8212	2781.7218	33	LRRC16A		LRRC16A	LRRC16A	0.46629999999999994	33	1
1_MACS_peak_20117_lociStitched	chr4	40191175	40209936	1	18762	117327.5418	3763.4566	34	RHOH		RHOH	RHOH	1.8922999999999999	34	1
3_MACS_peak_1740_lociStitched	chr1	156115447	156137138	3	21614	118356.9415	5739.4386	35	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	3.0105000000000004	35	1
5_MACS_peak_2330_lociStitched	chr1	206282082	206310986	5	18870	119009.3296	7093.0416	36	C1orf186	CTSE	C1orf186	C1orf186	1.4961	36	1
2_MACS_peak_3917_lociStitched	chr10	112112782	112122475	2	8139	111851.4042	2217.7584	37		SMNDC1	SMNDC1	SMNDC1	0.2334	37	1
