GENE	H3k27me3_22_DMSO_compare_TSS_SIGNAL	H3k27me3_22_DMSO_compare_DISTAL_SIGNAL
A4GALT	1682.5258	2797.8134
AAAS	0.0	1020.3537
AADACL3	0.0	904.0678
AADACL4	0.0	563.6232
AANAT	0.0	66985.6262
AARS2	0.0	23888.0908
AATF	0.0	41445.6673
AATK	6192.478000000001	260923.33620000002
ABCA17P	398.6728	104036.87319999999
ABCA2	3005.1477999999997	209086.77579999992
ABCA3	488.5528	104036.87319999999
ABCA4	0.0	1263.0997
ABCA7	0.0	18867.1088
ABCB6	0.0	25735.461400000004
ABCB8	0.0	46786.8874
ABCC1	0.0	0.0
ABCC10	0.0	760.2596
ABCC3	8479.2	243248.1073999999
ABCC8	345.281	323.89329999999995
ABCD1	0.0	76455.94720000001
ABCD4	0.0	2146.196
ABCF1	0.0	16901.001
ABCF2	0.0	144485.09370000003
ABCF3	0.0	26199.3388
ABCG1	1931.7763	113864.83529999999
ABCG4	2280.1748	10004.7149
ABHD11	0.0	20913.6545
ABHD14A	0.0	7471.057899999999
ABHD14B	0.0	7471.057899999999
ABHD15	0.0	923.6964
ABHD8	0.0	41907.9186
ABI3	4850.9421	28874.8289
ABL1	0.0	233239.84569999998
ABLIM2	551.3984	82533.2442
ABO	4045.7691999999993	194302.62059999988
ABP1	0.0	0.0
ABR	9251.9554	382615.87950000004
ABTB2	587.5276	782.6961
ACAD8	0.0	1444.1534
ACADVL	0.0	158368.57250000007
ACAN	828.029	990.4585000000001
ACAP1	0.0	119165.00740000003
ACAP3	0.0	92390.6028
ACBD3	0.0	0.0
ACBD4	0.0	3731.0652
ACCN2	1882.0238	29407.704999999994
ACCN3	390.128	46786.8874
ACCN4	6080.8	273484.85719999997
ACE	20003.712	95635.7181
ACER1	3719.2	45638.29259999998
ACHE	3306.1227	89426.34999999998
ACIN1	0.0	550.6998
ACLY	0.0	2218.6852
ACN9	0.0	125.001
ACOT11	0.0	593.7216
ACOT7	0.0	183894.39970000007
ACOX1	0.0	20747.739599999997
ACOX3	0.0	35947.2083
ACP1	0.0	1227.4463999999998
ACP2	0.0	20339.8378
ACP5	0.0	10672.5686
ACPT	0.0	37578.9069
ACR	0.0	47112.59369999999
ACRBP	0.0	41547.486
ACSBG1	2013.5345000000002	1914.6581
ACSBG2	0.0	72856.63850000002
ACSF3	0.0	47074.423899999994
ACSL3	0.0	2600.5555
ACSL6	3932.7999999999997	823.506
ACTA2	0.0	528.5766
ACTB	0.0	108833.84459999998
ACTG1	0.0	631352.3105000001
ACTL6B	3012.0526000000004	233020.64679999996
ACTL8	0.0	155774.54279999988
ACTL9	0.0	150970.3852
ACTN3	1784.267	56049.5076
ACTN4	0.0	4942.554099999999
ACTR1A	0.0	81728.8741
ACTR3C	0.0	0.0
ACTR5	0.0	45276.279299999995
ACTRT2	4948.799999999999	358099.64339999977
ACVR1B	551.2804	39244.333699999996
ACVRL1	0.0	76782.18929999997
ACY1	0.0	7471.057899999999
ACY3	0.0	27163.537799999995
ADA	0.0	47373.01890000001
ADAD2	0.0	1086.1112
ADAM11	3118.1288000000004	6992.0443000000005
ADAM15	0.0	79700.686
ADAM21P1	0.0	266.8116
ADAM33	5789.364	30053.463200000002
ADAM8	0.0	193772.67290000003
ADAMTS10	0.0	55729.682599999986
ADAMTS13	1916.6752	248090.39480000004
ADAMTS15	0.0	5907.8103
ADAMTS4	0.0	0.0
ADAMTS7	1740.3847999999998	34931.6262
ADAMTS8	2506.6899000000003	5907.8103
ADAMTSL2	16124.456899999997	399118.7917
ADAMTSL4	1886.967	1575.6912
ADAMTSL5	3060.6216	189306.597
ADAP1	0.0	77475.61119999997
ADAP2	484.3524	349.82099999999997
ADAR	0.0	4092.3396000000002
ADARB1	1320.508	150954.40260000003
ADAT3	0.0	15308.928
ADCK2	0.0	3414.1414999999997
ADCK4	0.0	606.1428000000001
ADCK5	0.0	16788.7186
ADCY6	0.0	516.1682999999999
ADCY9	0.0	11536.612200000003
ADIPOQ	0.0	2285.503
ADIPOR1	0.0	91.1818
ADM2	0.0	3911.9646999999995
ADNP	0.0	253.7262
ADO	0.0	2159.1345
ADORA1	9835.8	14783.8398
ADPRHL1	0.0	69477.80270000001
ADPRHL2	0.0	2466.7355
ADRA2B	2175.3204	23712.5766
ADRA2C	0.0	420473.58270000014
ADRM1	0.0	45998.5992
ADSSL1	1611.5988000000002	52349.0168
AEBP1	2259.3168	3089.1584000000003
AEN	0.0	866.0880000000001
AES	1265.8869	144240.8916000001
AFAP1	0.0	35361.23630000001
AFAP1-AS1	0.0	82591.62740000001
AFG3L1P	0.0	12956.8605
AFMID	0.0	7475.583199999999
AGAP2	0.0	2641.7832
AGAP3	0.0	94360.37309999997
AGAP9	0.0	1103.5520000000001
AGBL5	0.0	258.4875
AGER	0.0	82482.66870000002
AGFG2	0.0	102718.01820000002
AGPAT1	0.0	84097.01100000003
AGPAT2	3679.7897	511512.8049
AGPAT3	0.0	39500.5639
AGPAT5	0.0	1242.2150000000001
AGPAT6	0.0	739.332
AGRN	3445.3355999999994	304930.2083
AGRP	0.0	10584.7272
