GENE	H3k27me3_22_DMSO_compare_TSS_SIGNAL	H3k27me3_22_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	10002.3051	1824.3438	-8177.9613	0.154257035566516	-2.4548829792877
CHST3	5661.0956	627.4296	-5033.666	0.0997737275506187	-3.17355578957385
KIF26B	6148.4	1723.2802	-4425.1198	0.2189215207193	-1.83505372796245
LMO2	3959.6314	321.4825	-3638.1489	0.075093190115778	-3.62255402558503
ACSL6	3932.8	823.506	-3109.294	0.173139827420692	-2.25570575435796
LOC641518	5570.8668	2577.9058	-2992.961	0.316355103589466	-1.1117022746928
TGIF1	2873.4146	75.7123	-2797.7023	0.0256727847146896	-5.24609466633471
PLAU	2838.3104	278.9632	-2559.3472	0.089489482091017	-3.34688564870541
KIAA1614	2299.5005	122.322	-2177.1785	0.0505082432754671	-4.23256470581827
BATF3	2162.3888	37.1082	-2125.2806	0.0168712210109857	-5.86474411218803
CADM3	3766.6044	1679.8936	-2086.7108	0.308435548860938	-1.16489465803154
NFATC2	2063.971	0	-2063.971	0	-8
NDRG4	2712.4615	660.4412	-2052.0203	0.195807960899673	-2.0381006332968
CRABP1	7578.6	5577.951	-2000.649	0.423967573264452	-0.442196102019929
SPHK1	2561.7485	655.803	-1905.9455	0.203820513828605	-1.96579443932267
MIR4257	3454.4136	1575.6912	-1878.7224	0.313252161267097	-1.13245600161512
PTRF	4043.1582	2191.0392	-1852.119	0.351454896182787	-0.883867358344424
LRRN2	1723.4445	0	-1723.4445	0	-8
LMOD1	3032.6	1362.6039	-1669.9961	0.310020634082528	-1.15418897788754
MATN3	2083.4092	471.7372	-1611.672	0.184622376236446	-2.14289094753903
C1orf95	2669.6124	1067.99	-1601.6224	0.285742004018405	-1.32173215419628
GRIN2A	1625.8049	24.7338	-1601.0711	0.0149852893482594	-6.0385264246127
CITED1	1701.1342	123.0528	-1578.0814	0.0674562421506128	-3.7891475665732
PRDM14	1609.0412	61.6968	-1547.3444	0.0369278725928302	-4.70486179325946
C17orf102	3798.3116	2253.677	-1544.6346	0.372386193853703	-0.753077502577753
PTPN5	1792.3752	251.3076	-1541.0676	0.12296800658106	-2.83434646333251
PDE4DIP	2028.3754	602.8344	-1425.541	0.229109210523615	-1.7504910327083
C2orf89	1445.115	38.107	-1407.008	0.0256920407059766	-5.2449844590394
TNFRSF8	2826.8	1466.1359	-1360.6641	0.341522895787938	-0.947150977240378
NODAL	1904.028	570.2515	-1333.7765	0.230471739348768	-1.73938445304687
GSX2	1667.1514	342.8656	-1324.2858	0.170578457794138	-2.28167005677148
DLX5	1412.1744	125.001	-1287.1734	0.0813186315628002	-3.49790672732024
DENND5A	1692.896	470.9173	-1221.9787	0.21763305549513	-1.84594771785951
C21orf63	1484.6	275.4654	-1209.1346	0.156508616100288	-2.43013124925858
CA14	1750.4	542.0764	-1208.3236	0.236458879140479	-1.69111653944164
AMPD3	1784.5362	589.6611	-1194.8751	0.248362299123161	-1.5975912396252
KCNA1	1192.1112	21.1404	-1170.9708	0.0174245803590945	-5.81737233190276
CD34	1293.8924	131.5608	-1162.3316	0.0922940156856781	-3.29791605668058
SSTR2	3292.2	2131.6264	-1160.5736	0.393011546239754	-0.627097375672866
B3GNT7	1274.3496	122.6125	-1151.7371	0.0877708135388927	-3.37758314476516
VMO1	2493.7935	1342.2416	-1151.5519	0.349903367672522	-0.893697630653523
CHST13	1268.0056	128.0698	-1139.9358	0.0917355896393561	-3.30755889643577
COL9A2	1952.1177	818.1525	-1133.9652	0.295333105052352	-1.25459835534389
SLIT1	1602.4254	472.5687	-1129.8567	0.227744599370186	-1.76166121208574
SERINC2	1549.1259	421.2468	-1127.8791	0.213790416401932	-1.87871676706161
SYNC	1113.348	0	-1113.348	0	-8
NPR1	10889.2	9796.4757	-1092.7243	0.473587415856084	-0.152563231551278
SERPINB9	1098.9657	10.0317	-1088.934	0.00904573806935887	-6.77543643875809
WIPF1	1176.281	93.3508	-1082.9302	0.0735258836459515	-3.65542654822281
RHCG	1073.4664	0	-1073.4664	0	-8
