GENE_ID	locusLine	bin_1_17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33.bam
NM_001017415	chr1(.):62896974-62922475	1.0849
NM_003368	chr1(.):62897382-62922475	1.1022
NM_001006605	chr1(.):93302720-93432079	0.3854
NM_001010935	chr1(.):112157404-112261101	0.1192
NM_201569	chr1(.):183436505-183528328	0.4771
NM_001198993	chr1(.):1677670-1715297	0.9062
NM_023018	chr1(.):1677670-1714909	0.9117
NM_001198994	chr1(.):1677670-1716508	0.8797
NM_003820	chr1(.):2482804-2500267	0.8042
NM_015001	chr1(.):16169358-16271950	0.1846
NR_026567	chr1(.):17012712-17051652	0.1446
NM_001113348	chr1(.):21538739-21677034	0.3237
NM_004091	chr1(.):23827921-23862713	2.1963
NM_173065	chr1(.):24475646-24518751	2.561
NM_002379	chr1(.):31179123-31201432	0.1924
NR_034182	chr1(.):31186618-31204593	0.2209
NM_181809	chr1(.):39952317-40000541	1.3782
NM_002600	chr1(.):66253855-66845262	0.1754
NM_001037341	chr1(.):66253192-66845262	0.1752
NM_001037340	chr1(.):66453389-66845262	0.2391
NM_001081976	chr1(.):112020969-112111597	0.1387
NM_198459	chr1(.):115122195-115217732	0.1145
NM_153713	chr1(.):145472084-145504091	0.2115
NM_207168	chr1(.):150594521-150607098	1.1553
NM_015203	chr1(.):150331989-150454041	0.3686
NM_020699	chr1(.):153772202-153900451	0.2082
NM_020524	chr1(.):154911558-154933567	4.1362
NM_181359	chr1(.):154372668-154445188	1.6106
NM_002249	chr1(.):154674914-154847754	0.6594
NM_170782	chr1(.):154674914-154837338	0.6858
NM_005572	chr1(.):156079460-156112657	0.3702
NM_005973	chr1(.):156732273-156775609	0.4297
NM_012394	chr1(.):161065345-161092866	0.4824
NM_052862	chr1(.):167594473-167680486	0.5108
NM_014412	chr1(.):174963891-174986163	1.5196
NM_001007214	chr1(.):174963570-174986163	1.4996
NM_145034	chr1(.):179804101-179851941	0.6046
NM_022347	chr1(.):179823164-179851941	0.9527
NM_015149	chr1(.):183600207-183902666	0.6493
NM_025191	chr1(.):184654624-184729041	0.4942
NM_144977	chr1(.):197516384-197749623	0.3442
NM_001195215	chr1(.):197468878-197749623	0.2989
NM_014827	chr1(.):203759750-203828256	0.217
NM_182663	chr1(.):206675878-206767616	0.8851
NM_001193338	chr1(.):207071630-207100235	1.4218
NM_005449	chr1(.):207071630-207100378	1.415
NM_006147	chr1(.):209956261-209984479	0.3032
NM_002221	chr1(.):226814390-226931876	1.041
NM_020247	chr1(.):227122937-227180246	0.55
NM_004481	chr1(.):230197955-230422875	0.5541
NM_152490	chr1(.):235605532-235672781	0.474
NM_032328	chr1(.):245128170-245256148	0.4869
NR_026588	chr1(.):245128630-245256148	0.4885
NR_026587	chr1(.):245128630-245293530	0.392
NR_026586	chr1(.):245128283-245293530	0.3914
NM_182838	chr1(.):1658680-1682431	1.0503
NM_001198995	chr1(.):1677670-1695081	0.3823
NM_001010926	chr1(.):2455183-2466684	0.2712
NR_026927	chr1(.):2476358-2489284	2.331
NM_018216	chr1(.):2434974-2463035	0.1355
NM_001195741	chr1(.):2513188-2527908	0.3475
NR_036638	chr1(.):2512898-2527908	0.3435
NM_001089591	chr1(.):16128656-16139194	0.0407
NR_024279	chr1(.):16155709-16179642	1.9305
NR_026752	chr1(.):16939750-16962401	0.4857
NR_027504	chr1(.):16967068-16981915	1.8773
NR_002729	chr1(.):17076400-17095975	0.1307
NM_014675	chr1(.):17243444-17304474	0.1152
NM_001397	chr1(.):21538739-21621982	0.4338
NM_001113347	chr1(.):21538739-21611183	0.0797
NM_001113349	chr1(.):21538739-21621766	0.4296
NM_017707	chr1(.):23750055-23815750	0.0577
NM_002167	chr1(.):23879408-23891322	0.5039
NM_021258	chr1(.):24441260-24474611	0.1275
NR_027087	chr1(.):24521729-24543180	1.1098
NM_015627	chr1(.):25865075-25900377	1.1675
NM_017837	chr1(.):27109485-27129887	1.4013
NM_006015	chr1(.):27017521-27113601	0.7967
NM_032283	chr1(.):27148200-27187211	0.5251
NM_006762	chr1(.):31200314-31235683	3.8898
NM_022756	chr1(.):37953175-37985364	0.1741
NM_025079	chr1(.):37935118-37954978	1.7888
NR_003929	chr1(.):39982951-40030370	0.5359
NM_001198979	chr1(.):40854016-40893998	0.1928
NM_001198978	chr1(.):40835304-40893998	0.7032
NM_001198980	chr1(.):40857471-40893998	0.0904
NM_022733	chr1(.):40834377-40893998	0.6931
NM_006004	chr1(.):46764379-46787447	0.7705
NM_006369	chr1(.):46739071-46774038	0.5348
NM_199044	chr1(.):46801389-46835690	0.2696
NM_015696	chr1(.):53063042-53079723	0.0694
NM_001042693	chr1(.):53094065-53127737	0.9222
NM_001037339	chr1(.):66792792-66845262	0.6046
NM_001001933	chr1(.):75589118-75632218	1.2164
NM_006769	chr1(.):87789150-87819607	1.0267
NM_004974	chr1(.):111140775-111153345	0.051
NM_002232	chr1(.):111209309-111222655	1.0819
NR_034126	chr1(.):112136628-112155940	1.3046
NM_007158	chr1(.):115254536-115305624	0.2655
NM_002524	chr1(.):115242077-115264515	0.8613
NM_001172626	chr1(.):115210719-115243239	0.7097
NM_001130523	chr1(.):115254537-115305671	0.2653
NM_017709	chr1(.):118143603-118176011	3.8454
NM_001123068	chr1(.):143762143-143772881	0.0737
NR_027469	chr1(.):143713512-143749587	1.0355
NR_027468	chr1(.):143713512-143749457	1.0391
NM_032305	chr1(.):145451235-145475387	2.6434
NM_202004	chr1(.):145408190-145422545	0.0861
NM_006472	chr1(.):145433461-145447628	3.2921
NM_001039888	chr1(.):145465507-145480647	0.4032
NM_005105	chr1(.):145502637-145516444	1.4345
NR_027468	chr1(.):147901021-147936980	0.5522
NM_001161334	chr1(.):149749244-149788928	0.5213
NM_001034077	chr1(.):149799220-149809616	1.5342
NM_001005464	chr1(.):149807258-149817765	4.3556
NM_001040874	chr1(.):149808784-149819318	4.3453
NM_001123375	chr1(.):149779779-149790236	1.4719
NM_000566	chr1(.):149749249-149769074	0.24
NM_005850	chr1(.):149890210-149904702	1.173
NM_016074	chr1(.):149866154-149877348	0.3782
NM_003528	chr1(.):149851009-149863232	4.2089
NM_003517	chr1(.):149853524-149863961	4.9116
NM_175065	chr1(.):149854018-149864466	4.8998
NM_014849	chr1(.):149869871-149894434	0.2165
NM_181873	chr1(.):149895542-149913266	1.2318
NM_001145862	chr1(.):149895542-149913791	1.1988
NR_036461	chr1(.):149816758-149827340	4.1282
NM_001040874	chr1(.):149817627-149828161	4.1463
NM_001005464	chr1(.):149819180-149829687	4.1496
NM_001034077	chr1(.):149827329-149837725	1.4883
NM_004698	chr1(.):150288927-150330704	0.2221
NM_019032	chr1(.):150516897-150538412	5.1937
NM_207046	chr1(.):150589598-150606609	0.9259
NR_036211	chr1(.):150519404-150529490	0.1284
NM_001197320	chr1(.):150542026-150557214	1.5719
NM_020239	chr1(.):151018446-151037125	1.0883
NM_138278	chr1(.):151004028-151025076	0.1596
NM_006818	chr1(.):151027150-151045973	2.4895
NM_017860	chr1(.):151015258-151028871	0.2576
NM_144618	chr1(.):151038079-151096007	0.5711
NM_014437	chr1(.):153926587-153945188	1.8065
NM_130898	chr1(.):153935396-153951832	1.8942
NM_181715	chr1(.):153915151-153936043	1.3633
NM_006694	chr1(.):153941744-153955451	0.5789
NM_002870	chr1(.):153949127-153963806	0.8275
NM_014856	chr1(.):153896976-153924154	0.6302
NM_001030	chr1(.):153958238-153969631	0.5494
NM_020452	chr1(.):154295275-154328780	1.4004
NM_001005855	chr1(.):154293035-154315322	1.9199
NM_080429	chr1(.):154288591-154302801	2.8103
NM_006556	chr1(.):154892207-154914484	2.4253
NM_001130041	chr1(.):154929773-154951959	2.6124
NM_001130040	chr1(.):154929773-154948223	2.8879
NM_201398	chr1(.):154950769-154970587	0.469
NM_015872	chr1(.):154970111-154995999	1.5929
NM_207196	chr1(.):155018761-155040252	0.5293
NM_001184892	chr1(.):154950769-154966488	0.5354
NM_018655	chr1(.):154961061-154971791	0.2984
NM_001143687	chr1(.):155001281-155028406	0.383
NR_024163	chr1(.):154942117-154956725	2.5735
NM_144622	chr1(.):154986002-155011257	0.5019
NM_138300	chr1(.):154924501-154939258	3.6859
NR_036212	chr1(.):154943168-154953259	3.0544
NM_006912	chr1(.):155862600-155886177	0.2104
NM_001162384	chr1(.):155911629-155953336	2.488
NM_181885	chr1(.):155906479-155917625	1.694
NM_004723	chr1(.):155911629-155952966	2.5051
NM_014949	chr1(.):155877835-155909188	0.5024
NR_002974	chr1(.):155884699-155894833	0.1234
NR_003005	chr1(.):155890748-155900877	0.1196
NM_003145	chr1(.):155973838-155995758	0.4229
NM_014655	chr1(.):156158729-156187587	0.8521
NM_007221	chr1(.):156177783-156214833	0.9755
NM_022367	chr1(.):156118321-156152542	3.1069
NM_001193302	chr1(.):156118368-156152542	3.1094
NM_001193301	chr1(.):156114734-156152542	2.9068
NM_005920	chr1(.):156428518-156475529	1.7344
NM_198427	chr1(.):156606739-156628264	0.1686
NM_021817	chr1(.):156584085-156600517	0.0905
NM_021948	chr1(.):156606739-156634320	1.1809
NM_004494	chr1(.):156706898-156726543	1.9698
NM_001126051	chr1(.):156706898-156727024	1.9234
NM_001126050	chr1(.):156706898-156727240	1.9033
NM_030980	chr1(.):156687412-156702705	0.544
NM_001878	chr1(.):156664407-156680375	0.0951
NM_001142560	chr1(.):156693262-156711752	0.9958
NM_145729	chr1(.):156702093-156715923	0.9697
NM_006617	chr1(.):156633555-156652189	0.1895
NM_004833	chr1(.):159027274-159051647	1.7921
NM_015726	chr1(.):160180504-160237350	0.5942
NM_001193644	chr1(.):160241598-160259941	0.2964
NR_028106	chr1(.):160204011-160237277	0.88
NR_028105	chr1(.):160204011-160237318	0.8789
NR_028104	chr1(.):160180504-160237318	0.5945
NM_001778	chr1(.):160643535-160686585	2.4063
NM_003037	chr1(.):160574890-160622081	0.1605
NM_021181	chr1(.):160704076-160729601	1.9065
NM_152366	chr1(.):161063180-161075138	0.5067
NM_030916	chr1(.):161035780-161064385	0.7958
NM_007122	chr1(.):161004040-161020757	2.6576
NM_001113205	chr1(.):161002421-161013774	0.4573
NR_033385	chr1(.):161063150-161075138	0.5057
NM_181720	chr1(.):161011731-161044760	2.0234
NM_016946	chr1(.):160960000-160996133	0.5
NM_001077470	chr1(.):161194455-161213000	0.665
NM_001039711	chr1(.):161085768-161107478	0.9319
NM_016406	chr1(.):161118533-161133646	1.7955
NM_004550	chr1(.):161164104-161189184	0.8443
NM_000309	chr1(.):161131180-161146010	1.3535
NM_001643	chr1(.):161187082-161198418	1.2226
NM_001185094	chr1(.):161082907-161095984	0.5259
NM_003779	chr1(.):161136100-161152314	2.8021
NM_012475	chr1(.):161124253-161140516	1.3473
NM_001039712	chr1(.):161085768-161107256	0.9412
NM_005600	chr1(.):161082861-161095984	0.5241
NM_001185093	chr1(.):161082906-161095984	0.5258
NM_032174	chr1(.):161190832-161205407	0.8141
NM_001166159	chr1(.):161166936-161189184	0.9134
NM_005099	chr1(.):161154537-161173845	2.3154
NM_004106	chr1(.):161180086-161194038	0.6367
NM_181093	chr1(.):169816803-169868076	0.5962
NM_022100	chr1(.):174977093-174997591	0.3878
NR_033186	chr1(.):178506930-178523024	0.5051
NM_022371	chr1(.):179046111-179070129	1.5637
NM_015602	chr1(.):179846419-179894211	0.8846
NM_016545	chr1(.):181052637-181064979	1.2839
NM_002922	chr1(.):192539856-192554159	1.385
NM_001195216	chr1(.):197698138-197749623	1.2788
NM_005298	chr1(.):200837165-200848251	0.0949
NM_018265	chr1(.):200855638-200889864	1.1231
NM_001142569	chr1(.):200858998-200889864	1.1445
NM_017596	chr1(.):200933519-200997828	0.5591
NR_034150	chr1(.):203262885-203279453	7.3804
NM_003465	chr1(.):203180206-203203860	0.1129
NM_006763	chr1(.):203269663-203283729	4.4482
NM_002023	chr1(.):203304751-203325289	0.1572
NR_003019	chr1(.):203693708-203703833	0.0922
NM_001136190	chr1(.):203729283-203750480	2.2931
NM_001174108	chr1(.):203761650-203774590	0.4904
NM_002646	chr1(.):204386757-204464474	0.2317
NM_002393	chr1(.):204480510-204532248	1.2455
NM_030952	chr1(.):205266190-205295883	0.5726
NM_001007544	chr1(.):206233871-206293647	1.8512
NM_148964	chr1(.):206312458-206337104	0.0877
NM_006893	chr1(.):206759973-206790904	0.2279
NM_182665	chr1(.):206725491-206767616	1.7434
NM_001185157	chr1(.):207065787-207082484	0.0838
NM_002644	chr1(.):207096866-207124811	0.1728
NM_001170631	chr1(.):207126311-207148970	0.0787
NM_152485	chr1(.):209950661-209962890	0.4934
NM_025228	chr1(.):209924393-209960668	1.5252
NM_001136224	chr1(.):211427707-211494725	0.6046
NM_018254	chr1(.):211428288-211494725	0.6095
NM_001136225	chr1(.):211427707-211491655	0.6277
NM_021194	chr1(.):211743380-211757099	2.2268
NM_000120	chr1(.):226008001-226038262	0.3365
NM_020997	chr1(.):226068981-226081836	2.1929
NM_014698	chr1(.):226028232-226075420	1.4343
NM_001172425	chr1(.):226119297-226134083	2.5854
NM_013328	chr1(.):226102579-226116965	0.7369
NR_002315	chr1(.):226245427-226264703	1.287
NM_002107	chr1(.):226245420-226264703	1.2866
NM_182972	chr1(.):234735014-234750271	4.5711
NR_033927	chr1(.):234760056-234775526	0.0709
NM_031844	chr1(.):245008601-245032827	1.2766
NM_198076	chr1(.):244993638-245013359	2.6219
NR_026778	chr1(.):244998939-245015243	0.5271
NM_020458	chr2(.):47163312-47308275	0.7589
NR_033872	chr2(.):70184394-70319147	0.6937
NR_015395	chr2(.):112119590-112257692	0.5471
NR_024373	chr2(.):112181885-112257692	0.9365
NM_001099289	chr2(.):109740996-110267207	0.1691
NM_001012514	chr2(.):231724620-231748963	2.4311
NM_145693	chr2(.):11881739-11972533	0.8487
NM_183360	chr2(.):25595111-25901503	0.3278
NM_170672	chr2(.):33656415-33794798	0.7365
NM_005813	chr2(.):37472645-37549222	1.1277
NM_019063	chr2(.):42391489-42564688	0.1335
NM_012249	chr2(.):46764866-46816827	0.8489
NM_003400	chr2(.):61700068-61770418	0.4198
