GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
NM_024408	chr1(.):120449175-120617276	0.1533
NM_201569	chr1(.):183436505-183528328	0.35
NM_004091	chr1(.):23827921-23862713	0.9856
NM_173065	chr1(.):24475646-24518751	0.636
NM_002379	chr1(.):31179123-31201432	0.353
NR_034182	chr1(.):31186618-31204593	0.4174
NM_002600	chr1(.):66253855-66845262	0.2165
NM_001037341	chr1(.):66253192-66845262	0.2163
NM_001037340	chr1(.):66453389-66845262	0.2886
NR_034178	chr1(.):143910747-144099477	0.3908
NM_203458	chr1(.):145204110-145290912	0.4814
NM_004892	chr1(.):145091406-145121922	0.2457
NM_153713	chr1(.):145472084-145504091	0.2748
NM_207168	chr1(.):150594521-150607098	0.923
NM_020524	chr1(.):154911558-154933567	2.8665
NM_181359	chr1(.):154372668-154445188	0.8299
NM_002249	chr1(.):154674914-154847754	0.6349
NM_170782	chr1(.):154674914-154837338	0.6414
NM_005572	chr1(.):156079460-156112657	0.5698
NM_170708	chr1(.):156079460-156114878	0.553
NM_005973	chr1(.):156732273-156775609	0.2584
NM_012394	chr1(.):161065345-161092866	0.3983
NM_015149	chr1(.):183600207-183902666	0.4449
NM_025191	chr1(.):184654624-184729041	0.4291
NM_144977	chr1(.):197516384-197749623	0.1974
NM_001195215	chr1(.):197468878-197749623	0.1799
NM_014827	chr1(.):203759750-203828256	0.2229
NM_015375	chr1(.):205106630-205185727	0.1603
NM_182663	chr1(.):206675878-206767616	0.7415
NM_001193338	chr1(.):207071630-207100235	1.0091
NM_005449	chr1(.):207071630-207100378	1.005
NM_002221	chr1(.):226814390-226931876	0.7151
NM_004481	chr1(.):230197955-230422875	0.5523
NM_014675	chr1(.):17243444-17304474	0.1099
NM_017707	chr1(.):23750055-23815750	0.0728
NM_002167	chr1(.):23879408-23891322	0.6207
NR_027042	chr1(.):23948823-23972056	0.2959
NM_021258	chr1(.):24441260-24474611	0.1001
NR_027087	chr1(.):24521729-24543180	0.6393
NM_015627	chr1(.):25865075-25900377	0.7534
NM_006015	chr1(.):27017521-27113601	0.5186
NM_006762	chr1(.):31200314-31235683	1.6036
NM_005202	chr1(.):36555843-36570850	0.0982
NM_018067	chr1(.):36616802-36651441	0.5085
NM_014408	chr1(.):36597172-36620067	0.6478
NR_002983	chr1(.):40028045-40038182	1.1514
NR_003929	chr1(.):39982951-40030370	0.2784
NM_001135653	chr1(.):40021484-40047521	0.7754
NM_001198979	chr1(.):40854016-40893998	0.3039
NM_001198978	chr1(.):40835304-40893998	0.7393
NM_001198980	chr1(.):40857471-40893998	0.1505
NM_022733	chr1(.):40834377-40893998	0.7283
NM_001037339	chr1(.):66792792-66845262	0.6968
NM_001001933	chr1(.):75589118-75632218	0.5173
NM_004974	chr1(.):111140775-111153345	0.0524
NM_002232	chr1(.):111209309-111222655	0.5828
NM_017709	chr1(.):118143603-118176011	2.0706
NM_207418	chr1(.):143891451-143918143	0.627
NM_032305	chr1(.):145451235-145475387	1.3219
NM_202004	chr1(.):145408190-145422545	0.1167
NM_006472	chr1(.):145433461-145447628	1.393
NM_001039888	chr1(.):145465507-145480647	0.3115
NM_005105	chr1(.):145502637-145516444	1.1731
NM_001161334	chr1(.):149749244-149788928	0.3619
NM_001034077	chr1(.):149799220-149809616	1.1225
NM_001005464	chr1(.):149807258-149817765	2.1154
NM_001040874	chr1(.):149808784-149819318	2.1047
NM_001123375	chr1(.):149779779-149790236	0.964
NM_000566	chr1(.):149749249-149769074	0.1817
NM_016074	chr1(.):149866154-149877348	0.3501
NM_003528	chr1(.):149851009-149863232	2.4459
NM_003517	chr1(.):149853524-149863961	2.8292
NM_175065	chr1(.):149854018-149864466	2.8113
NR_036461	chr1(.):149816758-149827340	2.1294
NM_001040874	chr1(.):149817627-149828161	2.1451
NM_001005464	chr1(.):149819180-149829687	2.1598
NM_001034077	chr1(.):149827329-149837725	1.1665
NM_016274	chr1(.):150117169-150136825	1.2117
NM_019032	chr1(.):150516897-150538412	1.5491
NM_207046	chr1(.):150589598-150606609	0.7735
NR_036211	chr1(.):150519404-150529490	0.1485
NM_001197320	chr1(.):150542026-150557214	0.8963
NM_005620	chr1(.):151999981-152014511	1.1378
NM_002966	chr1(.):151950385-151971714	0.2063
NM_001008536	chr1(.):152051619-152066540	0.0801
NM_024330	chr1(.):153742767-153757633	0.5614
NM_006556	chr1(.):154892207-154914484	1.467
NM_001130041	chr1(.):154929773-154951959	1.2706
NM_001130040	chr1(.):154929773-154948223	1.3772
NM_201398	chr1(.):154950769-154970587	0.4038
NM_015872	chr1(.):154970111-154995999	1.249
NM_207196	chr1(.):155018761-155040252	0.4022
NM_001184892	chr1(.):154950769-154966488	0.4048
NM_018655	chr1(.):154961061-154971791	0.368
NM_001143687	chr1(.):155001281-155028406	0.4126
NR_024163	chr1(.):154942117-154956725	1.491
NM_144622	chr1(.):154986002-155011257	0.46
NM_138300	chr1(.):154924501-154939258	2.45
