GENE	H3k27ac_12_DMSO_compare_TSS_SIGNAL	H3k27ac_12_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1542.0949
A1BG-AS1	0.0	1542.0949
A2LD1	944.75	637.0938
A2M	0.0	11.3388
A2ML1	0.0	0.0
A4GALT	0.0	4116.5377
A4GNT	0.0	1429.2122
AAA1	0.0	14072.5491
AAAS	4751.388	20225.9338
AACS	843.5565	2561.1456000000003
AADAT	0.0	3166.1803999999997
AAGAB	3323.4273000000003	6109.186000000001
AAK1	10555.0	6131.821599999999
AAMP	2302.0206	27083.551000000003
AANAT	0.0	44459.34659999999
AARS	10515.0	13005.3417
AARS2	2220.5718	19727.5263
AARSD1	4003.7172000000005	4619.334000000001
AASDH	8843.400000000001	3218.2554
AASDHPPT	9734.039400000001	817.8002
AASS	2577.7899	5422.8638
AATF	2607.8030999999996	14.7234
AATK	0.0	223.16410000000002
ABAT	0.0	397.7544
ABCA1	1032.1712	7782.8737
ABCA10	0.0	852.7518
ABCA11P	3370.0982	20.159200000000002
ABCA12	0.0	531.0721
ABCA13	0.0	7539.0496
ABCA17P	0.0	216.93519999999998
ABCA2	0.0	4130.1515
ABCA3	0.0	216.93519999999998
ABCA5	2883.2503	2893.9085999999998
ABCA7	3293.4	40110.9955
ABCB1	0.0	6.6528
ABCB10	5352.0	1539.9914999999999
ABCB11	0.0	2914.7627
ABCB5	0.0	1494.1206
ABCB6	1838.0414	6235.198299999999
ABCB7	1431.4444	0.0
ABCB8	5764.2	9850.4539
ABCB9	5074.1704	67221.284
ABCC1	1412.0	3526.8268
ABCC10	4283.2572	4408.2453000000005
ABCC11	0.0	2067.4146
ABCC12	0.0	66.8061
ABCC13	0.0	0.0
ABCC2	0.0	318.274
ABCC3	0.0	8454.509900000001
ABCC4	0.0	413.083
ABCC5	1028.9502	612.0634
ABCC6	0.0	4269.5831
ABCC6P1	0.0	5041.9305
ABCC6P2	0.0	2225.1171999999997
ABCC8	0.0	3041.2068
ABCD1	1904.4905999999999	2199.3413
ABCD2	13128.199999999999	5226.5728
ABCD3	1034.6435999999999	0.0
ABCD4	340.8825	952.4807999999999
ABCE1	8299.9474	5219.141
ABCF1	3431.0178	25686.932099999995
ABCF2	2057.7999999999997	482.96139999999997
ABCF3	4977.599999999999	675.4892000000001
ABCG1	1463.7282	39258.515699999996
ABCG2	0.0	15105.152699999999
ABCG4	0.0	10420.677599999999
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	34629.09960000001
ABHD10	2888.2462	4281.095
ABHD11	8288.061000000002	4745.7651
ABHD12	4721.599999999999	106879.5999
ABHD12B	0.0	4922.7052
ABHD13	3181.4934000000003	61.4852
ABHD14A	1564.0449999999998	999.5648000000001
ABHD14B	2036.6624999999997	999.5648000000001
ABHD15	4973.9443	5238.6817
ABHD2	2698.8588	64005.41889999999
ABHD3	5195.6226	7261.8108999999995
ABHD4	3904.5492	28056.781599999995
ABHD5	6007.799999999999	1034.5926000000002
ABHD6	1334.4768000000001	1210.4717
ABHD8	0.0	10348.2935
ABI1	5589.6192	14514.143600000001
ABI2	1311.612	2135.336
ABI3	0.0	12670.8232
ABL1	3836.5639	1025.7984
ABL2	2770.6	16835.9146
ABLIM1	2377.3028	691.9638
ABO	0.0	218.51350000000002
