REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM3.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_8036_lociStitched	chr14	106022767	106059654	1	36888	553511.5672	1	1		TMEM121	TMEM121	TMEM121	0.0661	1	1
1_MACS_peak_8039_lociStitched	chr14	106143294	106180466	1	37173	552535.7596	2	1			TMEM121	TMEM121	0.0661	2	1
6_MACS_peak_13532_lociStitched	chr2	87741030	87850456	6	100525	362911.329	3	1	NCRNA00152		NCRNA00152	NCRNA00152	4.5081	3	1
5_MACS_peak_15975_lociStitched	chr22	23189073	23297240	5	102626	318519.3649	4	1	IGLL5	MIR650	IGLL5	IGLL5	5.4747	4	1
5_MACS_peak_13733_lociStitched	chr2	112157460	112266186	5	92518	268183.5516	5	1	LOC541471		LOC541471	LOC541471	2.0713	5	1
4_MACS_peak_1392_lociStitched	chr1	118135662	118238613	4	95053	239258.124	6	1	FAM46C		FAM46C	FAM46C	2.3779	6	1
3_MACS_peak_13568_lociStitched	chr2	89126699	89188993	3	60227	238966.0134	7	1			ANKRD36BP2	ANKRD36BP2	0.5008	7	1
12_MACS_peak_11370_lociStitched	chr18	42257975	42434398	12	160156	236195.1124	8	1	SETBP1		SETBP1	SETBP1	1.2363	8	1
5_MACS_peak_18173_lociStitched	chr3	186692388	186795711	5	91544	234780.8529	9	1	ST6GAL1		ST6GAL1	ST6GAL1	1.6665	9	1
7_MACS_peak_4378_lociStitched	chr11	65169942	65246618	7	60973	230227.3576	10	1	FRMD8,NEAT1,MIR612	TIGD3,MALAT1,SCYL1,SLC25A45	MIR612	MALAT1	4.136	10	1
4_MACS_peak_7856_lociStitched	chr14	91780987	91886549	4	97241	200990.048	11	1	CCDC88C		CCDC88C	CCDC88C	1.3224	11	1
4_MACS_peak_2183_lociStitched	chr1	203239736	203299537	4	55380	195082.8222	12	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	3.6134	12	1
4_MACS_peak_12018_lociStitched	chr19	16425288	16498735	4	68113	190066.1466	13	1	KLF2,EPS15L1		KLF2	KLF2	3.7772	13	1
