REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM3.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
12_MACS_peak_11370_lociStitched	chr18	42257975	42434398	12	160156	236195.1124	1	1	SETBP1		SETBP1	1	1
5_MACS_peak_15975_lociStitched	chr22	23189073	23297240	5	102626	318519.3649	2	1	IGLL5	MIR650	IGLL5	2	1
5_MACS_peak_19374_lociStitched	chr4	153367161	153486131	5	102076	132746.726	3	1	DKFZP434I0714,FBXW7,MIR3140		MIR3140	3	1
6_MACS_peak_9765_lociStitched	chr16	81803290	81910028	6	100806	180397.8938	4	1	PLCG2		PLCG2	4	1
6_MACS_peak_13532_lociStitched	chr2	87741030	87850456	6	100525	362911.329	5	1	NCRNA00152		NCRNA00152	5	1
12_MACS_peak_21276_lociStitched	chr6	25291563	25420931	12	100064	140325.4696	6	1	LRRC16A		LRRC16A	6	1
9_MACS_peak_19553_lociStitched	chr4	185296438	185404021	9	98373	170691.1878	7	1	IRF2		IRF2	7	1
4_MACS_peak_7856_lociStitched	chr14	91780987	91886549	4	97241	200990.048	8	1	CCDC88C		CCDC88C	8	1
12_MACS_peak_20231_lociStitched	chr5	95168802	95299381	12	96680	165299.9561	9	1	C5orf27,ELL2	GLRX	C5orf27	9	1
4_MACS_peak_1392_lociStitched	chr1	118135662	118238613	4	95053	239258.124	10	1	FAM46C		FAM46C	10	1
5_MACS_peak_13733_lociStitched	chr2	112157460	112266186	5	92518	268183.5516	11	1	LOC541471		LOC541471	11	1
3_MACS_peak_20536_lociStitched	chr5	131741134	131837789	3	91698	177535.904	12	1	C5orf56,IRF1	SLC22A5,MIR3936,IL5	IRF1	12	1
5_MACS_peak_18173_lociStitched	chr3	186692388	186795711	5	91544	234780.8529	13	1	ST6GAL1		ST6GAL1	13	1
10_MACS_peak_23187_lociStitched	chr7	47511061	47630244	10	89588	121042.2548	14	1	TNS3		TNS3	14	1
