GENE_ID	locusLine	bin_1_03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam
NM_201569	chr1(.):183436505-183528328	0.2744
NM_001113348	chr1(.):21538739-21677034	0.2739
NM_004091	chr1(.):23827921-23862713	0.8972
NM_173065	chr1(.):24475646-24518751	0.8626
NM_002379	chr1(.):31179123-31201432	0.2603
NR_034182	chr1(.):31186618-31204593	0.2969
NM_002600	chr1(.):66253855-66845262	0.2002
NM_001037341	chr1(.):66253192-66845262	0.2001
NM_001037340	chr1(.):66453389-66845262	0.2594
NM_153713	chr1(.):145472084-145504091	0.2181
NM_207168	chr1(.):150594521-150607098	0.7471
NM_020524	chr1(.):154911558-154933567	1.5329
NM_181359	chr1(.):154372668-154445188	0.6941
NM_002249	chr1(.):154674914-154847754	0.4842
NM_170782	chr1(.):154674914-154837338	0.4959
NM_005572	chr1(.):156079460-156112657	0.4579
NM_170708	chr1(.):156079460-156114878	0.4457
NM_005973	chr1(.):156732273-156775609	0.2798
NM_015149	chr1(.):183600207-183902666	0.3122
NM_025191	chr1(.):184654624-184729041	0.3608
NM_182663	chr1(.):206675878-206767616	0.4205
NM_001193338	chr1(.):207071630-207100235	0.7733
NM_005449	chr1(.):207071630-207100378	0.7703
NM_002221	chr1(.):226814390-226931876	0.7816
NM_004481	chr1(.):230197955-230422875	0.4383
NM_014675	chr1(.):17243444-17304474	0.1197
NM_001397	chr1(.):21538739-21621982	0.3301
NM_001113347	chr1(.):21538739-21611183	0.0857
NM_001113349	chr1(.):21538739-21621766	0.3265
NM_017707	chr1(.):23750055-23815750	0.0907
NM_002167	chr1(.):23879408-23891322	0.4713
NM_021258	chr1(.):24441260-24474611	0.0983
NR_027087	chr1(.):24521729-24543180	0.5076
NM_015627	chr1(.):25865075-25900377	0.8446
NM_006015	chr1(.):27017521-27113601	0.403
NM_006762	chr1(.):31200314-31235683	1.4407
NM_005202	chr1(.):36555843-36570850	0.082
NM_018067	chr1(.):36616802-36651441	0.4339
NM_014408	chr1(.):36597172-36620067	0.4176
NM_001037339	chr1(.):66792792-66845262	0.5708
NM_004974	chr1(.):111140775-111153345	0.088
NM_002232	chr1(.):111209309-111222655	0.4056
NM_017709	chr1(.):118143603-118176011	2.2813
NM_032305	chr1(.):145451235-145475387	0.7727
NM_202004	chr1(.):145408190-145422545	0.1367
NM_006472	chr1(.):145433461-145447628	0.6052
NM_001039888	chr1(.):145465507-145480647	0.2627
NM_005105	chr1(.):145502637-145516444	0.9708
NM_001161334	chr1(.):149749244-149788928	0.2506
NM_001034077	chr1(.):149799220-149809616	0.7688
NM_001005464	chr1(.):149807258-149817765	1.3964
NM_001040874	chr1(.):149808784-149819318	1.3981
NM_001123375	chr1(.):149779779-149790236	0.4925
NM_000566	chr1(.):149749249-149769074	0.1943
NM_016074	chr1(.):149866154-149877348	0.3422
NM_003528	chr1(.):149851009-149863232	1.2536
NM_003517	chr1(.):149853524-149863961	1.448
NM_175065	chr1(.):149854018-149864466	1.4445
NR_036461	chr1(.):149816758-149827340	1.2781
NM_001040874	chr1(.):149817627-149828161	1.2809
NM_001005464	chr1(.):149819180-149829687	1.287
NM_001034077	chr1(.):149827329-149837725	0.7431
NM_019032	chr1(.):150516897-150538412	1.4651
NM_207046	chr1(.):150589598-150606609	0.6198
NR_036211	chr1(.):150519404-150529490	0.1734
NM_001197320	chr1(.):150542026-150557214	0.7899
NM_005620	chr1(.):151999981-152014511	1.1225
NM_002966	chr1(.):151950385-151971714	0.2218
NM_001008536	chr1(.):152051619-152066540	0.1128
NM_006556	chr1(.):154892207-154914484	1.8531
NM_001130041	chr1(.):154929773-154951959	1.2329
NM_001130040	chr1(.):154929773-154948223	1.3881
NM_201398	chr1(.):154950769-154970587	0.292
NM_015872	chr1(.):154970111-154995999	0.6706
NM_001184892	chr1(.):154950769-154966488	0.3117
NM_018655	chr1(.):154961061-154971791	0.2182
NM_001143687	chr1(.):155001281-155028406	0.333
NR_024163	chr1(.):154942117-154956725	1.2071
NM_144622	chr1(.):154986002-155011257	0.2604
