REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	10	67481	122763.598	1	1	LOC541471		LOC541471	LOC541471	0.9482	1	1
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	13	66290	129517.829	2	1	FAM46C		FAM46C	FAM46C	1.4124	2	1
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	11	64386	124583.472	3	1	NCRNA00152		NCRNA00152	NCRNA00152	1.6372	3	1
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	3	60036	164373.5587	4	1	RORA		RORA	RORA	1.2407	4	1
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	12	58449	130229.0253	5	1	NUP210		NUP210	NUP210	0.9627	5	1
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	12	57443	110982.116	6	1	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.6328	6	1
8_MACS_peak_28548_lociStitched	chr6	290234	357600	8	57045	166245.8148	7	1	DUSP22	IRF4	DUSP22	DUSP22	2.3986	7	1
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	13	56658	100011.2795	8	1	KCNK1		KCNK1	KCNK1	1.4155	8	1
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	8	52425	112940.761	9	1	ST6GAL1		ST6GAL1	ST6GAL1	1.1098	9	1
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	6	51188	91548.4106	10	1	CCDC88C		CCDC88C	CCDC88C	0.9814	10	1
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	9	47746	79175.376	11	1	INPP4A		INPP4A	INPP4A	0.6133	11	1
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	4	46469	65233.0154	12	1	CPEB4		CPEB4	CPEB4	0.9058	12	1
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	7	45428	120603.5547	13	1		TMEM121	TMEM121	TMEM121	0.203	13	1
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	3	44104	127222.2462	14	1	QPCT	PRKD3	QPCT	QPCT	3.1079	14	1
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	6	43413	98262.1136	15	1	TMEM184B,CSNK1E	MAFF	TMEM184B	TMEM184B	1.6998	15	1
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	4	40104	106234.7184	16	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.3518	16	1
