#U266_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266_H3K27ac_ROSE/U266_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266_jia.bam
#Using cutoff of 13745.6739 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isSuper
8_MACS_peak_28548_lociStitched	chr6	290234	357600	8	57045	166245.8148	1	1
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	3	60036	164373.5587	2	1
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	4	37526	148720.7232	3	1
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	12	58449	130229.0253	4	1
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	13	66290	129517.829	5	1
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	1	30887	128970.6702	6	1
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	3	44104	127222.2462	7	1
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	11	64386	124583.472	8	1
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	10	67481	122763.598	9	1
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	7	45428	120603.5547	10	1
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	7	32692	115117.6765	11	1
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	8	52425	112940.761	12	1
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	12	57443	110982.116	13	1
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	4	40104	106234.7184	14	1
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	13	56658	100011.2795	15	1
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	2	34436	98700.4608	16	1
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	6	43413	98262.1136	17	1
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	2	22354	95536.3878	18	1
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	7	32981	93695.3277	19	1
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	6	51188	91548.4106	20	1
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	1	22993	88057.0608	21	1
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	9	32960	84021.2148	22	1
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	4	23416	82118.7675	23	1
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	10	36710	80939.0274	24	1
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	9	47746	79175.376	25	1
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	1	25459	76715.1372	26	1
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	9	34352	76161.0706	27	1
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	6	26850	76060.9592	28	1
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	7	29675	71415.63	29	1
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	5	27038	70237.32	30	1
