#U266_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/U266_H3K27ac_ROSE/U266_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by U266_jia.bam
#Using cutoff of 13745.6739 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isStretch
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	10	67481	122763.598	1	1
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	13	66290	129517.829	2	1
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	11	64386	124583.472	3	1
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	3	60036	164373.5587	4	1
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	12	58449	130229.0253	5	1
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	12	57443	110982.116	6	1
8_MACS_peak_28548_lociStitched	chr6	290234	357600	8	57045	166245.8148	7	1
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	13	56658	100011.2795	8	1
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	8	52425	112940.761	9	1
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	6	51188	91548.4106	10	1
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	9	47746	79175.376	11	1
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	4	46469	65233.0154	12	1
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	7	45428	120603.5547	13	1
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	3	44104	127222.2462	14	1
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	6	43413	98262.1136	15	1
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	4	40104	106234.7184	16	1
2_MACS_peak_3354_lociStitched	chr1	228744052	228783700	2	39475	55352.5728	17	1
12_MACS_peak_32125_lociStitched	chr7	132170183	132222247	12	38036	52225.3984	18	1
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	4	37526	148720.7232	19	1
7_MACS_peak_15263_lociStitched	chr17	76709915	76755679	7	37289	56843.4644	20	1
16_MACS_peak_26966_lociStitched	chr5	24247865	24295982	16	37000	42463.2525	21	1
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	10	36710	80939.0274	22	1
4_MACS_peak_6623_lociStitched	chr11	115041532	115082212	4	36283	43824.564	23	1
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	2	34436	98700.4608	24	1
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	9	34352	76161.0706	25	1
6_MACS_peak_14893_lociStitched	chr17	62150990	62187059	6	33809	56996.2338	26	1
10_MACS_peak_8384_lociStitched	chr12	123344670	123387093	10	33602	52625.7315	27	1
9_MACS_peak_29527_lociStitched	chr6	52376569	52423340	9	33345	49577.26	28	1
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	7	32981	93695.3277	29	1
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	9	32960	84021.2148	30	1
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	7	32692	115117.6765	31	1
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	1	30887	128970.6702	32	1
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	4	30724	67278.4623	33	1
8_MACS_peak_22902_lociStitched	chr22	37610001	37647002	8	29945	53547.8472	34	1
5_MACS_peak_24807_lociStitched	chr3	141079388	141113771	5	29685	58822.4364	35	1
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	7	29675	71415.63	36	1
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	6	28717	66502.2794	37	1
7_MACS_peak_35103_lociStitched	chr9	130813119	130847391	7	28665	61549.0848	38	1
7_MACS_peak_23837_lociStitched	chr3	45582219	45617877	7	28460	54670.8456	39	1
6_MACS_peak_33656_lociStitched	chr8	126292349	126322548	6	28078	36528.7104	40	1
6_MACS_peak_22561_lociStitched	chr22	23219781	23250702	6	27941	55339.3137	41	1
3_MACS_peak_18693_lociStitched	chr2	37524661	37553989	3	27786	61336.5792	42	1
5_MACS_peak_12112_lociStitched	chr16	9029606	9058543	5	27588	45879.6135	43	1
4_MACS_peak_23844_lociStitched	chr3	45633873	45661617	4	27154	45877.4784	44	1
6_MACS_peak_35093_lociStitched	chr9	130716309	130748849	6	27134	61028.77	45	1
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	5	27038	70237.32	46	1
8_MACS_peak_25086_lociStitched	chr3	171844605	171878544	8	26876	34811.2323	47	1
3_MACS_peak_29852_lociStitched	chr6	106532010	106559189	3	26862	31584.7159	48	1
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	6	26850	76060.9592	49	1
7_MACS_peak_4449_lociStitched	chr10	80999083	81028550	7	26538	59160.8959	50	1
8_MACS_peak_25187_lociStitched	chr3	183224388	183260290	8	26437	57590.3982	51	1
10_MACS_peak_8036_lociStitched	chr12	109006646	109036250	10	26332	58681.0488	52	1
5_MACS_peak_12217_lociStitched	chr16	12043202	12073865	5	25943	52838.4816	53	1
8_MACS_peak_19359_lociStitched	chr2	88899036	88928601	8	25731	32663.412	54	1
12_MACS_peak_13206_lociStitched	chr16	81741527	81786656	12	25604	38517.6015	55	1
8_MACS_peak_8133_lociStitched	chr12	111862081	111889936	8	25592	39158.559	56	1
