GENE_ID	locusLine	bin_1_NCI-H929.jin.bam
NM_021222	chr1(.):150975972-151013189	0.6046
NM_015215	chr1(.):6840383-7834766	0.1294
NM_007051	chr1(.):50901934-51430936	0.0524
NM_001006605	chr1(.):93302720-93432079	0.1908
NM_001010935	chr1(.):112157404-112261101	0.1364
NR_002188	chr1(.):155178615-155202325	1.4253
NM_021642	chr1(.):161470204-161494360	0.2608
NM_002585	chr1(.):164523801-164826045	0.1852
NM_001198993	chr1(.):1677670-1715297	0.8873
NM_023018	chr1(.):1677670-1714909	0.8959
NM_001198994	chr1(.):1677670-1716508	0.8627
NM_003820	chr1(.):2482804-2500267	0.6347
NM_024980	chr1(.):9159475-9194229	0.6289
NM_004285	chr1(.):9289862-9336394	0.3904
NM_020350	chr1(.):11791141-11815828	0.2224
NM_014874	chr1(.):12035237-12078572	0.1951
NM_052929	chr1(.):15568767-15729622	0.172
NM_001113348	chr1(.):21538739-21677034	0.2305
NM_004091	chr1(.):23827921-23862713	1.2899
NM_020448	chr1(.):24737244-24804473	0.096
NM_173065	chr1(.):24475646-24518751	0.937
NM_020379	chr1(.):25938958-26116258	0.199
NM_031286	chr1(.):26601212-26613013	1.0084
NM_001048199	chr1(.):28827454-28870708	1.4181
NR_002909	chr1(.):28827454-28842404	2.8438
NM_174964	chr1(.):44168217-44401831	0.1978
NM_148906	chr1(.):52077545-52259891	0.0886
NM_001981	chr1(.):51814934-51989995	0.0786
NM_001002292	chr1(.):68559141-68703229	0.2101
NM_024911	chr1(.):68586040-68703284	0.2453
NM_001193334	chr1(.):68586040-68703229	0.2454
NM_001081976	chr1(.):112020969-112111597	0.1885
NM_198459	chr1(.):115122195-115217732	0.1363
NM_001100910	chr1(.):120834004-120860681	0.8052
NR_034178	chr1(.):143910747-144099477	0.3664
NM_153713	chr1(.):145472084-145504091	0.3876
NM_207168	chr1(.):150594521-150607098	1.4797
NM_020699	chr1(.):153772202-153900451	0.4432
NM_020524	chr1(.):154911558-154933567	3.9058
NM_181359	chr1(.):154372668-154445188	0.9219
NM_002249	chr1(.):154674914-154847754	0.491
NM_170782	chr1(.):154674914-154837338	0.4996
NM_005572	chr1(.):156079460-156112657	1.5926
NM_170708	chr1(.):156079460-156114878	1.5089
NM_005973	chr1(.):156732273-156775609	0.5525
NM_005531	chr1(.):158974681-159029945	0.7864
NM_001135050	chr1(.):159891828-159920386	1.5913
NM_012394	chr1(.):161065345-161092866	0.6525
NM_007348	chr1(.):161731083-161933852	0.1228
NM_006182	chr1(.):162597227-162755247	0.1171
NM_052862	chr1(.):167594473-167680486	0.9047
NM_018122	chr1(.):173788796-173832682	0.5536
NM_015149	chr1(.):183600207-183902666	0.2066
NM_025191	chr1(.):184654624-184729041	1.2318
NM_144977	chr1(.):197516384-197749623	0.1189
NM_001195215	chr1(.):197468878-197749623	0.1029
NM_182663	chr1(.):206675878-206767616	0.387
NM_001143962	chr1(.):223709971-223858436	0.0327
NM_152495	chr1(.):224799178-224933249	0.2087
NM_002221	chr1(.):226814390-226931876	0.4251
NM_004481	chr1(.):230197955-230422875	0.3574
NM_031921	chr1(.):1402163-1436582	0.3126
NM_018188	chr1(.):1442522-1475067	0.7482
NM_001170536	chr1(.):1442909-1475067	0.7561
NM_001114748	chr1(.):1465157-1480740	0.0549
NM_182838	chr1(.):1658680-1682431	0.8026
NM_001198995	chr1(.):1677670-1695081	0.3879
NM_002074	chr1(.):1711728-1827495	0.2797
NM_138705	chr1(.):1841265-1853733	0.3803
NM_178545	chr1(.):1844028-1855740	0.2711
NM_001010926	chr1(.):2455183-2466684	0.5771
NR_026927	chr1(.):2476358-2489284	2.1479
NM_018216	chr1(.):2434974-2463035	0.3342
NM_001195741	chr1(.):2513188-2527908	0.8744
NR_036638	chr1(.):2512898-2527908	0.8575
NM_001428	chr1(.):8916062-8943780	1.2993
NM_207420	chr1(.):9058358-9091404	0.1066
NM_003039	chr1(.):9092004-9134887	0.8316
NR_024180	chr1(.):9092004-9153510	1.1784
NM_001135585	chr1(.):9096426-9134887	0.9195
NM_025106	chr1(.):9347940-9434590	0.2646
NM_021736	chr1(.):11861206-11894360	0.2342
NM_005957	chr1(.):11840786-11871160	0.6015
NM_000302	chr1(.):11989745-12040594	0.2152
NM_138346	chr1(.):11975122-11991480	0.4981
NM_001397	chr1(.):21538739-21621982	0.2232
NM_001113347	chr1(.):21538739-21611183	0.0589
NM_001113349	chr1(.):21538739-21621766	0.2189
NM_017707	chr1(.):23750055-23815750	0.1141
NM_002167	chr1(.):23879408-23891322	1.833
NR_027042	chr1(.):23948823-23972056	0.1463
NM_021258	chr1(.):24441260-24474611	0.0574
NR_027087	chr1(.):24521729-24543180	0.5365
NM_001199013	chr1(.):24678488-24745262	0.3406
NM_001199012	chr1(.):24678488-24746587	0.3355
NM_015627	chr1(.):25865075-25900377	0.7008
NM_022778	chr1(.):26555692-26610299	0.2881
NM_001077262	chr1(.):26603772-26638195	0.5148
NM_001803	chr1(.):26639410-26652014	0.1156
NM_145345	chr1(.):26603772-26649756	0.4206
NM_006015	chr1(.):27017521-27113601	0.9317
NM_002713	chr1(.):28152292-28183183	0.2453
NR_002997	chr1(.):28155911-28166077	0.6037
NM_001039477	chr1(.):28194054-28218193	1.9913
NM_014474	chr1(.):28256503-28290663	0.0935
NM_002946	chr1(.):28213048-28246236	0.4606
NM_014280	chr1(.):28521789-28564542	0.2202
NM_016311	chr1(.):28557610-28569611	0.625
NM_001164721	chr1(.):28468676-28525447	0.0873
NM_001164722	chr1(.):28468676-28525437	0.0873
NM_031459	chr1(.):28581005-28614002	0.1527
NR_003109	chr1(.):28874528-28910057	0.4366
NM_001269	chr1(.):28839744-28870708	0.6387
NM_005202	chr1(.):36555843-36570850	0.0855
NM_018067	chr1(.):36616802-36651441	0.7481
NM_014408	chr1(.):36597172-36620067	0.4876
NR_002983	chr1(.):40028045-40038182	0.2797
NR_003929	chr1(.):39982951-40030370	0.2572
NM_014571	chr1(.):40084102-40110348	0.118
NM_001135653	chr1(.):40021484-40047521	0.4939
NM_006516	chr1(.):43386045-43429847	0.6946
NR_033967	chr1(.):43419719-43454029	0.2868
NM_004073	chr1(.):45261035-45276667	2.2646
NM_001013632	chr1(.):45266585-45277957	2.4807
NM_001136537	chr1(.):45269153-45284801	1.8819
NR_001456	chr1(.):45238513-45248584	1.5274
NR_001457	chr1(.):45239061-45249130	1.5318
NM_153274	chr1(.):45244256-45258426	0.2558
NM_003738	chr1(.):45282937-45313616	0.2863
NM_001012	chr1(.):45236245-45249412	1.1754
NR_000024	chr1(.):45237163-45247261	1.5215
NR_000015	chr1(.):45236536-45246610	1.5229
NM_001166292	chr1(.):45280515-45313616	0.2685
NM_001262	chr1(.):51429366-51445306	6.0638
NM_078626	chr1(.):51430641-51445309	6.5864
NM_015696	chr1(.):53063042-53079723	0.1056
NM_001042693	chr1(.):53094065-53127737	1.1528
NR_031664	chr1(.):68644200-68654293	0.6366
NM_006769	chr1(.):87789150-87819607	0.6341
NM_001127215	chr1(.):92935317-92954356	1.2833
NM_005263	chr1(.):92935317-92957433	1.1236
NM_001127216	chr1(.):92935317-92956628	1.1647
NM_133181	chr1(.):110287701-110311564	0.0914
NM_000849	chr1(.):110271553-110288660	0.0854
NM_004974	chr1(.):111140775-111153345	0.0775
NM_002232	chr1(.):111209309-111222655	0.625
NR_034126	chr1(.):112136628-112155940	0.9655
NM_007158	chr1(.):115254536-115305624	0.5626
NM_002524	chr1(.):115242077-115264515	1.3047
NM_001172626	chr1(.):115210719-115243239	1.0343
NM_001007553	chr1(.):115254537-115305624	0.5626
NM_001130523	chr1(.):115254537-115305671	0.5621
NM_001779	chr1(.):117052155-117118715	0.348
NM_017709	chr1(.):118143603-118176011	1.5041
NM_207418	chr1(.):143891451-143918143	0.9889
NM_032305	chr1(.):145451235-145475387	1.0839
NM_202004	chr1(.):145408190-145422545	0.1152
NM_006472	chr1(.):145433461-145447628	1.8637
NM_001039888	chr1(.):145465507-145480647	0.8273
NM_001161334	chr1(.):149749244-149788928	0.7169
NM_001034077	chr1(.):149799220-149809616	3.6371
NM_001005464	chr1(.):149807258-149817765	9.1737
NM_001040874	chr1(.):149808784-149819318	9.1152
NM_001123375	chr1(.):149779779-149790236	2.0184
NM_000566	chr1(.):149749249-149769074	0.3378
NM_005850	chr1(.):149890210-149904702	0.8801
NM_016074	chr1(.):149866154-149877348	0.5345
NM_003528	chr1(.):149851009-149863232	5.7669
NM_003517	chr1(.):149853524-149863961	6.73
NM_175065	chr1(.):149854018-149864466	6.709
NM_014849	chr1(.):149869871-149894434	0.3263
NM_181873	chr1(.):149895542-149913266	0.9951
NM_001145862	chr1(.):149895542-149913791	0.9674
NR_036461	chr1(.):149816758-149827340	9.3972
NM_001040874	chr1(.):149817627-149828161	9.4527
NM_001005464	chr1(.):149819180-149829687	9.5221
NM_001034077	chr1(.):149827329-149837725	3.7741
NM_019032	chr1(.):150516897-150538412	2.8735
NM_207046	chr1(.):150589598-150606609	1.2158
NR_036211	chr1(.):150519404-150529490	0.5183
NM_001197320	chr1(.):150542026-150557214	3.0012
NM_178427	chr1(.):150777180-150854244	0.4245
NM_012432	chr1(.):150893814-150942220	0.2667
NM_001163258	chr1(.):150964300-150985854	1.4767
NM_181746	chr1(.):150932648-150952440	1.8654
NR_026977	chr1(.):150893824-150922797	0.3619
NM_003568	chr1(.):150949498-150973114	0.8402
NM_001163260	chr1(.):150964300-150984273	1.5859
