GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_032236	chr1(.):21999791-22114688	0.1125
NM_001017415	chr1(.):62896974-62922475	0.1258
NM_003368	chr1(.):62897382-62922475	0.1258
NM_201569	chr1(.):183436505-183528328	0.1772
NM_001198993	chr1(.):1677670-1715297	0.1193
NM_023018	chr1(.):1677670-1714909	0.1195
NM_033487	chr1(.):1566099-1660775	0.1165
NM_001198994	chr1(.):1677670-1716508	0.1193
NM_015001	chr1(.):16169358-16271950	0.1076
NR_026567	chr1(.):17012712-17051652	0.2426
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_001013693	chr1(.):22133757-22156714	0.1006
NM_004091	chr1(.):23827921-23862713	0.1398
NM_173065	chr1(.):24475646-24518751	0.1386
NM_020379	chr1(.):25938958-26116258	0.1231
NM_006990	chr1(.):27727125-27821669	0.125
NM_001135218	chr1(.):28924608-28974604	0.1145
NM_001048199	chr1(.):28827454-28870708	0.1382
NR_002909	chr1(.):28827454-28842404	0.1654
NM_002379	chr1(.):31179123-31201432	0.1453
NR_034182	chr1(.):31186618-31204593	0.1437
NM_181809	chr1(.):39952317-40000541	0.1292
NM_003629	chr1(.):46500811-46603380	0.1225
NM_001114172	chr1(.):46500811-46603708	0.1228
NM_002600	chr1(.):66253855-66845262	0.1078
NM_001037341	chr1(.):66253192-66845262	0.1079
NM_001037340	chr1(.):66453389-66845262	0.1118
NM_153713	chr1(.):145472084-145504091	0.1947
NM_207168	chr1(.):150594521-150607098	0.233
NM_015203	chr1(.):150331989-150454041	0.1647
NM_015607	chr1(.):153601524-153622979	0.1932
NM_020524	chr1(.):154911558-154933567	0.2478
NM_181359	chr1(.):154372668-154445188	0.1872
NM_002249	chr1(.):154674914-154847754	0.1912
NM_170782	chr1(.):154674914-154837338	0.1897
NM_005572	chr1(.):156079460-156112657	0.1902
NM_018489	chr1(.):155300051-155537324	0.1567
NM_018116	chr1(.):155575006-155589758	0.1786
NM_005973	chr1(.):156732273-156775609	0.1798
NM_012394	chr1(.):161065345-161092866	0.2177
NM_014412	chr1(.):174963891-174986163	0.1981
NM_001007214	chr1(.):174963570-174986163	0.1968
NM_145034	chr1(.):179804101-179851941	0.1691
NM_015149	chr1(.):183600207-183902666	0.177
NM_025191	chr1(.):184654624-184729041	0.1808
NM_144977	chr1(.):197516384-197749623	0.1582
NM_001195215	chr1(.):197468878-197749623	0.1576
NM_014827	chr1(.):203759750-203828256	0.1555
NM_182663	chr1(.):206675878-206767616	0.191
NM_002221	chr1(.):226814390-226931876	0.1849
NM_004481	chr1(.):230197955-230422875	0.1709
NM_152490	chr1(.):235605532-235672781	0.1634
NM_014765	chr1(.):235267657-235297256	0.1974
NM_032328	chr1(.):245128170-245256148	0.1388
NR_026588	chr1(.):245128630-245256148	0.1383
NR_026587	chr1(.):245128630-245293530	0.1361
NR_026586	chr1(.):245128283-245293530	0.1365
NM_182838	chr1(.):1658680-1682431	0.1211
NM_001110781	chr1(.):1587938-1629243	0.1348
