GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
5_MACS_peak_1_lociStitched	chr1(.):30414-36364	0.1587
1_MACS_peak_6_lociStitched	chr1(.):39587-40237	0.0762
2_MACS_peak_7_lociStitched	chr1(.):87589-88893	0.1963
1_MACS_peak_9_lociStitched	chr1(.):89706-90288	0.2084
1_MACS_peak_10_lociStitched	chr1(.):93192-94494	0.1174
1_MACS_peak_11_lociStitched	chr1(.):95817-96215	0.1832
1_MACS_peak_12_lociStitched	chr1(.):131806-132588	0.1246
1_MACS_peak_13_lociStitched	chr1(.):133172-133801	0.0648
1_MACS_peak_14_lociStitched	chr1(.):135075-135755	0.0851
1_MACS_peak_15_lociStitched	chr1(.):329951-330252	0.1426
1_MACS_peak_16_lociStitched	chr1(.):330883-331338	0.1451
2_MACS_peak_17_lociStitched	chr1(.):659586-660511	0.0818
3_MACS_peak_19_lociStitched	chr1(.):800795-802895	0.1078
1_MACS_peak_22_lociStitched	chr1(.):807962-808666	0.073
2_MACS_peak_24_lociStitched	chr1(.):829378-831630	0.0977
2_MACS_peak_26_lociStitched	chr1(.):832316-839682	0.0881
4_MACS_peak_28_lociStitched	chr1(.):840296-869479	0.0855
1_MACS_peak_32_lociStitched	chr1(.):870294-878894	0.07
1_MACS_peak_33_lociStitched	chr1(.):894836-895447	0.0809
1_MACS_peak_34_lociStitched	chr1(.):910567-911280	0.0773
9_MACS_peak_35_lociStitched	chr1(.):913416-945670	0.0846
1_MACS_peak_44_lociStitched	chr1(.):946277-946857	0.0096
1_MACS_peak_45_lociStitched	chr1(.):952847-953134	0.0631
2_MACS_peak_46_lociStitched	chr1(.):955511-965932	0.0814
1_MACS_peak_48_lociStitched	chr1(.):966665-968574	0.0801
1_MACS_peak_49_lociStitched	chr1(.):969097-976200	0.0774
1_MACS_peak_50_lociStitched	chr1(.):977344-983718	0.0746
3_MACS_peak_51_lociStitched	chr1(.):985768-1000268	0.0914
1_MACS_peak_54_lociStitched	chr1(.):1000922-1003565	0.0935
1_MACS_peak_55_lociStitched	chr1(.):1004551-1011731	0.0769
1_MACS_peak_56_lociStitched	chr1(.):1012316-1012689	0.0
1_MACS_peak_57_lociStitched	chr1(.):1013660-1016060	0.0556
4_MACS_peak_58_lociStitched	chr1(.):1052578-1072482	0.1031
1_MACS_peak_62_lociStitched	chr1(.):1074413-1074713	0.0407
2_MACS_peak_63_lociStitched	chr1(.):1075596-1078598	0.0388
5_MACS_peak_65_lociStitched	chr1(.):1081599-1087958	0.0642
6_MACS_peak_70_lociStitched	chr1(.):1089548-1122111	0.0745
3_MACS_peak_76_lociStitched	chr1(.):1123182-1125777	0.0978
3_MACS_peak_79_lociStitched	chr1(.):1126799-1129238	0.1384
3_MACS_peak_82_lociStitched	chr1(.):1129973-1132600	0.1047
2_MACS_peak_85_lociStitched	chr1(.):1133499-1149217	0.0733
3_MACS_peak_87_lociStitched	chr1(.):1172513-1180136	0.0872
4_MACS_peak_90_lociStitched	chr1(.):1180643-1185117	0.0629
3_MACS_peak_94_lociStitched	chr1(.):1214853-1218329	0.0758
2_MACS_peak_97_lociStitched	chr1(.):1219917-1224108	0.0661
2_MACS_peak_99_lociStitched	chr1(.):1224784-1225835	0.1082
1_MACS_peak_101_lociStitched	chr1(.):1286760-1290529	0.1157
2_MACS_peak_102_lociStitched	chr1(.):1292181-1300091	0.0737
3_MACS_peak_104_lociStitched	chr1(.):1356630-1358885	0.0787
1_MACS_peak_107_lociStitched	chr1(.):1359522-1362759	0.0607
1_MACS_peak_108_lociStitched	chr1(.):1363590-1370719	0.0761
2_MACS_peak_109_lociStitched	chr1(.):1371605-1374632	0.0792
1_MACS_peak_111_lociStitched	chr1(.):1375494-1376101	0.065
4_MACS_peak_112_lociStitched	chr1(.):1377723-1381810	0.073
4_MACS_peak_116_lociStitched	chr1(.):1383634-1395261	0.0961
1_MACS_peak_120_lociStitched	chr1(.):1421856-1422196	0.0653
1_MACS_peak_121_lociStitched	chr1(.):1432614-1432898	0.0162
1_MACS_peak_122_lociStitched	chr1(.):1459325-1460250	0.0921
1_MACS_peak_123_lociStitched	chr1(.):1461715-1462003	0.0673
2_MACS_peak_124_lociStitched	chr1(.):1512405-1516558	0.1366
9_MACS_peak_126_lociStitched	chr1(.):1518279-1527950	0.0992
7_MACS_peak_135_lociStitched	chr1(.):1528647-1535014	0.0861
2_MACS_peak_142_lociStitched	chr1(.):1535689-1537646	0.0743
2_MACS_peak_144_lociStitched	chr1(.):1566306-1569005	0.0769
1_MACS_peak_146_lociStitched	chr1(.):1631004-1632275	0.0555
1_MACS_peak_147_lociStitched	chr1(.):1843418-1844181	0.0467
1_MACS_peak_148_lociStitched	chr1(.):1845169-1848191	0.079
3_MACS_peak_149_lociStitched	chr1(.):1851033-1855319	0.0934
2_MACS_peak_152_lociStitched	chr1(.):1855896-1861911	0.0624
2_MACS_peak_154_lociStitched	chr1(.):1864292-1865115	0.0667
5_MACS_peak_156_lociStitched	chr1(.):1867877-1880372	0.0934
4_MACS_peak_161_lociStitched	chr1(.):1881034-1885240	0.0913
5_MACS_peak_165_lociStitched	chr1(.):1886390-1900328	0.0997
1_MACS_peak_170_lociStitched	chr1(.):1901523-1901973	0.0405
5_MACS_peak_171_lociStitched	chr1(.):1902565-1910996	0.0838
4_MACS_peak_176_lociStitched	chr1(.):1914050-1921563	0.0716
2_MACS_peak_180_lociStitched	chr1(.):1922534-1924484	0.07
1_MACS_peak_182_lociStitched	chr1(.):1926195-1926957	0.0731
1_MACS_peak_183_lociStitched	chr1(.):1927462-1927948	0.1265
2_MACS_peak_184_lociStitched	chr1(.):1928511-1929966	0.0376
1_MACS_peak_186_lociStitched	chr1(.):1930555-1933357	0.064
4_MACS_peak_187_lociStitched	chr1(.):1934327-1937866	0.0587
10_MACS_peak_191_lociStitched	chr1(.):1938459-1981797	0.0846
3_MACS_peak_201_lociStitched	chr1(.):1982585-1985598	0.0681
3_MACS_peak_204_lociStitched	chr1(.):1986689-1989915	0.0571
2_MACS_peak_207_lociStitched	chr1(.):1990642-1994352	0.0732
1_MACS_peak_209_lociStitched	chr1(.):1995946-1996335	0.1697
