GENE_ID	locusLine	bin_1_RPMI8226.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9980-10489	2.6502
1_MACS_peak_2_lociStitched	chr1(.):28617-29417	4.5769
1_MACS_peak_3_lociStitched	chr1(.):713372-714978	3.1985
1_MACS_peak_4_lociStitched	chr1(.):762155-763461	2.7993
1_MACS_peak_5_lociStitched	chr1(.):840206-840523	1.2018
1_MACS_peak_6_lociStitched	chr1(.):859611-859994	0.9701
1_MACS_peak_7_lociStitched	chr1(.):894023-894701	2.3313
1_MACS_peak_8_lociStitched	chr1(.):895652-896485	1.2645
1_MACS_peak_9_lociStitched	chr1(.):901751-902424	2.1142
1_MACS_peak_10_lociStitched	chr1(.):934764-937463	3.2719
1_MACS_peak_11_lociStitched	chr1(.):948856-949303	1.8096
1_MACS_peak_12_lociStitched	chr1(.):954904-956206	3.0329
1_MACS_peak_13_lociStitched	chr1(.):968598-969557	1.9284
1_MACS_peak_14_lociStitched	chr1(.):994429-995113	1.917
2_MACS_peak_15_lociStitched	chr1(.):1003643-1005026	1.3701
1_MACS_peak_17_lociStitched	chr1(.):1014615-1015737	1.6512
1_MACS_peak_18_lociStitched	chr1(.):1051017-1051572	1.8909
1_MACS_peak_19_lociStitched	chr1(.):1057670-1058070	1.3836
2_MACS_peak_20_lociStitched	chr1(.):1071495-1073717	3.3913
1_MACS_peak_22_lociStitched	chr1(.):1074492-1074694	0.7269
1_MACS_peak_23_lociStitched	chr1(.):1075571-1075870	0.6892
1_MACS_peak_24_lociStitched	chr1(.):1078390-1081463	5.9173
1_MACS_peak_25_lociStitched	chr1(.):1084624-1086223	2.0216
1_MACS_peak_26_lociStitched	chr1(.):1092817-1094026	3.29
2_MACS_peak_27_lociStitched	chr1(.):1111112-1112305	1.2181
1_MACS_peak_29_lociStitched	chr1(.):1136751-1137241	0.9928
3_MACS_peak_30_lociStitched	chr1(.):1140314-1144781	2.9398
2_MACS_peak_33_lociStitched	chr1(.):1166530-1168184	3.2641
1_MACS_peak_35_lociStitched	chr1(.):1171907-1172455	1.0722
1_MACS_peak_36_lociStitched	chr1(.):1208380-1209734	3.3914
3_MACS_peak_37_lociStitched	chr1(.):1240166-1244769	2.5346
1_MACS_peak_40_lociStitched	chr1(.):1259485-1260897	2.8688
2_MACS_peak_41_lociStitched	chr1(.):1283829-1285470	2.6339
1_MACS_peak_43_lociStitched	chr1(.):1309831-1311606	3.0741
2_MACS_peak_44_lociStitched	chr1(.):1333968-1335683	3.0146
1_MACS_peak_46_lociStitched	chr1(.):1341763-1343409	2.7618
1_MACS_peak_47_lociStitched	chr1(.):1396725-1398863	3.9293
1_MACS_peak_48_lociStitched	chr1(.):1406214-1408164	3.1641
1_MACS_peak_49_lociStitched	chr1(.):1440575-1441014	1.171
1_MACS_peak_50_lociStitched	chr1(.):1446405-1448583	3.9221
1_MACS_peak_51_lociStitched	chr1(.):1509361-1510938	8.1032
2_MACS_peak_52_lociStitched	chr1(.):1534669-1535931	1.6628
1_MACS_peak_54_lociStitched	chr1(.):1536486-1539067	2.0896
2_MACS_peak_55_lociStitched	chr1(.):1544982-1546938	1.7959
1_MACS_peak_57_lociStitched	chr1(.):1549809-1551931	4.9123
1_MACS_peak_58_lociStitched	chr1(.):1564330-1566731	3.3062
1_MACS_peak_59_lociStitched	chr1(.):1589821-1591364	4.0706
1_MACS_peak_60_lociStitched	chr1(.):1609406-1610300	1.3114
1_MACS_peak_61_lociStitched	chr1(.):1623350-1625418	4.9362
1_MACS_peak_62_lociStitched	chr1(.):1655210-1656596	3.5536
1_MACS_peak_63_lociStitched	chr1(.):1676775-1678569	4.2928
2_MACS_peak_64_lociStitched	chr1(.):1707647-1714737	3.8448
2_MACS_peak_66_lociStitched	chr1(.):1754947-1756209	1.0839
3_MACS_peak_68_lociStitched	chr1(.):1772571-1774351	1.1756
1_MACS_peak_71_lociStitched	chr1(.):1821245-1823583	5.2094
1_MACS_peak_72_lociStitched	chr1(.):1828608-1828876	0.8608
1_MACS_peak_73_lociStitched	chr1(.):1830856-1831102	0.8833
2_MACS_peak_74_lociStitched	chr1(.):1837421-1841432	5.3339
1_MACS_peak_76_lociStitched	chr1(.):1845612-1846037	1.2136
2_MACS_peak_77_lociStitched	chr1(.):1849845-1851795	1.6921
2_MACS_peak_79_lociStitched	chr1(.):1981187-1982269	1.7922
1_MACS_peak_81_lociStitched	chr1(.):2043656-2044021	0.9691
2_MACS_peak_82_lociStitched	chr1(.):2125841-2127049	1.4484
1_MACS_peak_84_lociStitched	chr1(.):2158705-2159213	3.2951
1_MACS_peak_85_lociStitched	chr1(.):2160139-2160571	1.0463
2_MACS_peak_86_lociStitched	chr1(.):2322497-2323858	2.5456
2_MACS_peak_88_lociStitched	chr1(.):2343250-2345131	2.6665
2_MACS_peak_90_lociStitched	chr1(.):2457301-2458100	1.5547
5_MACS_peak_92_lociStitched	chr1(.):2477260-2481083	1.4969
1_MACS_peak_97_lociStitched	chr1(.):2487127-2488740	2.9417
1_MACS_peak_98_lociStitched	chr1(.):2509418-2509941	1.2536
1_MACS_peak_99_lociStitched	chr1(.):2516505-2518729	3.4398
1_MACS_peak_100_lociStitched	chr1(.):2574010-2574773	3.2535
1_MACS_peak_101_lociStitched	chr1(.):2986405-2986746	0.7683
1_MACS_peak_102_lociStitched	chr1(.):3086660-3088905	4.512
1_MACS_peak_103_lociStitched	chr1(.):3138664-3139458	1.8014
1_MACS_peak_104_lociStitched	chr1(.):3236103-3236477	1.2387
2_MACS_peak_105_lociStitched	chr1(.):3370538-3371578	1.0492
2_MACS_peak_107_lociStitched	chr1(.):3430806-3431777	1.0901
1_MACS_peak_109_lociStitched	chr1(.):3432976-3433583	1.2032
2_MACS_peak_110_lociStitched	chr1(.):3447126-3448013	1.4176
1_MACS_peak_112_lociStitched	chr1(.):3456419-3456817	0.9918
1_MACS_peak_113_lociStitched	chr1(.):3541566-3542101	1.0939
1_MACS_peak_114_lociStitched	chr1(.):3646916-3647197	0.8317
2_MACS_peak_115_lociStitched	chr1(.):3688627-3689633	1.0395
1_MACS_peak_117_lociStitched	chr1(.):3712634-3713061	1.2912
2_MACS_peak_118_lociStitched	chr1(.):3773330-3774903	1.6613
1_MACS_peak_120_lociStitched	chr1(.):3816159-3818002	3.8129
1_MACS_peak_121_lociStitched	chr1(.):4087040-4087570	0.9605
1_MACS_peak_122_lociStitched	chr1(.):4715363-4715844	1.0955
1_MACS_peak_123_lociStitched	chr1(.):5203441-5203824	0.9745
1_MACS_peak_124_lociStitched	chr1(.):5482738-5483149	1.1042
1_MACS_peak_125_lociStitched	chr1(.):5490416-5490758	1.1706
1_MACS_peak_126_lociStitched	chr1(.):5707970-5708799	1.6042
3_MACS_peak_127_lociStitched	chr1(.):6051471-6054113	2.2427
2_MACS_peak_130_lociStitched	chr1(.):6085395-6087209	1.8559
2_MACS_peak_132_lociStitched	chr1(.):6258885-6260376	3.1611
1_MACS_peak_134_lociStitched	chr1(.):6268869-6269557	2.0885
1_MACS_peak_135_lociStitched	chr1(.):6295340-6296061	2.964
2_MACS_peak_136_lociStitched	chr1(.):6433537-6434781	1.2934
2_MACS_peak_138_lociStitched	chr1(.):6452806-6454704	2.7128
1_MACS_peak_140_lociStitched	chr1(.):6474671-6475388	1.604
1_MACS_peak_141_lociStitched	chr1(.):6550096-6551144	1.9802
1_MACS_peak_142_lociStitched	chr1(.):6613906-6614648	3.5277
2_MACS_peak_143_lociStitched	chr1(.):6639529-6640944	2.7412
1_MACS_peak_145_lociStitched	chr1(.):6660605-6663953	3.4307
3_MACS_peak_146_lociStitched	chr1(.):6672915-6675435	1.447
1_MACS_peak_149_lociStitched	chr1(.):6685220-6685922	1.3221
1_MACS_peak_150_lociStitched	chr1(.):6760883-6761963	3.0615
1_MACS_peak_151_lociStitched	chr1(.):6803640-6804071	1.5341
2_MACS_peak_152_lociStitched	chr1(.):6843997-6846216	3.5013
3_MACS_peak_154_lociStitched	chr1(.):6977335-6984637	2.314
1_MACS_peak_157_lociStitched	chr1(.):7506915-7507286	1.2943
1_MACS_peak_158_lociStitched	chr1(.):7515642-7516099	1.1804
2_MACS_peak_159_lociStitched	chr1(.):7608829-7610094	1.4102
1_MACS_peak_161_lociStitched	chr1(.):7705158-7705415	0.7641
1_MACS_peak_162_lociStitched	chr1(.):7740334-7740800	1.0452
1_MACS_peak_163_lociStitched	chr1(.):7831254-7832025	2.3988
1_MACS_peak_164_lociStitched	chr1(.):8013797-8014693	1.6761
2_MACS_peak_165_lociStitched	chr1(.):8021178-8022291	1.9861
1_MACS_peak_167_lociStitched	chr1(.):8085953-8086389	1.2773
3_MACS_peak_168_lociStitched	chr1(.):8226723-8228255	1.1603
2_MACS_peak_171_lociStitched	chr1(.):8229205-8231007	2.2833
1_MACS_peak_173_lociStitched	chr1(.):8277183-8277696	1.3199
1_MACS_peak_174_lociStitched	chr1(.):8319342-8319763	0.9696
2_MACS_peak_175_lociStitched	chr1(.):8483229-8484311	1.0636
1_MACS_peak_177_lociStitched	chr1(.):8761773-8763498	2.4781
1_MACS_peak_178_lociStitched	chr1(.):8764367-8765246	1.2419
1_MACS_peak_179_lociStitched	chr1(.):8772085-8773286	1.5153
2_MACS_peak_180_lociStitched	chr1(.):8877249-8878224	1.002
1_MACS_peak_182_lociStitched	chr1(.):8937074-8939556	3.8857
1_MACS_peak_183_lociStitched	chr1(.):9129258-9129607	1.142
1_MACS_peak_184_lociStitched	chr1(.):9188812-9189253	1.4274
1_MACS_peak_185_lociStitched	chr1(.):9241700-9243404	2.1115
1_MACS_peak_186_lociStitched	chr1(.):9294767-9295472	3.8959
1_MACS_peak_187_lociStitched	chr1(.):9353085-9353919	1.7116
2_MACS_peak_188_lociStitched	chr1(.):9375160-9376463	1.2317
1_MACS_peak_190_lociStitched	chr1(.):9473396-9473883	1.4763
3_MACS_peak_191_lociStitched	chr1(.):9485346-9487148	1.1803
1_MACS_peak_194_lociStitched	chr1(.):9489177-9489566	1.5614
2_MACS_peak_195_lociStitched	chr1(.):9502153-9503438	1.6553
1_MACS_peak_197_lociStitched	chr1(.):9599484-9600266	4.4612
1_MACS_peak_198_lociStitched	chr1(.):9648831-9649592	1.9509
1_MACS_peak_199_lociStitched	chr1(.):9883307-9884140	1.7289
1_MACS_peak_200_lociStitched	chr1(.):9895955-9896600	1.338
2_MACS_peak_201_lociStitched	chr1(.):9969747-9971157	1.2863
2_MACS_peak_203_lociStitched	chr1(.):10002912-10003973	1.3811
1_MACS_peak_205_lociStitched	chr1(.):10092911-10093716	3.6993
1_MACS_peak_206_lociStitched	chr1(.):10269858-10271299	1.8809
1_MACS_peak_207_lociStitched	chr1(.):10447739-10448113	1.3384
1_MACS_peak_208_lociStitched	chr1(.):10459025-10459749	1.7557
1_MACS_peak_209_lociStitched	chr1(.):10490456-10490780	1.292
2_MACS_peak_210_lociStitched	chr1(.):10532059-10533152	1.2147
1_MACS_peak_212_lociStitched	chr1(.):10534966-10535459	2.2426
1_MACS_peak_213_lociStitched	chr1(.):10804281-10804865	1.9905
1_MACS_peak_214_lociStitched	chr1(.):10999949-11000229	1.0935
1_MACS_peak_215_lociStitched	chr1(.):11028966-11029319	0.8222
1_MACS_peak_216_lociStitched	chr1(.):11039783-11040575	0.9876
1_MACS_peak_217_lociStitched	chr1(.):11072286-11073291	4.3267
2_MACS_peak_218_lociStitched	chr1(.):11118834-11120791	2.7392
1_MACS_peak_220_lociStitched	chr1(.):11159328-11160230	2.9714
1_MACS_peak_221_lociStitched	chr1(.):11322123-11322709	2.8007
1_MACS_peak_222_lociStitched	chr1(.):11333226-11334003	3.5125
1_MACS_peak_223_lociStitched	chr1(.):11538826-11539662	3.0691
1_MACS_peak_224_lociStitched	chr1(.):11582576-11583020	1.1639
