GENE_ID	locusLine	bin_1_17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33.bam
1_MACS_peak_1_lociStitched	chr1(.):9878-10659	1.6033
1_MACS_peak_2_lociStitched	chr1(.):28273-30345	3.5706
1_MACS_peak_3_lociStitched	chr1(.):441721-442476	0.3607
1_MACS_peak_4_lociStitched	chr1(.):713093-715513	2.2246
1_MACS_peak_5_lociStitched	chr1(.):761756-763839	2.274
1_MACS_peak_6_lociStitched	chr1(.):793443-794113	0.491
1_MACS_peak_7_lociStitched	chr1(.):879154-880739	0.9055
3_MACS_peak_8_lociStitched	chr1(.):893751-902747	0.5202
2_MACS_peak_11_lociStitched	chr1(.):948051-955297	0.2326
1_MACS_peak_13_lociStitched	chr1(.):998994-1000211	0.9989
1_MACS_peak_14_lociStitched	chr1(.):1050927-1052456	0.5805
1_MACS_peak_15_lociStitched	chr1(.):1092843-1094139	1.0433
1_MACS_peak_16_lociStitched	chr1(.):1166208-1167806	2.2005
1_MACS_peak_17_lociStitched	chr1(.):1185087-1186096	0.8863
1_MACS_peak_18_lociStitched	chr1(.):1207877-1210279	1.455
1_MACS_peak_19_lociStitched	chr1(.):1242524-1245229	1.8357
1_MACS_peak_20_lociStitched	chr1(.):1259308-1261711	2.0817
2_MACS_peak_21_lociStitched	chr1(.):1283634-1285516	1.1868
1_MACS_peak_23_lociStitched	chr1(.):1309447-1311677	2.2329
2_MACS_peak_24_lociStitched	chr1(.):1333557-1343553	0.9854
1_MACS_peak_26_lociStitched	chr1(.):1396697-1398896	2.0584
1_MACS_peak_27_lociStitched	chr1(.):1405848-1408592	1.0712
2_MACS_peak_28_lociStitched	chr1(.):1439615-1449065	1.2606
1_MACS_peak_30_lociStitched	chr1(.):1509136-1511236	2.3292
1_MACS_peak_31_lociStitched	chr1(.):1549880-1552261	2.6381
1_MACS_peak_32_lociStitched	chr1(.):1589582-1591707	3.3666
2_MACS_peak_33_lociStitched	chr1(.):1606112-1611126	2.3655
1_MACS_peak_35_lociStitched	chr1(.):1622690-1625631	6.5609
1_MACS_peak_36_lociStitched	chr1(.):1654863-1656716	2.7502
2_MACS_peak_37_lociStitched	chr1(.):1668749-1678873	2.37
2_MACS_peak_39_lociStitched	chr1(.):1708318-1715183	3.8321
1_MACS_peak_41_lociStitched	chr1(.):1755046-1756304	0.5
1_MACS_peak_42_lociStitched	chr1(.):1772470-1775196	0.8086
2_MACS_peak_43_lociStitched	chr1(.):1821115-1829559	0.592
1_MACS_peak_45_lociStitched	chr1(.):1838196-1841321	1.2448
2_MACS_peak_46_lociStitched	chr1(.):2120521-2127402	0.4136
1_MACS_peak_48_lociStitched	chr1(.):2158407-2159467	0.9913
1_MACS_peak_49_lociStitched	chr1(.):2221512-2223136	0.8749
1_MACS_peak_50_lociStitched	chr1(.):2231165-2233380	2.1898
1_MACS_peak_51_lociStitched	chr1(.):2322128-2324150	1.5579
2_MACS_peak_52_lociStitched	chr1(.):2342934-2347782	1.4597
1_MACS_peak_54_lociStitched	chr1(.):2456573-2458432	1.2882
3_MACS_peak_55_lociStitched	chr1(.):2476990-2489244	2.45
1_MACS_peak_58_lociStitched	chr1(.):2508972-2510177	0.5196
1_MACS_peak_59_lociStitched	chr1(.):2516461-2518775	1.8646
1_MACS_peak_60_lociStitched	chr1(.):2573464-2575067	1.3314
3_MACS_peak_61_lociStitched	chr1(.):3540318-3547787	0.4929
2_MACS_peak_64_lociStitched	chr1(.):3565720-3569939	0.5982
1_MACS_peak_66_lociStitched	chr1(.):3589191-3590462	0.6925
1_MACS_peak_67_lociStitched	chr1(.):3711913-3713730	0.9028
1_MACS_peak_68_lociStitched	chr1(.):3772786-3775041	1.5583
1_MACS_peak_69_lociStitched	chr1(.):3815836-3818334	6.1335
1_MACS_peak_70_lociStitched	chr1(.):3838292-3839621	0.5139
2_MACS_peak_71_lociStitched	chr1(.):4066982-4068616	0.4239
1_MACS_peak_73_lociStitched	chr1(.):4856084-4857069	0.4207
