#MM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM.1S.H3K27ac_ROSE/MM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM.1S.jin.bam
#Using cutoff of 6466.383 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuperStretch
3_MACS_peak_9255_lociStitched	chr14	106024774	106049819	3	25011	71518.502	1	1
3_MACS_peak_25977_lociStitched	chr6	7895054	7921561	3	25959	62543.2665	2	1
5_MACS_peak_19944_lociStitched	chr22	23268548	23287346	5	18455	63040.9728	3	1
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	5	20161	47540.8864	4	1
4_MACS_peak_25851_lociStitched	chr6	311744	329584	4	17309	47843.312	5	1
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	8	20231	36858.003	6	1
3_MACS_peak_22316_lociStitched	chr3	171809625	171827038	3	17241	45124.0482	7	1
2_MACS_peak_12485_lociStitched	chr17	34522387	34539899	2	17330	43909.5888	8	1
2_MACS_peak_12501_lociStitched	chr17	34624012	34641428	2	17269	42752.7968	9	1
4_MACS_peak_3365_lociStitched	chr10	11204635	11223195	4	18356	38059.136	10	1
7_MACS_peak_23449_lociStitched	chr4	90210365	90230034	7	19315	31968.0257	11	1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	5	15909	36651.0456	12	1
2_MACS_peak_6589_lociStitched	chr12	12866317	12879973	2	13615	41213.808	13	1
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	5	15007	34875.7338	14	1
6_MACS_peak_10843_lociStitched	chr16	11820117	11837556	6	16620	28674.9477	15	1
2_MACS_peak_16837_lociStitched	chr2	99094020	99108342	2	14284	35014.4256	16	1
6_MACS_peak_598_lociStitched	chr1	31214618	31231144	6	15901	28631.295	17	1
4_MACS_peak_15847_lociStitched	chr2	20404120	20418366	4	14053	32573.479	18	1
10_MACS_peak_24522_lociStitched	chr5	55437016	55454217	10	15702	26099.0773	19	1
6_MACS_peak_9068_lociStitched	chr14	91829936	91846209	6	15507	26845.5681	20	1
7_MACS_peak_2732_lociStitched	chr1	206727810	206743132	7	14212	29923.866	21	1
3_MACS_peak_13500_lociStitched	chr17	76711364	76726376	3	14631	27577.044	22	1
9_MACS_peak_7050_lociStitched	chr12	53853434	53870143	9	15607	21178.6575	23	1
7_MACS_peak_23074_lociStitched	chr4	40191868	40207625	7	15024	23685.9224	24	1
5_MACS_peak_2011_lociStitched	chr1	156118517	156133324	5	13859	28333.1945	25	1
10_MACS_peak_20664_lociStitched	chr3	5226352	5241943	10	14464	23589.183	26	1
4_MACS_peak_18169_lociStitched	chr2	232687268	232703050	4	15538	17475.4086	27	1
4_MACS_peak_25187_lociStitched	chr5	131753798	131767712	4	13243	28021.4046	28	1
3_MACS_peak_4561_lociStitched	chr10	125823089	125836307	3	12881	27887.3364	29	1
4_MACS_peak_17803_lociStitched	chr2	201980360	201992722	4	11973	28951.804	30	1
5_MACS_peak_27008_lociStitched	chr6	90058550	90070965	5	12113	28240.4005	31	1
4_MACS_peak_20313_lociStitched	chr22	38782147	38795584	4	12996	24974.0082	32	1
2_MACS_peak_3018_lociStitched	chr1	226839383	226852263	2	12859	25135.32	33	1
2_MACS_peak_19941_lociStitched	chr22	23228637	23241257	2	12584	26170.094	34	1
1_MACS_peak_5412_lociStitched	chr11	65183878	65192645	1	8768	34045.7678	35	1
2_MACS_peak_26194_lociStitched	chr6	25403329	25415276	2	11923	25635.8726	36	1
2_MACS_peak_9267_lociStitched	chr14	106157435	106168957	2	11140	28127.5064	37	1
3_MACS_peak_22455_lociStitched	chr3	183228023	183239468	3	11343	26989.599	38	1
2_MACS_peak_2638_lociStitched	chr1	203288256	203297486	2	9157	31426.304	39	1
5_MACS_peak_12129_lociStitched	chr17	16869394	16882822	5	12375	21153.1284	40	1
1_MACS_peak_19742_lociStitched	chr21	45572804	45580853	1	8050	33336.5433	41	1
2_MACS_peak_1817_lociStitched	chr1	150532554	150542749	2	9944	28796.797	42	1
3_MACS_peak_13431_lociStitched	chr17	75135740	75146541	3	10648	26412.7654	43	1
2_MACS_peak_22384_lociStitched	chr3	178230184	178241314	2	11099	23843.799	44	1
2_MACS_peak_7636_lociStitched	chr12	109021027	109031682	2	10636	25215.0575	45	1
5_MACS_peak_28632_lociStitched	chr7	78115086	78127922	5	12082	19282.2392	46	1
6_MACS_peak_7623_lociStitched	chr12	108954120	108966332	6	11668	20976.5524	47	1
2_MACS_peak_14415_lociStitched	chr19	2082173	2091358	2	9124	28650.7705	48	1
1_MACS_peak_7032_lociStitched	chr12	53590696	53601183	1	10488	24833.216	49	1
5_MACS_peak_16065_lociStitched	chr2	37540792	37553230	5	11998	18597.2976	50	1
2_MACS_peak_1933_lociStitched	chr1	154908534	154918950	2	10199	24436.9776	51	1
1_MACS_peak_19981_lociStitched	chr22	24183011	24191883	1	8873	28074.5568	52	1
10_MACS_peak_13293_lociStitched	chr17	72744063	72757192	10	11777	18127.2103	53	1
4_MACS_peak_20742_lociStitched	chr3	13049272	13060825	4	11028	20653.2981	54	1
5_MACS_peak_12408_lociStitched	chr17	32688789	32699949	5	10870	20504.268	55	1
2_MACS_peak_10376_lociStitched	chr15	90637116	90646423	2	9256	25506.7642	56	1
1_MACS_peak_22367_lociStitched	chr3	176912674	176921062	1	8389	26623.512	57	1
5_MACS_peak_17059_lociStitched	chr2	112455596	112465688	5	9901	21773.49	58	1
1_MACS_peak_1914_lociStitched	chr1	154374149	154383535	1	9387	23032.3054	59	1
3_MACS_peak_13729_lociStitched	chr18	9060503	9070992	3	10250	19962.6648	60	1
2_MACS_peak_24188_lociStitched	chr5	1311517	1320346	2	8775	24676.1721	61	1
4_MACS_peak_21822_lociStitched	chr3	124502155	124512681	4	10034	19927.8232	62	1
1_MACS_peak_18173_lociStitched	chr2	232703596	232714823	1	11228	14216.7501	63	1
1_MACS_peak_20075_lociStitched	chr22	29212130	29221390	1	9261	22335.12	64	1
3_MACS_peak_31473_lociStitched	chr9	94182539	94192465	3	9627	20685.784	65	1
1_MACS_peak_14195_lociStitched	chr18	60822294	60830719	1	8426	23735.7525	66	1
3_MACS_peak_18310_lociStitched	chr2	239166818	239176766	3	9929	17682.57	67	1
4_MACS_peak_12625_lociStitched	chr17	38473593	38483797	4	9929	17642.716	68	1
3_MACS_peak_32637_lociStitched	chrX	58124264	58135315	3	10678	13718.7114	69	1
2_MACS_peak_18716_lociStitched	chr20	30292054	30301516	2	9448	19179.474	70	1
2_MACS_peak_22548_lociStitched	chr3	186711511	186719690	2	8180	22915.9222	71	1
