REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
3_MACS_peak_9255_lociStitched	chr14	106024774	106049819	3	25011	71518.502	1	1		TMEM121	TMEM121	1	1
5_MACS_peak_19944_lociStitched	chr22	23268548	23287346	5	18455	63040.9728	2	1		IGLL5	IGLL5	2	1
3_MACS_peak_25977_lociStitched	chr6	7895054	7921561	3	25959	62543.2665	3	1	MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
4_MACS_peak_25851_lociStitched	chr6	311744	329584	4	17309	47843.312	4	1	DUSP22		DUSP22	4	1
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	5	20161	47540.8864	5	1	ZBTB38		ZBTB38	5	1
3_MACS_peak_22316_lociStitched	chr3	171809625	171827038	3	17241	45124.0482	6	1	FNDC3B		FNDC3B	6	1
2_MACS_peak_12485_lociStitched	chr17	34522387	34539899	2	17330	43909.5888	7	1	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	7	1
2_MACS_peak_12501_lociStitched	chr17	34624012	34641428	2	17269	42752.7968	8	1	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	8	1
2_MACS_peak_6589_lociStitched	chr12	12866317	12879973	2	13615	41213.808	9	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	9	1
4_MACS_peak_3365_lociStitched	chr10	11204635	11223195	4	18356	38059.136	10	1	CELF2		CELF2	10	1
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	8	20231	36858.003	11	1	FLI1		FLI1	11	1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	5	15909	36651.0456	12	1	ZBTB38		ZBTB38	12	1
2_MACS_peak_16837_lociStitched	chr2	99094020	99108342	2	14284	35014.4256	13	1	INPP4A		INPP4A	13	1
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	5	15007	34875.7338	14	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	14	1
1_MACS_peak_5412_lociStitched	chr11	65183878	65192645	1	8768	34045.7678	15	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	15	1
1_MACS_peak_19742_lociStitched	chr21	45572804	45580853	1	8050	33336.5433	16	1		PWP2,C21orf33	C21orf33	16	1
4_MACS_peak_15847_lociStitched	chr2	20404120	20418366	4	14053	32573.479	17	1	SDC1		SDC1	17	1
7_MACS_peak_23449_lociStitched	chr4	90210365	90230034	7	19315	31968.0257	18	1	GPRIN3		GPRIN3	18	1
2_MACS_peak_2638_lociStitched	chr1	203288256	203297486	2	9157	31426.304	19	1		BTG2,LOC730227,FMOD	BTG2	19	1
7_MACS_peak_2732_lociStitched	chr1	206727810	206743132	7	14212	29923.866	20	1	RASSF5	LGTN	RASSF5	20	1
4_MACS_peak_17803_lociStitched	chr2	201980360	201992722	4	11973	28951.804	21	1	CFLAR	NDUFB3,FAM126B	CFLAR	21	1
2_MACS_peak_1817_lociStitched	chr1	150532554	150542749	2	9944	28796.797	22	1	ADAMTSL4	MIR4257,MCL1	MIR4257	22	1
6_MACS_peak_10843_lociStitched	chr16	11820117	11837556	6	16620	28674.9477	23	1	TXNDC11		TXNDC11	23	1
2_MACS_peak_14415_lociStitched	chr19	2082173	2091358	2	9124	28650.7705	24	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	24	1
6_MACS_peak_598_lociStitched	chr1	31214618	31231144	6	15901	28631.295	25	1	LAPTM5	LOC100129196,MATN1	LAPTM5	25	1
5_MACS_peak_2011_lociStitched	chr1	156118517	156133324	5	13859	28333.1945	26	1	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	26	1
5_MACS_peak_27008_lociStitched	chr6	90058550	90070965	5	12113	28240.4005	27	1	UBE2J1	GABRR2	UBE2J1	27	1
2_MACS_peak_9267_lociStitched	chr14	106157435	106168957	2	11140	28127.5064	28	1			TMEM121	28	1
1_MACS_peak_19981_lociStitched	chr22	24183011	24191883	1	8873	28074.5568	29	1		SLC2A11,MIF,DERL3	DERL3	29	1
4_MACS_peak_25187_lociStitched	chr5	131753798	131767712	4	13243	28021.4046	30	1	C5orf56	SLC22A5	C5orf56	30	1
3_MACS_peak_4561_lociStitched	chr10	125823089	125836307	3	12881	27887.3364	31	1	CHST15		CHST15	31	1
3_MACS_peak_13500_lociStitched	chr17	76711364	76726376	3	14631	27577.044	32	1	CYTH1		CYTH1	32	1
3_MACS_peak_22455_lociStitched	chr3	183228023	183239468	3	11343	26989.599	33	1	KLHL6		KLHL6	33	1
6_MACS_peak_9068_lociStitched	chr14	91829936	91846209	6	15507	26845.5681	34	1	CCDC88C		CCDC88C	34	1
1_MACS_peak_19748_lociStitched	chr21	45660072	45665671	1	5600	26763.22	35	1	ICOSLG	AIRE,DNMT3L	ICOSLG	35	1
1_MACS_peak_22367_lociStitched	chr3	176912674	176921062	1	8389	26623.512	36	1	TBL1XR1		TBL1XR1	36	1
3_MACS_peak_13431_lociStitched	chr17	75135740	75146541	3	10648	26412.7654	37	1	SEC14L1	SEC14L1	SEC14L1	37	1
2_MACS_peak_19941_lociStitched	chr22	23228637	23241257	2	12584	26170.094	38	1	IGLL5		IGLL5	38	1
10_MACS_peak_24522_lociStitched	chr5	55437016	55454217	10	15702	26099.0773	39	1	ANKRD55		ANKRD55	39	1
2_MACS_peak_26194_lociStitched	chr6	25403329	25415276	2	11923	25635.8726	40	1	LRRC16A		LRRC16A	40	1
2_MACS_peak_10376_lociStitched	chr15	90637116	90646423	2	9256	25506.7642	41	1	IDH2		IDH2	41	1
2_MACS_peak_7636_lociStitched	chr12	109021027	109031682	2	10636	25215.0575	42	1	SELPLG	TMEM119	SELPLG	42	1
1_MACS_peak_2632_lociStitched	chr1	203254979	203261357	1	6379	25159.2966	43	1		BTG2,LOC730227	LOC730227	43	1
2_MACS_peak_3018_lociStitched	chr1	226839383	226852263	2	12859	25135.32	44	1	ITPKB		ITPKB	44	1
4_MACS_peak_20313_lociStitched	chr22	38782147	38795584	4	12996	24974.0082	45	1	LOC400927	KCNJ4	LOC400927	45	1
1_MACS_peak_7032_lociStitched	chr12	53590696	53601183	1	10488	24833.216	46	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	46	1
1_MACS_peak_22377_lociStitched	chr3	177073666	177079911	1	6246	24720.8325	47	1			TBL1XR1	47	1
2_MACS_peak_24188_lociStitched	chr5	1311517	1320346	2	8775	24676.1721	48	1	CLPTM1L	TERT	TERT	48	1
2_MACS_peak_1933_lociStitched	chr1	154908534	154918950	2	10199	24436.9776	49	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	49	1
1_MACS_peak_2990_lociStitched	chr1	226127454	226133546	1	6093	23923.8932	50	1	LEFTY2	PYCR2	LEFTY2	50	1
2_MACS_peak_22384_lociStitched	chr3	178230184	178241314	2	11099	23843.799	51	1		KCNMB2	KCNMB2	51	1
1_MACS_peak_14195_lociStitched	chr18	60822294	60830719	1	8426	23735.7525	52	1	BCL2		BCL2	52	1
7_MACS_peak_23074_lociStitched	chr4	40191868	40207625	7	15024	23685.9224	53	1	RHOH		RHOH	53	1
1_MACS_peak_18909_lociStitched	chr20	37498452	37506097	1	7646	23591.7055	54	1	PPP1R16B	FAM83D	FAM83D	54	1
10_MACS_peak_20664_lociStitched	chr3	5226352	5241943	10	14464	23589.183	55	1	EDEM1		EDEM1	55	1
1_MACS_peak_8505_lociStitched	chr13	114829470	114835046	1	5577	23537.4112	56	1	RASA3		RASA3	56	1
1_MACS_peak_19699_lociStitched	chr21	44580515	44587243	1	6729	23229.0928	57	1		CRYAA	CRYAA	57	1
1_MACS_peak_1914_lociStitched	chr1	154374149	154383535	1	9387	23032.3054	58	1	IL6R		IL6R	58	1
2_MACS_peak_22548_lociStitched	chr3	186711511	186719690	2	8180	22915.9222	59	1	ST6GAL1	ST6GAL1	ST6GAL1	59	1
2_MACS_peak_22592_lociStitched	chr3	193817616	193822904	2	5256	22845.7464	60	1		HES1	HES1	60	1
1_MACS_peak_19672_lociStitched	chr21	43480281	43486121	1	5841	22502.688	61	1	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	61	1
1_MACS_peak_20075_lociStitched	chr22	29212130	29221390	1	9261	22335.12	62	1		CCDC117,XBP1	XBP1	62	1
5_MACS_peak_2799_lociStitched	chr1	209275199	209284092	5	8434	21828.7578	63	1			LOC642587	63	1
5_MACS_peak_17059_lociStitched	chr2	112455596	112465688	5	9901	21773.49	64	1			ANAPC1	64	1
3_MACS_peak_3148_lociStitched	chr1	234741902	234749271	3	7128	21728.2334	65	1	IRF2BP2	NCRNA00184	IRF2BP2	65	1
9_MACS_peak_7050_lociStitched	chr12	53853434	53870143	9	15607	21178.6575	66	1	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	66	1
