#MM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM.1S.H3K27ac_ROSE/MM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM.1S.jin.bam
#Using cutoff of 6466.383 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isStretch
3_MACS_peak_25977_lociStitched	chr6	7895054	7921561	3	25959	62543.2665	1	1
3_MACS_peak_9255_lociStitched	chr14	106024774	106049819	3	25011	71518.502	2	1
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	8	20231	36858.003	3	1
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	5	20161	47540.8864	4	1
7_MACS_peak_23449_lociStitched	chr4	90210365	90230034	7	19315	31968.0257	5	1
5_MACS_peak_19944_lociStitched	chr22	23268548	23287346	5	18455	63040.9728	6	1
4_MACS_peak_3365_lociStitched	chr10	11204635	11223195	4	18356	38059.136	7	1
2_MACS_peak_12485_lociStitched	chr17	34522387	34539899	2	17330	43909.5888	8	1
4_MACS_peak_25851_lociStitched	chr6	311744	329584	4	17309	47843.312	9	1
2_MACS_peak_12501_lociStitched	chr17	34624012	34641428	2	17269	42752.7968	10	1
3_MACS_peak_22316_lociStitched	chr3	171809625	171827038	3	17241	45124.0482	11	1
6_MACS_peak_10843_lociStitched	chr16	11820117	11837556	6	16620	28674.9477	12	1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	5	15909	36651.0456	13	1
6_MACS_peak_598_lociStitched	chr1	31214618	31231144	6	15901	28631.295	14	1
10_MACS_peak_24522_lociStitched	chr5	55437016	55454217	10	15702	26099.0773	15	1
9_MACS_peak_7050_lociStitched	chr12	53853434	53870143	9	15607	21178.6575	16	1
4_MACS_peak_18169_lociStitched	chr2	232687268	232703050	4	15538	17475.4086	17	1
6_MACS_peak_9068_lociStitched	chr14	91829936	91846209	6	15507	26845.5681	18	1
7_MACS_peak_23074_lociStitched	chr4	40191868	40207625	7	15024	23685.9224	19	1
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	5	15007	34875.7338	20	1
3_MACS_peak_13500_lociStitched	chr17	76711364	76726376	3	14631	27577.044	21	1
10_MACS_peak_20664_lociStitched	chr3	5226352	5241943	10	14464	23589.183	22	1
2_MACS_peak_16837_lociStitched	chr2	99094020	99108342	2	14284	35014.4256	23	1
7_MACS_peak_2732_lociStitched	chr1	206727810	206743132	7	14212	29923.866	24	1
4_MACS_peak_15847_lociStitched	chr2	20404120	20418366	4	14053	32573.479	25	1
5_MACS_peak_2011_lociStitched	chr1	156118517	156133324	5	13859	28333.1945	26	1
2_MACS_peak_6589_lociStitched	chr12	12866317	12879973	2	13615	41213.808	27	1
4_MACS_peak_25187_lociStitched	chr5	131753798	131767712	4	13243	28021.4046	28	1
4_MACS_peak_20313_lociStitched	chr22	38782147	38795584	4	12996	24974.0082	29	1
3_MACS_peak_4561_lociStitched	chr10	125823089	125836307	3	12881	27887.3364	30	1
2_MACS_peak_3018_lociStitched	chr1	226839383	226852263	2	12859	25135.32	31	1
2_MACS_peak_19941_lociStitched	chr22	23228637	23241257	2	12584	26170.094	32	1
5_MACS_peak_12129_lociStitched	chr17	16869394	16882822	5	12375	21153.1284	33	1
5_MACS_peak_27008_lociStitched	chr6	90058550	90070965	5	12113	28240.4005	34	1
5_MACS_peak_28632_lociStitched	chr7	78115086	78127922	5	12082	19282.2392	35	1
5_MACS_peak_16065_lociStitched	chr2	37540792	37553230	5	11998	18597.2976	36	1
