REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM.1S.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
3_MACS_peak_9255_lociStitched	chr14	106024774	106049819	3	25011	71518.502	1	1		TMEM121	TMEM121	TMEM121	0.1848	1	1
3_MACS_peak_25977_lociStitched	chr6	7895054	7921561	3	25959	62543.2665	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.4114	2	1
5_MACS_peak_19944_lociStitched	chr22	23268548	23287346	5	18455	63040.9728	3	1		IGLL5	IGLL5	IGLL5	1.647	3	1
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	5	20161	47540.8864	4	1	ZBTB38		ZBTB38	ZBTB38	0.8294	4	1
4_MACS_peak_25851_lociStitched	chr6	311744	329584	4	17309	47843.312	5	1	DUSP22		DUSP22	DUSP22	1.3715	5	1
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	8	20231	36858.003	6	1	FLI1		FLI1	FLI1	0.5313	6	1
3_MACS_peak_22316_lociStitched	chr3	171809625	171827038	3	17241	45124.0482	7	1	FNDC3B		FNDC3B	FNDC3B	0.3866	7	1
2_MACS_peak_12485_lociStitched	chr17	34522387	34539899	2	17330	43909.5888	8	1	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	2.0721	8	1
2_MACS_peak_12501_lociStitched	chr17	34624012	34641428	2	17269	42752.7968	9	1	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.197	9	1
4_MACS_peak_3365_lociStitched	chr10	11204635	11223195	4	18356	38059.136	10	1	CELF2		CELF2	CELF2	0.3145	10	1
7_MACS_peak_23449_lociStitched	chr4	90210365	90230034	7	19315	31968.0257	11	1	GPRIN3		GPRIN3	GPRIN3	0.5828	11	1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	5	15909	36651.0456	12	1	ZBTB38		ZBTB38	ZBTB38	0.8294	12	1
2_MACS_peak_6589_lociStitched	chr12	12866317	12879973	2	13615	41213.808	13	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.7619	13	1
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	5	15007	34875.7338	14	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	1.5551	14	1
6_MACS_peak_10843_lociStitched	chr16	11820117	11837556	6	16620	28674.9477	15	1	TXNDC11		TXNDC11	TXNDC11	0.9381	15	1
2_MACS_peak_16837_lociStitched	chr2	99094020	99108342	2	14284	35014.4256	16	1	INPP4A		INPP4A	INPP4A	0.7446	16	1
6_MACS_peak_598_lociStitched	chr1	31214618	31231144	6	15901	28631.295	17	1	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.9974	17	1
4_MACS_peak_15847_lociStitched	chr2	20404120	20418366	4	14053	32573.479	18	1	SDC1		SDC1	SDC1	1.3684	18	1
10_MACS_peak_24522_lociStitched	chr5	55437016	55454217	10	15702	26099.0773	19	1	ANKRD55		ANKRD55	ANKRD55	0.3319	19	1
6_MACS_peak_9068_lociStitched	chr14	91829936	91846209	6	15507	26845.5681	20	1	CCDC88C		CCDC88C	CCDC88C	0.4618	20	1
7_MACS_peak_2732_lociStitched	chr1	206727810	206743132	7	14212	29923.866	21	1	RASSF5	LGTN	RASSF5	RASSF5	0.5561	21	1
3_MACS_peak_13500_lociStitched	chr17	76711364	76726376	3	14631	27577.044	22	1	CYTH1		CYTH1	CYTH1	0.6113	22	1
9_MACS_peak_7050_lociStitched	chr12	53853434	53870143	9	15607	21178.6575	23	1	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.863	23	1
7_MACS_peak_23074_lociStitched	chr4	40191868	40207625	7	15024	23685.9224	24	1	RHOH		RHOH	RHOH	0.5103	24	1
5_MACS_peak_2011_lociStitched	chr1	156118517	156133324	5	13859	28333.1945	25	1	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	0.9581	25	1
10_MACS_peak_20664_lociStitched	chr3	5226352	5241943	10	14464	23589.183	26	1	EDEM1		EDEM1	EDEM1	0.83	26	1
