GENE_ID	locusLine	bin_1_31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45.bam
NR_002188	chr1(.):155178615-155202325	0.4169
NM_021642	chr1(.):161470204-161494360	0.214
NM_001198993	chr1(.):1677670-1715297	0.4621
NM_023018	chr1(.):1677670-1714909	0.4639
NM_033487	chr1(.):1566099-1660775	0.3869
NM_017900	chr1(.):1304109-1315818	0.5748
NM_001198994	chr1(.):1677670-1716508	0.4546
NM_003820	chr1(.):2482804-2500267	0.3656
NM_017940	chr1(.):16885411-16944982	0.4877
NM_001113348	chr1(.):21538739-21677034	0.2592
NM_004091	chr1(.):23827921-23862713	0.4521
NM_173065	chr1(.):24475646-24518751	0.3132
NM_001048199	chr1(.):28827454-28870708	0.3666
NR_002909	chr1(.):28827454-28842404	0.5081
NM_002379	chr1(.):31179123-31201432	0.3414
NR_034182	chr1(.):31186618-31204593	0.39
NM_006845	chr1(.):45200489-45238438	0.2162
NM_001100910	chr1(.):120834004-120860681	0.3872
NM_153713	chr1(.):145472084-145504091	0.3554
NM_207168	chr1(.):150594521-150607098	0.4665
NM_005060	chr1(.):151773546-151809348	0.368
NM_001001523	chr1(.):151773546-151803553	0.3484
NM_020699	chr1(.):153772202-153900451	0.2812
NM_020524	chr1(.):154911558-154933567	1.0049
NM_181359	chr1(.):154372668-154445188	0.5027
NM_004952	chr1(.):155046347-155065014	0.7012
NM_005572	chr1(.):156079460-156112657	0.4945
NM_005973	chr1(.):156732273-156775609	0.3244
NM_001135050	chr1(.):159891828-159920386	0.5521
NM_012394	chr1(.):161065345-161092866	0.499
NM_182663	chr1(.):206675878-206767616	0.3976
NM_002221	chr1(.):226814390-226931876	0.4435
NM_053052	chr1(.):227917696-227973932	0.3293
NM_004481	chr1(.):230197955-230422875	0.2703
NM_014765	chr1(.):235267657-235297256	0.3878
NM_004421	chr1(.):1265657-1289492	0.2315
NM_001127230	chr1(.):1304110-1315562	0.5854
NM_001127229	chr1(.):1304109-1315580	0.5845
NM_032348	chr1(.):1283070-1298915	0.2466
NM_022834	chr1(.):1365902-1383262	0.1969
NM_030937	chr1(.):1316090-1339718	0.3009
NM_001039577	chr1(.):1322667-1339718	0.3355
NR_015434	chr1(.):1329909-1342426	0.4726
NM_001145210	chr1(.):1348799-1361650	0.1919
NM_001146685	chr1(.):1356507-1368167	0.1444
NM_017971	chr1(.):1332275-1347693	0.5527
NM_001039211	chr1(.):1380068-1410538	0.3327
NM_182838	chr1(.):1658680-1682431	0.5526
NM_001110781	chr1(.):1587938-1629243	0.5474
NM_024011	chr1(.):1629169-1660791	0.2956
NM_001198995	chr1(.):1677670-1695081	0.3113
NM_001010926	chr1(.):2455183-2466684	0.3091
NR_026927	chr1(.):2476358-2489284	0.7941
NM_018216	chr1(.):2434974-2463035	0.2477
NM_001195741	chr1(.):2513188-2527908	0.3148
NR_036638	chr1(.):2512898-2527908	0.3167
NR_026752	chr1(.):16939750-16962401	0.915
NR_027504	chr1(.):16967068-16981915	1.1236
NM_014675	chr1(.):17243444-17304474	0.2584
NM_001397	chr1(.):21538739-21621982	0.267
NM_001113347	chr1(.):21538739-21611183	0.1769
NM_001113349	chr1(.):21538739-21621766	0.2658
NM_017707	chr1(.):23750055-23815750	0.143
NM_002167	chr1(.):23879408-23891322	0.5203
NM_021258	chr1(.):24441260-24474611	0.1486
NR_027087	chr1(.):24521729-24543180	0.4404
NM_015484	chr1(.):25543766-25564013	0.2423
NM_001127691	chr1(.):25593980-25661936	0.1472
NM_020317	chr1(.):25563739-25578985	0.5189
NM_006015	chr1(.):27017521-27113601	0.3054
NR_024127	chr1(.):28900049-28913366	0.6558
NM_152304	chr1(.):28913711-28926088	0.3262
NM_001193532	chr1(.):28914006-28926088	0.3241
NR_003035	chr1(.):28902431-28912565	0.7329
NR_002987	chr1(.):28901275-28911405	0.7555
NR_003109	chr1(.):28874528-28910057	0.449
NM_001269	chr1(.):28839744-28870708	0.3082
NR_002976	chr1(.):28901892-28912024	0.7422
NR_003077	chr1(.):28900254-28910334	0.7657
NM_006762	chr1(.):31200314-31235683	0.6681
NM_005202	chr1(.):36555843-36570850	0.2232
NM_018067	chr1(.):36616802-36651441	0.2992
NM_014408	chr1(.):36597172-36620067	0.3363
NM_022756	chr1(.):37953175-37985364	0.1941
NM_025079	chr1(.):37935118-37954978	0.536
NR_002983	chr1(.):40028045-40038182	0.4936
NR_003929	chr1(.):39982951-40030370	0.2822
NM_001135653	chr1(.):40021484-40047521	0.4759
NM_001145636	chr1(.):45135393-45196263	0.2701
NM_024587	chr1(.):45114500-45145099	0.2269
NR_001456	chr1(.):45238513-45248584	0.5449
NR_001457	chr1(.):45239061-45249130	0.5525
NM_001012	chr1(.):45236245-45249412	0.4594
NR_000024	chr1(.):45237163-45247261	0.5457
NR_000015	chr1(.):45236536-45246610	0.5432
NM_006769	chr1(.):87789150-87819607	0.2844
NM_001127215	chr1(.):92935317-92954356	0.5485
NM_005263	chr1(.):92935317-92957433	0.4822
NM_001127216	chr1(.):92935317-92956628	0.4995
NM_032305	chr1(.):145451235-145475387	0.5756
NM_202004	chr1(.):145408190-145422545	0.2103
NM_006472	chr1(.):145433461-145447628	0.5515
NM_001039888	chr1(.):145465507-145480647	0.4258
NM_005105	chr1(.):145502637-145516444	0.6151
NM_001164261	chr1(.):148196751-148207536	0.0909
NM_001164261	chr1(.):148801014-148811799	0.0978
NM_001161334	chr1(.):149749244-149788928	0.2823
NM_001034077	chr1(.):149799220-149809616	0.6502
NM_001005464	chr1(.):149807258-149817765	1.1773
NM_001040874	chr1(.):149808784-149819318	1.161
NM_001123375	chr1(.):149779779-149790236	0.5515
NM_000566	chr1(.):149749249-149769074	0.2224
NM_016074	chr1(.):149866154-149877348	0.3983
NM_003528	chr1(.):149851009-149863232	0.8811
NM_003517	chr1(.):149853524-149863961	1.0092
NM_175065	chr1(.):149854018-149864466	1.0119
NR_036461	chr1(.):149816758-149827340	1.1599
NM_001040874	chr1(.):149817627-149828161	1.1823
NM_001005464	chr1(.):149819180-149829687	1.199
NM_001034077	chr1(.):149827329-149837725	0.6782
NM_019032	chr1(.):150516897-150538412	0.8526
NM_207046	chr1(.):150589598-150606609	0.4413
NR_036211	chr1(.):150519404-150529490	0.3759
NM_001197320	chr1(.):150542026-150557214	0.6978
NM_001178062	chr1(.):151099162-151124140	0.3631
NM_024575	chr1(.):151124104-151137225	0.2364
NM_001136543	chr1(.):151127223-151143424	0.4419
NM_001135636	chr1(.):151166020-151227007	0.2972
NM_013353	chr1(.):151137462-151153547	0.4404
NM_212551	chr1(.):151127223-151143370	0.443
NM_024041	chr1(.):151133516-151146614	0.4704
NM_005997	chr1(.):151143933-151167640	0.3795
NM_001083964	chr1(.):151740954-151768010	0.3084
NM_001004432	chr1(.):151767764-151782882	0.2254
NM_001136003	chr1(.):151805338-151818033	0.6348
NM_182578	chr1(.):151814576-151831173	0.2185
NR_024237	chr1(.):151805944-151821641	0.562
NM_005620	chr1(.):151999981-152014511	0.7372
NM_002966	chr1(.):151950385-151971714	0.2745
NM_001008536	chr1(.):152051619-152066540	0.1051
NM_024330	chr1(.):153742767-153757633	0.6197
NM_014437	chr1(.):153926587-153945188	0.814
NM_130898	chr1(.):153935396-153951832	0.8376
NM_181715	chr1(.):153915151-153936043	0.7622
NM_006694	chr1(.):153941744-153955451	0.4285
NM_002870	chr1(.):153949127-153963806	0.6238
NM_014856	chr1(.):153896976-153924154	0.4638
NM_001030	chr1(.):153958238-153969631	0.5647
NM_020452	chr1(.):154295275-154328780	0.648
NM_001005855	chr1(.):154293035-154315322	0.7083
NM_080429	chr1(.):154288591-154302801	0.8975
NM_006556	chr1(.):154892207-154914484	0.5924
NM_005227	chr1(.):155031212-155047029	0.6232
NM_001130041	chr1(.):154929773-154951959	0.7881
NM_001130040	chr1(.):154929773-154948223	0.8644
NM_201398	chr1(.):154950769-154970587	0.4756
NM_015872	chr1(.):154970111-154995999	1.0106
NM_207196	chr1(.):155018761-155040252	0.6964
NM_018655	chr1(.):154961061-154971791	0.4846
NM_001143687	chr1(.):155001281-155028406	0.5073
NR_024163	chr1(.):154942117-154956725	0.9142
NM_144622	chr1(.):154986002-155011257	0.5106
NM_138300	chr1(.):154924501-154939258	0.8871
NR_036212	chr1(.):154943168-154953259	0.9418
NM_001018017	chr1(.):155153299-155167700	0.5507
NM_198883	chr1(.):155173489-155188624	0.4995
NM_018973	chr1(.):155107366-155117883	0.7515
NM_153741	chr1(.):155107366-155117996	0.7462
NM_173852	chr1(.):155136883-155150804	0.56
NM_004428	chr1(.):155095348-155112386	0.5951
NM_007112	chr1(.):155160378-155182690	0.5375
NM_001122837	chr1(.):155103287-155116334	0.6762
NM_025058	chr1(.):155141359-155162445	0.5226
NR_030281	chr1(.):155159967-155170063	0.5097
NM_001005742	chr1(.):155199238-155219653	0.5502
NM_003993	chr1(.):155227658-155248281	0.5964
NM_181871	chr1(.):155254083-155275792	0.2966
