GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
1_MACS_peak_1_lociStitched	chr1(.):9864-10676	1.1645
1_MACS_peak_2_lociStitched	chr1(.):28425-30197	0.2491
1_MACS_peak_3_lociStitched	chr1(.):712755-715231	0.2295
1_MACS_peak_4_lociStitched	chr1(.):761772-763881	0.2598
1_MACS_peak_5_lociStitched	chr1(.):878987-880913	0.1033
1_MACS_peak_6_lociStitched	chr1(.):893794-895057	0.1837
1_MACS_peak_7_lociStitched	chr1(.):901467-902834	0.2092
1_MACS_peak_8_lociStitched	chr1(.):947827-949906	0.2107
1_MACS_peak_9_lociStitched	chr1(.):998106-1000335	0.1335
1_MACS_peak_10_lociStitched	chr1(.):1051070-1051866	0.1559
1_MACS_peak_11_lociStitched	chr1(.):1071326-1072943	0.0892
1_MACS_peak_12_lociStitched	chr1(.):1078949-1080805	0.1353
1_MACS_peak_13_lociStitched	chr1(.):1092867-1094140	0.1066
1_MACS_peak_14_lociStitched	chr1(.):1166335-1167556	0.0961
1_MACS_peak_15_lociStitched	chr1(.):1184946-1186002	0.1051
1_MACS_peak_16_lociStitched	chr1(.):1208029-1210305	0.1915
1_MACS_peak_17_lociStitched	chr1(.):1242423-1245081	0.1125
1_MACS_peak_18_lociStitched	chr1(.):1259368-1261292	0.1546
2_MACS_peak_19_lociStitched	chr1(.):1283883-1285520	0.0417
1_MACS_peak_21_lociStitched	chr1(.):1309773-1311824	0.2099
2_MACS_peak_22_lociStitched	chr1(.):1333698-1343782	0.1539
1_MACS_peak_24_lociStitched	chr1(.):1352822-1353977	0.2154
1_MACS_peak_25_lociStitched	chr1(.):1396529-1399067	0.2283
1_MACS_peak_26_lociStitched	chr1(.):1405880-1408525	0.1816
2_MACS_peak_27_lociStitched	chr1(.):1439613-1448870	0.1352
1_MACS_peak_29_lociStitched	chr1(.):1509103-1511321	0.2062
2_MACS_peak_30_lociStitched	chr1(.):1544867-1552349	0.1424
1_MACS_peak_32_lociStitched	chr1(.):1565610-1566571	0.1604
1_MACS_peak_33_lociStitched	chr1(.):1589627-1591689	0.3076
2_MACS_peak_34_lociStitched	chr1(.):1606085-1611105	0.2346
1_MACS_peak_36_lociStitched	chr1(.):1622586-1625743	0.1842
1_MACS_peak_37_lociStitched	chr1(.):1654814-1656895	0.2252
2_MACS_peak_38_lociStitched	chr1(.):1668708-1678994	0.1657
1_MACS_peak_40_lociStitched	chr1(.):1708172-1715031	0.1934
1_MACS_peak_41_lociStitched	chr1(.):1754898-1756196	0.1189
1_MACS_peak_42_lociStitched	chr1(.):1772386-1775379	0.181
2_MACS_peak_43_lociStitched	chr1(.):1821069-1829661	0.1374
1_MACS_peak_45_lociStitched	chr1(.):1837478-1841686	0.1655
1_MACS_peak_46_lociStitched	chr1(.):1849923-1851067	0.1762
1_MACS_peak_47_lociStitched	chr1(.):2064354-2065185	0.1421
2_MACS_peak_48_lociStitched	chr1(.):2125905-2131019	0.1139
1_MACS_peak_50_lociStitched	chr1(.):2158394-2159409	0.133
1_MACS_peak_51_lociStitched	chr1(.):2186247-2188522	0.163
1_MACS_peak_52_lociStitched	chr1(.):2221002-2223680	0.1939
1_MACS_peak_53_lociStitched	chr1(.):2230614-2233989	0.165
1_MACS_peak_54_lociStitched	chr1(.):2322042-2324088	0.1277
2_MACS_peak_55_lociStitched	chr1(.):2342940-2347960	0.1633
1_MACS_peak_57_lociStitched	chr1(.):2457020-2458870	0.1333
2_MACS_peak_58_lociStitched	chr1(.):2476810-2489276	0.1546
2_MACS_peak_60_lociStitched	chr1(.):2508621-2518658	0.1331
1_MACS_peak_62_lociStitched	chr1(.):2573473-2575096	0.1012
1_MACS_peak_63_lociStitched	chr1(.):3087013-3087964	0.0494
2_MACS_peak_64_lociStitched	chr1(.):3540456-3548009	0.1354
2_MACS_peak_66_lociStitched	chr1(.):3565917-3569997	0.0648
1_MACS_peak_68_lociStitched	chr1(.):3589226-3590365	0.1672
1_MACS_peak_69_lociStitched	chr1(.):3711925-3713844	0.1603
1_MACS_peak_70_lociStitched	chr1(.):3773116-3774767	0.137
1_MACS_peak_71_lociStitched	chr1(.):3815832-3818301	0.2165
1_MACS_peak_72_lociStitched	chr1(.):3838132-3839205	0.1593
1_MACS_peak_73_lociStitched	chr1(.):4404000-4404673	0.053
1_MACS_peak_74_lociStitched	chr1(.):4439323-4440583	0.0974
1_MACS_peak_75_lociStitched	chr1(.):4855736-4857254	0.1258
