REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
18_MACS_peak_14576_lociStitched	chr19	1670401	1812371	18	137666	262289.575	20457.877	1	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	1	1
41_MACS_peak_13717_lociStitched	chr17	77081128	77239871	41	149362	204683.2242	11953.3479	2	ENGASE,RBFOX3		ENGASE	2	1
18_MACS_peak_14501_lociStitched	chr19	681184	791716	18	107245	180255.5856	14413.3728	3	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	3	1
38_MACS_peak_14884_lociStitched	chr19	3783472	3909802	38	117309	163723.68	14818.509	4	ATCAY,MATK,ZFR2	MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	4	1
15_MACS_peak_25400_lociStitched	chr4	9211661	9274600	15	61594	155792.9067	16892.8276	5	USP17		USP17	5	1
6_MACS_peak_14153_lociStitched	chr17	78996945	79074613	6	76128	137907.3008	7393.9936	6	BAIAP2,FLJ90757	CHMP6,MIR3065,MIR657,MIR338,MIR1250	BAIAP2	6	1
12_MACS_peak_31661_lociStitched	chr9	139525808	139614552	12	86350	138671.3744	8475.052	7	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	7	1
2_MACS_peak_15647_lociStitched	chr19	8851022	8900834	2	49486	149440.9812	20129.0292	8		OR2Z1,ACTL9,ZNF558	OR2Z1	8	1
18_MACS_peak_9912_lociStitched	chr16	1249562	1340600	18	87612	134271.9462	7565.2578	9	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSAB1	9	1
15_MACS_peak_21496_lociStitched	chr21	46708840	46795343	15	83796	135974.0657	9757.5384	10	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	10	1
5_MACS_peak_14539_lociStitched	chr19	1282705	1344160	5	60968	132171.2685	8499.2265	11	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	11	1
8_MACS_peak_6106_lociStitched	chr11	1982408	2063137	8	79794	129109.8897	6337.2265	12	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	12	1
11_MACS_peak_20568_lociStitched	chr20	60985015	61071407	11	84928	127609.6232	6911.36	13	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	13	1
17_MACS_peak_21203_lociStitched	chr21	44147783	44230694	17	79179	128122.3683	10678.9368	14	PDE9A		WDR4	14	1
23_MACS_peak_1610_lociStitched	chr1	10755043	10852243	23	93900	124629.84	8213.4	15	CASZ1		CASZ1	15	1
44_MACS_peak_13796_lociStitched	chr17	77349494	77456382	44	96950	120323.8216	8743.4384	16	RBFOX3		RBFOX3	16	1
7_MACS_peak_17966_lociStitched	chr19	48404648	48466012	7	60050	129606.9044	20581.4856	17	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	17	1
5_MACS_peak_21440_lociStitched	chr21	46301980	46359017	5	56042	114678.5922	7089.6991	18	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	18	1
11_MACS_peak_8428_lociStitched	chr12	54337845	54411949	11	72303	113356.8888	8121.7984	19	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	19	1
15_MACS_peak_21445_lociStitched	chr21	46404284	46477324	15	69471	112591.16	8363.08	20	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	20	1
18_MACS_peak_6003_lociStitched	chr11	1616700	1700326	18	80126	112384.9814	9366.112	21	LOC338651,KRTAP5-5,FAM99A,MOB2,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,DUSP8,KRTAP5-1,FAM99B	KRTAP5-5	21	1
7_MACS_peak_14976_lociStitched	chr19	4557718	4624601	7	65690	112309.9336	9878.6191	22	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	22	1
9_MACS_peak_25415_lociStitched	chr4	9324615	9370915	9	45677	111703.38	11996.33	23	USP17,USP17L6P		USP17L6P	23	1
12_MACS_peak_14194_lociStitched	chr17	79328015	79398549	12	67893	103677.9266	5960.123	24	BAHCC1	C17orf55,TMEM105,MIR3186	BAHCC1	24	1
11_MACS_peak_20584_lociStitched	chr20	61141411	61209569	11	65555	100921.5506	5384.482	25	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	25	1
32_MACS_peak_22312_lociStitched	chr22	37458434	37547280	32	80219	100005.0576	8626.9466	26	KCTD17,TMPRSS6,IL2RB	MPST,TST,C1QTNF6	TMPRSS6	26	1
18_MACS_peak_12882_lociStitched	chr17	48633894	48706037	18	69525	97941.3368	7603.8722	27	CACNA1G	MYCBPAP,EPN3,SPATA20,ABCC3	CACNA1G	27	1
