GENE	H3k27me3_27_DMSO_compare_TSS_SIGNAL	H3k27me3_27_DMSO_compare_DISTAL_SIGNAL
A4GALT	2396.2736	3151.1997999999994
AAAS	0.0	987.332
AADACL3	0.0	824.8905
AADACL4	0.0	393.40840000000003
AANAT	0.0	56532.7476
AARS2	0.0	21954.488499999996
AATF	0.0	42913.38880000001
AATK	7311.289199999999	279038.28229999996
ABCA17P	322.8383	104993.55060000003
ABCA2	3002.056	198027.15989999994
ABCA3	469.4358	104993.55060000003
ABCA4	0.0	941.4434000000001
ABCA7	0.0	17735.139699999996
ABCB6	0.0	20003.5636
ABCB8	0.0	42624.2628
ABCC1	0.0	0.0
ABCC10	0.0	614.6712
ABCC3	8875.2	214545.0513
ABCC8	387.038	301.5285
ABCD1	0.0	74380.18759999996
ABCD4	0.0	1904.3000000000002
ABCF1	0.0	14404.0772
ABCF2	0.0	134940.00559999997
ABCF3	0.0	23786.7226
ABCG1	1926.1606000000002	108370.35430000002
ABCG4	2069.6544	7793.882299999999
ABHD11	0.0	20053.344100000002
ABHD14A	0.0	6109.102999999999
ABHD14B	0.0	6109.102999999999
ABHD15	0.0	1281.4681
ABHD8	0.0	38163.81840000001
ABI3	5446.8498	29466.457899999994
ABL1	0.0	251296.88439999998
ABLIM2	615.2776	98897.7491
ABO	4409.627200000001	201466.96900000004
ABP1	0.0	0.0
ABR	9946.9284	341034.1151999999
ABTB2	829.6243999999999	999.4763999999999
ACAD8	0.0	1326.8337000000001
ACADVL	0.0	135650.68519999992
ACAN	1251.8224	814.0062
ACAP1	0.0	99700.63149999999
ACAP3	0.0	94773.6645
ACBD3	0.0	0.0
ACBD4	0.0	2838.7617
ACCN2	1832.2196000000001	26005.938200000008
ACCN3	401.0674	42624.2628
ACCN4	6676.8	248324.62599999996
ACE	21596.232	99722.74469999997
ACER1	3954.8	48389.90039999999
ACHE	3586.1503000000002	85753.44439999998
ACIN1	0.0	473.8412
ACLY	0.0	1851.3666999999998
ACN9	0.0	109.6585
ACOT11	0.0	459.7362
ACOT7	0.0	178640.48029999994
ACOX1	0.0	18864.8052
ACOX3	0.0	40041.02019999999
ACP1	0.0	1165.8616000000002
ACP2	0.0	16594.230000000003
ACP5	0.0	10368.1715
ACPT	0.0	39825.90030000001
ACR	0.0	44447.47200000001
ACRBP	0.0	34364.619000000006
ACSBG1	1535.5657	1897.4589
ACSBG2	0.0	68169.97829999999
ACSF3	0.0	46315.67150000001
ACSL3	0.0	2007.3143
ACSL6	3862.8	964.325
ACTA2	0.0	629.1709000000001
