REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2.jin.bam
14_MACS_peak_9655_lociStitched	chr14	106025464	106050942	14	24456	73142.2424
14_MACS_peak_16326_lociStitched	chr2	20404223	20425867	14	20192	32232.2448
5_MACS_peak_28046_lociStitched	chr6	106531606	106552689	5	20430	53487.570999999996
6_MACS_peak_22990_lociStitched	chr3	171808032	171827045	6	18680	40649.794
9_MACS_peak_30182_lociStitched	chr7	137662320	137679576	9	16292	30061.6776
5_MACS_peak_26832_lociStitched	chr6	7895662	7912473	5	15994	45426.684199999996
5_MACS_peak_17215_lociStitched	chr2	87807329	87822840	5	15086	27167.5165
8_MACS_peak_23005_lociStitched	chr3	171845828	171861330	8	14680	28215.1902
7_MACS_peak_17551_lociStitched	chr2	112184893	112199033	7	13506	21977.802
12_MACS_peak_6489_lociStitched	chr12	7058073	7072172	12	12553	18785.5076
3_MACS_peak_27954_lociStitched	chr6	90054387	90068457	3	13820	44051.763
4_MACS_peak_22641_lociStitched	chr3	141096910	141110520	4	13353	45521.367
7_MACS_peak_14393_lociStitched	chr18	52977313	52990891	7	12819	27587.7804
3_MACS_peak_6598_lociStitched	chr12	12866441	12879864	3	13158	54204.758599999994
4_MACS_peak_17890_lociStitched	chr2	158288783	158301839	4	12721	42242.688
7_MACS_peak_26011_lociStitched	chr5	131755711	131768609	7	12471	28380.7592
1_MACS_peak_5501_lociStitched	chr11	65183957	65196261	1	12305	67300.4192
5_MACS_peak_1559_lociStitched	chr1	118147934	118160187	5	11775	31950.9228
4_MACS_peak_9878_lociStitched	chr15	31642536	31654737	4	11654	29026.179
14_MACS_peak_17190_lociStitched	chr2	87765845	87777609	14	10035	15674.3536
5_MACS_peak_21801_lociStitched	chr3	53199960	53211659	5	11558	23932.6443
11_MACS_peak_8066_lociStitched	chr12	123354623	123366318	11	10893	15223.381500000001
8_MACS_peak_30231_lociStitched	chr7	139466596	139478247	8	11078	24434.4772
2_MACS_peak_3283_lociStitched	chr1	234738191	234749597	2	11392	48081.992999999995
11_MACS_peak_9417_lociStitched	chr14	91833146	91844544	11	10612	16918.0514
2_MACS_peak_13177_lociStitched	chr17	43297937	43309235	2	11295	26682.4866
9_MACS_peak_11815_lociStitched	chr16	56964106	56975270	9	10337	27225.6468
4_MACS_peak_17264_lociStitched	chr2	88917504	88928609	4	10381	39353.899
4_MACS_peak_31160_lociStitched	chr8	98654944	98666011	4	10810	34705.0053
5_MACS_peak_21129_lociStitched	chr3	13369632	13380571	5	10446	22616.3825
6_MACS_peak_6730_lociStitched	chr12	26269280	26280080	6	10024	27695.52
6_MACS_peak_21013_lociStitched	chr3	5234504	5244986	6	9738	25664.1288
4_MACS_peak_8080_lociStitched	chr12	123370716	123381112	4	10273	24986.786000000004
7_MACS_peak_25658_lociStitched	chr5	88175339	88185687	7	8996	14989.078
1_MACS_peak_8144_lociStitched	chr12	125396202	125406513	1	10312	42642.1716
3_MACS_peak_2048_lociStitched	chr1	156455768	156465985	3	10004	18922.9057
7_MACS_peak_12228_lociStitched	chr16	87883726	87893585	7	9453	17677.186999999998
