#MM2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM2.H3K27ac_ROSE/MM2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM2.jin.bam
#Using cutoff of 6714.4959 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2.jin.bam	enhancerRank	isSuper
14_MACS_peak_9655_lociStitched	chr14	106025464	106050942	14	24456	73142.2424	1	1
1_MACS_peak_5501_lociStitched	chr11	65183957	65196261	1	12305	67300.4192	2	1
3_MACS_peak_6598_lociStitched	chr12	12866441	12879864	3	13158	54204.7586	3	1
5_MACS_peak_28046_lociStitched	chr6	106531606	106552689	5	20430	53487.571	4	1
2_MACS_peak_3283_lociStitched	chr1	234738191	234749597	2	11392	48081.993	5	1
1_MACS_peak_25024_lociStitched	chr5	9991	11865	1	1875	46316.847	6	1
4_MACS_peak_22641_lociStitched	chr3	141096910	141110520	4	13353	45521.367	7	1
5_MACS_peak_26832_lociStitched	chr6	7895662	7912473	5	15994	45426.6842	8	1
3_MACS_peak_27954_lociStitched	chr6	90054387	90068457	3	13820	44051.763	9	1
1_MACS_peak_8144_lociStitched	chr12	125396202	125406513	1	10312	42642.1716	10	1
4_MACS_peak_17890_lociStitched	chr2	158288783	158301839	4	12721	42242.688	11	1
6_MACS_peak_22990_lociStitched	chr3	171808032	171827045	6	18680	40649.794	12	1
4_MACS_peak_17264_lociStitched	chr2	88917504	88928609	4	10381	39353.899	13	1
4_MACS_peak_31160_lociStitched	chr8	98654944	98666011	4	10810	34705.0053	14	1
3_MACS_peak_3468_lociStitched	chr10	3821631	3828855	3	6608	33861.7776	15	1
1_MACS_peak_2987_lociStitched	chr1	218336684	218343683	1	7000	33489.5151	16	1
3_MACS_peak_1823_lociStitched	chr1	150532135	150541883	3	9368	33344.0088	17	1
1_MACS_peak_22645_lociStitched	chr3	141117738	141126158	1	8421	33231.214	18	1
5_MACS_peak_3177_lociStitched	chr1	228269130	228274581	5	5008	32972.5539	19	1
3_MACS_peak_11044_lociStitched	chr15	93425105	93430199	3	4704	32848.1496	20	1
14_MACS_peak_16326_lociStitched	chr2	20404223	20425867	14	20192	32232.2448	21	1
5_MACS_peak_1559_lociStitched	chr1	118147934	118160187	5	11775	31950.9228	22	1
6_MACS_peak_29868_lociStitched	chr7	104649208	104656359	6	6047	31686.7961	23	1
2_MACS_peak_27328_lociStitched	chr6	32935733	32941465	2	5683	31588.4788	24	1
2_MACS_peak_2627_lociStitched	chr1	197740184	197748561	2	8202	31319.9276	25	1
1_MACS_peak_32324_lociStitched	chr9	74975815	74981278	1	5464	30920.0337	26	1
1_MACS_peak_5518_lociStitched	chr11	65263476	65271000	1	7525	30869.4672	27	1
9_MACS_peak_30182_lociStitched	chr7	137662320	137679576	9	16292	30061.6776	28	1
2_MACS_peak_1826_lociStitched	chr1	150545230	150553040	2	7789	29382.001	29	1
1_MACS_peak_12318_lociStitched	chr16	90059857	90063994	1	4138	29028.5016	30	1
4_MACS_peak_9878_lociStitched	chr15	31642536	31654737	4	11654	29026.179	31	1
7_MACS_peak_26011_lociStitched	chr5	131755711	131768609	7	12471	28380.7592	32	1
8_MACS_peak_23005_lociStitched	chr3	171845828	171861330	8	14680	28215.1902	33	1
6_MACS_peak_6730_lociStitched	chr12	26269280	26280080	6	10024	27695.52	34	1
3_MACS_peak_31124_lociStitched	chr8	95954003	95963323	3	9090	27617.024	35	1
7_MACS_peak_14393_lociStitched	chr18	52977313	52990891	7	12819	27587.7804	36	1
3_MACS_peak_31489_lociStitched	chr8	126441416	126449351	3	7450	27370.989	37	1
9_MACS_peak_11815_lociStitched	chr16	56964106	56975270	9	10337	27225.6468	38	1
2_MACS_peak_25691_lociStitched	chr5	90673707	90680819	2	6785	27206.956	39	1
5_MACS_peak_17215_lociStitched	chr2	87807329	87822840	5	15086	27167.5165	40	1
2_MACS_peak_13177_lociStitched	chr17	43297937	43309235	2	11295	26682.4866	41	1
6_MACS_peak_21013_lociStitched	chr3	5234504	5244986	6	9738	25664.1288	42	1
3_MACS_peak_11047_lociStitched	chr15	93443056	93452179	3	8589	25647.4899	43	1
1_MACS_peak_22967_lociStitched	chr3	171756968	171761700	1	4733	25447.7496	44	1
1_MACS_peak_2722_lociStitched	chr1	203255061	203261123	1	6063	25064.5514	45	1
4_MACS_peak_8080_lociStitched	chr12	123370716	123381112	4	10273	24986.786	46	1
8_MACS_peak_30231_lociStitched	chr7	139466596	139478247	8	11078	24434.4772	47	1
2_MACS_peak_20280_lociStitched	chr22	23269911	23278794	2	8794	24256.8081	48	1
2_MACS_peak_19428_lociStitched	chr20	45978760	45987439	2	8399	24209.2026	49	1
5_MACS_peak_21801_lociStitched	chr3	53199960	53211659	5	11558	23932.6443	50	1
1_MACS_peak_2892_lociStitched	chr1	207993692	208000831	1	7140	23879.2411	51	1
1_MACS_peak_32849_lociStitched	chr9	127630504	127638571	1	8068	23361.2253	52	1
1_MACS_peak_3197_lociStitched	chr1	228673988	228679104	1	5117	22974.4212	53	1
2_MACS_peak_26983_lociStitched	chr6	16759005	16764884	2	5818	22961.6103	54	1
5_MACS_peak_21129_lociStitched	chr3	13369632	13380571	5	10446	22616.3825	55	1
1_MACS_peak_32201_lociStitched	chr9	66454650	66459737	1	5088	22445.8788	56	1
3_MACS_peak_2129_lociStitched	chr1	159888227	159896070	3	7519	22397.2551	57	1
3_MACS_peak_10120_lociStitched	chr15	45001974	45008306	3	6278	22191.7604	58	1
2_MACS_peak_20400_lociStitched	chr22	29193375	29198764	2	4973	22067.955	59	1
7_MACS_peak_17551_lociStitched	chr2	112184893	112199033	7	13506	21977.802	60	1
4_MACS_peak_2051_lociStitched	chr1	156466491	156475934	4	9436	21639.5788	61	1
1_MACS_peak_10250_lociStitched	chr15	52968432	52973519	1	5088	21576.0018	62	1
3_MACS_peak_22646_lociStitched	chr3	141126883	141135819	3	8546	21561.6744	63	1
1_MACS_peak_2499_lociStitched	chr1	182991034	182999753	1	8720	21276.1038	64	1
2_MACS_peak_26023_lociStitched	chr5	131790721	131796198	2	5442	21180.1067	65	1
2_MACS_peak_30089_lociStitched	chr7	129587420	129592995	2	5080	21174.965	66	1
3_MACS_peak_23327_lociStitched	chr3	186713368	186720354	3	6823	21143.8276	67	1
6_MACS_peak_21270_lociStitched	chr3	23847021	23854559	6	7256	20859.9074	68	1
4_MACS_peak_2646_lociStitched	chr1	198898340	198907372	4	8405	20803.4056	69	1
2_MACS_peak_14472_lociStitched	chr18	60822018	60830732	2	8469	20552.8404	70	1
2_MACS_peak_26649_lociStitched	chr5	179245283	179249630	2	4323	20423.0754	71	1
1_MACS_peak_32307_lociStitched	chr9	73032971	73036449	1	3479	20322.3018	72	1
5_MACS_peak_10266_lociStitched	chr15	55567200	55575755	5	8401	20286.4715	73	1
2_MACS_peak_21011_lociStitched	chr3	5226182	5233600	2	7172	20131.7102	74	1
1_MACS_peak_8040_lociStitched	chr12	122237570	122243141	1	5572	19942.5087	75	1
1_MACS_peak_15907_lociStitched	chr19	49375398	49379541	1	4144	19821.7692	76	1
3_MACS_peak_21121_lociStitched	chr3	13050253	13059033	3	8435	19821.728	77	1
1_MACS_peak_10388_lociStitched	chr15	63794825	63798888	1	4064	19623.4774	78	1
3_MACS_peak_18326_lociStitched	chr2	201726234	201729735	3	3477	19246.7475	79	1
5_MACS_peak_18659_lociStitched	chr2	232570613	232577580	5	6791	19220.5596	80	1
2_MACS_peak_24341_lociStitched	chr4	103745488	103750290	2	4745	19183.5098	81	1
2_MACS_peak_2727_lociStitched	chr1	203288935	203297917	2	8855	18978.0678	82	1
3_MACS_peak_2048_lociStitched	chr1	156455768	156465985	3	10004	18922.9057	83	1
3_MACS_peak_28442_lociStitched	chr6	139691088	139697577	3	5588	18819.3978	84	1
1_MACS_peak_23724_lociStitched	chr4	15002804	15007509	1	4706	18813.8835	85	1
1_MACS_peak_25174_lociStitched	chr5	32172195	32175547	1	3353	18812.7648	86	1
12_MACS_peak_6489_lociStitched	chr12	7058073	7072172	12	12553	18785.5076	87	1
2_MACS_peak_3958_lociStitched	chr10	63804760	63811789	2	6780	18650.0457	88	1
1_MACS_peak_22344_lociStitched	chr3	119812085	119815409	1	3325	18610.7436	89	1
2_MACS_peak_2000_lociStitched	chr1	155943657	155952063	2	8286	18539.433	90	1
7_MACS_peak_26523_lociStitched	chr5	173314428	173323954	7	8846	18492.8238	91	1
1_MACS_peak_27559_lociStitched	chr6	42749270	42752240	1	2971	18475.776	92	1
2_MACS_peak_27934_lociStitched	chr6	89788848	89793225	2	4336	18389.5278	93	1
1_MACS_peak_31773_lociStitched	chr9	3524759	3529029	1	4271	18315.311	94	1
2_MACS_peak_2758_lociStitched	chr1	204375905	204382004	2	6048	18226.8615	95	1
2_MACS_peak_17014_lociStitched	chr2	70312225	70316817	2	4479	18222.4336	96	1
3_MACS_peak_1587_lociStitched	chr1	118195446	118204279	3	8424	18212.7627	97	1
1_MACS_peak_28493_lociStitched	chr6	143264852	143269461	1	4610	17871.8584	98	1
1_MACS_peak_3382_lociStitched	chr1	245132669	245135837	1	3169	17745.552	99	1
2_MACS_peak_31509_lociStitched	chr8	128746906	128754195	2	6833	17723.2035	100	1
2_MACS_peak_32665_lociStitched	chr9	113016419	113020690	2	4102	17713.1183	101	1
7_MACS_peak_12228_lociStitched	chr16	87883726	87893585	7	9453	17677.187	102	1
2_MACS_peak_21040_lociStitched	chr3	9436253	9441919	2	5548	17663.1884	103	1
2_MACS_peak_2725_lociStitched	chr1	203273258	203278493	2	5230	17605.8285	104	1
2_MACS_peak_3684_lociStitched	chr10	23727428	23731230	2	3721	17586.9114	105	1
2_MACS_peak_28090_lociStitched	chr6	108878497	108883894	2	5398	17566.6953	106	1
3_MACS_peak_23117_lociStitched	chr3	176911788	176917778	3	5796	17442.88	107	1
1_MACS_peak_1828_lociStitched	chr1	150581385	150587244	1	5860	17371.935	108	1
1_MACS_peak_1803_lociStitched	chr1	149856364	149860567	1	4204	17199.9369	109	1
3_MACS_peak_22591_lociStitched	chr3	135910214	135917286	3	6304	17085.2448	110	1
1_MACS_peak_29311_lociStitched	chr7	50343710	50352497	1	8788	17037.1143	111	1
3_MACS_peak_24942_lociStitched	chr4	185392582	185397758	3	5083	16999.5368	112	1
3_MACS_peak_10432_lociStitched	chr15	65183673	65190147	3	6388	16987.1286	113	1
11_MACS_peak_9417_lociStitched	chr14	91833146	91844544	11	10612	16918.0514	114	1
4_MACS_peak_11379_lociStitched	chr16	11829527	11837511	4	7766	16865.4016	115	1
1_MACS_peak_22600_lociStitched	chr3	136468938	136473128	1	4191	16829.135	116	1
3_MACS_peak_26030_lociStitched	chr5	131821024	131827616	3	6543	16769.3888	117	1
3_MACS_peak_7024_lociStitched	chr12	48200751	48208824	3	7823	16755.5115	118	1
4_MACS_peak_10127_lociStitched	chr15	45016427	45022883	4	6382	16738.4712	119	1
4_MACS_peak_20902_lociStitched	chr22	50353190	50361856	4	8245	16687.2496	120	1
2_MACS_peak_19978_lociStitched	chr21	38737727	38741624	2	3883	16679.16	121	1
3_MACS_peak_28709_lociStitched	chr6	159458629	159466519	3	7548	16592.67	122	1
4_MACS_peak_23350_lociStitched	chr3	186780461	186785885	4	5378	16551.8784	123	1
3_MACS_peak_22987_lociStitched	chr3	171800035	171807444	3	7213	16507.9929	124	1
1_MACS_peak_28382_lociStitched	chr6	136609247	136612318	1	3072	16421.8654	125	1
3_MACS_peak_13783_lociStitched	chr17	74258505	74265621	3	6841	16330.5084	126	1
2_MACS_peak_10686_lociStitched	chr15	75334133	75341793	2	7313	16304.31	127	1
4_MACS_peak_18338_lociStitched	chr2	201987284	201996856	4	8975	16302.0732	128	1
1_MACS_peak_15839_lociStitched	chr19	47613942	47617415	1	3474	16262.6698	129	1
2_MACS_peak_2119_lociStitched	chr1	159043438	159048455	2	4827	16207.4185	130	1
6_MACS_peak_6829_lociStitched	chr12	31737050	31745229	6	7827	16066.8276	131	1
1_MACS_peak_19554_lociStitched	chr20	48806536	48811037	1	4502	16049.6658	132	1
2_MACS_peak_25265_lociStitched	chr5	39072654	39077740	2	4890	16039.2096	133	1
1_MACS_peak_21201_lociStitched	chr3	15835683	15840368	1	4686	16010.0505	134	1
3_MACS_peak_25747_lociStitched	chr5	95293569	95298247	3	4184	15970.692	135	1
4_MACS_peak_7288_lociStitched	chr12	57912115	57917970	4	5662	15867.05	136	1
4_MACS_peak_339_lociStitched	chr1	22105496	22110490	4	4590	15825.4866	137	1
2_MACS_peak_10283_lociStitched	chr15	56657146	56665764	2	8595	15725.2646	138	1
14_MACS_peak_17190_lociStitched	chr2	87765845	87777609	14	10035	15674.3536	139	1
1_MACS_peak_2949_lociStitched	chr1	212780087	212783592	1	3506	15651.227	140	1
1_MACS_peak_30113_lociStitched	chr7	130790178	130796155	1	5978	15525.8552	141	1
6_MACS_peak_13533_lociStitched	chr17	62150697	62156706	6	5547	15342.7797	142	1
1_MACS_peak_20414_lociStitched	chr22	29662672	29665686	1	3015	15320.162	143	1
2_MACS_peak_6075_lociStitched	chr11	111237249	111244307	2	6947	15291.8628	144	1
11_MACS_peak_8066_lociStitched	chr12	123354623	123366318	11	10893	15223.3815	145	1
5_MACS_peak_2064_lociStitched	chr1	156714647	156722436	5	7576	15199.4546	146	1
1_MACS_peak_17896_lociStitched	chr2	158323954	158328435	1	4482	15194.6229	147	1
6_MACS_peak_28723_lociStitched	chr6	160398277	160405482	6	6928	15180.935	148	1
