REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
14_MACS_peak_9655_lociStitched	chr14	106025464	106050942	14	24456	73142.2424	1	1		TMEM121	TMEM121	TMEM121	0.1207	1	1
5_MACS_peak_28046_lociStitched	chr6	106531606	106552689	5	20430	53487.571	2	1	PRDM1		PRDM1	PRDM1	1.7515	2	1
1_MACS_peak_5501_lociStitched	chr11	65183957	65196261	1	12305	67300.4192	3	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.7943	3	1
6_MACS_peak_22990_lociStitched	chr3	171808032	171827045	6	18680	40649.794	4	1	FNDC3B		FNDC3B	FNDC3B	0.7911	4	1
14_MACS_peak_16326_lociStitched	chr2	20404223	20425867	14	20192	32232.2448	5	1	SDC1		SDC1	SDC1	1.0273	5	1
3_MACS_peak_6598_lociStitched	chr12	12866441	12879864	3	13158	54204.7586	6	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.6327	6	1
5_MACS_peak_26832_lociStitched	chr6	7895662	7912473	5	15994	45426.6842	7	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.7301	7	1
4_MACS_peak_22641_lociStitched	chr3	141096910	141110520	4	13353	45521.367	8	1	ZBTB38		ZBTB38	ZBTB38	1.0832	8	1
3_MACS_peak_27954_lociStitched	chr6	90054387	90068457	3	13820	44051.763	9	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.4739	9	1
2_MACS_peak_3283_lociStitched	chr1	234738191	234749597	2	11392	48081.993	10	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.4623	10	1
9_MACS_peak_30182_lociStitched	chr7	137662320	137679576	9	16292	30061.6776	11	1	CREB3L2		CREB3L2	CREB3L2	0.7377	11	1
4_MACS_peak_17890_lociStitched	chr2	158288783	158301839	4	12721	42242.688	12	1	CYTIP		CYTIP	CYTIP	1.4103	12	1
5_MACS_peak_17215_lociStitched	chr2	87807329	87822840	5	15086	27167.5165	13	1	NCRNA00152		NCRNA00152	NCRNA00152	1.2477	13	1
1_MACS_peak_8144_lociStitched	chr12	125396202	125406513	1	10312	42642.1716	14	1	UBC	SCARB1	UBC	UBC	2.8279	14	1
8_MACS_peak_23005_lociStitched	chr3	171845828	171861330	8	14680	28215.1902	15	1	FNDC3B		FNDC3B	FNDC3B	0.7911	15	1
4_MACS_peak_17264_lociStitched	chr2	88917504	88928609	4	10381	39353.899	16	1	EIF2AK3		EIF2AK3	EIF2AK3	0.9554	16	1
5_MACS_peak_1559_lociStitched	chr1	118147934	118160187	5	11775	31950.9228	17	1	FAM46C		FAM46C	FAM46C	1.5676	17	1
4_MACS_peak_31160_lociStitched	chr8	98654944	98666011	4	10810	34705.0053	18	1	MTDH		MTDH	MTDH	0.7367	18	1
7_MACS_peak_14393_lociStitched	chr18	52977313	52990891	7	12819	27587.7804	19	1	TCF4		TCF4	TCF4	0.2359	19	1
7_MACS_peak_26011_lociStitched	chr5	131755711	131768609	7	12471	28380.7592	20	1	C5orf56		C5orf56	C5orf56	1.3786	20	1
7_MACS_peak_17551_lociStitched	chr2	112184893	112199033	7	13506	21977.802	22	1	LOC541471		LOC541471	LOC541471	0.6726	22	1
4_MACS_peak_9878_lociStitched	chr15	31642536	31654737	4	11654	29026.179	23	1	KLF13		KLF13	KLF13	1.2243	23	1
