REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	1	ZBTB38		ZBTB38	ZBTB38	2.0385999999999997	1	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	2	QPCT,PRKD3		QPCT	QPCT	2.2909	2	1
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	3	FAM46C		FAM46C	FAM46C	2.279	3	1
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.5228	4		TMEM121	TMEM121	TMEM121	0.2197	4	1
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392	5		IGLL5	IGLL5	IGLL5	5.7659	5	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	6	DUSP22		DUSP22	DUSP22	1.9339	6	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	7	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.8077	7	1
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284	8	IGLL5		IGLL5	IGLL5	5.7659	8	1
1_MACS_peak_5018_lociStitched	chr11	65183400	65200051	1	16652	116736.8308	4302.6184	9	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.3893	9	1
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832	10	GPRIN3		GPRIN3	GPRIN3	1.5560999999999998	10	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	11	INPP4A		INPP4A	INPP4A	0.7652	11	1
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048	12	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.8171999999999997	12	1
