REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	1	ZBTB38		ZBTB38	1	1
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	2	FAM46C		FAM46C	2	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	3	QPCT,PRKD3		QPCT	3	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	4	FOXO3		FOXO3	4	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	5	CCDC88C		CCDC88C	5	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	6	INPP4A		INPP4A	6	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	7	DUSP22		DUSP22	7	1
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.5228	8		TMEM121	TMEM121	8	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	9	MUTED-TXNDC5,TXNDC5		TXNDC5	9	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	10	BCL2L1	COX4I2,TPX2	BCL2L1	10	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	11	CHMP4B		CHMP4B	11	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	12	CCL1	CCL8,CCL13	CCL1	12	1
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048	13	BTG2,LOC730227	CHIT1,FMOD	LOC730227	13	1
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392	14		IGLL5	IGLL5	14	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	15	SMAD7		SMAD7	15	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	16	TRAM2		TRAM2	16	1
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	17			TMEM121	17	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	18	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	18	1
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284	19	IGLL5		IGLL5	19	1
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832	20	GPRIN3		GPRIN3	20	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	21	PRDM1		PRDM1	21	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	22	C1orf186	AVPR1B,CTSE	C1orf186	22	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	23	TNFRSF13B		TNFRSF13B	23	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	24	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	24	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	25	GNG7		GNG7	25	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	26	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	26	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	27	CHST15		CHST15	27	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	28	CELF2		CELF2	28	1
1_MACS_peak_5018_lociStitched	chr11	65183400	65200051	1	16652	116736.8308	4302.6184	29	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	29	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	30		NDUFV2	NDUFV2	30	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	31	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	31	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	32	TXNDC11	SNN,ZC3H7A	TXNDC11	32	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	33	GAS2	FANCF	GAS2	33	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	34	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	34	1
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655	35	FEM1B,ITGA11	CLN6	FEM1B	35	1
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383	36	KLHL6		KLHL6	36	1
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.5104	6173.6208	37	KLF13		KLF13	37	1
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125	38	ERN1	SNORD104,SNORA76	ERN1	38	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	39	PYGB,ABHD12		PYGB	39	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	40	NDUFV2	ANKRD12	NDUFV2	40	1
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312	41	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	41	1
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601	42	VOPP1		VOPP1	42	1
3_MACS_peak_16415_lociStitched	chr2	232687328	232714548	3	25818	26896.082	3492.326	43		COPS7B,PDE6D,MIR1471	COPS7B	43	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	44	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	44	1
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125	45	FLI1		FLI1	45	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	46	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	46	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	47	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	47	1
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.9904	48	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	48	1
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095	49	NDUFV2,ANKRD12		ANKRD12	49	1
7_MACS_peak_6490_lociStitched	chr12	53845922	53874674	7	24661	25250.0064	5244.3648	50	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	50	1
5_MACS_peak_23137_lociStitched	chr5	173310137	173343972	5	24020	35025.992	5613.2265	51	CPEB4		CPEB4	51	1
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755	52	CD28		CD28	52	1
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.6208	53	SDC1		SDC1	53	1
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.7459	5172.816	54	C5orf56	SLC22A5,MIR3936	C5orf56	54	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	55	C21orf33	PWP2	C21orf33	55	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	56	CFLAR	NDUFB3,FAM126B	CFLAR	56	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	57	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	57	1
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247	58	FNDC3B		FNDC3B	58	1
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264	59	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	59	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	60	FCHSD2		FCHSD2	60	1
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801	61	IRF2		IRF2	61	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	62	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	62	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	63		SMNDC1	SMNDC1	63	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	64	RHOH		RHOH	64	1
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12	65	LAPTM5	LOC100129196,MATN1	LAPTM5	65	1
5_MACS_peak_18458_lociStitched	chr3	5222463	5256329	5	22033	38265.1934	5614.9828	66	ARL8B,EDEM1		EDEM1	66	1
5_MACS_peak_18842_lociStitched	chr3	46317808	46347316	5	21801	34323.7056	5281.932	67		CCR3,CCR2	CCR3	67	1
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.859	68	CELF2		CELF2	68	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	69	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	69	1
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.7551	3443.6164	70	ZNF217		ZNF217	70	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	71	MYOM2		MYOM2	71	1
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997	72	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	72	1
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372	73	MEF2D		MEF2D	73	1
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305	74	SNN,TXNDC11		SNN	74	1
9_MACS_peak_10735_lociStitched	chr16	78768609	78804938	9	21756	22516.7142	3523.913	75	WWOX		WWOX	75	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	76	SLC2A11,DERL3	SMARCB1,MIF	DERL3	76	1
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.6094	77	ADM,SBF2		ADM	77	1
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432	78	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	78	1
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446	79	ARID5A	NEURL3	ARID5A	79	1
1_MACS_peak_23570_lociStitched	chr6	25402810	25415926	1	13117	80332.8768	2833.056	80	LRRC16A		LRRC16A	80	1
2_MACS_peak_7073_lociStitched	chr12	109020364	109035887	2	13644	78231.2631	3213.261	81	SELPLG	TMEM119	SELPLG	81	1
9_MACS_peak_24751_lociStitched	chr6	138246796	138297452	9	20904	34076.2912	8064.4352	82			TNFAIP3	82	1
6_MACS_peak_9662_lociStitched	chr15	89646665	89676910	6	18613	54374.461	5190.042	83	ABHD2		ABHD2	83	1
4_MACS_peak_14858_lociStitched	chr2	65156420	65178753	4	16759	62979.06	4629.6309	84	LOC400958	SLC1A4	LOC400958	84	1
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775	85	MEF2C		MEF2C	85	1
6_MACS_peak_27533_lociStitched	chr8	120918272	120947737	6	19353	44212.2325	4870.5645	86	DEPDC6		DEPDC6	86	1
2_MACS_peak_13751_lociStitched	chr19	39880916	39904073	2	18091	53286.5727	3881.1132	87	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	87	1
3_MACS_peak_28635_lociStitched	chr9	112904151	112925532	3	20165	33236.7645	4032.4566	88	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	88	1
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672	89	CCL4,CCL3	CCL18	CCL3	89	1
2_MACS_peak_1726_lociStitched	chr1	154374337	154394662	2	17021	59649.81	5361.735	90	IL6R		IL6R	90	1
2_MACS_peak_17624_lociStitched	chr21	41324289	41344453	2	16805	61248.15	6131.8724	91			PCP4	91	1
2_MACS_peak_1630_lociStitched	chr1	150532193	150553305	2	16361	63236.7736	6052.8104	92	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	92	1
3_MACS_peak_341_lociStitched	chr1	24511971	24533891	3	17106	56444	4061.776	93	LOC284632,IL28RA	IL22RA1	LOC284632	93	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	94	NAV2		NAV2	94	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	95	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	95	1
4_MACS_peak_2241_lociStitched	chr1	192497930	192521368	4	18039	49240.8942	4774.3206	96		RGS1	RGS1	96	1
4_MACS_peak_8969_lociStitched	chr15	40833449	40862658	4	18431	44406.4427	5070.6824	97	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	97	1
2_MACS_peak_7070_lociStitched	chr12	108952831	108970761	2	16765	53816.895	3824.469	98	ISCU,SART3	FICD,TMEM119	ISCU	98	1
3_MACS_peak_23567_lociStitched	chr6	25365924	25390507	3	18721	37727.5301	4274.9837	99	LRRC16A		LRRC16A	99	1
2_MACS_peak_11557_lociStitched	chr17	38465906	38484503	2	18034	43433.2935	3565.0449	100	RARA	CDC6,RARA,GJD3	RARA	100	1
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253	101	CYTH1		CYTH1	101	1
4_MACS_peak_26865_lociStitched	chr8	27208654	27239415	4	18915	35492.0418	5647.7196	102	PTK2B	TRIM35	PTK2B	102	1
3_MACS_peak_8771_lociStitched	chr15	23658666	23682801	3	18196	40532.319	3564.7395	103			MKRN3	103	1
4_MACS_peak_9435_lociStitched	chr15	75063079	75083986	4	18522	37298.088	3936.7881	104	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	104	1
8_MACS_peak_27597_lociStitched	chr8	126285365	126315963	8	19016	29750.4354	5112.9258	105	NSMCE2		TRIB1	105	1
4_MACS_peak_12222_lociStitched	chr17	75128683	75146224	4	15494	57506.4144	3262.626	106	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	106	1
4_MACS_peak_19628_lociStitched	chr3	133178833	133200914	4	16960	49017.6119	4268.2573	107	BFSP2		BFSP2	107	1
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.98	5891.558	108		ASB9P1,LOC100507217	ASB9P1	108	1
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.6659	3939.3861	109	SCNN1B		SCNN1B	109	1
1_MACS_peak_25787_lociStitched	chr7	78113699	78128450	1	14752	59015.8008	3075.5835	110	MAGI2		RPL13AP17	110	1
5_MACS_peak_2145_lociStitched	chr1	181095442	181129585	5	18357	36116.4654	7398.7881	111		IER5	IER5	111	1
4_MACS_peak_16038_lociStitched	chr2	197023849	197048510	4	18600	28710.3362	4192.37	112	STK17B		STK17B	112	1
6_MACS_peak_9804_lociStitched	chr15	101661413	101692415	6	17984	34511.4264	4644.0996	113			CHSY1	113	1
1_MACS_peak_12900_lociStitched	chr18	60821834	60831684	1	9851	73809.005	2303.915	114	BCL2		BCL2	114	1
5_MACS_peak_12127_lociStitched	chr17	72733239	72756808	5	18443	23076.4079	3763.9693	115	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	115	1
1_MACS_peak_2376_lociStitched	chr1	203288024	203298305	1	10282	72884.0652	3297.1167	116		BTG2,LOC730227,FMOD	BTG2	116	1
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.8792	3700.4416	117	PPP1R16B	FAM83D	FAM83D	117	1
2_MACS_peak_10063_lociStitched	chr16	12055945	12072062	2	12068	66049.0777	3452.2614	118	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	118	1
2_MACS_peak_22052_lociStitched	chr5	55436289	55453664	2	17094	35858.525	2960.7	119	ANKRD55		ANKRD55	119	1
1_MACS_peak_22345_lociStitched	chr5	88171185	88187009	1	15825	45620.592	3179.0416	120	MEF2C		MEF2C	120	1
2_MACS_peak_25574_lociStitched	chr7	55569105	55585893	2	16715	38115.4752	2993.3004	121	VOPP1		VOPP1	121	1
4_MACS_peak_5523_lociStitched	chr11	111230436	111251654	4	16136	43624.208	3938.0608	122	POU2AF1		POU2AF1	122	1
1_MACS_peak_1024_lociStitched	chr1	66736145	66751640	1	15496	46777.8555	2899.1145	123	PDE4B	PDE4B	PDE4B	123	1
5_MACS_peak_14822_lociStitched	chr2	64430348	64456514	5	16955	36056.748	4474.386	124	LOC150992		LOC150992	124	1
4_MACS_peak_19250_lociStitched	chr3	98472532	98496032	4	16732	37313.3	3788.2	125	ST3GAL6		ST3GAL6	125	1
5_MACS_peak_20007_lociStitched	chr3	175051771	175074655	5	16257	42225.5568	4958.9628	126	NAALADL2		NAALADL2	126	1
7_MACS_peak_8590_lociStitched	chr14	95946313	95985826	7	17561	24162.1995	3054.3549	127		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	127	1
3_MACS_peak_3733_lociStitched	chr10	81001140	81020584	3	16639	34487.8228	2926.322	128	ZMIZ1		PPIF	128	1
3_MACS_peak_4096_lociStitched	chr10	112168372	112186622	3	16632	33844.625	3126.225	129			DUSP5	129	1
4_MACS_peak_16640_lociStitched	chr20	5570502	5592514	4	17469	22837.45	3640.7848	130	GPCPD1		GPCPD1	130	1
3_MACS_peak_8953_lociStitched	chr15	40386972	40408959	3	15604	43087.9239	3852.1224	131	BMF	BUB1B	BMF	131	1
1_MACS_peak_23422_lociStitched	chr6	11826992	11838479	1	11488	62934.9756	2227.3293	132		C6orf105	C6orf105	132	1
3_MACS_peak_14681_lociStitched	chr2	47526797	47551094	3	15298	45163.2636	4057.599	133		EPCAM	EPCAM	133	1
3_MACS_peak_5874_lociStitched	chr12	4216221	4231172	3	10276	67496.2895	2987.2098	134			CCND2	134	1
4_MACS_peak_18209_lociStitched	chr22	39823148	39846165	4	13772	53818.3494	3984.2427	135	TAB1	MGAT3	MGAT3	135	1
6_MACS_peak_4032_lociStitched	chr10	105244578	105268331	6	17060	24919.2723	3933.4968	136	NEURL	CALHM2,CALHM1,CALHM3	NEURL	136	1
2_MACS_peak_5025_lociStitched	chr11	65263331	65278737	2	14808	45626.4096	3444.7816	137	MALAT1	SCYL1,LTBP3	MALAT1	137	1
1_MACS_peak_15379_lociStitched	chr2	112455349	112466629	1	11281	61809.888	2386.848	138			ANAPC1	138	1
4_MACS_peak_6361_lociStitched	chr12	48196282	48219001	4	15375	41091.8553	3746.3631	139	HDAC7	SLC48A1,RAPGEF3	HDAC7	139	1
2_MACS_peak_17868_lociStitched	chr22	23189769	23210156	2	16012	31069.788	2432.1691	140		MIR650,IGLL5	IGLL5	140	1
6_MACS_peak_25403_lociStitched	chr7	38383690	38408547	6	16454	28061.0673	5224.9414	141			TARP	141	1
2_MACS_peak_10554_lociStitched	chr16	66549294	66561568	2	11842	56837.2118	2610.6798	142	TK2	CKLF,CMTM1	TK2	142	1
1_MACS_peak_6161_lociStitched	chr12	26265722	26280417	1	14696	40525.871	3013.9445	143	BHLHE41		BHLHE41	143	1
3_MACS_peak_8482_lociStitched	chr14	81930666	81953222	3	15872	28984.46	2275.9004	144	SEL1L		SEL1L	144	1
4_MACS_peak_17678_lociStitched	chr21	44725328	44747520	4	14034	45917.4672	4145.4656	145			SIK1	145	1
2_MACS_peak_18115_lociStitched	chr22	37610696	37628395	2	14611	40750.1776	3300.8635	146	RAC2	C1QTNF6,SSTR3	SSTR3	146	1
3_MACS_peak_23233_lociStitched	chr5	180228543	180249684	3	15127	36565.4736	3443.8689	147	MGAT1	LOC729678,ZFP62	MGAT1	147	1
5_MACS_peak_12276_lociStitched	chr17	76754366	76779779	5	15989	26942.8626	3656.9307	148	CYTH1		CYTH1	148	1
1_MACS_peak_21730_lociStitched	chr5	1311433	1320546	1	9114	63893.9769	1844.4712	149	CLPTM1L	TERT	TERT	149	1
3_MACS_peak_1092_lociStitched	chr1	75595509	75612511	3	15493	30765.119	2516.296	150	LHX8		LHX8	150	1
