#05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_ROSE/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam
#Using cutoff of 15067.1378 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isSuper
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	1	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	2	1
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	3	1
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.5228	4	1
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392	5	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	6	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	7	1
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284	8	1
1_MACS_peak_5018_lociStitched	chr11	65183400	65200051	1	16652	116736.8308	4302.6184	9	1
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832	10	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	11	1
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048	12	1
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	13	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	14	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	15	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	16	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	17	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	18	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	19	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	20	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	21	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	22	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	23	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	24	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	25	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	26	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	27	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	28	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	29	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	30	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	31	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	32	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	33	1
1_MACS_peak_23570_lociStitched	chr6	25402810	25415926	1	13117	80332.8768	2833.056	34	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	35	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	36	1
2_MACS_peak_7073_lociStitched	chr12	109020364	109035887	2	13644	78231.2631	3213.261	37	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	38	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	39	1
1_MACS_peak_29217_lociStitched	chrX	19469942	19470868	1	927	73154.7408	183.5332	40	1
1_MACS_peak_12900_lociStitched	chr18	60821834	60831684	1	9851	73809.005	2303.915	41	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	42	1
1_MACS_peak_2376_lociStitched	chr1	203288024	203298305	1	10282	72884.0652	3297.1167	43	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	44	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	45	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	46	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	47	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	48	1
3_MACS_peak_5874_lociStitched	chr12	4216221	4231172	3	10276	67496.2895	2987.2098	49	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	50	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	51	1
4_MACS_peak_17000_lociStitched	chr20	37486724	37511328	4	12275	66425.8792	3700.4416	52	1
2_MACS_peak_10063_lociStitched	chr16	12055945	12072062	2	12068	66049.0777	3452.2614	53	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	54	1
1_MACS_peak_21730_lociStitched	chr5	1311433	1320546	1	9114	63893.9769	1844.4712	55	1
1_MACS_peak_7947_lociStitched	chr13	114828913	114835103	1	6191	63346.603	1403.892	56	1
4_MACS_peak_10191_lociStitched	chr16	23343229	23365498	4	13661	65272.6659	3939.3861	57	1
1_MACS_peak_23422_lociStitched	chr6	11826992	11838479	1	11488	62934.9756	2227.3293	58	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	59	1
2_MACS_peak_14936_lociStitched	chr2	70310224	70323466	2	8789	62641.281	2484.1992	60	1
4_MACS_peak_253_lociStitched	chr1	17221336	17241677	4	9045	65542.7702	5736.162	61	1
1_MACS_peak_15379_lociStitched	chr2	112455349	112466629	1	11281	61809.888	2386.848	62	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	63	1
1_MACS_peak_25576_lociStitched	chr7	55597317	55605495	1	8179	61042.2276	1747.6386	64	1
2_MACS_peak_4596_lociStitched	chr11	19449590	19466349	2	15921	62333.4246	3623.2958	65	1
4_MACS_peak_1603_lociStitched	chr1	149802918	149834086	4	15909	66403.424	7707.8464	66	1
