#05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_ROSE/05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam
#Using cutoff of 15067.1378 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isSuperStretch
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	1	1
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	2	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	3	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	4	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	5	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	6	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	7	1
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.5228	8	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	9	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	10	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	11	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	12	1
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048	13	1
1_MACS_peak_17874_lociStitched	chr22	23265984	23286150	1	20167	151626.1374	3855.7392	14	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	15	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	16	1
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	17	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	18	1
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284	19	1
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832	20	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	21	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	22	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	23	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	24	1
5_MACS_peak_13107_lociStitched	chr19	2594364	2629109	5	22128	110725.366	7730.7625	25	1
4_MACS_peak_26001_lociStitched	chr7	102063696	102093231	4	22488	102657.753	5068.206	26	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	27	1
1_MACS_peak_3090_lociStitched	chr10	11202615	11223608	1	20994	102563.4008	4868.2767	28	1
1_MACS_peak_5018_lociStitched	chr11	65183400	65200051	1	16652	116736.8308	4302.6184	29	1
4_MACS_peak_12475_lociStitched	chr18	9054294	9085040	4	22226	94230.3408	5445.1166	30	1
3_MACS_peak_1747_lociStitched	chr1	154907819	154935560	3	20205	104847.1095	8133.6612	31	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	32	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	33	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	34	1
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655	35	1
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383	36	1
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.5104	6173.6208	37	1
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125	38	1
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029	39	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	40	1
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312	41	1
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601	42	1
3_MACS_peak_16415_lociStitched	chr2	232687328	232714548	3	25818	26896.082	3492.326	43	1
3_MACS_peak_11910_lociStitched	chr17	56404788	56431099	3	19391	82185.0396	5288.511	44	1
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125	45	1
1_MACS_peak_6475_lociStitched	chr12	53587985	53604091	1	16107	92003.9144	3918.5898	46	1
2_MACS_peak_1804_lociStitched	chr1	156115168	156136713	2	19461	78768.52	5735.279	47	1
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.9904	48	1
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095	49	1
7_MACS_peak_6490_lociStitched	chr12	53845922	53874674	7	24661	25250.0064	5244.3648	50	1
5_MACS_peak_23137_lociStitched	chr5	173310137	173343972	5	24020	35025.992	5613.2265	51	1
7_MACS_peak_16150_lociStitched	chr2	204548117	204585712	7	22719	50505.123	6500.1755	52	1
3_MACS_peak_14345_lociStitched	chr2	20397820	20426304	3	20986	61810.28	4591.6208	53	1
3_MACS_peak_22663_lociStitched	chr5	131744956	131774347	3	21330	59807.7459	5172.816	54	1
4_MACS_peak_17707_lociStitched	chr21	45552590	45581226	4	18675	77655.1048	6729.46	55	1
1_MACS_peak_16105_lociStitched	chr2	201979788	201995039	1	15252	88326.1665	3501.6296	56	1
2_MACS_peak_6054_lociStitched	chr12	12866145	12881739	2	15447	86527.9872	2877.093	57	1
2_MACS_peak_19975_lociStitched	chr3	171801878	171827189	2	21602	56608.0515	6016.4247	58	1
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264	59	1
3_MACS_peak_5208_lociStitched	chr11	72850932	72869979	3	16928	78370.7862	3630.3582	60	1
4_MACS_peak_21627_lociStitched	chr4	185317560	185350078	4	20818	57150.385	5511.801	61	1
2_MACS_peak_13083_lociStitched	chr19	2081521	2098400	2	15091	85871.9125	4771.6933	62	1
5_MACS_peak_4088_lociStitched	chr10	112103850	112128980	5	15046	84793.646	4420.367	63	1
1_MACS_peak_20676_lociStitched	chr4	40191051	40209314	1	18264	69152.8495	3721.9994	64	1
1_MACS_peak_498_lociStitched	chr1	31214210	31233610	1	19401	60958.68	3876.12	65	1
5_MACS_peak_18458_lociStitched	chr3	5222463	5256329	5	22033	38265.1934	5614.9828	66	1
5_MACS_peak_18842_lociStitched	chr3	46317808	46347316	5	21801	34323.7056	5281.932	67	1
5_MACS_peak_3093_lociStitched	chr10	11278696	11304734	5	20260	48787.4006	4699.859	68	1
5_MACS_peak_26516_lociStitched	chr7	150100840	150134155	5	17272	70654.452	7059.4485	69	1
2_MACS_peak_17224_lociStitched	chr20	52194699	52215748	2	20396	45042.7551	3443.6164	70	1
3_MACS_peak_26620_lociStitched	chr8	2027712	2051009	3	17131	67892.1174	3995.4355	71	1
5_MACS_peak_13452_lociStitched	chr19	16244131	16273088	5	20748	42720.2621	4983.4997	72	1
3_MACS_peak_1816_lociStitched	chr1	156450437	156476148	3	20410	45657.5938	6304.3372	73	1
4_MACS_peak_10048_lociStitched	chr16	11762505	11786186	4	19387	52285.2799	4511.2305	74	1
9_MACS_peak_10735_lociStitched	chr16	78768609	78804938	9	21756	22516.7142	3523.913	75	1
3_MACS_peak_17897_lociStitched	chr22	24178852	24200867	3	15562	72708.9405	3405.7205	76	1
5_MACS_peak_4474_lociStitched	chr11	10314571	10345028	5	19299	52632.7417	5305.6094	77	1
6_MACS_peak_18863_lociStitched	chr3	46574118	46608414	6	18106	60628.4688	5288.4432	78	1
5_MACS_peak_15188_lociStitched	chr2	97190297	97220458	5	17555	63570.3397	5085.1446	79	1
1_MACS_peak_23570_lociStitched	chr6	25402810	25415926	1	13117	80332.8768	2833.056	80	1
2_MACS_peak_7073_lociStitched	chr12	109020364	109035887	2	13644	78231.2631	3213.261	81	1
