REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	1	FAM46C		FAM46C	FAM46C	2.279	1	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	2	FOXO3		FOXO3	FOXO3	0.832	2	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	3	QPCT,PRKD3		QPCT	QPCT	2.2909	3	1
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	4	ZBTB38		ZBTB38	ZBTB38	2.0385999999999997	4	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	5	CCDC88C		CCDC88C	CCDC88C	0.7287	5	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	6	INPP4A		INPP4A	INPP4A	0.7652	6	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	7	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.5811	7	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	8	CHMP4B		CHMP4B	CHMP4B	1.2924	8	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	9	SMAD7		SMAD7	SMAD7	1.0978999999999999	9	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	10	CCL1	CCL8,CCL13	CCL1	CCL1	1.0695	10	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	11	DUSP22		DUSP22	DUSP22	1.9339	11	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	12	TRAM2		TRAM2	TRAM2	0.9113999999999999	12	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	14	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.8077	14	1
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048	15	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.8171999999999997	15	1
3_MACS_peak_8701_lociStitched	chr14	106024588	106056510	3	30296	155757.0146	5024.5228	16		TMEM121	TMEM121	TMEM121	0.2197	16	1
4_MACS_peak_8707_lociStitched	chr14	106143826	106173455	4	27614	106990.319	3522.8881	17			TMEM121	TMEM121	0.2197	17	1
4_MACS_peak_4223_lociStitched	chr10	125821843	125854784	4	26849	72160.5546	6120.4378	18	CHST15		CHST15	CHST15	0.7535999999999999	18	1
4_MACS_peak_9346_lociStitched	chr15	68568582	68599491	4	26459	54075.2955	5548.1655	19	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.3992	19	1
4_MACS_peak_10053_lociStitched	chr16	11808454	11843185	4	26427	65704.1058	6345.3537	20	TXNDC11	SNN,ZC3H7A	TXNDC11	TXNDC11	1.5070000000000001	20	1
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.2028	21	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.078	21	1
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.5104	6173.6208	22	KLF13		KLF13	KLF13	0.8011999999999999	22	1
4_MACS_peak_11445_lociStitched	chr17	34509815	34540220	4	26026	67222.4145	6728.6265	23	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	2.2241	23	1
6_MACS_peak_11995_lociStitched	chr17	62150070	62186695	6	25840	49480.375	6229.9125	24	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.6543	24	1
3_MACS_peak_16415_lociStitched	chr2	232687328	232714548	3	25818	26896.082	3492.326	25		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.046200000000000005	25	1
1_MACS_peak_24410_lociStitched	chr6	106531130	106556651	1	25522	104832.6117	5068.4706	26	PRDM1		PRDM1	PRDM1	2.9951000000000003	26	1
4_MACS_peak_17870_lociStitched	chr22	23217705	23247429	4	25521	117353.3244	4283.2284	27	IGLL5		IGLL5	IGLL5	5.7659	27	1
5_MACS_peak_20121_lociStitched	chr3	183228277	183260906	5	25349	66396.7521	8571.6383	28	KLHL6		KLHL6	KLHL6	1.0525	28	1
4_MACS_peak_25577_lociStitched	chr7	55616047	55643228	4	24776	47805.9428	4949.6601	29	VOPP1		VOPP1	VOPP1	1.2513999999999998	29	1
7_MACS_peak_6490_lociStitched	chr12	53845922	53874674	7	24661	25250.0064	5244.3648	30	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.513	30	1
4_MACS_peak_26512_lociStitched	chr7	150053120	150084853	4	24535	101050.5652	7225.6041	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.5581	31	1
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.9904	32	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.2892	32	1
2_MACS_peak_21047_lociStitched	chr4	90205018	90230204	2	24302	117056.9722	5319.2832	33	GPRIN3		GPRIN3	GPRIN3	1.5560999999999998	33	1
5_MACS_peak_23137_lociStitched	chr5	173310137	173343972	5	24020	35025.992	5613.2265	34	CPEB4		CPEB4	CPEB4	0.38370000000000004	34	1
3_MACS_peak_5764_lociStitched	chr11	128585354	128609979	3	23943	48304.4	4976.7125	35	FLI1		FLI1	FLI1	0.47809999999999997	35	1
2_MACS_peak_12481_lociStitched	chr18	9132830	9157685	2	23804	44659.464	4198.0095	36	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2397	36	1
5_MACS_peak_4112_lociStitched	chr10	112597069	112633197	5	23725	63252.9024	6015.312	37	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.4398	37	1
3_MACS_peak_11164_lociStitched	chr17	16863364	16895583	3	23374	106986.4114	6356.8087	38	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.352	38	1
2_MACS_peak_12479_lociStitched	chr18	9094887	9123273	2	23122	67209.5322	5027.1606	39	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.8974999999999997	39	1
2_MACS_peak_4622_lociStitched	chr11	22676619	22703786	2	22737	87015.901	4528.7389	40	GAS2	FANCF	GAS2	GAS2	0.5212	40	1
