GENE	TF	ENHANCER_LIST
AANAT	0	4_MACS_peak_11289_lociStitched
AARS2	0	3_MACS_peak_22140_lociStitched
ABCA7	0	3_MACS_peak_12021_lociStitched
ABCF1	0	1_MACS_peak_21890_lociStitched
ABCG1	0	3_MACS_peak_16261_lociStitched
ABCG4	0	4_MACS_peak_5138_lociStitched
ABHD12	0	6_MACS_peak_15489_lociStitched
ABHD2	0	6_MACS_peak_8990_lociStitched
ABR	0	1_MACS_peak_10133_lociStitched
ACADVL	0	3_MACS_peak_10268_lociStitched
ACAP1	0	2_MACS_peak_10271_lociStitched
ACBD3	0	2_MACS_peak_2456_lociStitched
ACOXL	0	2_MACS_peak_14097_lociStitched
ACTR3C	0	1_MACS_peak_24492_lociStitched
ADA	0	1_MACS_peak_15737_lociStitched
ADAM15	0	1_MACS_peak_1603_lociStitched
ADAM9	0	2_MACS_peak_24932_lociStitched
ADAMTS4	0	2_MACS_peak_1741_lociStitched,3_MACS_peak_1738_lociStitched
ADAMTSL4	0	2_MACS_peak_1501_lociStitched
ADAT3	0	4_MACS_peak_12052_lociStitched
ADCY10	0	1_MACS_peak_1849_lociStitched
ADM	0	4_MACS_peak_4049_lociStitched
ADM2	0	4_MACS_peak_16929_lociStitched
ADORA2A	0	2_MACS_peak_16497_lociStitched
ADRB2	0	1_MACS_peak_21127_lociStitched
ADRBK1	0	3_MACS_peak_4619_lociStitched
ADRM1	0	1_MACS_peak_15970_lociStitched
AEN	0	2_MACS_peak_8978_lociStitched
AFMID	0	3_MACS_peak_11336_lociStitched,3_MACS_peak_11333_lociStitched
AGBL3	0	2_MACS_peak_24355_lociStitched
AHNAK	0	5_MACS_peak_4447_lociStitched
AIF1	0	3_MACS_peak_21920_lociStitched
AIM2	0	2_MACS_peak_1691_lociStitched
AIRE	1	1_MACS_peak_16309_lociStitched
AK1	0	1_MACS_peak_26682_lociStitched
AKAP13	0	1_MACS_peak_8956_lociStitched
AKAP2	0	2_MACS_peak_26494_lociStitched
AKNA	0	1_MACS_peak_26543_lociStitched,1_MACS_peak_26542_lociStitched
AKT1S1	0	2_MACS_peak_12903_lociStitched
ALDH3B1	0	4_MACS_peak_4654_lociStitched
ALDH8A1	0	1_MACS_peak_22810_lociStitched
ALKBH4	0	4_MACS_peak_24040_lociStitched
ALOX12	0	2_MACS_peak_10261_lociStitched
ALOX5	0	4_MACS_peak_3077_lociStitched
AMH	0	3_MACS_peak_12075_lociStitched
AMHR2	0	2_MACS_peak_5923_lociStitched
AMZ2	0	2_MACS_peak_11171_lociStitched
AMZ2P1	0	2_MACS_peak_11133_lociStitched
ANAPC1	0	1_MACS_peak_14127_lociStitched
ANAPC16	0	3_MACS_peak_3298_lociStitched
ANKDD1A	0	4_MACS_peak_8634_lociStitched
ANKRD12	0	4_MACS_peak_11521_lociStitched
ANKRD13D	0	3_MACS_peak_4619_lociStitched
ANKRD28	0	3_MACS_peak_17095_lociStitched
ANKRD34A	0	1_MACS_peak_1400_lociStitched,2_MACS_peak_1398_lociStitched
ANKRD36BP2	0	2_MACS_peak_13909_lociStitched
ANKRD55	0	3_MACS_peak_20333_lociStitched
ANKRD56	0	2_MACS_peak_19238_lociStitched
ANP32A	0	1_MACS_peak_8694_lociStitched
ANXA11	0	4_MACS_peak_3415_lociStitched
ANXA6	0	4_MACS_peak_21165_lociStitched
AP1G1	0	2_MACS_peak_9933_lociStitched
AP1M1	0	2_MACS_peak_12398_lociStitched
APOA2	0	2_MACS_peak_1741_lociStitched
