GENE	H3k27me3_24_DMSO_compare_TSS_SIGNAL	H3k27me3_24_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	20075.1948	2795.767	-17279.4278	0.122240901998271	-2.84409795079719
SORBS3	22105.8	15190.6746	-6915.1254	0.407295187089881	-0.541239006136004
CHST3	7400.0832	635.9256	-6764.1576	0.0791345076675377	-3.54061159857064
KIF26B	7921.2	1594.3712	-6326.8288	0.16755391415704	-2.31273144856992
MT1G	16588.1336	12078.8244	-4509.3092	0.421350057442439	-0.457671523990329
CADM3	6344.416	2199.7924	-4144.6236	0.257460059143688	-1.52811999151772
CCDC48	5026.6	2423.3596	-2603.2404	0.325284931746475	-1.05257438795563
PTRF	5869.602	3567.3472	-2302.2548	0.378019116601793	-0.718411045712816
C17orf102	5242.9142	3010.3679	-2232.5463	0.364747970992049	-0.80042912549418
MAP6	7681.2	5465.802	-2215.398	0.415745125770879	-0.490898515606625
LOC641518	5012.5986	3203.3672	-1809.2314	0.389895391239336	-0.645969527455554
HELT	8160	6439.361	-1720.639	0.441071427715227	-0.341651620358492
WHAMML1	6640.8	5005.6379	-1635.1621	0.429799904741689	-0.407803117278917
EGR4	5037.0216	4307.5764	-729.4452	0.460969685373303	-0.225694533051431
NPR1	15375.2	14756.96	-618.239999999998	0.4897411934624	-0.0592096267423255
OTOP1	5029.9668	4805.4545	-224.512299999999	0.488586543821971	-0.0658759900553002
SLC26A10	13516.8	13473.3883	-43.4116999999987	0.499195787381743	-0.00464093822680782
ATOH8	3542.6	3566.4361	23.8360999999995	0.501676464971109	0.00967454705448263
SFRP5	11436	11617.9253	181.925299999999	0.503945646948028	0.0227699337949688
CRABP1	10255.2	10619.061	363.861000000001	0.508715542073561	0.0503005722127221
IGSF9	3422.8712	3951.9499	529.0787	0.535870612508824	0.20735765171173
GDF7	4949.2449	5579.6638	630.4189	0.529937523344656	0.172969763932875
FAM138E	3128.6946	4133.7564	1005.0618	0.569195771510197	0.401892533795595
TNFRSF10C	3844.6	4851.4067	1006.8067	0.557889025085503	0.335569622613416
TRIM7	4331.908	5338.7313	1006.8233	0.552055674333754	0.301494335873317
LOC441617	3996.7416	5073.469	1076.7274	0.559355148820911	0.344148230094887
RFX4	3596.364	4718.4095	1122.0455	0.567473004526221	0.391761584002237
EPHA10	4019.9532	5239.6368	1219.6836	0.56586056186073	0.382288105056442
NCKAP1	11157	12437.8687	1280.8687	0.527142950365306	0.156790138809479
RNF39	4507.776	5897.9302	1390.1542	0.566797686446308	0.387792921676118
KCNJ9	2958.26	4356.5176	1398.2576	0.595577588032205	0.558426515786943
GH2	4419.884	5831.5981	1411.7141	0.568854146465319	0.399882789412978
LOC440461	5924.6	7357.3322	1432.7322	0.553935382985918	0.312464980145845
A4GALT	3027.5115	4474.6028	1447.0913	0.596445564685678	0.563627183398163
HPCA	5144	6597.466	1453.466	0.561894570916443	0.35902136798492
NCRNA00114	14384.055	16196.0975	1812.0425	0.529627754472447	0.17117579075477
MIR129-2	3223.6688	5157.0251	1933.3563	0.615345836697365	0.67783553849192
OMP	2548.4276	4537.4693	1989.0417	0.64035214794051	0.832280514703054
PLXND1	3371.8542	5487.1501	2115.2959	0.619386774651413	0.702514885953052
CAMKV	5975.6	8153.9733	2178.3733	0.577085601020945	0.448419653800028
D4S234E	3638.0604	6012.6778	2374.6174	0.623027759679565	0.724838156057094
C9orf44	2361	4887.6163	2526.6163	0.674282662747647	1.04973298994541
CHRNB2	2331.5933	4918.261	2586.6677	0.678394460975581	1.07683213616298
ICAM5	5996.8	8691.3243	2694.5243	0.591724588006108	0.535383159606445
TUBB4	4705.6	7561.7717	2856.1717	0.616413351198937	0.684345603752436
FNDC5	3706.8988	6597.466	2890.5672	0.640259358830153	0.83169928117784
ADAMTS8	4522.5621	7431.1756	2908.6135	0.62166125662938	0.716450147997054
MT1H	8998.6672	12078.8244	3080.1572	0.573067451726561	0.424696804178424
LHX9	6561.6	9764.4131	3202.8131	0.598089260384092	0.573485683284592
FAM138C	2864.9852	6087.8399	3222.8547	0.679990933811496	1.08740273257799
CLIP2	2834.416	6348.8386	3514.4226	0.691349513493833	1.16344118777294
SMAD6	3776.9004	7487.7016	3710.8012	0.6647107105959	0.987320202548399
NTN3	6547	10313.6716	3766.6716	0.611699927777491	0.655652130155954
MT1E	8236.5006	12078.8244	3842.3238	0.594567126048931	0.552376625595603
BMP7	2192.1835	6076.4152	3884.2317	0.734878474631983	1.4708518859157
RSPO1	7480.8	11432.2415	3951.4415	0.604463406903644	0.61184383212129
NKX1-2	4540.4	8511.9155	3971.5155	0.652138350471225	0.90666442728892
CPLX3	2457.4148	6451.6575	3994.2427	0.724167150377711	1.39252845362586
THRA	3648.7432	7821.5236	4172.7804	0.681895524871313	1.10005004880882
RAB34	4954.3937	9231.4105	4277.0168	0.650749888398995	0.897842582572682
ADAM11	5193.4628	9574.0658	4380.603	0.648318757953853	0.882434928715441
FBLIM1	5625.4099	10018.2051	4392.7952	0.640402176862573	0.832593924513051
FAM83C	7508.4	11965.3248	4456.9248	0.614434317157445	0.672282144532871
CADM4	1394.8453	6008.5583	4613.713	0.811594048445502	2.10691374665434
PLA2G3	1644.834	6339.3129	4694.4789	0.793987507920226	1.94638448766483
C2orf54	1645.8172	6411.6933	4765.8761	0.795741228013293	1.96190131125639
SYT15	8093.4	12919.3137	4825.9137	0.614833185491886	0.674711628559437
BSX	1889.4018	6921.7483	5032.3465	0.785566948859491	1.87320694306838
KRTAP5-11	1458.664	6704.5746	5245.9106	0.821313075425726	2.20049819722596
ATP2B2	4915.5898	10203.7533	5288.1635	0.674880729441215	1.05366348919459
TUBB2B	2560.03	7850.8086	5290.7786	0.754099540069712	1.6166805364207
TMEM54	1204.9768	6597.466	5392.4892	0.845564161008652	2.45290664083219
MRC2	3345.9992	8813.44	5467.4408	0.724822901371965	1.3972681312229
GALP	6874.8	12385.7521	5510.9521	0.643063191319422	0.849291827295736
SP9	3466.352	9058.5581	5592.2061	0.723243362840584	1.38586326265384
FAM138A	898.437	6507.8198	5609.3828	0.878692162010909	2.85668505562406
OVOL1	7026.4262	12791.0647	5764.6385	0.645443197857101	0.864273362486326
EGR1	1647.5896	7420.9086	5773.319	0.818317260072897	2.17123891342788
CERCAM	821.9664	6681.6432	5859.6768	0.890457200758419	3.02305161842176
BMP3	753.3918	6615.3913	5861.9995	0.897758993611849	3.13435425832289
KRTAP5-7	750.8837	6704.5746	5953.6909	0.899284031942074	3.15848441763649
PDGFRA	1114.7168	7168.824	6054.1072	0.865429913739303	2.68505924138639
NLRC5	832.4169	6970.4525	6138.0356	0.893319129498694	3.06587415383916
TPPP3	9672.4	15823.5614	6151.1614	0.620630112814651	0.710128529639232
GPR124	1595.6829	7757.6028	6161.9199	0.829398678584147	2.28143692742176
VSTM2L	1203.9237	7405.8397	6201.916	0.86016762086633	2.6209193600003
KRTAP5-9	495.9266	6704.5746	6208.648	0.931126099944265	3.75694728283528
TNFSF9	843.4085	7060.3817	6216.9732	0.893290626565467	3.0654427144157
YPEL4	576.468	7052.1263	6475.6583	0.924433260266574	3.61274588226819
SEZ6	998.509	7474.8729	6476.3639	0.882159330030905	2.90420171197714
LOC149950	9873.6	16350.4509	6476.8509	0.623490663679272	0.727682316982839
GAD1	708.1575	7335.8942	6627.7367	0.911965073521345	3.3728306639501
MT1JP	5411.4	12078.8244	6667.4244	0.690604312658218	1.1584062562643
ODZ4	1674.188	8359.848	6685.66	0.833149093744531	2.32001516935892
C15orf59	2354.2235	9098.1252	6743.9017	0.794433127939948	1.95031799757348
IGF2BP3	976.1598	7936.4332	6960.2734	0.890474096595682	3.02330153021253
GDF6	2505.916	9491.8189	6985.9029	0.791134241514204	1.92134651941026
GNRH2	0	7026.1901	7026.1901	1	8
MRPS26	0	7026.1901	7026.1901	1	8
GPR89C	0	7029.0868	7029.0868	1	8
C20orf54	0	7029.4208	7029.4208	1	8
DNAJA3	0	7035.1502	7035.1502	1	8
SPON2	0	7043.2725	7043.2725	1	8
C11orf31	0	7052.1263	7052.1263	1	8
CLP1	0	7052.1263	7052.1263	1	8
MED19	0	7052.1263	7052.1263	1	8
MIR130A	0	7052.1263	7052.1263	1	8
SERPING1	0	7052.1263	7052.1263	1	8
TMX2	0	7052.1263	7052.1263	1	8
UBE2L6	0	7052.1263	7052.1263	1	8
ZDHHC5	0	7052.1263	7052.1263	1	8
DPYSL4	0	7066.2361	7066.2361	1	8
JAKMIP3	0	7066.2361	7066.2361	1	8
ERLIN2	0	7093.5714	7093.5714	1	8
COL2A1	9671.2	16789.832	7118.632	0.634511609373361	0.795820979510011
UBE2T	0	7154.1009	7154.1009	1	8
ADORA1	10626.6	17794.5114	7167.9114	0.626101884249326	0.743752242214058
LHX5	0	7176.0793	7176.0793	1	8
SDS	0	7176.0793	7176.0793	1	8
SDSL	0	7176.0793	7176.0793	1	8
KRT18	0	7188.1331	7188.1331	1	8
C1orf69	0	7201.6115	7201.6115	1	8
GJC2	0	7201.6115	7201.6115	1	8
DLL4	1859.2772	9069.6287	7210.3515	0.829875266837095	2.28630161173598
PPYR1	0	7213.7604	7213.7604	1	8
C7orf40	0	7245.6114	7245.6114	1	8
SNORA9	0	7245.6114	7245.6114	1	8
PROP1	0	7249.5808	7249.5808	1	8
PI4KAP2	0	7250.11	7250.11	1	8
TUBB2A	592.7363	7850.8086	7258.0723	0.929800065373017	3.7273789351437
AGXT2L2	0	7284.0377	7284.0377	1	8
BASE	0	7339.0835	7339.0835	1	8
AMZ2	0	7357.3322	7357.3322	1	8
ARSG	0	7357.3322	7357.3322	1	8
LOC100499466	0	7357.3322	7357.3322	1	8
SLC16A6	0	7357.3322	7357.3322	1	8
USP18	0	7368.344	7368.344	1	8
IL34	0	7402.7304	7402.7304	1	8
LOC100130894	0	7402.7304	7402.7304	1	8
MTSS1L	0	7402.7304	7402.7304	1	8
ETF1	0	7420.9086	7420.9086	1	8
REEP2	0	7420.9086	7420.9086	1	8
ADAMTS15	0	7431.1756	7431.1756	1	8
C16orf7	0	7441.3271	7441.3271	1	8
LOC100128881	0	7441.3271	7441.3271	1	8
SPATA2L	0	7441.3271	7441.3271	1	8
ZNF276	0	7441.3271	7441.3271	1	8
LOC619207	0	7450.2806	7450.2806	1	8
TCHHL1	0	7468.6363	7468.6363	1	8
PHF12	0	7474.8729	7474.8729	1	8
PIPOX	0	7474.8729	7474.8729	1	8
TIAF1	0	7474.8729	7474.8729	1	8
CD83	1454.1121	8929.4769	7475.3648	0.859960549285994	2.6184371695458
FAM83F	0	7480.1774	7480.1774	1	8
TNRC6B	0	7480.1774	7480.1774	1	8
LYAR	0	7488.8008	7488.8008	1	8
ZBTB49	0	7488.8008	7488.8008	1	8
C1orf56	1730.775	9265.0448	7534.2698	0.842597002180774	2.4203797650822
MED24	256.673	7821.5236	7564.8506	0.968226447967359	4.92944621712409
NDUFB7	0	7589.8626	7589.8626	1	8
STH	0	7617.1416	7617.1416	1	8
CDK10	0	7627.6007	7627.6007	1	8
LPGAT1	0	7649.6202	7649.6202	1	8
NEK2	0	7649.6202	7649.6202	1	8
SDHAP1	0	7650.216	7650.216	1	8
TFRC	0	7650.216	7650.216	1	8
PPP1R12B	0	7686.2281	7686.2281	1	8
SLC35E4	0	7687.8933	7687.8933	1	8
CCM2	0	7706.4338	7706.4338	1	8
NACAD	0	7706.4338	7706.4338	1	8
RAMP3	0	7706.4338	7706.4338	1	8
SNORA5A	0	7706.4338	7706.4338	1	8
SNORA5B	0	7706.4338	7706.4338	1	8
SNORA5C	0	7706.4338	7706.4338	1	8
TBRG4	0	7706.4338	7706.4338	1	8
CA6	0	7723.5662	7723.5662	1	8
GALNTL5	0	7725.9358	7725.9358	1	8
TRAPPC10	0	7750.4798	7750.4798	1	8
C22orf9	0	7753.4316	7753.4316	1	8
FAM118A	0	7753.4316	7753.4316	1	8
UPK3A	0	7753.4316	7753.4316	1	8
BRF2	0	7757.6028	7757.6028	1	8
LOC728024	0	7757.6028	7757.6028	1	8
PROSC	0	7757.6028	7757.6028	1	8
RAB11FIP1	0	7757.6028	7757.6028	1	8
FAM153C	0	7797.4972	7797.4972	1	8
KCNMB3	0	7803.1866	7803.1866	1	8
MFN1	0	7803.1866	7803.1866	1	8
ZNF639	0	7803.1866	7803.1866	1	8
TMEM171	0	7806.3778	7806.3778	1	8
TMEM174	0	7806.3778	7806.3778	1	8
GOSR1	0	7807.9716	7807.9716	1	8
LRRC37BP1	0	7807.9716	7807.9716	1	8
TBC1D29	0	7807.9716	7807.9716	1	8
MIR627	0	7808.2654	7808.2654	1	8
PLA2G4D	0	7808.2654	7808.2654	1	8
PLA2G4F	0	7808.2654	7808.2654	1	8
VPS39	0	7808.2654	7808.2654	1	8
CASC3	0	7821.5236	7821.5236	1	8
CSF3	0	7821.5236	7821.5236	1	8
GSDMA	0	7821.5236	7821.5236	1	8
MSL1	0	7821.5236	7821.5236	1	8
NR1D1	0	7821.5236	7821.5236	1	8
PSMD3	0	7821.5236	7821.5236	1	8
SNORD124	0	7821.5236	7821.5236	1	8
LPIN1	0	7831.4968	7831.4968	1	8
MIR4262	0	7831.4968	7831.4968	1	8
AMFR	0	7835.1626	7835.1626	1	8
