REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
6_MACS_peak_9115_lociStitched	chr6	7895871	7918601	6	18205	20593.38	6425.771	1	MUTED-TXNDC5,TXNDC5		TXNDC5	1	1
4_MACS_peak_4259_lociStitched	chr17	34523008	34540116	4	15028	22317.386	6518.148	2	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL4L1	2	1
4_MACS_peak_4265_lociStitched	chr17	34624118	34640937	4	15286	21551.8666	6248.2585	3	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	3	1
2_MACS_peak_6745_lociStitched	chr22	23270298	23279155	2	8843	22774.8898	2776.6695	4		IGLL5	IGLL5	4	1
4_MACS_peak_7452_lociStitched	chr3	141091968	141110891	4	13376	19795.3503	5058.1179	5	ZBTB38		ZBTB38	5	1
4_MACS_peak_5623_lociStitched	chr2	99095362	99107664	4	10852	17291.6912	3638.9316	6	INPP4A		INPP4A	6	1
3_MACS_peak_1973_lociStitched	chr11	65183676	65199315	3	12218	12917.814	5027.9385	7	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	7	1
4_MACS_peak_7456_lociStitched	chr3	141118436	141132348	4	12064	10588.4232	3427.9168	8	ZBTB38		RASA2	8	1
4_MACS_peak_895_lociStitched	chr1	204474949	204491681	4	9383	14906.5388	5243.8088	10	MDM4	PIK3C2B	MDM4	10	1
6_MACS_peak_1207_lociStitched	chr10	11279361	11304304	6	9360	14671.4726	5487.46	11	CELF2		CELF2	11	1
3_MACS_peak_3813_lociStitched	chr16	11773417	11785042	3	10268	10681.05	3089.925	13	TXNDC11	SNN	SNN	13	1
4_MACS_peak_5619_lociStitched	chr2	99071608	99087884	4	8910	13883.428	4676.0948	14	INPP4A		INPP4A	14	1
4_MACS_peak_10441_lociStitched	chr8	2029500	2041260	4	8385	12166.896	2855.328	15	MYOM2		MYOM2	15	1
3_MACS_peak_7586_lociStitched	chr3	171812487	171826855	3	8134	13987.248	4525.92	16	FNDC3B		FNDC3B	16	1
3_MACS_peak_9140_lociStitched	chr6	11828106	11836730	3	6413	13009.304	2337.9664	17		C6orf105	C6orf105	17	1
1_MACS_peak_10009_lociStitched	chr7	55599468	55604055	1	4588	12469.7595	1317.8451	18	VOPP1		VOPP1	18	1
4_MACS_peak_6012_lociStitched	chr2	201980169	201992434	4	8996	10449.78	3442.7855	19	CFLAR	NDUFB3,FAM126B	CFLAR	19	1
3_MACS_peak_4253_lociStitched	chr17	34409305	34421115	3	7138	12453.645	3278.456	20	CCL3	CCL18,CCL4	CCL3	20	1
3_MACS_peak_5710_lociStitched	chr2	112456088	112464825	3	5936	12442.3617	2356.3689	21			ANAPC1	21	1
6_MACS_peak_1770_lociStitched	chr11	10326062	10344972	6	8565	11147.445	3789.564	22	ADM	SBF2	ADM	22	1
4_MACS_peak_610_lociStitched	chr1	156119064	156132117	4	9116	11396.5743	5003.2149	23	SEMA4A	LMNA,SLC25A44	SEMA4A	23	1
2_MACS_peak_9073_lociStitched	chr6	318958	329583	2	7933	12423.8125	4880.0625	24	DUSP22		DUSP22	24	1
5_MACS_peak_8546_lociStitched	chr5	55437988	55453271	5	6609	12263.0792	3362.26	25	ANKRD55		ANKRD55	25	1
2_MACS_peak_10181_lociStitched	chr7	104579162	104586536	2	4338	12062.3892	1901.7546	26		LOC723809	LOC723809	26	1
