#33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_ROSE/33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam
#Using cutoff of 2411.212 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
2_MACS_peak_6745_lociStitched	chr22	23270298	23279155	2	8843	22774.8898	2776.6695	1	1
4_MACS_peak_4259_lociStitched	chr17	34523008	34540116	4	15028	22317.386	6518.148	2	1
4_MACS_peak_4265_lociStitched	chr17	34624118	34640937	4	15286	21551.8666	6248.2585	3	1
4_MACS_peak_7452_lociStitched	chr3	141091968	141110891	4	13376	19795.3503	5058.1179	4	1
1_MACS_peak_8372_lociStitched	chr5	9918	12096	1	2179	20053.7172	5802.6276	5	1
6_MACS_peak_9115_lociStitched	chr6	7895871	7918601	6	18205	20593.38	6425.771	6	1
4_MACS_peak_5623_lociStitched	chr2	99095362	99107664	4	10852	17291.6912	3638.9316	7	1
1_MACS_peak_10009_lociStitched	chr7	55599468	55604055	1	4588	12469.7595	1317.8451	8	1
3_MACS_peak_9140_lociStitched	chr6	11828106	11836730	3	6413	13009.304	2337.9664	9	1
2_MACS_peak_10181_lociStitched	chr7	104579162	104586536	2	4338	12062.3892	1901.7546	10	1
3_MACS_peak_5710_lociStitched	chr2	112456088	112464825	3	5936	12442.3617	2356.3689	11	1
4_MACS_peak_895_lociStitched	chr1	204474949	204491681	4	9383	14906.5388	5243.8088	12	1
3_MACS_peak_7586_lociStitched	chr3	171812487	171826855	3	8134	13987.248	4525.92	13	1
4_MACS_peak_10441_lociStitched	chr8	2029500	2041260	4	8385	12166.896	2855.328	14	1
2_MACS_peak_9121_lociStitched	chr6	7960827	7964678	2	3104	10258.2938	961.5947	15	1
4_MACS_peak_5619_lociStitched	chr2	99071608	99087884	4	8910	13883.428	4676.0948	16	1
1_MACS_peak_8384_lociStitched	chr5	1312418	1317274	1	4857	11063.4248	1867.132	17	1
6_MACS_peak_1207_lociStitched	chr10	11279361	11304304	6	9360	14671.4726	5487.46	18	1
3_MACS_peak_4253_lociStitched	chr17	34409305	34421115	3	7138	12453.645	3278.456	19	1
4_MACS_peak_5007_lociStitched	chr19	16253552	16267368	4	6043	11896.9576	2942.808	20	1
5_MACS_peak_8546_lociStitched	chr5	55437988	55453271	5	6609	12263.0792	3362.26	21	1
1_MACS_peak_2287_lociStitched	chr12	4225022	4229223	1	4202	10000.4805	1568.6534	22	1
2_MACS_peak_9231_lociStitched	chr6	26358138	26366055	2	4963	10338.8103	2025.9603	23	1
1_MACS_peak_4826_lociStitched	chr18	60824226	60830243	1	6018	9857.0494	1619.7764	24	1
1_MACS_peak_1632_lociStitched	chr10	112112980	112118763	1	5784	10237.0666	2104.4337	25	1
1_MACS_peak_1205_lociStitched	chr10	11216338	11223001	1	6664	10041.141	1930.9374	26	1
1_MACS_peak_8361_lociStitched	chr4	187749612	187752059	1	2448	8790.1134	870.8873	27	1
3_MACS_peak_1973_lociStitched	chr11	65183676	65199315	3	12218	12917.814	5027.9385	28	1
3_MACS_peak_915_lociStitched	chr1	206287248	206294501	3	6440	10306.513	2578.4415	29	1
3_MACS_peak_10331_lociStitched	chr7	136037509	136046987	3	4719	10215.3884	2500.2964	30	1
3_MACS_peak_433_lociStitched	chr1	118196703	118207743	3	6413	9602.592	1951.872	31	1
3_MACS_peak_1618_lociStitched	chr10	105258024	105267957	3	5451	9725.4003	2118.7089	32	1
3_MACS_peak_3813_lociStitched	chr16	11773417	11785042	3	10268	10681.05	3089.925	33	1
2_MACS_peak_9073_lociStitched	chr6	318958	329583	2	7933	12423.8125	4880.0625	34	1
4_MACS_peak_8021_lociStitched	chr4	84133155	84143683	4	5662	9697.3408	2239.3056	35	1
2_MACS_peak_5505_lociStitched	chr2	67690165	67693417	2	3221	8184.9588	798.6912	36	1
6_MACS_peak_1770_lociStitched	chr11	10326062	10344972	6	8565	11147.445	3789.564	37	1
2_MACS_peak_4903_lociStitched	chr19	2595093	2600157	2	4419	9016.452	1674.1584	38	1
4_MACS_peak_9209_lociStitched	chr6	25404418	25414326	4	7183	10380.6116	3038.7836	39	1
3_MACS_peak_6616_lociStitched	chr21	36589601	36600843	3	3953	10398.85	3173.6166	40	1
1_MACS_peak_7544_lociStitched	chr3	161487590	161490051	1	2462	8071.5878	871.9323	41	1
4_MACS_peak_7456_lociStitched	chr3	141118436	141132348	4	12064	10588.4232	3427.9168	42	1
2_MACS_peak_10804_lociStitched	chr8	118450864	118456278	2	3230	8593.6422	1486.143	43	1
1_MACS_peak_7601_lociStitched	chr3	174866884	174869572	1	2689	8396.5056	1292.1216	44	1
4_MACS_peak_6012_lociStitched	chr2	201980169	201992434	4	8996	10449.78	3442.7855	45	1
1_MACS_peak_7701_lociStitched	chr3	193818426	193822448	1	4023	8978.7128	1976.0086	46	1
2_MACS_peak_3988_lociStitched	chr16	66550007	66559759	2	5893	9488.696	2516.016	47	1
2_MACS_peak_6347_lociStitched	chr20	37498927	37505365	2	6255	8928.2184	2006.0808	48	1
3_MACS_peak_5065_lociStitched	chr19	35695712	35705934	3	5861	9400.1512	2488.0348	49	1
