REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
6_MACS_peak_1207_lociStitched	chr10	11279361	11304304	6	9360	14671.4726	5487.46
6_MACS_peak_9115_lociStitched	chr6	7895871	7918601	6	18205	20593.38	6425.771
4_MACS_peak_7452_lociStitched	chr3	141091968	141110891	4	13376	19795.350300000002	5058.117899999999
6_MACS_peak_1770_lociStitched	chr11	10326062	10344972	6	8565	11147.445	3789.564
4_MACS_peak_4259_lociStitched	chr17	34523008	34540116	4	15028	22317.386	6518.148
4_MACS_peak_4265_lociStitched	chr17	34624118	34640937	4	15286	21551.8666	6248.2585
4_MACS_peak_895_lociStitched	chr1	204474949	204491681	4	9383	14906.5388	5243.8088
5_MACS_peak_2237_lociStitched	chr11	128588324	128604946	5	6720	9680.6528	3718.3414000000002
4_MACS_peak_5619_lociStitched	chr2	99071608	99087884	4	8910	13883.428	4676.0948
3_MACS_peak_1973_lociStitched	chr11	65183676	65199315	3	12218	12917.813999999998	5027.9385
5_MACS_peak_8546_lociStitched	chr5	55437988	55453271	5	6609	12263.0792	3362.26
5_MACS_peak_4240_lociStitched	chr17	32703815	32719053	5	6136	9718.796400000001	3903.9755999999998
4_MACS_peak_5349_lociStitched	chr2	37571544	37586086	4	6121	9423.216	3061.091
3_MACS_peak_7586_lociStitched	chr3	171812487	171826855	3	8134	13987.248	4525.92
4_MACS_peak_7456_lociStitched	chr3	141118436	141132348	4	12064	10588.4232	3427.9168
5_MACS_peak_9215_lociStitched	chr6	26020488	26034306	5	6229	6364.5708	2499.6762
4_MACS_peak_5007_lociStitched	chr19	16253552	16267368	4	6043	11896.9576	2942.808
3_MACS_peak_5609_lociStitched	chr2	97191665	97205147	3	5520	8466.696	3079.2888
6_MACS_peak_10719_lociStitched	chr8	81046663	81060038	6	6589	7920.674999999999	2723.15
4_MACS_peak_610_lociStitched	chr1	156119064	156132117	4	9116	11396.5743	5003.2149
4_MACS_peak_9703_lociStitched	chr6	143166166	143179121	4	2724	3864.4765	1313.637
5_MACS_peak_3230_lociStitched	chr14	91829969	91842669	5	6094	7599.68	1889.7599999999998
3_MACS_peak_8471_lociStitched	chr5	32531022	32543616	3	5789	8853.582	2785.7928
2_MACS_peak_1056_lociStitched	chr1	228744058	228756393	2	12329	7080.289999999999	5660.5315
4_MACS_peak_300_lociStitched	chr1	66736691	66749025	4	4930	7767.9532	2693.7456
4_MACS_peak_5623_lociStitched	chr2	99095362	99107664	4	10852	17291.6912	3638.9316
4_MACS_peak_1498_lociStitched	chr10	81003351	81015638	4	4389	5986.2264000000005	2515.1489
4_MACS_peak_6012_lociStitched	chr2	201980169	201992434	4	8996	10449.78	3442.7855
4_MACS_peak_4537_lociStitched	chr17	76713591	76725667	4	5916	6458.2448	2522.6764
3_MACS_peak_2020_lociStitched	chr11	71414505	71426498	3	5724	7493.2264000000005	3180.5436
4_MACS_peak_8851_lociStitched	chr5	131791938	131803899	4	7185	8571.2526	3288.0788999999995
3_MACS_peak_4906_lociStitched	chr19	2620229	2632090	3	5436	7620.692499999999	3534.578
3_MACS_peak_4253_lociStitched	chr17	34409305	34421115	3	7138	12453.645	3278.456
4_MACS_peak_10441_lociStitched	chr8	2029500	2041260	4	8385	12166.895999999999	2855.328
4_MACS_peak_1735_lociStitched	chr11	2793556	2805236	4	4346	5386.816	2143.2799999999997
3_MACS_peak_3813_lociStitched	chr16	11773417	11785042	3	10268	10681.05	3089.9249999999997
3_MACS_peak_10850_lociStitched	chr8	126296445	126307814	3	4496	7385.3024	2722.8755
3_MACS_peak_5253_lociStitched	chr2	11883911	11895221	3	7472	9595.404	2750.592
3_MACS_peak_6616_lociStitched	chr21	36589601	36600843	3	3953	10398.85	3173.6166
2_MACS_peak_6772_lociStitched	chr22	29187595	29198834	2	6850	8943.9962	2374.8007
3_MACS_peak_433_lociStitched	chr1	118196703	118207743	3	6413	9602.592	1951.872
3_MACS_peak_11210_lociStitched	chr9	94181308	94192336	3	4503	5935.2696000000005	2455.9356000000002
3_MACS_peak_4899_lociStitched	chr19	2468852	2479766	3	5797	6366.136200000001	2479.6608
2_MACS_peak_7869_lociStitched	chr4	40197102	40208001	2	8043	8761.7061	2899.134
2_MACS_peak_9073_lociStitched	chr6	318958	329583	2	7933	12423.8125	4880.0625
3_MACS_peak_2700_lociStitched	chr12	92855351	92865881	3	3876	6137.937	2195.505
4_MACS_peak_8021_lociStitched	chr4	84133155	84143683	4	5662	9697.3408	2239.3056
3_MACS_peak_1610_lociStitched	chr10	104531777	104542302	3	4487	7749.5575	2604.9375
4_MACS_peak_4178_lociStitched	chr17	16872538	16883061	4	5019	5741.3488	2225.6145
3_MACS_peak_7973_lociStitched	chr4	77608841	77619253	3	3694	4977.9772	2440.5728
3_MACS_peak_4989_lociStitched	chr19	12991912	13002265	3	3469	3512.7729	1787.9631
3_MACS_peak_5065_lociStitched	chr19	35695712	35705934	3	5861	9400.1512	2488.0348
3_MACS_peak_6021_lociStitched	chr2	202116645	202126805	3	6487	7747.0	2130.552
3_MACS_peak_7115_lociStitched	chr3	46326262	46336397	3	3387	4369.1984999999995	1996.595
3_MACS_peak_1505_lociStitched	chr10	81946880	81956999	3	3546	5170.809	1944.8718000000001
3_MACS_peak_1618_lociStitched	chr10	105258024	105267957	3	5451	9725.4003	2118.7089
3_MACS_peak_5929_lociStitched	chr2	182169585	182179501	3	5734	7133.5704000000005	2064.5112
4_MACS_peak_9209_lociStitched	chr6	25404418	25414326	4	7183	10380.6116	3038.7835999999998
3_MACS_peak_4406_lociStitched	chr17	56412940	56422745	3	5480	8711.7425	2446.3475
2_MACS_peak_3988_lociStitched	chr16	66550007	66559759	2	5893	9488.696	2516.016
3_MACS_peak_3650_lociStitched	chr15	81585806	81595524	3	4420	6166.071	2598.5932000000003
3_MACS_peak_7621_lociStitched	chr3	178231107	178240748	3	5172	8056.9837	2686.9467
3_MACS_peak_8051_lociStitched	chr4	90211581	90221110	3	5257	7436.4316	2446.0942999999997
3_MACS_peak_8927_lociStitched	chr5	148205375	148214859	3	4963	5909.4803999999995	2233.482
3_MACS_peak_10331_lociStitched	chr7	136037509	136046987	3	4719	10215.388400000002	2500.2963999999997
4_MACS_peak_2783_lociStitched	chr12	108953917	108963358	4	7280	7928.5518	2643.4800000000005
3_MACS_peak_2138_lociStitched	chr11	111241517	111250922	3	5543	6950.295	2291.058
2_MACS_peak_4430_lociStitched	chr17	62151058	62160397	2	5428	8064.226500000001	2650.4082
4_MACS_peak_2554_lociStitched	chr12	53591152	53600340	4	7693	9170.5428	2518.4308
3_MACS_peak_6832_lociStitched	chr22	38782656	38791803	3	4341	5531.1909000000005	1730.6124
3_MACS_peak_3927_lociStitched	chr16	31880275	31889402	3	3231	4202.9835	1517.8201000000001
2_MACS_peak_587_lociStitched	chr1	154908278	154917401	2	5790	9487.0077	3590.8128
3_MACS_peak_8677_lociStitched	chr5	88177040	88186117	3	3982	5028.658	2126.7411
3_MACS_peak_8848_lociStitched	chr5	131755023	131764022	3	6299	8325.8748	2673.6029
2_MACS_peak_8317_lociStitched	chr4	185201396	185210391	2	6211	6696.7775	2314.4134999999997
3_MACS_peak_6465_lociStitched	chr20	56048016	56056954	3	4564	5706.0192	2106.6866
3_MACS_peak_9374_lociStitched	chr6	52254372	52263283	3	3596	6421.2666	1917.6472
3_MACS_peak_4165_lociStitched	chr17	9916170	9925072	3	2741	4107.382799999999	1569.4226
4_MACS_peak_11577_lociStitched	chrX	58150650	58159546	4	4668	6707.584	834.4448
2_MACS_peak_883_lociStitched	chr1	203267605	203276486	2	5456	7195.3862	2828.5985
2_MACS_peak_6745_lociStitched	chr22	23270298	23279155	2	8843	22774.8898	2776.6695
3_MACS_peak_10766_lociStitched	chr8	101506407	101515254	3	3227	3740.5116000000003	1009.4427
2_MACS_peak_885_lociStitched	chr1	203288799	203297610	2	7356	10408.4343	3563.1684
3_MACS_peak_5407_lociStitched	chr2	46795827	46804591	3	2879	3878.9464	1501.2732
3_MACS_peak_5710_lociStitched	chr2	112456088	112464825	3	5936	12442.3617	2356.3689
3_MACS_peak_11652_lociStitched	chrX	128903205	128911936	3	2829	2867.2604	905.4047
3_MACS_peak_7387_lociStitched	chr3	124502846	124511534	3	4794	7394.3568	1937.424
3_MACS_peak_9140_lociStitched	chr6	11828106	11836730	3	6413	13009.304	2337.9664000000002
4_MACS_peak_8673_lociStitched	chr5	88121096	88129717	4	4861	6563.1673	2062.1432
3_MACS_peak_1162_lociStitched	chr10	3799273	3807871	3	3794	3661.8882	1600.9476
3_MACS_peak_4151_lociStitched	chr17	7739839	7748412	3	3997	3686.39	1624.5835
3_MACS_peak_4352_lociStitched	chr17	46528482	46537051	3	3672	5301.6403	2290.4937
3_MACS_peak_6966_lociStitched	chr3	13050467	13059019	3	6153	8538.3168	2660.5272
3_MACS_peak_4508_lociStitched	chr17	75135754	75144273	3	7594	7844.2952	2099.9335
3_MACS_peak_4964_lociStitched	chr19	10522655	10531117	3	3954	4653.2538	1642.4741999999999
2_MACS_peak_582_lociStitched	chr1	154757114	154765501	2	4006	6639.9879	2702.2914
3_MACS_peak_1682_lociStitched	chr10	125823995	125832376	3	4048	4747.8365	1794.3721
2_MACS_peak_484_lociStitched	chr1	145188660	145197001	2	6007	9359.4361	4622.5822
3_MACS_peak_6754_lociStitched	chr22	24823008	24831340	3	4195	6649.769200000001	1785.5475999999999
2_MACS_peak_5488_lociStitched	chr2	65159033	65167360	2	5290	6520.041	2371.5296
3_MACS_peak_1767_lociStitched	chr11	9587168	9595462	3	3019	2915.341	1312.1108000000002
3_MACS_peak_3250_lociStitched	chr14	94437061	94445344	3	2723	3622.9842	1127.3163
2_MACS_peak_10277_lociStitched	chr7	122824035	122832263	2	3773	6416.1944	2111.3048
2_MACS_peak_9025_lociStitched	chr5	172191776	172199996	2	3776	5214.768	1841.28
2_MACS_peak_589_lociStitched	chr1	154926807	154935023	2	3791	5319.0383999999995	2577.3592
2_MACS_peak_5279_lociStitched	chr2	20406444	20414528	2	4912	6435.6724	1991.8976
2_MACS_peak_7729_lociStitched	chr3	197456612	197464682	2	4731	6272.811	2549.313
2_MACS_peak_6673_lociStitched	chr21	43647766	43655831	2	4706	6808.473	2627.5769999999998
2_MACS_peak_11128_lociStitched	chr9	73028414	73036403	2	4548	5002.7118	1515.5133
3_MACS_peak_4972_lociStitched	chr19	11199604	11207563	3	2813	4570.853700000001	1677.7572
2_MACS_peak_9231_lociStitched	chr6	26358138	26366055	2	4963	10338.810300000001	2025.9603000000002
2_MACS_peak_1085_lociStitched	chr1	234741552	234749467	2	7050	8380.402	2756.7945
2_MACS_peak_439_lociStitched	chr1	120623180	120631081	2	3553	5288.9294	2915.469
3_MACS_peak_3325_lociStitched	chr15	23661011	23668903	3	3519	5299.478	1576.8216
2_MACS_peak_3277_lociStitched	chr14	106026076	106033925	2	3532	4377.387299999999	1484.2459
3_MACS_peak_6971_lociStitched	chr3	13455361	13463178	3	3395	4092.1994999999997	1360.9397000000001
3_MACS_peak_1830_lociStitched	chr11	22689380	22697170	3	3673	5664.1089999999995	1410.769
2_MACS_peak_3964_lociStitched	chr16	56944210	56951992	2	4870	7055.1612	1965.7332
2_MACS_peak_817_lociStitched	chr1	192507245	192514993	2	3716	6698.9208	2342.9952
2_MACS_peak_545_lociStitched	chr1	150533177	150540912	2	5817	8660.106	3219.3070000000002
3_MACS_peak_6143_lociStitched	chr2	232706143	232713877	3	3876	3116.802	1415.322
3_MACS_peak_7676_lociStitched	chr3	186711502	186719230	3	6345	7124.443200000001	3095.8368
2_MACS_peak_2619_lociStitched	chr12	68874559	68882281	2	3394	4300.381799999999	1746.7164
2_MACS_peak_9265_lociStitched	chr6	31164761	31172466	2	3423	3978.0915	1698.182
3_MACS_peak_2842_lociStitched	chr12	125398922	125406620	3	3225	4142.2938	1240.9176
3_MACS_peak_7854_lociStitched	chr4	38307722	38315418	3	3305	5321.784	1939.392
3_MACS_peak_7873_lociStitched	chr4	40303170	40310833	3	3880	5226.166	1931.076
3_MACS_peak_10337_lociStitched	chr7	137665727	137673384	3	3775	5379.8082	2335.3849999999998
3_MACS_peak_9543_lociStitched	chr6	108879332	108886987	3	4031	4602.186	1514.9244999999999
2_MACS_peak_10866_lociStitched	chr8	129279338	129286977	2	3298	4678.887500000001	1887.5969
2_MACS_peak_11317_lociStitched	chr9	117128295	117135934	2	3143	3523.1068	1713.4277
2_MACS_peak_9975_lociStitched	chr7	47514464	47522100	2	3891	5228.3692	2014.3767999999998
3_MACS_peak_920_lociStitched	chr1	206729899	206737461	3	5229	6429.968599999999	2722.3199999999997
3_MACS_peak_7043_lociStitched	chr3	30684148	30691700	3	2563	4262.3488	1378.9952
3_MACS_peak_8186_lociStitched	chr4	140128301	140135809	3	2934	4090.3583999999996	1295.8808000000001
2_MACS_peak_4238_lociStitched	chr17	32691621	32699102	2	3972	6930.3984	1636.0947
2_MACS_peak_1082_lociStitched	chr1	234652482	234659922	2	3511	5702.016	2476.776
3_MACS_peak_8835_lociStitched	chr5	130710804	130718204	3	4041	4600.58	1509.6
2_MACS_peak_5082_lociStitched	chr19	39888171	39895568	2	4502	5770.3997	1666.5441
3_MACS_peak_7702_lociStitched	chr3	193848368	193855752	3	3528	7161.0032	1852.6456
2_MACS_peak_10181_lociStitched	chr7	104579162	104586536	2	4338	12062.3892	1901.7546000000002
2_MACS_peak_7110_lociStitched	chr3	46133333	46140624	2	3367	4063.2743	1715.5723
2_MACS_peak_1029_lociStitched	chr1	226309090	226316373	2	3422	4796.583799999999	2421.5975000000003
3_MACS_peak_10183_lociStitched	chr7	104596725	104603987	3	3603	6015.8408	1700.0342
3_MACS_peak_915_lociStitched	chr1	206287248	206294501	3	6440	10306.513	2578.4415
2_MACS_peak_2308_lociStitched	chr12	7061939	7069180	2	2908	5448.8525	1618.3635
2_MACS_peak_11394_lociStitched	chr9	132650191	132657404	2	2831	4516.0593	1330.0772
2_MACS_peak_3822_lociStitched	chr16	12057547	12064757	2	4368	5408.942	2082.248
3_MACS_peak_11382_lociStitched	chr9	130673383	130680576	3	3107	3051.2706000000003	1300.4943999999998
3_MACS_peak_1167_lociStitched	chr10	3847073	3854262	3	3766	6200.512500000001	1446.4268
2_MACS_peak_8969_lociStitched	chr5	156693123	156700310	2	2880	4540.7466	1289.3478
2_MACS_peak_9959_lociStitched	chr7	45034398	45041558	2	2887	4276.668000000001	1598.828
2_MACS_peak_7773_lociStitched	chr4	9599808	9606965	2	2927	3418.8989	1442.1355
3_MACS_peak_6872_lociStitched	chr22	42928898	42936047	3	3638	6251.8005	2342.0124
