REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
6_MACS_peak_9115_lociStitched	chr6	7895871	7918601	6	18205	20593.38	6425.771	1	MUTED-TXNDC5,TXNDC5		TXNDC5	1	1
4_MACS_peak_4265_lociStitched	chr17	34624118	34640937	4	15286	21551.8666	6248.2585	2	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	2	1
4_MACS_peak_4259_lociStitched	chr17	34523008	34540116	4	15028	22317.386	6518.148	3	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL4L1	3	1
4_MACS_peak_7452_lociStitched	chr3	141091968	141110891	4	13376	19795.3503	5058.1179	4	ZBTB38		ZBTB38	4	1
2_MACS_peak_1056_lociStitched	chr1	228744058	228756393	2	12329	7080.29	5660.5315	5		DUSP5P	DUSP5P	5	1
3_MACS_peak_1973_lociStitched	chr11	65183676	65199315	3	12218	12917.814	5027.9385	6	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	6	1
4_MACS_peak_7456_lociStitched	chr3	141118436	141132348	4	12064	10588.4232	3427.9168	7	ZBTB38		RASA2	7	1
4_MACS_peak_5623_lociStitched	chr2	99095362	99107664	4	10852	17291.6912	3638.9316	8	INPP4A		INPP4A	8	1
3_MACS_peak_3813_lociStitched	chr16	11773417	11785042	3	10268	10681.05	3089.925	9	TXNDC11	SNN	SNN	9	1
4_MACS_peak_895_lociStitched	chr1	204474949	204491681	4	9383	14906.5388	5243.8088	10	MDM4	PIK3C2B	MDM4	10	1
6_MACS_peak_1207_lociStitched	chr10	11279361	11304304	6	9360	14671.4726	5487.46	11	CELF2		CELF2	11	1
4_MACS_peak_610_lociStitched	chr1	156119064	156132117	4	9116	11396.5743	5003.2149	12	SEMA4A	LMNA,SLC25A44	SEMA4A	12	1
4_MACS_peak_6012_lociStitched	chr2	201980169	201992434	4	8996	10449.78	3442.7855	13	CFLAR	NDUFB3,FAM126B	CFLAR	13	1
4_MACS_peak_5619_lociStitched	chr2	99071608	99087884	4	8910	13883.428	4676.0948	14	INPP4A		INPP4A	14	1
2_MACS_peak_6745_lociStitched	chr22	23270298	23279155	2	8843	22774.8898	2776.6695	15		IGLL5	IGLL5	15	1
6_MACS_peak_1770_lociStitched	chr11	10326062	10344972	6	8565	11147.445	3789.564	16	ADM	SBF2	ADM	16	1
4_MACS_peak_10441_lociStitched	chr8	2029500	2041260	4	8385	12166.896	2855.328	17	MYOM2		MYOM2	17	1
3_MACS_peak_7586_lociStitched	chr3	171812487	171826855	3	8134	13987.248	4525.92	18	FNDC3B		FNDC3B	18	1
2_MACS_peak_7869_lociStitched	chr4	40197102	40208001	2	8043	8761.7061	2899.134	19	RHOH		RHOH	19	1
2_MACS_peak_9073_lociStitched	chr6	318958	329583	2	7933	12423.8125	4880.0625	20	DUSP22		DUSP22	20	1
4_MACS_peak_2554_lociStitched	chr12	53591152	53600340	4	7693	9170.5428	2518.4308	21	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	21	1
3_MACS_peak_4508_lociStitched	chr17	75135754	75144273	3	7594	7844.2952	2099.9335	22	SEC14L1	SEC14L1	SEC14L1	22	1
3_MACS_peak_5253_lociStitched	chr2	11883911	11895221	3	7472	9595.404	2750.592	23	LPIN1		LPIN1	23	1
2_MACS_peak_885_lociStitched	chr1	203288799	203297610	2	7356	10408.4343	3563.1684	24		BTG2,LOC730227,FMOD	BTG2	24	1
4_MACS_peak_2783_lociStitched	chr12	108953917	108963358	4	7280	7928.5518	2643.48	25	ISCU,SART3	FICD,TMEM119	ISCU	25	1
4_MACS_peak_8851_lociStitched	chr5	131791938	131803899	4	7185	8571.2526	3288.0789	26	C5orf56	IRF1	IRF1	26	1
4_MACS_peak_9209_lociStitched	chr6	25404418	25414326	4	7183	10380.6116	3038.7836	27	LRRC16A		LRRC16A	27	1
3_MACS_peak_4253_lociStitched	chr17	34409305	34421115	3	7138	12453.645	3278.456	28	CCL3	CCL18,CCL4	CCL3	28	1
2_MACS_peak_1085_lociStitched	chr1	234741552	234749467	2	7050	8380.402	2756.7945	29	IRF2BP2	NCRNA00184	IRF2BP2	29	1
1_MACS_peak_462_lociStitched	chr1	143461870	143468912	1	7043	9731.3398	3861.1286	30			LOC100130000	30	1
2_MACS_peak_6772_lociStitched	chr22	29187595	29198834	2	6850	8943.9962	2374.8007	31	XBP1	HSCB,CCDC117,CHEK2	XBP1	31	1
1_MACS_peak_6508_lociStitched	chr21	9963025	9969826	1	6802	8908.6299	3562.3638	32	LOC100132288		LOC100132288	32	1
5_MACS_peak_2237_lociStitched	chr11	128588324	128604946	5	6720	9680.6528	3718.3414	33	FLI1		FLI1	33	1
1_MACS_peak_1205_lociStitched	chr10	11216338	11223001	1	6664	10041.141	1930.9374	34	CELF2		CELF2	34	1
5_MACS_peak_8546_lociStitched	chr5	55437988	55453271	5	6609	12263.0792	3362.26	35	ANKRD55		ANKRD55	35	1
6_MACS_peak_10719_lociStitched	chr8	81046663	81060038	6	6589	7920.675	2723.15	36	TPD52		TPD52	36	1
3_MACS_peak_6021_lociStitched	chr2	202116645	202126805	3	6487	7747	2130.552	37	CASP8		CASP8	37	1
3_MACS_peak_915_lociStitched	chr1	206287248	206294501	3	6440	10306.513	2578.4415	38	C1orf186	CTSE	C1orf186	38	1
2_MACS_peak_4890_lociStitched	chr19	2084340	2090843	2	6430	9424.7979	2887.9823	39	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	39	1
3_MACS_peak_9140_lociStitched	chr6	11828106	11836730	3	6413	13009.304	2337.9664	40		C6orf105	C6orf105	40	1
