CCS1477_6	JQ1_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	34.9252372121632	28.2556929539069	-0.305728343598436	0.112630020557245
LOC100133331	1.18377407195056	1.11791030253333	-0.082589327386648	0.799934009197407
LOC100288069	8.35799783498041	8.10988662173871	-0.0434756396080558	0.791203457920139
LINC00115	2.26735175189871	3.17381994543858	0.485212059761909	0.191199486556905
LINC01128	7.7046503016475	6.36937737228349	-0.274577126083069	0.0113416055799899
NOC2L	110.138011126109	89.3219632755705	-0.302225594911123	0.0453252007267823
KLHL17	12.7812872168345	9.03674074657857	-0.500158699739947	0.0479571192939441
PLEKHN1	5.3781469383447	11.3322411558066	1.07525213116582	0.00412266889733088
ISG15	22.0637440610338	7.52438869699546	-1.55203134378304	0.000286768337029813
AGRN	0.983561037698242	0.644148525380666	-0.610621207881806	0.0395522322652062
C1orf159	12.5097618088852	6.50105429585425	-0.944308711752632	0.0153026151110679
SDF4	210.599649659065	186.028668226772	-0.178978069236686	0.116267221696296
B3GALT6	18.0836622167178	12.6584218849611	-0.514589318662417	0.0143475684295396
UBE2J2	80.7855106853429	69.0821932913041	-0.2257826733505	0.0165439635671077
SCNN1D	0.927218404305828	0.523064131944009	-0.825921359063263	0.203524371754861
ACAP3	31.6327429584024	31.725801314456	0.00423794223409222	0.971221776358821
PUSL1	40.3242548275385	24.3333395900018	-0.728713539108082	0.0119970614967639
CPSF3L	77.933319753924	70.5121071456881	-0.144369278698156	0.0231643740619007
CPTP	56.3145082472854	35.73909112058	-0.656003704466131	0.00205575743060728
TAS1R3	0.473167552439391	0.733709927246248	0.632858661287029	0.33267886209356
DVL1	23.352810784283	17.2438528785349	-0.437514046764936	0.00333732226464377
AURKAIP1	217.144913705789	182.582277441944	-0.250111424947936	0.288700707272607
CCNL2	118.674054705798	147.897899208794	0.317597001985674	0.109152890404078
LOC148413	69.2039847958861	115.415537821715	0.73791044355835	0.00034794957736444
MRPL20	188.888832514702	210.810230027509	0.158407469372935	0.158335649915248
ATAD3C	16.7585762211455	17.732006396558	0.0814562026100374	0.201718162752449
ATAD3B	29.5832581101464	27.3946139547173	-0.110888677049487	0.50138375029754
ATAD3A	36.3407798646148	28.0107813776149	-0.375607150980798	0.0127452979197562
SSU72	132.899186513534	216.233151091767	0.702255448400175	0.0234445212705306
MIB2	9.53574252427738	18.3406724214598	0.943629346167803	0.00346889875814205
CDK11B	42.7349125280609	33.2388297031761	-0.362545581857069	0.0121448825839496
SLC35E2B	42.4449054716211	77.5498410605544	0.86953242241578	0.000936364211433704
CDK11A	17.0638086089267	17.9440571911297	0.0725664343609876	0.376254261710269
SLC35E2	11.6663873565995	20.4582972071053	0.810328189570531	0.00657717417312449
NADK	45.403829269951	63.2561635779675	0.478392083801695	0.000631399704484559
GNB1	181.167636724813	181.81479678408	0.00514435692338132	0.861815382674383
TMEM52	11.6277679479482	1.90734750566194	-2.60793456354647	5.53008477784864e-05
FAAP20	7.36122603842247	5.59848457539338	-0.394909707879983	0.162496836660625
SKI	40.6609275901137	19.9027401397986	-1.03067605782821	0.00203354365145883
MORN1	1.10628719122969	1.38286468294394	0.321934035156253	0.140158662936436
