KB528_6	JQ1_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	40.0858091276294	19.1781033106071	-1.06363154841415	0.00659559077060847
LOC100133331	1.28167034745702	0.880195087551728	-0.54213001564794	0.309010850162111
LOC100288069	10.2441702254238	5.56834325126363	-0.879483079657592	0.03393049538747
LINC00115	2.49490626419651	2.04062626305102	-0.28997363365101	0.367224409436998
LINC01128	6.06810737425211	8.19736758283838	0.433914077975265	0.00083847896237729
NOC2L	110.195027398658	87.9890242704675	-0.324663644443467	0.000915890123436312
KLHL17	14.8396133804223	5.77889850887919	-1.36058706749734	0.0267929563355078
PLEKHN1	2.49408206819119	5.11014909350632	1.03485644571764	0.000686590742617033
ISG15	21.9693539672288	16.8334278543162	-0.384163458357777	0.175356153427281
AGRN	0.537330193013224	0.77413119668175	0.526769182807679	0.0997335834747003
C1orf159	16.7012145420633	6.77033376692969	-1.30265415857806	0.000437973216401834
SDF4	238.687953054796	165.108519346675	-0.531711190211196	0.00477168343087116
B3GALT6	22.5543965852654	7.54701485613576	-1.57943066983073	0.000675783198786693
UBE2J2	80.0104061822672	61.834438952629	-0.371777072554342	0.00780950154380063
SCNN1D	0.486588291171296	0.492121148382863	0.0163119111237706	0.915091564312047
ACAP3	26.7900970280927	25.2117282390978	-0.0876047894195966	0.344081677696619
PUSL1	42.8440483718013	29.9052140021366	-0.51869776646362	0.00311695752431546
CPSF3L	82.4569457517588	68.070552699658	-0.276610200281086	0.00686393733338633
CPTP	58.7528614958958	48.1051660609673	-0.288467283572239	0.025965075222006
TAS1R3	0.228150188347353	0.500914675430418	1.13458103444707	0.0486317205869235
DVL1	29.3260092540236	14.5321470252321	-1.01293289239609	2.5035267218515e-05
AURKAIP1	278.168595841867	181.84279769479	-0.613267768739364	0.0301977932191593
CCNL2	85.5919166638665	96.9675688274322	0.180027758780933	0.362067367177961
LOC148413	61.1256313495396	72.3143754724522	0.242505009648596	0.028573342022439
MRPL20	238.671290593048	146.561699650264	-0.703516897936306	0.00950449982114859
ATAD3C	20.0040743466055	15.3742224075138	-0.379780427919347	0.041398318309113
ATAD3B	26.9437709200389	23.8152935616131	-0.178063445223391	0.131909372985745
