CCS1477_0	Lenalidomide_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	35.2881986478804	35.0583560044595	-0.00942744171148457	0.914217574951569
LOC100133331	0.731086563764384	0.822181536834463	0.169414737123101	0.280208432696122
LOC100288069	6.35170462560157	6.53975427998785	0.042092605810034	0.881423349565933
LINC00115	2.93897376046328	3.24276478415904	0.141911902380547	0.532291938287947
LINC01128	5.06886577633135	5.03857350926163	-0.00864761748102713	0.896253997768611
NOC2L	102.067565807618	96.0408303654564	-0.0878047090428852	0.0608465653279414
KLHL17	10.5675784091031	9.96755867915277	-0.0843327183622453	0.493176000479335
PLEKHN1	4.49454773621316	4.48868667470003	-0.00188255703733865	0.986321274789596
ISG15	13.2211808765026	12.5734495816588	-0.0724705259775723	0.708986486636568
AGRN	0.403236680424605	0.362884598128154	-0.152116053594682	0.615189764764475
C1orf159	20.4613721284083	15.8828084911355	-0.365436853849329	0.0243695203544575
SDF4	204.856571528676	184.024212636233	-0.15471857468434	0.0299639689169914
B3GALT6	22.1748160819421	18.2451912166106	-0.281405867854924	0.0174286273669089
UBE2J2	66.3676240075756	66.3951585168046	0.000598419221596748	0.976512248287505
SCNN1D	0.339641359594991	0.17710624357884	-0.939397080051879	0.185640954356403
ACAP3	27.4547251364211	23.5608507334896	-0.220662834944853	0.0359614503866535
PUSL1	43.7000916480426	39.6116342867165	-0.141712080541112	0.0126459310775247
CPSF3L	75.1947511591423	73.6280614658132	-0.030376242894381	0.363282006141824
CPTP	45.7391216552149	40.4656171992164	-0.176732061178284	0.0729010193817265
TAS1R3	0.655345834010818	0.674836686827659	0.0422819710259714	0.877743762444148
DVL1	33.5262203661701	31.724363698327	-0.0796986197463464	0.320436144802577
AURKAIP1	235.03149246414	212.243798356606	-0.147131680436601	0.195371253696352
CCNL2	75.7080937718285	80.9538366618739	0.0966519125479834	0.300806617573847
LOC148413	78.2692732648801	72.5798760052943	-0.108876457290468	0.0197284783180548
MRPL20	218.858980268412	218.817842304952	-0.000271202553986382	0.995602644461655
ATAD3C	28.0209013051513	25.8327137849835	-0.117304151670397	0.0406582750897701
ATAD3B	40.0111845596424	38.5608606993244	-0.0532660876679322	0.431410025351063
ATAD3A	54.8054821550767	49.3092079028117	-0.152463134461498	0.0222340059263947
SSU72	240.98841030195	226.238552590676	-0.0911189701935678	0.0993197512421456
MIB2	11.4270772748659	10.6390191034253	-0.103091306565673	0.171295332560787
CDK11B	28.8413792767981	27.3247164246632	-0.0779336362933718	0.0347252514590209
SLC35E2B	47.7356840062972	47.0920811942828	-0.0195836491745808	0.776463236803699
CDK11A	11.6355032758376	10.7510523139118	-0.11405573581383	0.145336228598184
SLC35E2	10.1828514958353	10.0736458888083	-0.015555691697186	0.877181892269556
NADK	60.9495774793264	58.1871188410069	-0.066916407464651	0.194266192304635
GNB1	190.596082851866	180.921590003948	-0.0751538890919157	0.0254653224302222
TMEM52	2.16665193566843	2.02734242011056	-0.0958776266313396	0.790959756458847
FAAP20	8.06598548346643	7.29959803632221	-0.144033787353938	0.0708959202916157
SKI	12.1835984592138	11.0978512398235	-0.134659930366713	0.133962605452442
MORN1	0.871679366228481	0.810439832311767	-0.105092476615281	0.604518083674355
RER1	97.7384839228083	93.9196655522996	-0.0574994552715646	0.336057401645522
PEX10	24.6881226225141	24.3910577201363	-0.0174648106326292	0.769015108617903
PANK4	24.5482059423437	22.7109758015963	-0.112227897518403	0.186384267638707
LOC115110	16.9114640613602	15.8701703286634	-0.0916839501601757	0.402150604993695
TNFRSF14	50.2941722672605	46.3099408075732	-0.119069327404927	0.0581374366666119
FAM213B	9.37379520893334	8.07354567563857	-0.215430872315162	0.0208627941317898
TPRG1L	64.5372670959616	63.6278196438629	-0.0204748014396134	0.477848707474834
WRAP73	41.4981762371475	40.5107324431122	-0.0347437647467286	0.270360894555536
TP73	8.7408921179451	7.59414106704962	-0.20289373402607	0.138153936559798
TP73-AS1	1.69131922672586	1.82601356129268	0.11054849405815	0.428702005650075
LRRC47	64.1153522706718	57.7321853625191	-0.151294010784753	0.0156726063569018
CEP104	27.424472841878	24.9122881320282	-0.138606353518439	0.0877541886905762
DFFB	8.46230715224664	8.93294535764178	0.0780848856326978	0.143981289592796
C1orf174	33.6343488354207	32.8623545320101	-0.0334994770639162	0.373043714199269
LINC01134	2.54424311655145	2.61592720946901	0.0400858623774828	0.855051078641442
NPHP4	8.77582401701229	7.74949770059547	-0.17943179322587	0.15702583834135
KCNAB2	73.1915086381132	69.7344627001478	-0.0698044722442787	0.0615573286012442
RPL22	555.014911249244	561.920183290164	0.0178386885753378	0.670235698547343
RNF207	2.31723958625481	1.87469062131591	-0.305754687971284	0.301476755605102
ICMT	50.9900940247988	49.579822307387	-0.0404638974144826	0.0384215730924733
LINC00337	0.50266373376169	0.636137537090601	0.33974511425762	0.454401471754083
GPR153	0.555625745296253	0.514257265298752	-0.11162317819165	0.767187053738939
ACOT7	45.6374767012545	39.9924765518801	-0.190490403693025	0.00651193329319404
PLEKHG5	0.714126710684417	0.643103978892495	-0.151128065300115	0.428719209539743
NOL9	13.6029403564003	12.6458212351564	-0.105257801860659	0.321213560575846
ZBTB48	18.6396657144997	18.066612013329	-0.0450500002315614	0.299721226016698
KLHL21	31.4549241304648	29.8144319873514	-0.0772750309933006	0.175694439519946
PHF13	18.1597829540675	17.2054055703938	-0.0778850595575978	0.22660259515336
THAP3	11.022742857765	10.4751293472818	-0.0735152048894342	0.356046991606908
DNAJC11	49.7571873938684	46.7951586866829	-0.0885456572756414	0.0997118715399716
CAMTA1	6.50719726859339	6.22934001656147	-0.062956969027558	0.242390429528807
VAMP3	39.7114137287027	40.8890191536139	0.0421597340834172	0.550532794642689
PER3	0.217271035131237	0.23832250714805	0.133419347342479	0.732363291482539
PARK7	386.869476963372	387.270014820532	0.00149289382058477	0.959338863560276
ERRFI1	1.07120988116788	0.977411876678159	-0.132202633489629	0.146389728395422
RERE	11.2631101788517	10.7169597343743	-0.0717095765990766	0.332436831062545
ENO1	588.928383120354	557.7328934406	-0.0785178458099364	0.0355025526173532
H6PD	2.80714257489656	2.63919253534973	-0.0890057377312719	0.218273084166494
SLC25A33	15.3570454529532	14.9066885757754	-0.042940874317368	0.648284199627236
TMEM201	9.92626780651138	8.78496428755394	-0.176214957029727	0.0287189895614539
PIK3CD	2.53100176219323	2.35033526030009	-0.106841949221764	0.576119357654721
CLSTN1	73.717353842437	65.4032760209706	-0.172641383442662	0.012178216482181
CTNNBIP1	20.5812172329273	18.6213429568338	-0.14437118722965	0.0754778239243272
LZIC	30.0253942813923	32.0494627272185	0.0941169809597768	0.240645946805329
NMNAT1	8.32844748315467	8.36947565862666	0.00708965586981504	0.933054316526709
UBE4B	42.4654237659882	40.862760897349	-0.055501963582173	0.421363444793364
KIF1B	14.9586035722057	14.2251736769963	-0.072529235173333	0.559729899360456
RNU6-2	2.36209275760815	2.25841304687274	-0.0647562510112425	0.807219584600233
PGD	140.827397843489	133.22370284103	-0.0800772502225792	0.0939642158629314
APITD1	5.34770699068595	5.25871714466939	-0.0242095206816276	0.839492143008317
DFFA	26.9252743813364	24.9655871584029	-0.109020209198979	0.12458450127956
PEX14	21.7965443233711	19.1446891791911	-0.187155187072385	0.183712411896322
TARDBP	105.375717362005	107.985480012719	0.0352948846082474	0.549197460985068
SRM	227.463726674959	199.896130051729	-0.186385957004594	0.0260391111776803
EXOSC10	76.9001589787043	76.3175824688614	-0.010971109274258	0.826531236573012
MTOR	24.1924062820466	22.9959446372646	-0.0731748106040171	0.349964978834689
UBIAD1	26.5817200944689	25.2672046035271	-0.0731684010923507	0.267885779566442
PTCHD2	1.16991645256733	1.1024444683744	-0.0856995189693769	0.63454198644038
FBXO2	4.27146336993628	4.34037632545581	0.0230897241171205	0.831801657236758
FBXO44	11.6734714769203	11.2016279378641	-0.0595252409008383	0.57778140306428
FBXO6	8.34767087160459	8.15213007176958	-0.0341966489671048	0.685763966829753
MAD2L2	73.6164327741539	68.8880865894108	-0.09577333604021	0.277667671225408
AGTRAP	83.9579457996021	79.3726335494537	-0.0810251943493501	0.258426549162412
C1orf167	2.82789193294517	2.42579601370453	-0.221268750362331	0.201410644771093
MTHFR	16.1800234059582	15.9183731826012	-0.0235207911284319	0.690977334416616
CLCN6	6.70821113725617	6.69076159426831	-0.00375765872066151	0.974628756014116
NPPA-AS1	1.27685816379341	1.70832034130008	0.4199802558157	0.210343837829768
KIAA2013	98.1207049073547	92.5673903439899	-0.0840535482442848	0.0252659327836041
PLOD1	28.7404157571657	26.4103847635089	-0.121975612118501	0.0845678488529405
MFN2	63.401481670213	60.0882958870292	-0.0774325486248169	0.110060516069417
MIIP	29.8399472381715	29.4429877549972	-0.0193209070128226	0.683860434700422
TNFRSF1B	10.2307422845923	9.54096734149988	-0.100703371632743	0.050621022639103
VPS13D	6.76631799037607	6.17630542536851	-0.131626882436842	0.364827258650442
DHRS3	0.794677266459468	0.550285799377315	-0.530187974366959	0.0260592026845292
PRDM2	16.7787739746598	17.3570212594794	0.048882077768184	0.685723064776766
KAZN	2.92468481219312	2.67602710654437	-0.128188426843419	0.0682769893669905
