GNE781_24	JQ1_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.7517381238947	19.1781033106071	-0.8155017522437	0.000333193507759312
LOC100133331	0.937802268944666	0.880195087551728	-0.0914604496154973	0.656233498593372
LOC100288069	7.46344088955806	5.56834325126363	-0.422592766831054	0.36890553889101
LINC00115	3.34184790780963	2.04062626305102	-0.711634096197005	0.0754750928646258
LINC01128	4.95778973273526	8.19736758283838	0.725463606187549	0.00221467681451134
NOC2L	118.792966336049	87.9890242704675	-0.43305393885833	0.00116757425042731
KLHL17	11.9085158199661	5.77889850887919	-1.04312718058034	0.000176356162042054
PLEKHN1	5.38902004326252	5.11014909350632	-0.07665756873128	0.626132151332327
ISG15	19.2473022686704	16.8334278543162	-0.193327261624533	0.177653673392117
AGRN	0.297654778412506	0.77413119668175	1.37893803440578	0.016746497870779
C1orf159	20.4467129667347	6.77033376692969	-1.59457006947479	0.00741786739569396
SDF4	208.100469439246	165.108519346675	-0.33386565652557	0.00281701676169992
B3GALT6	25.803407936395	7.54701485613576	-1.77358360021914	0.000533841968026895
UBE2J2	81.6682182346856	61.834438952629	-0.401364175510943	0.0226253930968323
SCNN1D	0.357719734752129	0.492121148382863	0.460183804674785	0.40290500726305
ACAP3	23.791388397119	25.2117282390978	0.0836555511477678	0.124753341977779
PUSL1	41.0007131560154	29.9052140021366	-0.455251962232508	0.0189556380246124
CPSF3L	80.8317329388529	68.070552699658	-0.247890953946272	0.0516401709371001
CPTP	51.5972127561998	48.1051660609673	-0.101101299668944	0.210496271008769
TAS1R3	0.389684622914506	0.500914675430418	0.362257875833617	0.439096919767269
DVL1	28.7259782634139	14.5321470252321	-0.983108157665727	0.0214097422134747
AURKAIP1	251.004264159595	181.84279769479	-0.465020087811244	0.0270865560510904
CCNL2	72.0502757761155	96.9675688274322	0.428498360722564	0.00441398691130046
LOC148413	71.9310570800826	72.3143754724522	0.00766766525254029	0.939661382677146
MRPL20	258.806824692675	146.561699650264	-0.820367522133676	0.0129287923343574
ATAD3C	20.7839337342108	15.3742224075138	-0.434955292004872	0.00674362083351569
ATAD3B	39.1478612597851	23.8152935616131	-0.717045159491134	0.00122442883498615
ATAD3A	55.4033998042023	32.4687511496972	-0.770922614208227	0.00779405169349554
SSU72	246.211107390948	112.140540997501	-1.13458791309755	0.00118017807602569
MIB2	12.0881709334314	8.80268198514195	-0.45758091272655	0.0393501849144144
